,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,West,East,South,North
2019-04-01,9.952083333333336,236.19444444444446,7.455555555555559,7.378472222222224,6.547916666666662,97.59027777777777,6.616666666666664,6.461111111111105,,,,8.733333333333329,7.836111111111112,1165.388888888889,0.15972222222222227,0,0,0,1,0,0,0,0
2019-04-02,6.596527777777776,225.65972222222223,4.6819444444444445,10.054861111111114,7.901388888888889,92.36805555555556,7.989583333333335,7.806250000000002,,,,5.742361111111112,5.028472222222223,1181.3819444444443,0.06944444444444443,0,0,0,1,0,0,0,0
2019-04-03,3.2249999999999996,194.02083333333334,1.9881944444444448,14.406944444444447,9.407638888888886,74.14583333333333,9.51458333333333,9.286111111111115,,,,2.6791666666666667,2.184027777777778,1183.6319444444443,0.0,0,0,0,1,0,0,0,0
2019-04-04,4.074305555555555,201.95138888888889,2.7395833333333335,13.120138888888889,12.074305555555558,63.52777777777778,12.183333333333335,11.945833333333333,,,,3.4951388888888877,2.982638888888888,1164.7152777777778,0.0,0,0,0,1,0,0,0,0
2019-04-05,4.329166666666669,251.85416666666666,2.9902777777777767,13.65486111111111,10.470138888888892,79.84027777777777,10.576388888888882,10.361111111111107,,,,3.7493055555555537,3.2118055555555562,1165.9166666666667,0.0,0,0,0,1,0,0,0,0
2019-04-06,4.888888888888889,110.0,3.5437499999999997,9.06666666666667,11.571527777777778,66.5625,11.672916666666671,11.456944444444447,,,,4.266666666666666,3.766666666666665,1184.1041666666667,0.0020833333333333337,0,1,0,0,0,0,0,0
2019-04-07,6.539583333333336,192.9375,4.6937500000000005,10.581249999999999,15.721527777777782,56.61805555555556,15.831944444444453,15.609722222222237,,,,5.661805555555558,4.940277777777778,1181.701388888889,0.0,0,0,0,1,0,0,0,0
2019-04-08,6.3298611111111125,232.55555555555554,4.6499999999999995,8.173611111111112,15.067361111111106,53.208333333333336,15.179861111111112,14.948611111111116,,,,5.497916666666668,4.890277777777776,1182.486111111111,0.0,0,0,0,1,0,0,0,0
2019-04-09,5.004861111111111,236.3125,3.5020833333333328,10.966666666666667,13.72013888888889,64.04861111111111,13.828472222222224,13.593055555555551,,,,4.347916666666667,3.761805555555556,1165.6666666666667,0.0,0,0,0,1,0,0,0,0
2019-04-10,5.553472222222221,284.8125,3.564583333333333,15.270833333333334,9.363934426229509,82.52459016393442,9.454098360655735,9.266393442622952,,,,4.602083333333334,3.8347222222222226,1181.8680555555557,0.0,0,0,1,0,0,0,0,0
2019-04-11,6.064583333333337,291.7986111111111,4.365277777777778,13.661805555555555,9.622916666666653,79.5625,9.745138888888887,9.506249999999989,,,,5.234722222222222,4.568055555555554,1181.7569444444443,0.0,0,0,1,0,0,0,0,0
2019-04-12,6.3979166666666645,87.29861111111111,4.744444444444445,11.47013888888888,13.376388888888892,58.59722222222222,13.49027777777778,13.259027777777781,,,,5.581944444444445,4.954166666666663,1182.2847222222222,0.0,1,0,0,0,0,0,0,0
2019-04-13,8.647222222222226,92.5625,6.329861111111111,8.60277777777778,18.243750000000013,34.020833333333336,18.336805555555557,18.143749999999997,,,,7.425694444444446,6.574305555555554,1166.5902777777778,0.0,0,1,0,0,0,0,0,0
2019-04-14,10.980555555555558,213.32638888888889,7.936805555555555,10.461111111111114,14.67083333333334,59.020833333333336,14.779166666666661,14.571527777777773,,,,9.406944444444445,8.344444444444441,1165.423611111111,0.0,0,0,0,1,0,0,0,0
2019-04-15,5.177083333333332,263.0486111111111,3.556250000000001,14.252777777777782,10.713888888888887,76.57638888888889,10.786111111111113,10.62986111111111,,,,4.521527777777778,3.8972222222222217,1182.6319444444443,0.025694444444444443,0,0,1,0,0,0,0,0
2019-04-16,6.70486111111111,244.92361111111111,4.354166666666664,13.052083333333337,10.693055555555553,83.39583333333333,10.78611111111111,10.594444444444441,,,,5.540277777777778,4.645833333333335,1166.3333333333333,0.03263888888888888,0,0,0,1,0,0,0,0
2019-04-17,8.872916666666667,261.2361111111111,6.270138888888889,11.227777777777781,9.888888888888893,84.89583333333333,9.971527777777773,9.789583333333336,,,,7.606944444444447,6.616666666666666,1183.0208333333333,0.00902777777777778,0,0,0,1,0,0,0,0
2019-04-18,7.160416666666665,258.4583333333333,5.004166666666666,11.398611111111107,9.049999999999997,79.61805555555556,9.160416666666661,8.945833333333328,,,,6.085416666666666,5.345138888888891,1166.2847222222222,0.0,0,0,0,1,0,0,0,0
2019-04-19,11.424305555555557,254.60416666666666,8.380555555555558,8.786111111111108,7.822222222222217,87.79861111111111,7.935416666666662,7.70208333333333,,,,9.955555555555552,8.812499999999996,1183.2222222222222,0.05069444444444444,0,0,0,1,0,0,0,0
2019-04-20,10.52638888888889,249.58333333333334,8.023611111111109,8.420833333333333,8.182638888888885,87.19444444444444,8.274305555555557,8.079861111111107,,,,9.340277777777779,8.388888888888888,1166.4930555555557,0.022916666666666672,0,0,0,1,0,0,0,0
2019-04-21,12.34513888888889,274.0,7.784722222222224,15.878472222222221,5.429861111111117,84.48611111111111,5.564583333333339,5.287500000000003,,,,9.823611111111113,8.269444444444447,1182.4722222222222,0.04374999999999999,0,0,1,0,0,0,0,0
