,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,North-West,North,South,West,South-West,North-East,East,South-East
2019-06-08,,,,,22.475694444444446,74.89583333333333,22.639583333333334,22.318750000000005,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-09,,,,,23.383333333333326,64.55555555555556,23.61527777777779,23.154166666666683,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-10,,,,,26.629166666666666,29.04861111111111,26.872916666666672,26.386111111111106,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-11,,,,,29.13958333333333,26.4375,29.393749999999997,28.866666666666667,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-12,,,,,24.608333333333334,63.104166666666664,24.83263888888887,24.402083333333323,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-13,,,,,23.01180555555555,69.27083333333333,23.234722222222228,22.80624999999999,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-14,,,,,23.081249999999997,68.55555555555556,23.301388888888894,22.88402777777779,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-15,,,,,24.158333333333328,61.47222222222222,24.380555555555546,23.952083333333324,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-16,,,,,25.743750000000002,50.75,25.954166666666666,25.507638888888884,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-17,,,,,24.86527777777779,59.77777777777778,25.077083333333334,24.675694444444456,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-18,,,,,24.370833333333348,65.43055555555556,24.572916666666668,24.171527777777783,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-19,,,,,25.61111111111111,46.625,25.82083333333334,25.398611111111112,,,,,,,0.0,1,0,0,0,0,0,0,0,0
