,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-West,West,East,North,South,South-East
2019-04-01,3.261111111111111,173.02777777777777,1.1909722222222219,32.276388888888896,11.216666666666663,97.9375,11.329166666666664,11.116666666666667,,,,1.9743055555555555,1.3812499999999992,1181.8472222222222,0.19027777777777785,0,1,0,0,0,0,0,0
2019-04-02,2.8499999999999996,171.88888888888889,1.2833333333333334,25.05069444444444,12.148611111111116,91.10416666666667,12.253472222222216,12.059027777777777,,,,1.9451388888888894,1.415277777777778,1182.4583333333333,0.009722222222222224,0,1,0,0,0,0,0,0
2019-04-03,4.0805555555555575,160.97916666666666,2.1333333333333333,23.60625,13.13125,75.61111111111111,13.258333333333328,13.004861111111111,,,,2.918055555555555,2.28125,1165.5694444444443,0.0,0,1,0,0,0,0,0,0
2019-04-04,3.717361111111112,162.16666666666666,1.8784722222222225,25.454166666666673,15.16458333333333,70.46527777777777,15.293750000000001,15.033333333333335,,,,2.6562500000000013,2.0381944444444446,1181.7152777777778,0.0,0,1,0,0,0,0,0,0
2019-04-05,3.3250000000000006,188.95138888888889,1.6576388888888884,23.959027777777774,14.15,87.19444444444444,14.298611111111107,14.017361111111109,,,,2.4548611111111125,1.8312500000000003,1182.763888888889,0.0,0,0,1,0,0,0,0,0
2019-04-06,3.425694444444444,115.33333333333333,1.6131944444444433,30.01180555555557,15.723611111111113,63.49305555555556,15.835416666666665,15.61597222222222,,,,2.381944444444444,1.7923611111111104,1182.2569444444443,0.0,0,1,0,0,0,0,0,0
2019-04-07,3.909027777777778,150.5625,1.8659722222222221,25.989583333333325,19.931944444444458,52.013888888888886,20.077083333333338,19.777083333333337,,,,2.689583333333333,2.026388888888888,1181.8194444444443,0.0,0,1,0,0,0,0,0,0
2019-04-08,3.2111111111111112,181.36805555555554,1.6284722222222217,25.32638888888888,18.213194444444447,71.20833333333333,18.35625,18.077083333333327,,,,2.3534722222222206,1.7868055555555553,1165.1458333333333,0.0,0,1,0,0,0,0,0,0
2019-04-09,3.6555555555555586,192.85416666666666,1.7166666666666677,27.11041666666667,17.191666666666666,67.83333333333333,17.352083333333326,17.03611111111111,,,,2.5416666666666665,1.9125000000000003,1181.5555555555557,0.0,0,0,1,0,0,0,0,0
2019-04-10,3.4145833333333337,215.50694444444446,1.6500000000000001,21.917361111111113,14.433333333333325,80.8125,14.626388888888885,14.24861111111111,,,,2.460416666666667,1.811805555555555,1182.875,0.0,0,0,1,0,0,0,0,0
2019-04-11,4.163194444444446,178.45833333333334,1.9722222222222234,28.84722222222222,14.255555555555551,79.22222222222223,14.398611111111112,14.108333333333336,,,,2.942361111111112,2.167361111111111,1182.4930555555557,0.0,0,1,0,0,0,0,0,0
2019-04-12,6.1000000000000005,156.61111111111111,2.4229166666666675,38.08402777777778,16.96944444444443,66.66666666666667,17.09861111111111,16.84097222222222,,,,3.731249999999999,2.6263888888888887,1180.513888888889,0.0,0,1,0,0,0,0,0,0
2019-04-13,4.951388888888889,119.16666666666667,2.293055555555556,26.399305555555557,22.309722222222224,36.25694444444444,22.481250000000003,22.14027777777779,,,,3.2743055555555554,2.485416666666666,1182.173611111111,0.0,0,1,0,0,0,0,0,0
2019-04-14,5.105555555555553,196.07638888888889,1.7166666666666672,38.44583333333334,19.261111111111116,62.80555555555556,19.380555555555556,19.154861111111114,,,,2.667361111111112,1.8729166666666694,1182.361111111111,0.0,0,0,1,0,0,0,0,0
2019-04-15,2.404166666666667,171.63194444444446,1.1319444444444446,26.588888888888896,14.496527777777779,89.45138888888889,14.57430555555555,14.42152777777778,,,,1.7597222222222215,1.2972222222222216,1166.0416666666667,0.018750000000000003,0,1,0,0,0,0,0,0
2019-04-16,3.103472222222221,184.8125,1.5743055555555558,22.044444444444434,14.269444444444446,88.36805555555556,14.402083333333334,14.148611111111114,,,,2.307638888888888,1.7548611111111105,1181.6805555555557,0.029166666666666667,0,0,1,0,0,0,0,0
2019-04-17,3.4888888888888885,203.46527777777777,1.4986111111111111,27.023611111111116,14.181249999999999,88.47222222222223,14.32986111111111,14.041666666666673,,,,2.38888888888889,1.7104166666666667,1181.5208333333333,0.028472222222222218,0,0,1,0,0,0,0,0
2019-04-18,3.5576388888888886,187.50694444444446,1.4861111111111107,26.99513888888889,13.661805555555551,81.23611111111111,13.818750000000001,13.50763888888889,,,,2.3374999999999995,1.6583333333333325,1183.0277777777778,0.0006944444444444445,0,0,1,0,0,0,0,0
2019-04-19,4.391666666666669,202.57638888888889,1.664583333333334,32.36527777777779,12.906944444444443,84.15972222222223,13.079166666666666,12.73541666666667,,,,2.7152777777777772,1.9250000000000012,1182.388888888889,0.025694444444444447,0,0,1,0,0,0,0,0
2019-04-20,3.840972222222223,208.36805555555554,1.3506944444444444,33.60624999999999,13.747916666666665,80.61111111111111,13.91597222222223,13.590277777777784,,,,2.272916666666667,1.5326388888888884,1182.1041666666667,0.0,0,0,1,0,0,0,0,0
2019-04-21,5.996527777777778,253.23611111111111,2.764583333333333,28.218750000000007,11.123611111111108,76.79166666666667,11.279166666666663,10.956944444444442,,,,4.027083333333334,3.059722222222222,1166.5208333333333,0.11736111111111112,0,0,1,0,0,0,0,0
2019-04-22,4.688194444444445,238.88194444444446,2.175694444444444,25.272916666666664,11.925694444444447,82.9375,12.084027777777782,11.772916666666667,,,,3.1944444444444446,2.4250000000000016,1183.3472222222222,0.017361111111111112,0,0,1,0,0,0,0,0
2019-04-23,4.363194444444446,185.70833333333334,2.002777777777778,30.104166666666668,13.484722222222226,76.21527777777777,13.654861111111115,13.318750000000001,,,,3.001388888888887,2.2013888888888884,1181.7430555555557,0.0,0,1,0,0,0,0,0,0
2019-04-24,5.424305555555553,154.90277777777777,2.1687499999999997,36.55763888888888,17.314583333333324,54.40277777777778,17.474305555555556,17.161805555555546,,,,3.3256944444444456,2.3930555555555553,1181.4097222222222,0.0,0,1,0,0,0,0,0,0
2019-04-25,5.796527777777775,186.96527777777777,2.3652777777777785,30.30277777777779,19.976388888888895,42.576388888888886,20.11875,19.827777777777776,,,,3.5229166666666663,2.582638888888889,1165.0277777777778,0.0,0,1,0,0,0,0,0,0
2019-04-26,4.555555555555556,146.00694444444446,2.287500000000001,26.772222222222215,21.11041666666667,39.15972222222222,21.263194444444437,20.95763888888889,,,,3.1944444444444446,2.4597222222222217,1182.4930555555557,0.0,0,1,0,0,0,0,0,0
2019-04-27,4.16736111111111,154.18055555555554,1.943055555555556,26.552083333333357,21.424305555555563,36.923611111111114,21.588194444444447,21.274305555555546,,,,2.832638888888889,2.130555555555555,1165.923611111111,0.0,0,1,0,0,0,0,0,0
2019-04-28,4.568055555555559,172.34027777777777,2.3444444444444446,24.386805555555558,20.590972222222224,45.923611111111114,20.734722222222203,20.44027777777777,,,,3.222222222222224,2.5243055555555554,1166.048611111111,0.0,0,1,0,0,0,0,0,0
