,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,North,West,East,South
2019-04-01,3.8659722222222217,224.10416666666666,1.7465277777777766,25.428472222222236,10.509722222222214,92.24305555555556,10.59513888888889,10.427777777777772,,,,2.66111111111111,1.9840277777777777,1181.8402777777778,0.037500000000000006,0,0,0,1,0,0,0,0
2019-04-02,2.5111111111111115,185.88888888888889,1.2659722222222223,22.71041666666668,11.614583333333336,86.29166666666667,11.728472222222216,11.50138888888889,,,,1.9208333333333338,1.4388888888888893,1182.6527777777778,0.05763888888888889,0,1,0,0,0,0,0,0
2019-04-03,2.913888888888889,156.56944444444446,1.7208333333333332,16.315972222222218,12.449999999999996,76.52083333333333,12.59861111111111,12.292361111111115,,,,2.3527777777777787,1.9013888888888886,1182.173611111111,0.0,0,1,0,0,0,0,0,0
2019-04-04,3.5409722222222206,186.63194444444446,2.145833333333332,16.481250000000006,14.915277777777776,68.375,15.053472222222219,14.78263888888889,,,,2.868055555555557,2.3562499999999997,1166.2847222222222,0.0,0,0,0,1,0,0,0,0
2019-04-05,3.3118055555555554,250.03472222222223,2.113888888888888,15.768055555555552,13.995138888888892,82.33333333333333,14.133333333333336,13.868749999999999,,,,2.752083333333333,2.293749999999999,1181.5416666666667,0.0,0,0,0,1,0,0,0,0
2019-04-06,3.8131944444444437,94.49305555555556,2.15,17.99722222222222,15.029166666666669,72.97916666666667,15.172916666666664,14.889583333333327,,,,2.8819444444444433,2.3187499999999996,1181.6805555555557,0.0,0,1,0,0,0,0,0,0
2019-04-07,4.398611111111112,131.25,2.5104166666666674,16.361805555555573,18.50486111111111,64.68055555555556,18.669444444444437,18.365277777777766,,,,3.3076388888888903,2.722222222222223,1165.3333333333333,0.001388888888888889,0,1,0,0,0,0,0,0
2019-04-08,3.474305555555556,161.01388888888889,2.1097222222222225,16.102083333333326,17.37152777777778,68.51388888888889,17.518749999999997,17.21597222222222,,,,2.7791666666666672,2.257638888888889,1181.7847222222222,0.0,0,1,0,0,0,0,0,0
2019-04-09,3.8750000000000018,190.18055555555554,2.2361111111111116,17.66527777777778,16.424305555555556,69.48611111111111,16.575694444444444,16.27222222222222,,,,3.086111111111111,2.4486111111111106,1183.1805555555557,0.0,0,0,0,1,0,0,0,0
2019-04-10,6.011111111111112,274.77777777777777,4.041666666666667,12.60416666666667,14.397222222222219,75.8125,14.526388888888883,14.26388888888889,,,,4.961111111111112,4.2506944444444414,1181.888888888889,0.0,0,0,1,0,0,0,0,0
