,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,West,East,South,North
2019-04-01,6.945833333333331,225.11805555555554,3.9888888888888894,15.930555555555559,12.545833333333333,93.61805555555556,12.659722222222225,12.430555555555554,,,,5.3493055555555555,4.29236111111111,1181.5208333333333,0.03958333333333334,0,0,0,1,0,0,0,0
2019-04-02,4.322916666666663,206.09722222222223,2.595138888888889,15.336805555555546,13.577777777777785,87.13194444444444,13.691666666666665,13.470833333333339,,,,3.422916666666666,2.772222222222223,1181.7083333333333,0.008333333333333335,0,0,0,1,0,0,0,0
2019-04-03,3.4631944444444427,191.88888888888889,2.140277777777778,15.048611111111114,14.738888888888887,79.71527777777777,14.865972222222227,14.611805555555556,,,,2.802083333333332,2.284027777777778,1181.388888888889,0.0,0,0,0,1,0,0,0,0
2019-04-04,4.3201388888888905,207.26388888888889,2.521527777777778,16.543750000000003,15.82638888888889,78.77777777777777,15.95347222222223,15.718055555555559,,,,3.332638888888889,2.690277777777778,1164.9791666666667,0.0,0,0,0,1,0,0,0,0
2019-04-05,3.9368055555555532,287.75,2.2486111111111104,17.75277777777778,15.77152777777778,89.38888888888889,15.899305555555555,15.66666666666667,,,,3.0784722222222216,2.422222222222221,1165.4166666666667,0.0,0,0,1,0,0,0,0,0
2019-04-06,4.093749999999998,82.45138888888889,2.4680555555555563,12.78333333333333,16.71805555555555,76.59722222222223,16.811805555555548,16.62013888888888,,,,3.1902777777777787,2.6694444444444443,1181.4583333333333,0.0,1,0,0,0,0,0,0,0
2019-04-07,3.7749999999999986,159.15277777777777,2.3125,15.15486111111111,20.547916666666662,53.298611111111114,20.722916666666663,20.380555555555546,,,,3.0611111111111104,2.510416666666669,1182.6597222222222,0.0,0,1,0,0,0,0,0,0
2019-04-08,3.6948148148148143,217.04444444444445,2.308148148148148,15.09851851851852,18.46363636363637,77.44055944055944,18.59510489510489,18.332167832167837,,,,3.023703703703703,2.4711111111111124,1173.8592592592593,0.0,0,0,0,1,0,0,0,0
2019-04-09,4.583333333333332,220.84027777777777,2.694444444444444,17.062499999999993,18.14236111111111,77.80555555555556,18.309027777777786,17.977777777777767,,,,3.6333333333333337,2.9048611111111113,1182.361111111111,0.0,0,0,0,1,0,0,0,0
2019-04-10,4.376388888888893,266.3958333333333,2.540972222222221,15.592361111111106,15.917361111111111,79.30555555555556,16.054166666666664,15.773611111111105,,,,3.470833333333333,2.7270833333333346,1182.8125,0.0,0,0,0,1,0,0,0,0
