,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,South-East,South-West,North-East,East,North-West,South,North,West
2019-08-01,4.518881118881117,287.8251748251748,2.5545454545454547,17.79160839160839,26.834265734265745,73.25874125874125,26.9769230769231,26.679020979020983,,,,3.516783216783216,2.734265734265735,1172.923076923077,0.0,1,0,0,0,0,0,0,0
2019-08-02,5.662499999999998,259.5625,3.1965277777777783,17.268055555555556,27.076388888888882,72.27777777777777,27.269444444444456,26.890277777777786,,,,4.315972222222224,3.4194444444444447,1182.2569444444443,0.0,0,1,0,0,0,0,0,0
2019-08-03,4.670833333333334,256.4236111111111,2.6645833333333333,17.606944444444434,26.88819444444445,74.11111111111111,27.07916666666668,26.713888888888878,,,,3.611805555555554,2.844444444444444,1182.3541666666667,0.0,0,1,0,0,0,0,0,0
2019-08-04,5.00902777777778,232.33333333333334,2.9347222222222222,17.156250000000004,26.80763888888889,78.24305555555556,26.97222222222221,26.649305555555554,,,,3.9437499999999983,3.1048611111111115,1181.5625,0.0,0,1,0,0,0,0,0,0
2019-08-05,5.141666666666662,230.59722222222223,2.98263888888889,17.215277777777775,26.907638888888886,79.53472222222223,27.056944444444444,26.767361111111118,,,,3.990277777777777,3.161111111111111,1180.5902777777778,0.0,0,1,0,0,0,0,0,0
2019-08-06,5.061111111111111,235.47222222222223,2.8270833333333347,17.67083333333333,26.558333333333323,71.06944444444444,26.71666666666665,26.393055555555552,,,,3.906250000000001,3.011111111111111,1181.8680555555557,0.0,0,1,0,0,0,0,0,0
2019-08-07,5.082269503546099,243.12765957446808,2.931205673758865,17.087943262411343,26.410638297872353,71.64539007092199,26.55886524822695,26.27163120567378,,,,3.929078014184398,3.118439716312057,1188.3049645390072,0.0,0,1,0,0,0,0,0,0
2019-08-08,4.63402777777778,247.70833333333334,2.691666666666666,16.030555555555555,26.45347222222222,75.65972222222223,26.59513888888889,26.309027777777775,,,,3.588194444444443,2.8673611111111104,1180.923611111111,0.0,0,1,0,0,0,0,0,0
2019-08-09,5.686805555555557,246.22222222222223,3.3180555555555555,16.190972222222232,26.590972222222227,76.61805555555556,26.72083333333333,26.451388888888896,,,,4.367361111111112,3.50138888888889,1181.9930555555557,0.0,0,1,0,0,0,0,0,0
2019-08-10,5.664583333333334,245.98611111111111,3.2499999999999982,16.468055555555555,26.499999999999996,73.3125,26.661805555555556,26.363888888888894,,,,4.372916666666669,3.466666666666664,1165.9097222222222,0.0,0,1,0,0,0,0,0,0
2019-08-11,5.074999999999999,257.74305555555554,2.9895833333333326,16.229166666666664,26.292361111111106,77.76388888888889,26.45069444444445,26.14236111111111,,,,3.981250000000002,3.180555555555554,1182.1180555555557,0.0,0,1,0,0,0,0,0,0
2019-08-12,4.664583333333335,250.68055555555554,2.761805555555556,16.126388888888886,26.478472222222223,79.30555555555556,26.628472222222232,26.336805555555557,,,,3.665972222222222,2.941666666666665,1181.0277777777778,0.0,0,1,0,0,0,0,0,0
2019-08-13,4.157638888888889,248.61805555555554,2.529166666666667,15.148611111111109,26.70138888888889,80.875,26.845138888888894,26.55902777777778,,,,3.3284722222222225,2.686111111111111,1165.263888888889,0.0,0,1,0,0,0,0,0,0
2019-08-14,4.838194444444444,250.59027777777777,2.8479166666666678,16.737500000000008,26.62499999999999,80.0,26.76805555555553,26.488888888888876,,,,3.812500000000003,3.0416666666666665,1164.4027777777778,0.0,0,1,0,0,0,0,0,0
