,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,North,South,West,North-East,East
2019-04-01,7.662500000000005,221.27777777777777,5.19513888888889,11.673611111111109,13.627083333333333,55.173611111111114,13.815972222222221,13.449999999999992,,,,6.4312499999999995,5.502777777777776,1182.5833333333333,0.0,0,0,1,0,0,0,0,0
2019-04-02,5.345833333333333,202.22916666666666,3.524305555555555,11.895833333333336,14.700000000000001,56.611111111111114,14.897222222222224,14.512499999999998,,,,4.482638888888889,3.7916666666666683,1165.8472222222222,0.0,0,0,1,0,0,0,0,0
2019-04-03,4.521527777777779,158.21527777777777,2.737499999999999,19.25486111111111,16.277777777777775,50.75694444444444,16.483333333333334,16.054861111111123,,,,3.7347222222222225,3.0465277777777775,1164.8055555555557,0.0,1,0,0,0,0,0,0,0
2019-04-04,4.481249999999999,272.9375,2.886111111111111,14.351388888888891,16.146527777777784,68.46527777777777,16.339583333333337,15.959722222222224,,,,3.734722222222221,3.144444444444444,1165.548611111111,0.0,0,1,0,0,0,0,0,0
2019-04-05,3.685416666666667,236.42361111111111,2.0840277777777776,18.14861111111112,15.247916666666661,74.22222222222223,15.4375,15.070833333333333,,,,2.971527777777778,2.3409722222222222,1183.5625,0.0,0,0,1,0,0,0,0,0
2019-04-06,2.944444444444445,163.44444444444446,1.9444444444444444,17.668750000000014,19.097916666666674,48.416666666666664,19.294444444444444,18.913194444444446,,,,2.552777777777779,2.197222222222222,1182.5833333333333,0.0,1,0,0,0,0,0,0,0
2019-04-07,5.587500000000002,208.34027777777777,3.6555555555555563,12.334722222222226,22.704861111111114,35.5625,22.957638888888887,22.44513888888889,,,,4.718055555555554,3.9562500000000003,1165.3402777777778,0.0,0,0,1,0,0,0,0,0
2019-04-08,3.6381944444444443,223.08333333333334,2.3243055555555543,17.391666666666673,20.126388888888894,50.541666666666664,20.379861111111108,19.891666666666666,,,,3.061805555555555,2.547222222222221,1165.576388888889,0.0,0,0,1,0,0,0,0,0
2019-04-09,6.547222222222222,244.34027777777777,4.490972222222221,11.37708333333333,18.402083333333334,61.02777777777778,18.622916666666676,18.176388888888894,,,,5.550694444444445,4.78125,1181.138888888889,0.0,0,0,1,0,0,0,0,0
2019-04-10,3.794444444444445,214.9375,2.303472222222224,18.458333333333318,15.85555555555555,60.479166666666664,16.080555555555552,15.636111111111113,,,,3.175694444444446,2.543055555555556,1183.2291666666667,0.0,0,0,1,0,0,0,0,0
2019-04-11,4.582638888888891,165.07638888888889,2.800694444444443,17.0638888888889,15.925694444444446,50.854166666666664,16.172222222222224,15.7138888888889,,,,3.675694444444445,3.0451388888888884,1182.1527777777778,0.0,0,0,1,0,0,0,0,0
2019-04-12,3.941666666666666,151.9375,2.2222222222222223,21.453472222222217,16.547222222222228,62.361111111111114,16.82013888888889,16.288194444444443,,,,3.1229166666666663,2.4645833333333336,1182.4305555555557,0.0,1,0,0,0,0,0,0,0
2019-04-13,4.705555555555555,172.33333333333334,3.069444444444444,14.124305555555559,22.02152777777778,44.270833333333336,22.30069444444445,21.73194444444446,,,,3.938888888888886,3.343750000000001,1181.8819444444443,0.0,1,0,0,0,0,0,0,0
2019-04-14,7.75486111111111,250.71527777777777,5.263194444444443,12.030555555555553,21.66597222222221,40.25,21.862499999999986,21.475,,,,6.364583333333333,5.542361111111108,1181.6597222222222,0.0,0,0,1,0,0,0,0,0
2019-04-15,4.6097222222222225,158.79861111111111,3.1930555555555546,11.868055555555552,16.361805555555563,77.79166666666667,16.503472222222225,16.235416666666666,,,,3.9680555555555546,3.4604166666666676,1167.4652777777778,0.005555555555555555,1,0,0,0,0,0,0,0
