,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,South,West,North-East,North,East
2019-04-01,7.592361111111111,258.0,3.813888888888888,20.73611111111112,7.881944444444439,90.89583333333333,7.935416666666664,7.821527777777776,,,,5.40625,4.112500000000001,1182.125,0.02916666666666668,0,0,1,0,0,0,0,0
2019-04-02,4.966666666666668,249.33333333333334,2.6798611111111112,18.75972222222221,10.124305555555562,71.86111111111111,10.202777777777783,10.04097222222223,,,,3.729166666666666,2.9104166666666647,1181.2777777777778,0.0,0,0,1,0,0,0,0,0
2019-04-03,2.581944444444444,157.27777777777777,1.2874999999999994,22.08888888888889,12.777083333333335,56.49305555555556,12.917361111111102,12.627777777777775,,,,2.0388888888888896,1.4944444444444445,1182.6180555555557,0.0,1,0,0,0,0,0,0,0
2019-04-04,3.9548611111111125,218.52083333333334,2.2750000000000004,18.404861111111117,14.176388888888885,59.36805555555556,14.322916666666664,14.024999999999999,,,,3.1520833333333322,2.509027777777777,1182.0902777777778,0.0,0,0,1,0,0,0,0,0
2019-04-05,5.191666666666666,299.3541666666667,2.940277777777778,20.00277777777778,11.914583333333333,76.77083333333333,12.064583333333337,11.770833333333336,,,,4.1472222222222195,3.2659722222222225,1183.5347222222222,0.0,0,1,0,0,0,0,0,0
2019-04-06,3.2520833333333337,157.59722222222223,1.7076388888888887,20.115277777777766,14.81666666666667,56.451388888888886,14.936805555555557,14.685416666666669,,,,2.536111111111111,1.9124999999999999,1181.6458333333333,0.0,1,0,0,0,0,0,0,0
2019-04-07,4.022916666666669,233.91666666666666,2.139583333333334,18.900694444444436,18.957638888888894,45.298611111111114,19.099305555555556,18.81458333333334,,,,3.122222222222222,2.372222222222224,1181.6041666666667,0.0,0,0,1,0,0,0,0,0
2019-04-08,4.316666666666667,250.25694444444446,2.2861111111111105,20.901388888888903,18.218055555555555,46.729166666666664,18.369444444444454,18.065277777777787,,,,3.2604166666666665,2.486805555555555,1181.576388888889,0.0,0,0,1,0,0,0,0,0
2019-04-09,5.878472222222223,249.68055555555554,3.1687500000000006,19.420138888888896,16.43680555555555,53.93055555555556,16.58263888888888,16.29027777777777,,,,4.416666666666666,3.399305555555556,1181.486111111111,0.0,0,0,1,0,0,0,0,0
2019-04-10,5.694444444444445,284.44444444444446,3.0986111111111088,23.161111111111108,12.106249999999996,71.85416666666667,12.247916666666661,11.962500000000007,,,,4.47777777777778,3.386805555555553,1164.236111111111,0.0,0,1,0,0,0,0,0,0
2019-04-11,4.414583333333334,255.22916666666666,2.3590277777777775,25.25277777777778,12.815277777777773,58.09722222222222,12.981249999999996,12.650694444444442,,,,3.436111111111111,2.6159722222222213,1182.1875,0.0,0,1,0,0,0,0,0,0
2019-04-12,4.429861111111111,175.70833333333334,2.3743055555555563,21.77499999999999,15.343750000000004,54.5625,15.500000000000007,15.187500000000004,,,,3.364583333333334,2.5881944444444445,1182.5694444444443,0.0,0,0,1,0,0,0,0,0
2019-04-13,4.327083333333334,122.93055555555556,2.4180555555555543,16.950000000000006,20.825694444444444,31.319444444444443,20.952777777777776,20.699305555555554,,,,3.325694444444443,2.6131944444444444,1182.048611111111,0.0,1,0,0,0,0,0,0,0
2019-04-14,9.13541666666667,256.0208333333333,4.961111111111114,19.027083333333334,16.85416666666667,53.638888888888886,16.990972222222215,16.725694444444436,,,,6.616666666666664,5.268750000000002,1181.423611111111,0.0,0,0,1,0,0,0,0,0
2019-04-15,4.7444444444444445,229.22916666666666,2.606944444444444,22.07291666666666,14.013888888888891,65.95138888888889,14.166666666666666,13.872916666666667,,,,3.693749999999999,2.903472222222222,1181.6666666666667,0.015972222222222224,0,0,1,0,0,0,0,0
2019-04-16,5.770833333333336,265.4791666666667,3.0638888888888896,20.229166666666664,13.082638888888892,74.8125,13.184722222222224,12.97361111111111,,,,4.369444444444444,3.3576388888888884,1181.361111111111,0.004861111111111111,0,0,1,0,0,0,0,0
2019-04-17,8.159722222222225,272.8333333333333,4.231249999999999,22.100000000000005,11.596527777777782,77.09027777777777,11.72291666666667,11.474305555555551,,,,6.018750000000001,4.5875,1166.1944444444443,0.0,0,1,0,0,0,0,0,0
2019-04-18,6.708333333333335,275.71527777777777,3.4236111111111103,22.452083333333338,11.028472222222222,72.35416666666667,11.165972222222223,10.895138888888887,,,,4.9555555555555575,3.7548611111111105,1165.3055555555557,0.0,0,1,0,0,0,0,0,0
2019-04-19,8.611805555555554,270.3888888888889,4.434722222222224,21.372916666666672,10.388888888888886,75.4375,10.502777777777773,10.263888888888891,,,,6.256944444444446,4.791666666666664,1164.9375,0.0006944444444444445,0,0,1,0,0,0,0,0
2019-04-20,6.95763888888889,263.9375,3.4388888888888896,22.4763888888889,10.095138888888885,80.3125,10.208333333333332,9.99583333333333,,,,5.025000000000002,3.7354166666666675,1166.1180555555557,0.0,0,0,1,0,0,0,0,0
2019-04-21,11.39861111111111,278.80555555555554,5.92916666666667,19.60416666666667,7.827083333333334,78.13194444444444,7.952083333333342,7.717361111111113,,,,8.055555555555554,6.304861111111114,1181.5555555555557,0.07777777777777777,0,1,0,0,0,0,0,0
2019-04-22,7.520833333333332,274.6388888888889,3.9618055555555562,19.852083333333336,8.692361111111106,74.56944444444444,8.795833333333334,8.591666666666665,,,,5.5062500000000005,4.277777777777777,1181.3402777777778,0.0006944444444444445,0,1,0,0,0,0,0,0
