,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,East,North-East,North,West,South
2019-02-15,10.165972222222223,242.8125,5.047222222222224,20.96527777777778,7.14861111111111,58.15277777777778,7.247222222222222,7.060416666666665,,,,7.131944444444443,5.400000000000001,1167.4791666666667,0.0,0,0,1,0,0,0,0,0
2019-02-16,8.61944444444444,260.05555555555554,4.3604166666666675,20.26180555555555,7.306249999999996,84.71527777777777,7.390972222222221,7.228472222222223,,,,6.053472222222221,4.677777777777777,1181.5902777777778,0.009722222222222222,0,0,1,0,0,0,0,0
2019-02-17,4.363194444444444,238.73611111111111,2.360416666666667,19.798611111111104,8.441666666666666,65.44444444444444,8.562499999999998,8.331249999999994,,,,3.314583333333333,2.6027777777777774,1181.8402777777778,0.0,0,0,1,0,0,0,0,0
2019-02-18,5.160139860139859,254.8951048951049,2.82097902097902,19.61468531468531,6.238461538461539,79.6013986013986,6.347552447552451,6.127972027972027,,,,3.9328671328671336,3.0930069930069917,1181.6223776223776,0.0,0,0,1,0,0,0,0,0
2019-02-19,4.9305555555555545,283.74305555555554,2.7819444444444446,18.036111111111108,7.588888888888889,86.61111111111111,7.6701388888888875,7.498611111111113,,,,3.8555555555555543,3.0222222222222217,1180.9166666666667,0.0,0,1,0,0,0,0,0,0
2019-02-20,3.3423611111111113,247.42361111111111,1.872222222222222,20.590277777777786,8.812500000000004,81.53472222222223,8.890972222222224,8.724305555555553,,,,2.6625,2.0805555555555553,1182.0694444444443,0.0,0,0,1,0,0,0,0,0
2019-02-21,4.355555555555558,283.53472222222223,2.480555555555557,19.480555555555558,9.06111111111111,68.27083333333333,9.187499999999995,8.929166666666667,,,,3.4625,2.7361111111111107,1182.763888888889,0.0,0,1,0,0,0,0,0,0
2019-02-22,2.9840277777777784,261.59027777777777,1.7368055555555553,17.95694444444444,8.463888888888889,75.13888888888889,8.577777777777776,8.343750000000002,,,,2.4395833333333345,1.9555555555555553,1165.3125,0.03680555555555556,0,0,1,0,0,0,0,0
2019-02-23,2.502083333333333,196.51388888888889,1.4006944444444442,18.94236111111111,9.41944444444445,72.61111111111111,9.544444444444446,9.302083333333341,,,,2.0354166666666673,1.583333333333333,1165.3055555555557,0.0,0,0,1,0,0,0,0,0
2019-02-24,2.734722222222223,113.49305555555556,1.4680555555555568,19.14236111111111,11.726388888888891,57.895833333333336,11.85486111111112,11.597222222222227,,,,2.151388888888889,1.6458333333333335,1181.5902777777778,0.0,1,0,0,0,0,0,0,0
2019-02-25,4.1715277777777775,89.66666666666667,2.485416666666666,14.595833333333328,15.895833333333336,32.53472222222222,15.997222222222215,15.79166666666667,,,,3.2263888888888874,2.6527777777777777,1165.5972222222222,0.0,1,0,0,0,0,0,0,0
2019-02-26,8.75138888888889,250.83333333333334,4.654861111111111,20.57569444444445,12.109027777777776,49.138888888888886,12.236805555555549,12.00347222222221,,,,6.300694444444446,4.9520833333333325,1165.0694444444443,0.0,0,0,1,0,0,0,0,0
2019-02-27,12.728472222222223,265.2083333333333,6.244444444444446,20.931250000000013,8.161111111111111,92.3125,8.229166666666666,8.088194444444449,,,,8.587500000000002,6.645138888888891,1182.0833333333333,0.26736111111111116,0,0,1,0,0,0,0,0
2019-02-28,13.66249999999999,266.1388888888889,6.772222222222222,20.579861111111118,5.5201388888888925,93.38194444444444,5.6284722222222285,5.4145833333333355,,,,9.361805555555556,7.254861111111113,1182.2569444444443,0.6229166666666663,0,0,1,0,0,0,0,0
2019-03-01,8.79791666666667,286.2013888888889,4.523611111111112,20.393750000000008,6.022916666666669,88.06944444444444,6.092361111111113,5.950000000000001,,,,6.400694444444443,4.883333333333331,1181.5902777777778,0.0375,0,1,0,0,0,0,0,0
2019-03-02,6.617361111111111,253.81944444444446,3.5479166666666666,17.857638888888893,6.993055555555555,89.91666666666667,7.0625,6.934722222222221,,,,4.843750000000003,3.8187500000000014,1181.75,0.03125000000000001,0,0,1,0,0,0,0,0
2019-03-03,4.623611111111108,236.29861111111111,2.3541666666666665,17.82013888888888,9.287500000000001,57.25,9.391666666666666,9.17777777777778,,,,3.3923611111111125,2.5680555555555555,1165.0555555555557,0.0,0,0,1,0,0,0,0,0
2019-03-04,5.218750000000001,258.1111111111111,2.824305555555555,19.925694444444442,9.58402777777777,72.04861111111111,9.686111111111108,9.483333333333329,,,,3.9138888888888883,3.0687499999999988,1183.423611111111,0.0,0,0,1,0,0,0,0,0
2019-03-05,2.9229166666666684,202.95138888888889,1.6381944444444454,18.575694444444437,9.399305555555557,73.36805555555556,9.484722222222219,9.324305555555561,,,,2.3458333333333328,1.8493055555555564,1182.7152777777778,0.004861111111111111,0,0,1,0,0,0,0,0
2019-03-06,5.137499999999999,284.0208333333333,3.0159722222222225,19.99166666666666,10.050694444444442,75.65972222222223,10.181944444444444,9.926388888888885,,,,4.050000000000001,3.24791666666667,1166.076388888889,0.0,0,1,0,0,0,0,0,0
2019-03-07,7.4312499999999995,299.3263888888889,4.018749999999998,19.25694444444445,9.190972222222221,83.4375,9.288888888888891,9.096527777777782,,,,5.619444444444445,4.335416666666666,1181.1944444444443,0.0,0,1,0,0,0,0,0,0
2019-03-08,6.56111111111111,308.2916666666667,3.5902777777777763,20.522916666666678,10.243749999999999,65.07638888888889,10.356944444444444,10.142361111111107,,,,5.128472222222221,3.9291666666666663,1181.8680555555557,0.0,0,1,0,0,0,0,0,0
2019-03-09,3.3194444444444455,190.36805555555554,1.9541666666666668,18.075000000000006,11.69791666666667,48.611111111111114,11.830555555555554,11.547916666666667,,,,2.698611111111111,2.140277777777779,1181.8541666666667,0.0,0,0,1,0,0,0,0,0
2019-03-10,5.277083333333334,300.46527777777777,3.0,19.098611111111104,11.408333333333335,57.451388888888886,11.552083333333336,11.256250000000001,,,,4.177777777777778,3.2631944444444443,1182.2083333333333,0.0,0,1,0,0,0,0,0,0
2019-03-11,3.388888888888889,182.18055555555554,1.7215277777777769,25.931250000000002,11.086111111111114,70.77083333333333,11.225000000000003,10.929166666666669,,,,2.6618055555555564,1.9743055555555555,1181.1666666666667,0.0,0,0,1,0,0,0,0,0
2019-03-12,2.4618055555555554,140.28472222222223,1.3743055555555554,18.69166666666667,15.201388888888893,49.84027777777778,15.336111111111112,15.050694444444442,,,,2.0097222222222224,1.549999999999999,1182.9166666666667,0.0,1,0,0,0,0,0,0,0
2019-03-13,7.574305555555554,238.76388888888889,4.102777777777778,18.64027777777778,15.862500000000004,39.451388888888886,16.040972222222223,15.71319444444444,,,,5.5958333333333306,4.386805555555555,1183.2430555555557,0.001388888888888889,0,0,1,0,0,0,0,0
2019-03-14,11.034027777777775,270.6666666666667,5.885416666666666,19.163194444444446,8.053472222222219,91.61111111111111,8.113888888888885,7.987499999999997,,,,7.835416666666668,6.254166666666661,1182.2083333333333,0.1916666666666667,0,0,1,0,0,0,0,0
2019-03-15,5.990277777777775,255.52083333333334,3.2437499999999986,19.27569444444444,10.929861111111116,77.53472222222223,11.02569444444444,10.84375,,,,4.506250000000002,3.53611111111111,1182.6597222222222,0.0006944444444444445,0,0,1,0,0,0,0,0
