,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,North,East,West,South
2019-04-14,7.2243055555555555,248.6875,5.297222222222222,7.9604166666666645,20.07291666666667,67.75694444444444,20.229861111111102,19.918055555555565,,,,6.177083333333331,5.5798611111111125,1181.7916666666667,0.0,0,0,0,1,0,0,0,0
2019-04-15,3.7298611111111097,180.97222222222223,2.759027777777778,11.657638888888894,16.705555555555556,89.24305555555556,16.84097222222222,16.57291666666667,,,,3.357638888888888,3.0166666666666644,1182.9791666666667,0.006944444444444444,0,0,0,1,0,0,0,0
2019-04-16,4.00972222222222,172.47222222222223,3.134027777777779,8.985416666666667,17.196527777777774,84.36111111111111,17.324999999999992,17.071527777777774,,,,3.6493055555555554,3.3069444444444445,1183.3125,0.0041666666666666675,0,1,0,0,0,0,0,0
2019-04-17,6.5407692307692304,268.74615384615385,5.053076923076924,7.9784615384615405,17.55833333333333,77.86111111111111,17.72152777777777,17.420138888888896,,,,5.802307692307691,5.267692307692307,1184.4153846153847,0.0,0,0,0,1,0,0,0,0
2019-04-18,5.7897058823529415,250.97794117647058,4.309558823529413,9.125,16.812587412587426,69.55244755244755,16.918881118881135,16.71258741258741,,,,5.056617647058825,4.49705882352941,1179.639705882353,0.0,0,0,0,1,0,0,0,0
2019-04-19,8.349305555555553,240.04166666666666,6.365972222222217,9.018750000000004,16.661805555555546,67.11111111111111,16.77708333333335,16.546527777777783,,,,7.265277777777778,6.563888888888888,1166.0972222222222,0.0,0,0,0,1,0,0,0,0
2019-04-20,9.031250000000004,253.27777777777777,6.956944444444443,7.871527777777778,16.814583333333346,67.85416666666667,16.93819444444444,16.69861111111113,,,,7.91805555555555,7.174305555555553,1181.9166666666667,0.0,0,0,0,1,0,0,0,0
2019-04-21,13.322916666666664,281.875,10.236805555555556,8.395833333333334,16.173611111111104,58.25694444444444,16.341666666666654,16.0326388888889,,,,11.678472222222213,10.606250000000005,1182.9722222222222,0.0006944444444444445,0,0,1,0,0,0,0,0
2019-04-22,7.459722222222222,264.3263888888889,5.495833333333334,9.262499999999998,15.97430555555556,58.145833333333336,16.120833333333323,15.852083333333342,,,,6.545833333333332,5.7055555555555575,1181.6666666666667,0.0,0,0,0,1,0,0,0,0
2019-04-23,6.915972222222218,179.38888888888889,5.678472222222223,7.0784722222222225,15.545138888888895,68.67361111111111,15.706249999999995,15.397916666666667,,,,6.295833333333334,5.843055555555555,1166.7916666666667,0.0,0,1,0,0,0,0,0,0
2019-04-24,7.063888888888891,102.75694444444444,5.802083333333332,5.861805555555559,17.524305555555546,71.53472222222223,17.680555555555554,17.370833333333337,,,,6.438194444444447,6.031249999999999,1182.173611111111,0.0,0,1,0,0,0,0,0,0
2019-04-25,7.109027777777779,81.61805555555556,6.025694444444443,5.222916666666666,18.90347222222222,72.79861111111111,19.068749999999994,18.761805555555565,,,,6.606944444444446,6.221527777777776,1181.2222222222222,0.0,0,1,0,0,0,0,0,0
2019-04-26,5.20972222222222,133.55555555555554,4.281249999999999,7.692361111111113,18.937499999999982,79.63194444444444,19.09722222222224,18.784722222222214,,,,4.8062499999999995,4.495138888888888,1182.6180555555557,0.0,0,1,0,0,0,0,0,0
2019-04-27,3.724305555555557,256.5,2.88125,9.491666666666669,18.94930555555557,84.45138888888889,19.09305555555557,18.817361111111115,,,,3.414583333333333,3.0770833333333343,1183.236111111111,0.0,0,0,0,1,0,0,0,0
2019-04-28,3.845138888888888,147.17361111111111,2.981249999999998,9.559722222222224,18.503472222222218,88.08333333333333,18.618055555555557,18.400694444444436,,,,3.4638888888888903,3.172222222222222,1182.2152777777778,0.0,0,1,0,0,0,0,0,0
2019-04-29,2.7743055555555554,181.57638888888889,2.018055555555556,13.00833333333333,20.66736111111111,74.13888888888889,20.856250000000003,20.492361111111105,,,,2.5451388888888893,2.2388888888888885,1183.2777777777778,0.0,0,0,0,1,0,0,0,0
2019-04-30,3.715972222222223,160.16666666666666,2.944444444444444,8.314583333333339,19.805555555555536,85.88888888888889,19.932638888888896,19.66319444444444,,,,3.427777777777778,3.139583333333333,1183.4375,0.0,0,1,0,0,0,0,0,0
2019-05-01,4.641958041958042,91.91608391608392,3.7748251748251747,9.231468531468535,20.158741258741255,76.7062937062937,20.29230769230769,20.041258741258744,,,,4.301398601398602,4.045454545454546,1165.5454545454545,0.0,0,1,0,0,0,0,0,0
2019-05-02,5.104861111111109,208.95138888888889,3.3868055555555556,18.354166666666668,21.38472222222222,77.58333333333333,21.620833333333326,21.16111111111111,,,,4.590972222222221,3.9104166666666678,1183.0347222222222,0.0,0,0,0,1,0,0,0,0
2019-05-03,5.36597222222222,246.63888888888889,4.443055555555555,6.263194444444441,19.31180555555555,83.51388888888889,19.405555555555534,19.225694444444475,,,,5.0277777777777795,4.67013888888889,1183.1805555555557,0.0,0,0,0,1,0,0,0,0
2019-05-04,6.574999999999999,178.86805555555554,5.44652777777778,6.742361111111107,18.181944444444454,74.46527777777777,18.321527777777774,18.04166666666668,,,,6.082638888888887,5.622916666666664,1182.7152777777778,0.0,0,1,0,0,0,0,0,0
2019-05-05,3.7423611111111117,167.86805555555554,2.9458333333333346,10.05138888888889,18.445833333333336,85.08333333333333,18.57638888888891,18.323611111111106,,,,3.4312500000000004,3.1812500000000012,1182.4583333333333,0.0,0,1,0,0,0,0,0,0
2019-05-06,4.493706293706294,212.66433566433565,2.917482517482518,18.141258741258742,21.63706293706293,68.92307692307692,21.881118881118883,21.38741258741258,,,,3.974825174825175,3.3636363636363624,1177.8741258741259,0.0,0,0,0,1,0,0,0,0
2019-05-07,5.015277777777779,294.05555555555554,4.069444444444443,6.707638888888889,19.507638888888884,75.1875,19.64027777777776,19.38680555555557,,,,4.627777777777776,4.272916666666666,1182.048611111111,0.0,0,0,1,0,0,0,0,0
2019-05-08,5.257638888888889,235.54861111111111,4.162500000000002,7.629861111111105,18.141666666666655,69.96527777777777,18.285416666666688,18.006944444444432,,,,4.729166666666668,4.311111111111114,1182.0694444444443,0.0,0,0,0,1,0,0,0,0
2019-05-09,5.483453237410071,256.1294964028777,4.30863309352518,9.375539568345323,17.96618705035971,66.50359712230215,18.115827338129503,17.817266187050365,,,,4.9906474820143885,4.479856115107913,1157.2446043165467,0.0,0,0,0,1,0,0,0,0
2019-05-10,5.6513888888888895,192.58333333333334,4.4305555555555545,8.123611111111108,17.807638888888906,66.47222222222223,17.96527777777778,17.668750000000003,,,,5.0798611111111125,4.597222222222223,1183.3819444444443,0.0,0,0,0,1,0,0,0,0
2019-05-11,5.431250000000002,132.78472222222223,4.546527777777779,6.908333333333332,18.16458333333334,74.45138888888889,18.326388888888893,18.008333333333333,,,,5.002777777777776,4.697222222222221,1181.3680555555557,0.0,0,1,0,0,0,0,0,0
2019-05-12,5.663194444444445,108.36111111111111,4.642361111111113,6.472916666666666,19.288888888888888,87.11805555555556,19.416666666666657,19.16041666666667,,,,5.193055555555554,4.805555555555557,1164.7569444444443,0.0,0,1,0,0,0,0,0,0
2019-05-13,5.034027777777778,145.36111111111111,4.154861111111111,5.543055555555554,20.085416666666674,81.18055555555556,20.205555555555563,19.967361111111128,,,,4.588888888888886,4.283333333333332,1182.1944444444443,0.0,0,1,0,0,0,0,0,0
2019-05-14,4.403472222222224,128.84722222222223,3.6388888888888906,6.351388888888889,20.629861111111115,78.07638888888889,20.785416666666656,20.48333333333334,,,,4.088888888888887,3.8104166666666677,1182.0694444444443,0.0,0,1,0,0,0,0,0,0
2019-05-15,3.340972222222222,212.80555555555554,2.6409722222222216,7.520833333333333,20.57013888888889,83.72222222222223,20.706249999999997,20.439583333333342,,,,3.0659722222222223,2.802777777777777,1182.2083333333333,0.0,0,0,0,1,0,0,0,0
2019-05-16,4.2041666666666675,168.52083333333334,3.2506944444444428,9.759722222222221,22.30763888888889,81.375,22.481944444444455,22.132638888888877,,,,3.8499999999999996,3.485416666666666,1182.3125,0.0,0,1,0,0,0,0,0,0
