,Grad_4,Grad_3,Grad_2,Grad,Grad_1,TDmax_4,TD_4,TDmin_4,TDmax_3,TD_3,TDmin_3,TDmax_2,TD_2,TDmin_2,TDmax_1,TD_1,TDmin_1,TDmax,TD,TDmin
2017-03-03,197.54166666666663,57.05555555555557,86.375,133.59027777777777,144.49305555555554,18.981944444444444,18.788194444444443,18.60208333333334,19.272222222222226,19.125,18.97222222222221,16.380555555555553,16.277083333333334,16.175000000000008,15.027777777777775,14.923611111111107,14.820833333333338,13.484027777777774,13.363194444444444,13.252777777777775
2018-12-23,92.09027777777777,89.5625,114.5,106.7132867132867,96.58333333333331,14.99513888888889,14.821527777777787,14.662499999999998,13.774999999999995,13.62638888888889,13.485416666666666,13.558333333333335,13.407638888888883,13.271527777777779,13.995138888888896,13.840972222222213,13.68958333333334,14.182517482517483,14.033566433566431,13.8965034965035
2017-10-30,196.5208333333333,184.03472222222226,81.97916666666667,136.99305555555554,164.50694444444446,22.591666666666665,22.41597222222221,22.25625000000001,23.675694444444453,23.4875,23.30833333333333,21.38541666666666,21.211111111111126,21.052777777777788,21.0673611111111,20.89583333333334,20.721527777777773,19.704166666666666,19.529166666666647,19.35972222222221
2017-07-26,300.35664335664336,324.66901408450707,322.71527777777777,324.0208333333333,331.50349650349654,25.865972222222233,25.686805555555573,25.517361111111107,26.00833333333335,25.82638888888889,25.65555555555556,26.69027777777778,26.520138888888887,26.35972222222224,27.53541666666667,27.371527777777768,27.22569444444443,28.79513888888891,28.59513888888889,28.40416666666666
2016-04-25,295.0763888888889,292.1041666666667,300.0416666666667,309.5208333333333,297.47222222222223,25.98333333333333,25.653472222222234,25.367361111111126,22.022916666666656,21.801388888888887,21.59513888888889,20.724305555555567,20.526388888888885,20.336805555555564,22.603472222222226,22.35625000000001,22.111805555555566,23.68263888888889,23.432638888888878,23.184027777777768
2016-02-13,166.47916666666666,172.84027777777774,135.14583333333334,173.09722222222226,183.0625,12.227777777777774,12.064583333333333,11.897916666666665,13.231250000000005,13.093055555555555,12.957638888888884,13.51805555555555,13.38194444444444,13.263194444444444,13.724305555555553,13.547916666666666,13.382638888888893,15.595138888888895,15.425000000000002,15.261805555555556
2016-07-03,333.4444444444445,348.0567375886525,347.57638888888886,353.4055944055944,342.5555555555556,25.97013888888889,25.83333333333334,25.693055555555574,25.9375,25.784722222222232,25.617361111111087,25.085416666666692,24.926388888888887,24.759722222222234,25.506944444444446,25.38541666666667,25.23958333333333,26.05416666666667,25.91597222222222,25.786805555555574
2017-12-08,147.83916083916085,87.74305555555556,42.006944444444436,147.77083333333334,63.298611111111114,20.07569444444444,19.83194444444445,19.59236111111111,18.65486111111111,18.44513888888889,18.237500000000008,14.71388888888889,14.5875,14.46666666666666,12.095833333333333,11.947222222222214,11.803472222222226,11.52222222222222,11.27083333333333,11.045833333333333
2016-03-08,167.11111111111111,222.92361111111111,198.63888888888889,228.96527777777771,234.88888888888889,15.181944444444444,15.040972222222214,14.907638888888881,15.962500000000002,15.78541666666667,15.615277777777765,14.47361111111111,14.295138888888893,14.124999999999995,19.160416666666666,18.996527777777786,18.82291666666666,19.618750000000013,19.418055555555558,19.235416666666666
2019-03-04,77.9236111111111,180.6180555555556,135.55555555555554,147.04166666666666,137.24305555555554,11.262499999999996,11.093055555555555,10.90555555555556,11.864583333333332,11.720833333333333,11.587499999999995,12.271527777777774,12.121527777777786,11.984027777777774,13.004166666666661,12.810416666666667,12.618750000000002,13.032638888888883,12.873611111111117,12.720833333333326
2016-03-17,171.61805555555554,146.43055555555554,148.86805555555554,194.61111111111111,167.54861111111111,22.24444444444445,22.042361111111113,21.833333333333336,17.852777777777792,17.675694444444453,17.528472222222213,15.428472222222226,15.252777777777775,15.088194444444444,14.461111111111116,14.313888888888883,14.160416666666665,14.311111111111117,14.14166666666666,13.988194444444444
2017-03-06,144.49305555555554,133.59027777777777,204.125,233.97222222222226,232.54166666666663,15.027777777777775,14.923611111111107,14.820833333333338,13.484027777777774,13.363194444444444,13.252777777777775,13.511805555555556,13.347916666666665,13.193055555555553,13.799305555555556,13.645833333333329,13.494444444444447,16.069444444444457,15.915972222222221,15.767361111111107
2018-07-19,295.2097902097902,339.6923076923077,342.3076923076923,294.5694444444445,348.91666666666674,25.95902777777779,25.8125,25.67777777777779,26.1513888888889,25.968055555555548,25.80416666666667,26.32291666666667,26.17916666666666,26.03263888888891,26.154861111111106,25.99444444444445,25.827083333333324,25.903472222222234,25.752777777777766,25.59791666666666
2019-07-03,321.5694444444445,322.9791666666667,356.0780141843972,360.5323741007194,357.16901408450707,25.37777777777778,25.22013888888889,25.081944444444442,25.790277777777767,25.631944444444446,25.488194444444442,26.73194444444445,26.552777777777766,26.360416666666666,25.58750000000001,25.39097222222221,25.19444444444445,25.597222222222207,25.43333333333333,25.26805555555556
2017-06-22,351.6714285714286,345.2,329.48936170212767,357.6285714285715,243.0072463768116,24.77708333333333,24.593750000000004,24.41666666666665,24.490972222222204,24.298611111111107,24.10833333333333,23.45069444444444,23.26041666666667,23.08888888888889,22.634027777777785,22.460416666666674,22.29375000000001,23.44444444444445,23.28819444444445,23.13125
2016-06-12,331.8,285.2638888888889,342.3055555555556,357.06474820143893,344.9444444444445,25.472222222222232,25.230555555555572,24.99583333333333,22.684027777777786,22.53750000000001,22.39305555555553,22.01458333333333,21.85625000000001,21.70277777777777,21.55694444444446,21.358333333333345,21.159027777777773,21.88611111111113,21.665277777777767,21.45833333333333
2017-11-24,98.02777777777777,64.15492957746478,48.47916666666666,89.72916666666669,122.10416666666669,18.43888888888888,18.306249999999988,18.17569444444443,16.51690140845071,16.407042253521116,16.311267605633788,13.82361111111111,13.696527777777767,13.573611111111116,14.370833333333339,14.194444444444445,14.023611111111116,15.359722222222233,15.234027777777774,15.10625000000001
2016-07-27,320.4513888888889,304.6388888888889,338.47222222222223,341.79432624113474,342.6363636363636,25.929861111111126,25.74583333333333,25.563888888888894,26.26041666666666,26.12013888888889,25.98541666666665,26.96875000000001,26.818055555555574,26.67083333333333,27.04513888888888,26.879166666666666,26.72013888888889,26.31527777777779,26.16111111111111,26.002083333333346
2018-07-23,294.5694444444445,305.9791666666667,291.1388888888889,350.1702127659574,330.47222222222223,25.903472222222234,25.752777777777766,25.59791666666666,25.99861111111112,25.85902777777779,25.70972222222222,25.98402777777777,25.813194444444445,25.659722222222207,26.140972222222214,26.019444444444428,25.878472222222207,26.79722222222223,26.656944444444427,26.52499999999999
2017-12-22,105.0,65.9236111111111,68.5,76.0138888888889,82.94444444444444,19.120138888888885,18.868055555555557,18.622222222222213,19.019444444444435,18.82291666666667,18.641666666666648,19.979166666666664,19.795833333333324,19.635416666666657,20.388194444444444,20.161111111111108,19.929861111111126,21.471527777777773,21.353472222222205,21.225694444444443
2017-02-24,211.3333333333333,198.69444444444446,108.69444444444444,200.97222222222226,185.69444444444446,12.561805555555555,12.391666666666662,12.226388888888893,11.659722222222225,11.49861111111111,11.351388888888895,11.993749999999995,11.87291666666666,11.751388888888883,13.234722222222222,13.090972222222225,12.949305555555556,13.117361111111107,12.952083333333334,12.796527777777774
2017-07-29,331.50349650349654,324.0208333333333,319.52777777777777,331.7569444444445,313.9861111111111,27.53541666666667,27.371527777777768,27.22569444444443,28.79513888888891,28.59513888888889,28.40416666666666,28.224305555555574,28.03125000000001,27.837499999999995,26.84722222222224,26.663888888888913,26.504861111111122,26.07083333333334,25.87638888888889,25.684027777777786
2016-11-02,171.10416666666666,174.90277777777774,138.2027972027972,137.95138888888889,94.25694444444444,23.440972222222232,23.26597222222221,23.09791666666667,21.957638888888887,21.83958333333334,21.709722222222233,22.04545454545455,21.908391608391614,21.783916083916093,20.43888888888889,20.327777777777786,20.222916666666674,18.031944444444445,17.887499999999992,17.765972222222224
2016-06-24,353.4071428571428,351.8561151079136,341.35714285714283,353.645390070922,348.48226950354615,26.71388888888889,26.484722222222214,26.25833333333333,26.90555555555556,26.663888888888888,26.44236111111111,27.37777777777778,27.17222222222223,26.97569444444445,27.049999999999994,26.86041666666668,26.66041666666668,27.05694444444445,26.85625000000001,26.661111111111087
2019-09-23,117.99115044247787,34.57831325301205,57.396039603960396,47.38947368421053,36.12048192771084,26.187499999999986,26.078472222222203,25.973611111111087,25.48680555555556,25.3361111111111,25.18541666666665,24.35833333333333,24.202777777777786,24.043055555555558,24.93333333333333,24.77013888888888,24.63750000000001,25.01736111111111,24.86180555555555,24.71319444444444
2016-12-08,110.38888888888887,121.16666666666669,127.9375,61.861111111111114,128.30555555555554,15.383333333333333,15.25902777777778,15.129861111111117,16.131944444444443,16.003472222222214,15.894444444444439,15.192361111111104,15.061111111111117,14.926388888888884,14.88680555555555,14.757638888888893,14.624305555555553,12.90972222222223,12.740972222222226,12.574305555555556
2018-03-17,233.72916666666663,234.59722222222226,172.36805555555554,270.9583333333333,215.75694444444446,14.660416666666665,14.459027777777765,14.263888888888884,16.551388888888898,16.381249999999994,16.209722222222226,14.662499999999998,14.49097222222222,14.334722222222226,15.01014492753623,14.827536231884062,14.671739130434785,20.291474062920308,20.12335203309761,19.960080866609665
2018-11-20,88.66666666666669,161.13888888888889,139.24305555555554,130.17361111111111,154.31944444444446,17.152777777777768,17.024305555555557,16.899999999999995,17.047222222222207,16.89791666666666,16.745138888888906,19.740277777777774,19.632638888888877,19.525694444444433,20.702777777777776,20.55138888888888,20.4125,19.220567375886517,19.05248226950353,18.88936170212766
2016-02-19,189.5,192.4930555555556,191.11111111111111,191.52777777777771,154.34722222222226,19.39444444444443,19.169444444444444,18.954166666666666,19.03521126760564,18.807746478873245,18.597183098591547,21.488194444444453,21.29861111111111,21.118055555555557,22.120833333333348,21.940277777777766,21.766666666666666,20.11944444444443,19.865277777777774,19.612499999999983
2017-01-12,80.64583333333333,28.847222222222214,125.60416666666669,128.84722222222223,135.73611111111111,12.002777777777775,11.89930555555556,11.799305555555556,9.261111111111113,9.171527777777778,9.088194444444444,9.156249999999996,8.988888888888887,8.820138888888888,11.897222222222226,11.717361111111117,11.536805555555553,12.604861111111108,12.476388888888884,12.34444444444444
2016-08-28,214.6805555555556,276.21527777777777,280.375,255.97222222222226,273.6875,26.89583333333333,26.76250000000001,26.62430555555556,26.68125000000001,26.54166666666667,26.405555555555548,26.56388888888891,26.411805555555553,26.25555555555555,26.56805555555555,26.41180555555555,26.260416666666657,26.511805555555558,26.34652777777778,26.199305555555547
2019-09-15,270.34027777777777,269.6805555555556,263.25,207.46527777777771,235.00694444444446,25.44027777777778,25.27083333333333,25.10833333333334,25.351388888888888,25.189583333333324,25.038888888888888,25.285416666666674,25.149999999999995,25.007638888888888,25.270833333333353,25.095833333333324,24.936805555555555,24.53333333333335,24.36180555555556,24.181249999999995
2018-03-19,172.36805555555554,215.75694444444446,270.9583333333333,260.19444444444446,233.70138888888889,14.662499999999998,14.49097222222222,14.334722222222226,15.01014492753623,14.827536231884062,14.671739130434785,20.291474062920308,20.12335203309761,19.960080866609665,20.291474062920308,20.12335203309761,19.960080866609665,20.291474062920308,20.12335203309761,19.960080866609665
2018-03-29,218.8333333333333,275.34027777777777,277.40972222222223,178.39583333333337,106.74305555555556,20.291474062920308,20.12335203309761,19.960080866609665,20.291474062920308,20.12335203309761,19.960080866609665,20.291474062920308,20.12335203309761,19.960080866609665,24.156321839080466,23.92758620689654,23.66896551724138,17.049999999999994,16.869444444444447,16.70347222222223
2018-08-21,322.625,265.7013888888889,289.0625,290.0833333333333,307.2291666666667,25.72361111111111,25.57638888888891,25.419444444444466,25.81041666666666,25.652777777777768,25.48333333333334,25.772222222222208,25.597916666666666,25.43055555555555,25.653472222222234,25.48333333333333,25.32083333333334,25.570138888888877,25.40208333333334,25.23402777777777
2017-08-01,313.9861111111111,331.7569444444445,329.1736111111111,338.3680555555556,338.97202797202794,26.84722222222224,26.663888888888913,26.504861111111122,26.07083333333334,25.87638888888889,25.684027777777786,25.86111111111112,25.668055555555558,25.48263888888889,26.57777777777777,26.372222222222234,26.18125000000001,27.57291666666666,27.388194444444434,27.20625
2017-11-04,115.75694444444444,162.49305555555554,149.14583333333334,131.47222222222223,150.15972222222226,20.691666666666688,20.55069444444445,20.41597222222222,19.97222222222221,19.790277777777774,19.616666666666667,18.67638888888889,18.48750000000001,18.319444444444443,18.04861111111112,17.89375,17.747916666666665,18.720138888888886,18.550694444444453,18.383333333333336
2016-02-21,191.11111111111111,154.34722222222226,191.52777777777771,75.63380281690141,130.11111111111111,21.488194444444453,21.29861111111111,21.118055555555557,22.120833333333348,21.940277777777766,21.766666666666666,20.11944444444443,19.865277777777774,19.612499999999983,16.009027777777774,15.919444444444444,15.823611111111104,14.124647887323935,14.004225352112673,13.88309859154928
2018-01-06,79.60416666666667,109.60416666666669,49.36805555555557,115.84027777777777,21.63194444444445,15.43888888888889,15.332638888888884,15.237500000000002,14.378472222222214,14.229166666666664,14.093750000000005,12.192361111111113,12.076388888888884,11.953472222222222,11.66527777777778,11.520138888888884,11.384722222222214,12.954861111111107,12.775,12.622222222222225
2018-05-11,206.34722222222226,151.88194444444446,290.7430555555556,312.8611111111111,296.4513888888889,20.833333333333325,20.639583333333334,20.447222222222226,18.099305555555546,17.967361111111092,17.829166666666666,18.91388888888889,18.752083333333328,18.600694444444454,21.44305555555556,21.226388888888884,21.023611111111126,20.551388888888894,20.38333333333334,20.230555555555547
2016-03-19,148.86805555555554,167.54861111111111,194.61111111111111,234.15277777777771,222.72222222222226,15.428472222222226,15.252777777777775,15.088194444444444,14.461111111111116,14.313888888888883,14.160416666666665,14.311111111111117,14.14166666666666,13.988194444444444,13.988888888888884,13.831249999999995,13.686111111111105,17.530555555555562,17.33194444444444,17.137500000000006
2016-08-19,303.5,303.5069444444445,252.00694444444446,308.8125,273.34722222222223,26.805555555555554,26.658333333333346,26.51944444444446,26.03541666666667,25.86319444444446,25.710416666666678,25.80763888888889,25.648611111111126,25.500694444444452,26.48125000000001,26.340277777777796,26.206944444444442,26.602777777777767,26.47569444444445,26.35069444444445
2019-06-22,254.1805555555556,344.25,335.6319444444445,329.5138888888889,344.1319444444445,23.64791666666667,23.50208333333334,23.359027777777786,23.81388888888889,23.61875000000001,23.429861111111126,23.92013888888891,23.75208333333333,23.59166666666667,23.93194444444445,23.747222222222234,23.56527777777778,23.96736111111112,23.790277777777785,23.61875000000001
2019-09-13,267.7430555555556,273.9930555555556,270.34027777777777,263.25,269.6805555555556,25.644444444444453,25.484027777777786,25.336111111111112,25.415972222222226,25.26319444444444,25.11180555555553,25.44027777777778,25.27083333333333,25.10833333333334,25.351388888888888,25.189583333333324,25.038888888888888,25.285416666666674,25.149999999999995,25.007638888888888
2017-10-22,209.03472222222226,199.96527777777771,171.63888888888889,191.6478873239436,187.73611111111111,23.38124999999999,23.15763888888889,22.968055555555573,25.49791666666668,25.336111111111126,25.1875,23.40208333333333,23.24444444444444,23.09652777777778,21.909027777777766,21.742361111111112,21.59236111111111,20.666197183098586,20.482394366197184,20.309859154929587
2017-02-27,185.69444444444446,200.97222222222226,207.97916666666663,197.54166666666663,208.81944444444446,13.234722222222222,13.090972222222225,12.949305555555556,13.117361111111107,12.952083333333334,12.796527777777774,16.06180555555555,15.877777777777775,15.702083333333334,16.529861111111092,16.327777777777786,16.127083333333328,18.981944444444444,18.788194444444443,18.60208333333334
2019-06-01,337.1549295774648,352.30281690140845,339.125,339.7083333333333,312.8611111111111,22.886805555555572,22.72291666666668,22.56944444444445,25.667361111111113,25.456944444444453,25.24930555555556,29.81944444444445,29.582638888888887,29.34791666666667,28.52847222222222,28.28124999999999,28.04652777777777,25.41666666666667,25.172916666666666,24.9215277777778
2017-08-21,268.44444444444446,298.2361111111111,304.1666666666667,261.4861111111111,288.5833333333333,25.904166666666665,25.71180555555555,25.52361111111113,25.98333333333333,25.788888888888877,25.616666666666664,26.184027777777768,25.98958333333334,25.80694444444445,26.363194444444428,26.17430555555556,26.01250000000001,26.129166666666666,25.97083333333333,25.820138888888913
2019-02-17,204.44444444444446,105.66666666666669,75.24305555555556,194.8958333333333,68.6111111111111,14.886111111111104,14.747222222222213,14.597222222222214,13.10069444444444,12.891666666666666,12.705555555555556,10.121527777777779,9.95763888888889,9.809722222222222,10.96805555555556,10.804166666666667,10.65625,11.498611111111105,11.290277777777774,11.08472222222222
2016-08-06,320.07692307692315,320.1319444444445,328.5069444444445,280.4513888888889,313.3055555555556,27.836805555555554,27.67152777777777,27.502777777777766,26.90625,26.746527777777786,26.574305555555572,26.56388888888889,26.41875000000001,26.278472222222234,26.62222222222222,26.47361111111111,26.335416666666678,26.67777777777778,26.519444444444453,26.36944444444445
2016-12-29,65.43055555555556,61.13888888888889,30.50694444444445,100.06944444444444,112.79861111111113,10.343749999999998,10.205555555555554,10.06388888888889,11.542361111111116,11.414583333333326,11.292361111111108,9.052777777777775,8.920833333333334,8.787500000000001,10.660416666666666,10.468749999999996,10.297916666666673,11.829861111111116,11.710416666666667,11.583333333333336
2017-01-09,113.1875,139.40277777777777,118.375,28.847222222222214,80.64583333333333,12.573611111111116,12.432638888888883,12.286111111111117,12.702777777777774,12.590277777777779,12.470138888888881,13.524305555555555,13.36180555555555,13.20486111111112,12.002777777777775,11.89930555555556,11.799305555555556,9.261111111111113,9.171527777777778,9.088194444444444
2017-08-19,307.2916666666667,308.3333333333333,268.44444444444446,304.1666666666667,298.2361111111111,26.60000000000001,26.45833333333334,26.302777777777766,26.132638888888877,25.95000000000001,25.77083333333333,25.904166666666665,25.71180555555555,25.52361111111113,25.98333333333333,25.788888888888877,25.616666666666664,26.184027777777768,25.98958333333334,25.80694444444445
2016-02-02,129.45138888888889,144.55244755244757,169.1818181818182,117.05555555555556,133.96527777777777,9.829166666666673,9.632638888888888,9.453472222222224,10.868055555555555,10.727777777777773,10.587499999999997,12.40555555555556,12.250000000000002,12.106944444444444,12.819444444444445,12.636805555555561,12.459722222222226,13.490972222222233,13.31875,13.16041666666667
2018-04-18,305.25,304.5555555555556,316.4305555555556,298.8611111111111,299.5625,19.318750000000005,19.15,18.956250000000008,18.74305555555555,18.554166666666678,18.36597222222223,18.751388888888886,18.53958333333333,18.338888888888885,21.54861111111112,21.29722222222223,21.077083333333327,24.82569444444445,24.565972222222207,24.309027777777786
