,TD_tomorrow
2017-03-03,13.347916666666665
2018-12-23,14.789583333333333
2017-10-30,20.55069444444445
2017-07-26,28.03125000000001
2016-04-25,26.96875
2016-02-13,16.04236111111112
2016-07-03,25.845138888888894
2017-12-08,12.940277777777775
2016-03-08,22.07777777777779
2019-03-04,13.33958333333333
2016-03-17,13.831249999999995
2017-03-06,15.022916666666665
2018-07-19,25.85902777777779
2019-07-03,25.37777777777778
2017-06-22,23.46388888888889
2016-06-12,24.530555555555548
2017-11-24,16.381944444444457
2016-07-27,26.179861111111126
2018-07-23,27.363194444444442
2017-12-22,19.437500000000004
2017-02-24,15.877777777777775
2017-07-29,25.668055555555558
2016-11-02,18.28819444444445
2016-06-24,26.896527777777766
2019-09-23,23.58125
2016-12-08,10.731944444444443
2018-03-17,20.12335203309761
2018-11-20,18.693750000000005
2016-02-19,15.919444444444444
2017-01-12,12.483333333333327
2016-08-28,26.215972222222234
2019-09-15,24.841428571428576
2018-03-19,20.12335203309761
2018-03-29,14.894444444444444
2018-08-21,25.956250000000008
2017-08-01,27.041228070175446
2017-11-04,18.62430555555557
2016-02-21,13.010416666666664
2018-01-06,12.779166666666665
2018-05-11,19.528472222222238
2016-03-19,15.982638888888893
2016-08-19,26.700694444444434
2019-06-22,24.54444444444445
2019-09-13,25.095833333333324
2017-10-22,20.126388888888886
2017-02-27,19.125
2019-06-01,24.39236111111112
2017-08-21,26.219444444444445
2019-02-17,10.391428571428564
2016-08-06,26.761805555555547
2016-12-29,12.07847222222222
2017-01-09,8.988888888888887
2017-08-19,26.17430555555556
2016-02-02,13.708450704225347
2018-04-18,20.697916666666664
2017-07-24,27.371527777777768
2017-02-14,8.892361111111107
2018-04-19,18.225694444444443
2019-05-11,20.57916666666668
2018-02-09,19.122222222222213
2016-04-11,15.590277777777779
2018-03-09,14.82847222222222
2016-09-04,25.068750000000016
2019-09-25,23.931249999999984
2016-12-24,10.205555555555554
2016-12-27,10.468749999999996
2016-06-17,26.261111111111113
2017-09-23,20.12335203309761
2019-04-07,19.03680555555556
2017-08-14,26.45833333333334
2019-08-18,25.32500000000001
2017-11-26,16.74722222222223
2017-12-31,11.431944444444447
2019-05-30,28.28124999999999
2016-12-10,14.832638888888892
2016-09-22,24.43125
2019-07-06,25.855395683453235
2019-01-06,10.794444444444439
2018-11-21,17.852083333333336
2016-03-04,15.78541666666667
2016-10-24,21.685915492957765
2017-06-11,22.644444444444453
2016-10-04,23.29861111111111
2017-01-25,13.085416666666667
2016-02-14,19.169444444444444
2018-02-13,13.234027777777786
2019-02-02,13.138888888888884
2018-08-06,25.85625000000001
2017-12-15,15.562500000000005
2016-10-23,21.977083333333322
2017-04-26,18.990909090909078
2017-10-11,20.986111111111104
2019-03-20,16.045833333333334
2019-05-07,16.82916666666666
