,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-West,East,North,South-East,West,South
2019-03-03,5.829861111111109,243.30555555555554,4.077083333333332,10.238888888888885,15.08958333333334,38.50694444444444,15.356250000000001,14.826388888888886,,,,5.04097222222222,4.3888888888888875,1165.6319444444443,0.0,0,0,1,0,0,0,0,0
2019-03-04,4.8611111111111125,212.16666666666666,3.277083333333331,12.199305555555556,16.305555555555557,39.1875,16.522222222222222,16.072916666666664,,,,4.241666666666669,3.5965277777777778,1181.3819444444443,0.0,0,0,1,0,0,0,0,0
2019-03-05,3.302083333333334,188.93055555555554,2.229861111111111,10.304861111111116,13.515972222222226,69.56944444444444,13.691666666666672,13.35763888888889,,,,2.8979166666666654,2.461805555555555,1182.2222222222222,0.0,0,1,0,0,0,0,0,0
2019-03-06,3.0972222222222228,122.72916666666667,1.931250000000001,12.03472222222222,14.681944444444447,65.0625,14.876388888888894,14.496527777777784,,,,2.6381944444444447,2.1499999999999995,1181.7152777777778,0.0,0,1,0,0,0,0,0,0
2019-03-07,3.3861111111111097,151.27083333333334,2.0243055555555562,14.918749999999996,14.618749999999997,61.0,14.825000000000005,14.420138888888895,,,,2.8562499999999993,2.252777777777778,1164.9305555555557,0.0,0,1,0,0,0,0,0,0
2019-03-08,3.449999999999999,115.65972222222223,2.1111111111111107,15.388888888888882,15.834722222222227,54.71527777777778,16.040972222222223,15.643055555555556,,,,2.9479166666666674,2.357638888888888,1181.3333333333333,0.0,0,1,0,0,0,0,0,0
2019-03-09,3.380555555555554,107.02777777777777,2.256250000000001,11.134722222222225,14.44583333333333,47.375,14.684027777777768,14.218055555555551,,,,2.904861111111111,2.4506944444444434,1182.6944444444443,0.0,0,1,0,0,0,0,0,0
2019-03-10,3.8319444444444457,137.10416666666666,2.511805555555555,13.728472222222226,15.74097222222222,50.111111111111114,15.922222222222224,15.55833333333333,,,,3.287500000000001,2.7652777777777775,1166.0625,0.0,0,1,0,0,0,0,0,0
2019-03-11,3.2729166666666654,134.3125,2.060416666666667,13.638194444444444,14.37430555555555,58.03472222222222,14.579166666666667,14.170833333333333,,,,2.8368055555555545,2.296527777777778,1166.0069444444443,0.0,0,1,0,0,0,0,0,0
2019-03-12,2.847916666666667,140.04861111111111,1.881249999999999,11.247916666666667,15.220138888888885,54.9375,15.448611111111111,14.995833333333334,,,,2.484722222222223,2.086111111111111,1183.173611111111,0.0,0,1,0,0,0,0,0,0
