,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,South,West,South-East,North-East,North,East
2019-04-01,3.3034722222222226,221.40277777777777,1.361805555555556,28.735416666666676,11.993055555555554,96.69444444444444,12.087499999999999,11.896527777777779,97.41666666666667,,,2.2312499999999997,1.5694444444444446,1181.7430555555557,,0,1,0,0,0,0,0,0
2019-04-02,2.6333333333333333,214.49305555555554,1.1736111111111118,21.467361111111117,13.81527777777777,83.43055555555556,13.949999999999998,13.679166666666667,201.375,,,1.9097222222222223,1.3638888888888898,1182.7083333333333,,0,1,0,0,0,0,0,0
2019-04-03,2.090972222222223,223.6875,1.001388888888889,22.75763888888889,13.908391608391607,77.62937062937063,14.07762237762238,13.747552447552447,266.2013888888889,,,1.634722222222222,1.174305555555555,1181.423611111111,0.0,0,1,0,0,0,0,0,0
2019-04-04,2.6215277777777795,223.34722222222223,1.2173611111111111,26.72083333333334,16.062499999999996,69.55555555555556,16.24861111111111,15.892361111111107,246.48611111111111,,,1.9604166666666663,1.4118055555555558,1183.125,0.0,0,1,0,0,0,0,0,0
2019-04-05,3.2749999999999995,237.59027777777777,1.4833333333333334,28.129166666666666,16.043055555555554,82.22916666666667,16.195833333333333,15.906944444444443,222.31944444444446,,,2.341666666666667,1.6756944444444453,1182.5347222222222,0.0,0,1,0,0,0,0,0,0
2019-04-06,2.029166666666666,213.85416666666666,1.0375,21.279861111111117,15.886805555555561,77.68055555555556,16.013888888888893,15.762499999999998,140.38194444444446,,,1.6159722222222228,1.215277777777778,1166.0069444444443,0.0,0,1,0,0,0,0,0,0
2019-04-07,2.8215277777777783,212.06944444444446,1.3381944444444442,25.95208333333332,19.402777777777786,63.96527777777778,19.600694444444446,19.220138888888883,262.5763888888889,,,2.082638888888889,1.5395833333333329,1182.6180555555557,0.0006944444444444445,0,1,0,0,0,0,0,0
2019-04-08,3.338194444444444,245.04861111111111,1.5923611111111111,24.071527777777785,19.277777777777782,67.63888888888889,19.44305555555556,19.10416666666667,281.65277777777777,,,2.3618055555555557,1.7750000000000006,1181.638888888889,0.0,0,1,0,0,0,0,0,0
2019-04-09,3.508333333333333,234.61111111111111,1.6055555555555554,24.535416666666666,18.22777777777779,72.83333333333333,18.40902777777779,18.050694444444453,285.19444444444446,,,2.4909722222222204,1.8243055555555554,1165.8333333333333,0.0,0,1,0,0,0,0,0,0
2019-04-10,3.526388888888891,229.11805555555554,1.5909722222222213,24.098611111111108,15.697916666666664,75.38888888888889,15.887500000000001,15.528472222222225,229.15972222222223,,,2.4541666666666653,1.784722222222223,1166.4027777777778,0.0,0,1,0,0,0,0,0,0
2019-04-11,3.325694444444444,226.72916666666666,1.501388888888889,26.836111111111123,15.054166666666665,74.52083333333333,15.227083333333338,14.878472222222225,269.06944444444446,,,2.374305555555556,1.696527777777779,1165.2291666666667,0.0,0,1,0,0,0,0,0,0
2019-04-12,2.421527777777778,197.60416666666666,1.0902777777777775,25.433333333333326,16.939583333333335,71.09027777777777,17.136111111111113,16.753472222222232,299.4236111111111,,,1.8555555555555554,1.295833333333334,1166.4444444444443,0.0,0,1,0,0,0,0,0,0
2019-04-13,2.9840277777777775,179.96527777777777,1.5027777777777762,21.253472222222218,21.022222222222226,52.15972222222222,21.215972222222224,20.82083333333333,294.03472222222223,,,2.293055555555556,1.7055555555555542,1182.361111111111,0.0,0,1,0,0,0,0,0,0
2019-04-14,5.663194444444447,233.11805555555554,2.5784722222222225,27.783333333333346,18.892361111111114,64.54166666666667,19.05763888888888,18.734722222222224,232.69444444444446,,,3.744444444444445,2.8069444444444454,1167.1458333333333,0.0,0,1,0,0,0,0,0,0
2019-04-15,2.0888888888888895,215.125,0.9784722222222223,22.43402777777778,15.386111111111108,88.45138888888889,15.50277777777777,15.268749999999995,113.79166666666667,,,1.5937500000000002,1.1715277777777782,1182.6875,0.013888888888888888,0,1,0,0,0,0,0,0
2019-04-16,2.956944444444444,249.05555555555554,1.3916666666666666,23.01388888888887,15.951388888888895,83.90277777777777,16.10833333333333,15.802777777777777,216.18055555555554,,,2.171527777777778,1.5972222222222223,1164.8680555555557,0.013194444444444444,0,1,0,0,0,0,0,0
2019-04-17,4.28611111111111,224.40972222222223,1.9270833333333337,24.143749999999994,15.247222222222215,81.30555555555556,15.418055555555554,15.073611111111111,263.46527777777777,,,2.9187500000000006,2.15625,1183.2916666666667,0.006250000000000001,0,1,0,0,0,0,0,0
2019-04-18,3.572222222222222,221.15972222222223,1.6124999999999996,20.866666666666667,15.111805555555557,73.13888888888889,15.295833333333336,14.924305555555557,297.7291666666667,,,2.4895833333333335,1.822916666666667,1181.7708333333333,0.0,0,1,0,0,0,0,0,0
2019-04-19,4.992361111111113,243.20833333333334,2.201388888888888,21.969444444444445,13.338194444444444,80.80555555555556,13.563888888888892,13.111805555555557,234.04166666666666,,,3.24513888888889,2.447222222222222,1183.0,0.018750000000000003,0,1,0,0,0,0,0,0
2019-04-20,4.338888888888891,219.96527777777777,1.9118055555555553,22.74722222222222,14.502777777777773,76.66666666666667,14.680555555555562,14.320138888888891,234.76388888888889,,,2.8451388888888878,2.090972222222222,1181.6527777777778,0.006944444444444446,0,1,0,0,0,0,0,0
2019-04-21,5.261111111111109,253.06944444444446,2.3708333333333322,21.801388888888887,11.689583333333333,76.375,11.861111111111116,11.53611111111112,180.1875,,,3.548611111111111,2.6500000000000004,1182.298611111111,0.05486111111111111,0,1,0,0,0,0,0,0
2019-04-22,4.461805555555556,241.75694444444446,2.1013888888888883,19.94375,12.643749999999999,78.35416666666667,12.827083333333329,12.471527777777773,154.75,,,3.0374999999999996,2.313194444444444,1182.1041666666667,0.002777777777777778,0,1,0,0,0,0,0,0
2019-04-23,2.729166666666666,238.13888888888889,1.2138888888888892,25.438194444444438,14.274305555555552,74.63194444444444,14.450000000000005,14.088194444444445,285.22222222222223,,,2.039583333333334,1.4076388888888896,1181.9722222222222,0.0,0,1,0,0,0,0,0,0
2019-04-24,2.9506944444444434,179.07638888888889,1.3548611111111106,24.950694444444434,17.196527777777778,63.354166666666664,17.388888888888882,16.99722222222222,297.84722222222223,,,2.1999999999999997,1.5666666666666658,1181.513888888889,0.0,1,0,0,0,0,0,0,0
2019-04-25,3.1034722222222215,204.21527777777777,1.4694444444444448,24.48125000000001,19.613888888888894,49.576388888888886,19.80902777777778,19.41666666666667,295.09027777777777,,,2.2986111111111107,1.6645833333333342,1182.4722222222222,0.0,0,1,0,0,0,0,0,0
2019-04-26,2.899999999999997,180.72222222222223,1.3687499999999997,23.677777777777774,21.322916666666668,46.3125,21.5125,21.13541666666667,303.55555555555554,,,2.191666666666667,1.5729166666666672,1165.4583333333333,0.0,0,1,0,0,0,0,0,0
2019-04-27,2.738194444444445,193.29166666666666,1.380555555555555,20.869444444444447,21.084722222222215,44.34722222222222,21.273611111111116,20.904861111111117,218.85416666666666,,,2.1166666666666676,1.578472222222223,1183.048611111111,0.0,0,1,0,0,0,0,0,0
