,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,West,South-West,East,North-West,North-East,North,South,South-East
2019-04-01,,,,,13.887500000000003,80.53472222222223,13.97430555555556,13.799305555555549,,,,,,,0.049999999999999996,1,0,0,0,0,0,0,0,0
2019-04-02,,,,,14.475000000000003,75.19444444444444,14.593749999999996,14.368750000000002,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-03,,,,,14.908333333333339,72.63194444444444,15.037499999999994,14.778472222222227,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-04,,,,,15.211805555555552,82.77777777777777,15.32986111111111,15.104861111111113,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-05,,,,,15.434722222222222,82.82638888888889,15.556944444444436,15.321527777777767,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-06,,,,,17.278472222222202,74.50694444444444,17.393055555555545,17.143749999999986,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-07,,,,,21.242361111111112,55.61805555555556,21.39375,21.09791666666666,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-08,,,,,18.137499999999996,79.77083333333333,18.282638888888883,18.006249999999987,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-09,,,,,18.457638888888887,74.02777777777777,18.606250000000003,18.32013888888889,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-10,,,,,15.974305555555556,75.71527777777777,16.107638888888886,15.851388888888884,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-11,,,,,15.568055555555567,71.73611111111111,15.699305555555558,15.432638888888883,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-12,,,,,16.709722222222226,77.84722222222223,16.856944444444437,16.57222222222221,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-13,,,,,19.049999999999997,73.70833333333333,19.197222222222223,18.889583333333334,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-14,,,,,19.845138888888897,59.923611111111114,19.973611111111115,19.72152777777778,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-15,,,,,16.46458333333335,83.22222222222223,16.5451388888889,16.375000000000007,,,,,,,0.005555555555555555,1,0,0,0,0,0,0,0,0
2019-04-16,,,,,16.988194444444453,80.15277777777777,17.10416666666668,16.86666666666666,,,,,,,0.006944444444444446,1,0,0,0,0,0,0,0,0
2019-04-17,,,,,16.375694444444445,75.95833333333333,16.51805555555555,16.245138888888892,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-18,,,,,15.792361111111113,69.90277777777777,15.925694444444439,15.65555555555555,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-19,,,,,15.854861111111104,67.02777777777777,15.9736111111111,15.731944444444443,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-20,,,,,15.808333333333344,67.95138888888889,15.931250000000002,15.68819444444446,,,,,,,0.0006944444444444445,1,0,0,0,0,0,0,0,0
2019-04-21,,,,,15.500694444444443,52.06944444444444,15.639583333333333,15.366666666666667,,,,,,,0.004166666666666667,1,0,0,0,0,0,0,0,0
2019-04-22,,,,,14.86597222222222,59.708333333333336,15.038888888888899,14.707638888888887,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-23,,,,,14.799999999999995,67.79861111111111,14.944444444444445,14.663888888888891,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-24,,,,,17.584027777777788,59.65277777777778,17.763888888888886,17.40972222222223,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-25,,,,,19.045138888888886,57.05555555555556,19.202777777777783,18.88541666666668,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-26,,,,,20.165277777777774,58.50694444444444,20.327777777777783,19.99999999999999,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-27,,,,,19.485416666666662,69.54166666666667,19.632638888888888,19.331944444444446,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-28,,,,,19.31458333333333,75.98611111111111,19.443055555555567,19.176388888888894,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-29,,,,,23.025000000000002,45.798611111111114,23.200000000000003,22.85694444444444,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-30,,,,,20.857638888888893,69.29166666666667,21.02708333333333,20.69236111111112,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-01,,,,,24.011888111888105,52.58741258741259,24.2020979020979,23.83076923076923,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-02,,,,,23.07152777777779,63.31944444444444,23.268055555555563,22.87013888888891,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-03,,,,,19.459027777777774,78.95138888888889,19.590277777777786,19.32847222222223,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-04,,,,,18.047222222222224,72.67361111111111,18.19375,17.908333333333335,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-05,,,,,20.121527777777782,69.24305555555556,20.297916666666662,19.948611111111106,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-06,,,,,24.028671328671305,57.18181818181818,24.272027972027956,23.809790209790204,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-07,,,,,19.653472222222227,69.96527777777777,19.767361111111104,19.535416666666666,,,,,,,0.0,1,0,0,0,0,0,0,0,0
