,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,South,West,South-East,North-East,North,East
2019-04-22,5.475694444444444,215.26388888888889,3.2715277777777776,17.047916666666666,14.910416666666666,73.78472222222223,15.101388888888891,14.713194444444447,178.80555555555554,,,4.297222222222224,3.6187499999999986,1182.1875,0.0,0,1,0,0,0,0,0,0
2019-04-23,3.4236111111111116,201.68055555555554,2.076388888888889,19.72291666666667,16.729861111111106,74.96527777777777,16.943055555555556,16.535416666666677,301.3125,,,2.8034722222222217,2.3097222222222227,1165.423611111111,0.0,0,1,0,0,0,0,0,0
2019-04-24,3.493055555555556,216.79861111111111,2.319444444444444,13.659722222222229,19.296527777777776,67.82638888888889,19.484722222222228,19.108333333333338,299.4583333333333,,,2.854166666666667,2.509027777777778,1166.1875,0.0,0,1,0,0,0,0,0,0
2019-04-25,2.978472222222223,206.59027777777777,1.938194444444444,15.174305555555557,21.197222222222226,55.729166666666664,21.404166666666658,20.992361111111116,299.0625,,,2.4999999999999996,2.160416666666665,1166.7569444444443,0.0,0,1,0,0,0,0,0,0
2019-04-26,3.269444444444447,171.34722222222223,2.0451388888888884,14.818055555555556,22.54722222222221,54.666666666666664,22.763194444444448,22.350694444444443,305.9166666666667,,,2.644444444444444,2.2305555555555556,1182.326388888889,0.0,1,0,0,0,0,0,0,0
2019-04-27,2.7298611111111106,192.28472222222223,1.6604166666666669,16.488888888888894,22.212500000000002,54.88194444444444,22.42708333333333,22.023611111111098,209.65277777777777,,,2.2187499999999987,1.8625000000000003,1182.5694444444443,0.0,0,1,0,0,0,0,0,0
2019-04-28,3.4111111111111097,207.56944444444446,2.2729166666666654,14.611111111111105,22.002777777777776,55.576388888888886,22.204861111111107,21.79583333333334,322.1111111111111,,,2.8541666666666674,2.4618055555555554,1166.0416666666667,0.0,0,1,0,0,0,0,0,0
2019-04-29,2.519444444444446,155.22222222222223,1.6388888888888886,16.706249999999997,22.57361111111112,57.40277777777778,22.77152777777778,22.375694444444438,297.875,,,2.115972222222222,1.8236111111111117,1181.9305555555557,0.0,1,0,0,0,0,0,0,0
2019-04-30,3.5715277777777774,185.64583333333334,2.225694444444445,15.392361111111114,23.86874999999999,54.03472222222222,24.070833333333333,23.677083333333325,250.91666666666666,,,2.8923611111111107,2.474305555555556,1165.7847222222222,0.0,0,1,0,0,0,0,0,0
2019-05-01,2.7401408450704223,152.24647887323943,1.8091549295774647,14.658450704225352,23.47957746478874,61.436619718309856,23.66760563380281,23.270422535211267,298.17605633802816,,,2.2605633802816896,1.990845070422536,1160.2042253521126,0.0,1,0,0,0,0,0,0,0
2019-05-02,3.5944444444444446,190.625,2.047916666666666,22.165277777777774,26.687499999999996,47.65972222222222,26.92847222222221,26.457638888888873,180.25,,,2.979861111111112,2.435416666666667,1166.8333333333333,0.0,0,1,0,0,0,0,0,0
2019-05-03,5.080555555555556,215.23611111111111,3.1881944444444446,16.974999999999994,22.698611111111106,58.65972222222222,22.89930555555555,22.51527777777777,265.47222222222223,,,4.105555555555553,3.488888888888889,1182.4444444444443,0.0,0,1,0,0,0,0,0,0
2019-05-04,4.76388888888889,214.86111111111111,2.962499999999999,16.189583333333342,20.996527777777775,71.34722222222223,21.189583333333324,20.8,321.15972222222223,,,3.8388888888888895,3.2562499999999996,1183.9930555555557,0.0,0,1,0,0,0,0,0,0
2019-05-05,3.052083333333332,148.69444444444446,2.090972222222222,12.887499999999996,23.23194444444444,60.18055555555556,23.453472222222224,22.99444444444445,323.38194444444446,,,2.602083333333334,2.3048611111111104,1182.6527777777778,0.0,1,0,0,0,0,0,0,0
2019-05-06,4.02307692307692,198.08391608391608,2.379720279720279,18.339860139860146,26.824475524475538,40.38461538461539,27.03076923076923,26.60559440559441,213.13286713286712,,,3.265034965034965,2.739860139860139,1178.6643356643356,0.0,0,1,0,0,0,0,0,0
2019-05-07,5.263194444444447,258.74305555555554,3.0347222222222214,18.87152777777777,22.488194444444456,61.395833333333336,22.646527777777784,22.321527777777774,261.75694444444446,,,4.121527777777777,3.364583333333334,1182.0555555555557,0.0,0,1,0,0,0,0,0,0
2019-05-08,4.781249999999999,193.91666666666666,3.0131944444444443,15.461805555555559,19.904166666666665,68.80555555555556,20.079861111111107,19.728472222222226,237.28472222222223,,,3.873611111111111,3.3048611111111112,1182.2569444444443,0.0,0,1,0,0,0,0,0,0
2019-05-09,4.962142857142855,196.27857142857144,3.0914285714285703,16.943571428571428,19.272142857142867,66.9,19.461428571428566,19.090714285714284,297.24285714285713,,,3.998571428571428,3.3299999999999996,1162.857142857143,0.0,0,1,0,0,0,0,0,0
2019-05-10,4.532638888888886,196.86111111111111,2.8868055555555556,14.756250000000001,19.101388888888895,66.47916666666667,19.294444444444448,18.92777777777779,316.50694444444446,,,3.720138888888887,3.156944444444444,1180.9305555555557,0.0,0,1,0,0,0,0,0,0
2019-05-11,3.104166666666666,201.43055555555554,2.0472222222222225,14.776388888888883,20.55902777777778,59.361111111111114,20.7548611111111,20.35694444444444,342.3263888888889,,,2.5854166666666645,2.247222222222223,1182.0555555555557,0.0,0,1,0,0,0,0,0,0
2019-05-12,3.436111111111112,159.70138888888889,2.215277777777778,14.284722222222225,24.264583333333334,49.1875,24.496527777777782,24.03194444444445,337.94444444444446,,,2.784722222222222,2.4270833333333335,1181.2777777777778,0.0,1,0,0,0,0,0,0,0
2019-05-13,3.3500000000000005,198.52777777777777,2.243750000000001,12.576388888888886,25.18819444444443,41.041666666666664,25.447222222222216,24.93680555555556,342.71527777777777,,,2.789583333333333,2.455555555555556,1165.3194444444443,0.0,0,1,0,0,0,0,0,0
2019-05-14,3.1798611111111117,153.54166666666666,2.040277777777778,13.438194444444445,25.971527777777776,39.583333333333336,26.23055555555556,25.734027777777786,342.34027777777777,,,2.604166666666666,2.26875,1165.8819444444443,0.0,1,0,0,0,0,0,0,0
