,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,East,North-East,North,West,South
2019-02-15,10.537500000000001,209.15277777777777,6.454166666666669,11.380555555555555,13.377777777777775,54.65972222222222,13.516666666666659,13.247916666666665,,,,8.361111111111114,6.868055555555557,1181.3541666666667,0.044444444444444446,0,0,1,0,0,0,0,0
2019-02-16,7.120138888888885,208.72916666666666,4.570833333333333,11.466666666666665,12.915972222222221,76.55555555555556,13.035416666666666,12.80069444444444,,,,5.816666666666671,4.929861111111112,1165.5902777777778,0.04583333333333333,0,0,1,0,0,0,0,0
2019-02-17,3.7215277777777778,166.20833333333334,2.5736111111111106,9.743749999999993,12.234722222222222,70.1875,12.362500000000004,12.110416666666666,,,,3.2013888888888893,2.7500000000000018,1167.013888888889,0.0,1,0,0,0,0,0,0,0
2019-02-18,3.697183098591547,182.16197183098592,2.3999999999999995,12.288028169014083,10.782394366197181,77.72535211267606,10.892957746478872,10.675352112676054,,,,3.1190140845070418,2.6211267605633806,1165.880281690141,0.007042253521126761,0,0,1,0,0,0,0,0
2019-02-19,3.3680555555555562,170.50694444444446,2.2625000000000015,11.056944444444444,11.518055555555554,82.98611111111111,11.618055555555554,11.42013888888889,,,,2.890972222222222,2.450694444444444,1165.6875,0.0006944444444444445,1,0,0,0,0,0,0,0
2019-02-20,3.082638888888889,195.50694444444446,2.0152777777777775,11.637500000000003,13.29583333333333,77.25694444444444,13.424305555555549,13.181249999999995,,,,2.604166666666667,2.1888888888888887,1165.3472222222222,0.0006944444444444445,0,0,1,0,0,0,0,0
2019-02-21,2.815277777777779,186.61111111111111,1.7097222222222215,14.719444444444441,12.722222222222221,74.38888888888889,12.850000000000001,12.60486111111111,,,,2.3534722222222215,1.8812499999999988,1166.5416666666667,0.0,0,0,1,0,0,0,0,0
2019-02-22,2.927777777777777,175.18055555555554,1.8756944444444446,14.991666666666665,12.299305555555552,75.99305555555556,12.44861111111111,12.152777777777775,,,,2.5215277777777785,2.0465277777777775,1165.513888888889,0.0,1,0,0,0,0,0,0,0
2019-02-23,2.9111111111111105,176.16666666666666,1.8770833333333325,13.875694444444447,12.754861111111113,75.61805555555556,12.902083333333332,12.625694444444441,,,,2.4652777777777795,2.059027777777778,1182.388888888889,0.0,1,0,0,0,0,0,0,0
2019-02-24,2.5180555555555553,165.77777777777777,1.677777777777778,13.62638888888889,13.265277777777778,71.47222222222223,13.403472222222227,13.122222222222222,,,,2.1576388888888896,1.8277777777777777,1165.625,0.0,1,0,0,0,0,0,0,0
2019-02-25,3.1916666666666655,123.30555555555556,2.0631944444444437,13.070833333333333,17.594444444444438,50.38194444444444,17.76805555555555,17.413194444444443,,,,2.6694444444444425,2.2152777777777763,1166.0416666666667,0.0,1,0,0,0,0,0,0,0
