,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,North,East,West,South,North-East
2019-05-26,6.150694444444444,205.6875,3.5291666666666655,27.888888888888896,21.18680555555555,58.52777777777778,21.521527777777774,20.86597222222223,,,,5.007638888888888,3.9388888888888878,1181.923611111111,0.0,0,0,1,0,0,0,0,0
2019-05-27,5.199305555555555,200.56944444444446,3.4173611111111133,20.84027777777779,23.121527777777768,61.59027777777778,23.409027777777784,22.81597222222223,,,,4.407638888888887,3.731250000000001,1182.0416666666667,0.0,0,0,1,0,0,0,0,0
2019-05-28,7.518750000000001,226.0625,4.969444444444445,21.904861111111117,25.629166666666663,56.916666666666664,25.94652777777778,25.316666666666663,,,,6.253472222222221,5.2749999999999995,1182.9027777777778,0.0,0,0,1,0,0,0,0,0
2019-05-29,8.184722222222222,238.25,5.90625,14.518055555555561,28.849305555555564,45.72222222222222,29.11944444444443,28.560416666666672,,,,6.928472222222221,6.150694444444444,1165.986111111111,0.0,0,0,1,0,0,0,0,0
2019-05-30,9.642361111111112,252.8125,6.812499999999999,16.14930555555555,33.793749999999996,15.131944444444445,34.07222222222221,33.539583333333326,,,,8.00902777777778,7.099999999999997,1181.7777777777778,0.0,0,0,1,0,0,0,0,0
2019-05-31,10.64444444444445,258.56944444444446,7.744444444444442,14.270138888888892,32.35763888888889,21.430555555555557,32.68819444444443,32.06180555555554,,,,9.038194444444443,8.083333333333329,1165.8472222222222,0.0,0,0,1,0,0,0,0,0
2019-06-01,7.934722222222224,228.28472222222223,5.29375,20.722222222222214,27.415972222222226,32.19444444444444,27.70277777777778,27.13263888888889,,,,6.612499999999999,5.691666666666666,1165.5,0.0,0,0,1,0,0,0,0,0
2019-06-02,7.854166666666665,205.72916666666666,5.158333333333335,21.171527777777783,25.66805555555557,51.458333333333336,26.01805555555556,25.32291666666667,,,,6.529861111111114,5.606944444444443,1166.4444444444443,0.0,0,0,1,0,0,0,0,0
2019-06-03,13.153472222222224,273.93055555555554,9.117361111111109,16.84791666666666,28.937499999999993,33.96527777777778,29.25069444444444,28.613888888888898,,,,10.86458333333333,9.506944444444441,1181.736111111111,0.0,0,0,1,0,0,0,0,0
2019-06-04,11.764583333333333,271.2291666666667,8.205555555555556,17.20208333333333,29.32013888888889,29.743055555555557,29.66319444444444,28.998611111111106,,,,9.822222222222223,8.625694444444445,1183.1875,0.0,0,0,1,0,0,0,0,0
2019-06-05,9.090972222222222,266.1736111111111,6.363194444444443,14.52430555555555,29.964539007092192,28.98581560283688,30.21843971631206,29.72411347517732,,,,7.70555555555555,6.726388888888889,1181.8055555555557,0.0,0,0,1,0,0,0,0,0
2019-06-06,9.108333333333327,281.875,6.113194444444442,18.888888888888886,29.23819444444444,32.81944444444444,29.561111111111114,28.94930555555558,,,,7.683333333333334,6.583333333333335,1165.7708333333333,0.0,0,1,0,0,0,0,0,0
2019-06-07,10.322916666666663,247.73611111111111,7.161111111111113,18.406249999999996,27.46874999999999,32.770833333333336,27.706250000000008,27.23055555555555,,,,8.678472222222219,7.572916666666668,1165.1041666666667,0.0,0,0,1,0,0,0,0,0
2019-06-08,7.918055555555556,225.25694444444446,4.788888888888891,25.42500000000001,24.918055555555544,62.90972222222222,25.21458333333333,24.656944444444445,,,,6.497916666666668,5.29861111111111,1181.5625,0.0,0,0,1,0,0,0,0,0
2019-06-09,5.631944444444445,222.53472222222223,3.3597222222222234,25.65486111111111,23.749305555555566,66.48611111111111,23.990972222222222,23.522222222222226,,,,4.62013888888889,3.6798611111111126,1166.2847222222222,0.0,0,0,1,0,0,0,0,0
2019-06-10,4.279166666666669,232.13194444444446,2.5569444444444445,18.766666666666676,24.90416666666668,40.638888888888886,25.181249999999995,24.632638888888877,,,,3.585416666666667,2.8402777777777772,1182.8819444444443,0.0,0,0,1,0,0,0,0,0
2019-06-11,5.435416666666665,232.13194444444446,3.2694444444444457,19.8986111111111,26.959027777777784,34.270833333333336,27.23055555555556,26.69374999999999,,,,4.429861111111111,3.580555555555555,1182.2152777777778,0.0,0,0,1,0,0,0,0,0
2019-06-12,6.3687499999999995,249.59027777777777,3.890277777777779,22.565277777777794,25.259722222222223,53.375,25.528472222222227,25.027777777777786,,,,5.1840277777777795,4.23611111111111,1166.5208333333333,0.0,0,0,1,0,0,0,0,0
2019-06-13,7.32361111111111,251.1875,4.848611111111111,17.975694444444443,22.46875,69.53472222222223,22.700694444444437,22.26041666666666,,,,6.199999999999999,5.181250000000002,1181.9791666666667,0.0,0,0,1,0,0,0,0,0
2019-06-14,7.595833333333333,268.9166666666667,5.028472222222222,18.33819444444445,22.996527777777786,69.51388888888889,23.224999999999987,22.765277777777758,,,,6.374305555555555,5.400694444444444,1182.2430555555557,0.0,0,1,0,0,0,0,0,0
2019-06-15,6.845138888888891,242.64583333333334,4.084722222222225,24.674305555555545,23.81666666666667,70.5625,24.03402777777778,23.61597222222223,,,,5.585416666666666,4.447916666666669,1165.1527777777778,0.0,0,0,1,0,0,0,0,0
2019-06-16,4.709722222222222,238.20833333333334,2.936805555555557,18.94236111111111,24.547916666666666,61.63194444444444,24.806250000000016,24.306944444444454,,,,3.912499999999999,3.2263888888888914,1181.5833333333333,0.0,0,0,1,0,0,0,0,0
2019-06-17,5.625694444444445,228.27777777777777,3.3611111111111103,20.08819444444445,23.975694444444443,64.63194444444444,24.255555555555553,23.68958333333333,,,,4.636111111111109,3.7229166666666678,1180.9652777777778,0.0,0,0,1,0,0,0,0,0
2019-06-18,6.056944444444443,268.2638888888889,3.602777777777779,20.93263888888889,23.502777777777776,70.63888888888889,23.760416666666668,23.242361111111116,,,,4.929166666666667,3.9041666666666663,1183.125,0.0,0,0,1,0,0,0,0,0
2019-06-19,4.878472222222224,248.91666666666666,2.659027777777778,22.792361111111106,23.477083333333336,67.82638888888889,23.736805555555545,23.241666666666664,,,,3.917361111111112,2.990972222222222,1182.8958333333333,0.0,0,0,1,0,0,0,0,0
