,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-West,North,East,West,South,South-East
2019-05-05,5.763194444444442,96.78472222222223,4.230555555555552,14.623611111111115,28.254166666666666,37.145833333333336,28.526388888888885,27.962499999999995,,,,5.071527777777775,4.49583333333333,1181.4097222222222,0.0,0,1,0,0,0,0,0,0
2019-05-06,4.207692307692308,139.76923076923077,2.690909090909091,23.34125874125874,30.791608391608392,26.657342657342657,31.148951048951062,30.41118881118881,,,,3.7034965034965044,3.1090909090909102,1178.923076923077,0.0,0,1,0,0,0,0,0,0
2019-05-07,8.282638888888888,190.11111111111111,5.509722222222223,15.823611111111111,27.10208333333334,36.74305555555556,27.31736111111111,26.914583333333326,,,,6.968750000000003,5.940972222222221,1182.486111111111,0.0,0,0,1,0,0,0,0,0
2019-05-08,6.624305555555555,158.09722222222223,4.549305555555554,11.62708333333333,24.84791666666666,37.18055555555556,25.066666666666674,24.64444444444444,,,,5.699305555555553,4.827083333333334,1182.2222222222222,0.0,0,1,0,0,0,0,0,0
2019-05-09,6.310791366906474,169.92805755395685,4.317985611510791,12.343165467625896,23.65107913669065,39.26618705035971,23.871942446043168,23.452517985611518,,,,5.46402877697842,4.65755395683453,1155.9352517985612,0.0,0,1,0,0,0,0,0,0
2019-05-10,5.696527777777775,130.41666666666666,4.136111111111111,11.818055555555553,24.243749999999988,38.00694444444444,24.44791666666666,24.038888888888902,,,,4.984027777777778,4.376388888888889,1182.4722222222222,0.0,0,1,0,0,0,0,0,0
2019-05-11,4.834027777777778,64.85416666666667,3.4597222222222213,14.61597222222222,25.78194444444444,36.263888888888886,26.03194444444444,25.532638888888897,,,,4.209722222222222,3.687499999999999,1180.9722222222222,0.0,1,0,0,0,0,0,0,0
2019-05-12,4.732638888888887,69.30555555555556,3.309722222222221,12.479861111111122,28.702083333333324,29.82638888888889,28.984722222222224,28.44513888888889,,,,4.106944444444444,3.576388888888889,1181.4583333333333,0.0,0,1,0,0,0,0,0,0
2019-05-13,4.413194444444446,93.52777777777777,3.1090277777777797,14.246527777777771,30.47708333333332,25.229166666666668,30.769444444444453,30.204861111111118,,,,3.808333333333334,3.3673611111111112,1165.3541666666667,0.0,0,1,0,0,0,0,0,0
2019-05-14,4.208333333333332,100.61111111111111,2.728472222222222,17.773611111111116,31.675694444444463,22.770833333333332,32.02291666666665,31.345138888888894,,,,3.611111111111112,3.0979166666666678,1182.7708333333333,0.0,0,1,0,0,0,0,0,0
2019-05-15,4.081944444444445,118.25,2.822916666666665,15.55416666666667,32.89444444444443,25.618055555555557,33.25277777777779,32.55972222222223,,,,3.5326388888888887,3.090277777777777,1180.8472222222222,0.0,0,1,0,0,0,0,0,0
2019-05-16,3.477777777777779,84.89583333333333,2.261805555555556,21.37291666666666,31.9138888888889,30.944444444444443,32.22430555555556,31.610416666666666,,,,2.9812500000000006,2.5625000000000013,1182.3958333333333,0.0,0,1,0,0,0,0,0,0
2019-05-17,6.780555555555555,170.80555555555554,4.192361111111113,21.498611111111124,31.934722222222224,28.375,32.28472222222222,31.593750000000014,,,,5.543055555555558,4.563888888888889,1181.8194444444443,0.0,0,1,0,0,0,0,0,0
2019-05-18,4.5048611111111105,129.75,3.0222222222222226,16.111111111111104,29.914583333333333,27.76388888888889,30.252777777777776,29.606944444444455,,,,3.8868055555555543,3.3430555555555554,1166.6597222222222,0.0,0,1,0,0,0,0,0,0
2019-05-19,6.561805555555555,38.875,4.813194444444444,10.525000000000002,29.274305555555557,29.458333333333332,29.500000000000007,29.0451388888889,,,,5.726388888888889,5.075694444444444,1182.2777777777778,0.0,1,0,0,0,0,0,0,0
2019-05-20,5.5500000000000025,68.84722222222223,4.015972222222224,12.223611111111106,29.466666666666658,37.333333333333336,29.67986111111111,29.24513888888889,,,,4.834027777777779,4.270138888888888,1182.5972222222222,0.0,1,0,0,0,0,0,0,0
2019-05-21,4.9201388888888875,81.68055555555556,3.481944444444444,13.243055555555557,31.48541666666667,34.84027777777778,31.768750000000004,31.20347222222221,,,,4.23125,3.7319444444444443,1166.0833333333333,0.0,1,0,0,0,0,0,0,0
2019-05-22,4.029166666666665,89.98611111111111,2.733333333333334,15.906249999999996,33.295138888888886,24.36111111111111,33.602083333333354,32.98611111111111,,,,3.4465277777777796,3.0076388888888896,1183.076388888889,0.0,0,1,0,0,0,0,0,0
2019-05-23,3.089583333333334,111.05555555555556,1.9673611111111116,18.697916666666675,34.42847222222224,23.625,34.8513888888889,34.01527777777779,,,,2.661805555555557,2.259722222222221,1182.4097222222222,0.0,0,1,0,0,0,0,0,0
