,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-West,East,North,South-East,West,South
2019-02-15,9.526388888888883,212.35416666666666,5.788888888888887,14.363888888888889,18.765972222222228,31.13888888888889,18.93472222222221,18.61111111111112,,,,7.796527777777779,6.268055555555556,1181.048611111111,0.0,0,0,1,0,0,0,0,0
2019-02-16,6.9145833333333355,216.99305555555554,4.202777777777775,16.781249999999996,18.675000000000004,43.875,18.84097222222222,18.515972222222217,,,,5.778472222222224,4.65763888888889,1182.8125,0.0,0,0,1,0,0,0,0,0
2019-02-17,3.1645833333333315,196.72222222222223,2.0430555555555556,20.808333333333344,17.90555555555556,42.986111111111114,18.152777777777775,17.677083333333325,,,,2.7125000000000004,2.279166666666667,1164.9444444444443,0.0,0,0,1,0,0,0,0,0
2019-02-18,4.646853146853146,198.96503496503496,2.95944055944056,20.967132867132857,16.88461538461539,47.61538461538461,17.07622377622377,16.6972027972028,,,,3.972027972027972,3.3384615384615395,1164.8951048951049,0.0,0,0,1,0,0,0,0,0
2019-02-19,4.035416666666668,219.38888888888889,2.7527777777777755,14.58888888888889,17.78888888888889,47.583333333333336,17.981249999999992,17.605555555555558,,,,3.529861111111113,2.9874999999999994,1182.513888888889,0.0,0,0,1,0,0,0,0,0
2019-02-20,3.5562499999999995,179.40277777777777,2.3715277777777786,15.272222222222233,19.24722222222222,47.90972222222222,19.440972222222225,19.06736111111111,,,,3.082638888888889,2.5715277777777774,1180.7708333333333,0.0,0,0,1,0,0,0,0,0
2019-02-21,4.407638888888888,134.41666666666666,3.036111111111113,12.408333333333333,18.954166666666666,47.74305555555556,19.12291666666667,18.775694444444436,,,,3.8562499999999975,3.268055555555557,1181.2152777777778,0.0,0,1,0,0,0,0,0,0
2019-02-22,4.136805555555557,176.85416666666666,2.7986111111111125,14.571527777777769,18.440972222222232,45.02777777777778,18.67361111111111,18.22708333333334,,,,3.604166666666666,3.0520833333333344,1181.9097222222222,0.0,0,0,1,0,0,0,0,0
2019-02-23,3.286111111111111,148.44444444444446,2.1500000000000004,15.206250000000004,18.738194444444453,46.548611111111114,18.986111111111107,18.484722222222214,,,,2.811111111111111,2.345833333333334,1167.125,0.0,0,1,0,0,0,0,0,0
2019-02-24,4.585416666666667,79.09027777777777,3.40138888888889,10.763194444444446,20.045138888888886,46.21527777777778,20.26319444444445,19.829861111111104,,,,4.065972222222224,3.5847222222222217,1165.361111111111,0.0,0,1,0,0,0,0,0,0
2019-02-25,4.387499999999999,96.1875,3.0270833333333327,18.320138888888888,22.09014084507042,37.5,22.39295774647886,21.76690140845071,,,,3.839583333333335,3.3118055555555563,1181.798611111111,0.0,0,1,0,0,0,0,0,0
2019-02-26,6.119444444444446,243.59027777777777,3.542361111111113,24.23958333333333,21.78194444444445,30.65277777777778,22.139583333333334,21.454861111111125,,,,5.095138888888889,3.9638888888888895,1165.4305555555557,0.0,0,0,1,0,0,0,0,0
2019-02-27,10.097222222222221,214.81944444444446,5.723611111111109,20.47361111111112,20.556250000000002,43.013888888888886,20.709027777777788,20.40833333333334,,,,7.9916666666666645,6.279166666666667,1181.9583333333333,0.0,0,0,1,0,0,0,0,0
2019-02-28,12.029861111111114,203.65972222222223,6.083333333333331,29.63541666666667,17.713194444444444,49.486111111111114,17.95972222222223,17.46666666666667,,,,9.17291666666667,6.788194444444444,1164.4652777777778,0.012500000000000002,0,0,1,0,0,0,0,0
2019-03-01,6.1562499999999964,199.54861111111111,4.254861111111111,18.125000000000014,16.364583333333332,56.63194444444444,16.560416666666672,16.174305555555563,,,,5.376388888888892,4.64652777777778,1183.9305555555557,0.001388888888888889,0,0,1,0,0,0,0,0
2019-03-02,3.8076388888888886,228.77083333333334,2.6479166666666654,11.474999999999996,17.93194444444445,51.354166666666664,18.076388888888886,17.796527777777786,,,,3.3368055555555554,2.8749999999999982,1166.0416666666667,0.0,0,0,1,0,0,0,0,0
2019-03-03,3.7409722222222217,222.95138888888889,2.194444444444444,21.30069444444445,19.08819444444444,40.229166666666664,19.421527777777776,18.77083333333333,,,,3.1701388888888884,2.526388888888889,1182.638888888889,0.0,0,0,1,0,0,0,0,0
2019-03-04,4.7500000000000036,194.22916666666666,3.0187500000000003,19.343055555555555,20.636111111111113,38.048611111111114,20.934027777777786,20.35555555555555,,,,4.106250000000002,3.3645833333333326,1165.048611111111,0.0,0,0,1,0,0,0,0,0
2019-03-05,6.027777777777775,86.70833333333333,4.506944444444445,11.773611111111112,19.21805555555555,52.84722222222222,19.40138888888889,19.02569444444445,,,,5.398611111111112,4.792361111111109,1182.3333333333333,0.0,0,1,0,0,0,0,0,0
