,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,East,North-East,North,South-East,West,South
2019-02-15,3.9395833333333337,183.52083333333334,1.9263888888888883,22.449305555555554,16.09305555555555,43.020833333333336,16.20763888888888,15.96875,157.6875,,,2.7881944444444446,2.163888888888889,1182.2708333333333,0.0,0,1,0,0,0,0,0,0
2019-02-16,3.5708333333333346,217.73611111111111,1.5118055555555554,31.92083333333334,15.63888888888889,62.11805555555556,15.780555555555553,15.471527777777782,101.75,,,2.452777777777778,1.7625000000000002,1181.6875,0.014583333333333334,0,1,0,0,0,0,0,0
2019-02-17,1.7611111111111106,186.64583333333334,0.8125000000000001,20.86597222222222,13.428472222222219,74.54166666666667,13.595833333333333,13.264583333333334,153.15277777777777,,,1.375000000000001,0.9944444444444441,1181.8055555555557,0.008333333333333335,0,1,0,0,0,0,0,0
2019-02-18,1.9104895104895112,195.74825174825176,0.8412587412587413,22.111888111888117,12.791608391608394,73.86013986013987,12.93076923076922,12.654545454545458,88.2937062937063,,,1.4447552447552447,1.0321678321678323,1165.8531468531469,0.0,0,1,0,0,0,0,0,0
2019-02-19,2.1909722222222214,212.29166666666666,1.063888888888889,19.40277777777777,13.985416666666664,70.29166666666667,14.135416666666668,13.835416666666656,135.99305555555554,,,1.7138888888888886,1.2458333333333331,1183.0555555555557,0.0,0,1,0,0,0,0,0,0
2019-02-20,1.692361111111111,203.25,0.7631944444444447,26.762500000000028,15.578472222222217,70.57638888888889,15.723611111111113,15.459722222222227,126.50694444444444,,,1.3138888888888887,0.9250000000000003,1182.576388888889,0.0,0,1,0,0,0,0,0,0
2019-02-21,2.311805555555554,171.0,1.0451388888888888,21.74097222222223,14.243055555555559,75.38194444444444,14.418749999999996,14.090972222222224,151.04861111111111,,,1.746527777777777,1.2562499999999996,1165.451388888889,0.020833333333333336,1,0,0,0,0,0,0,0
2019-02-22,2.215972222222222,200.21527777777777,1.028472222222223,25.17777777777778,14.784027777777773,69.77777777777777,14.956249999999999,14.610416666666667,188.80555555555554,,,1.659722222222222,1.2222222222222223,1182.4791666666667,0.0,0,1,0,0,0,0,0,0
2019-02-23,1.7395833333333328,180.86805555555554,0.8229166666666666,27.03194444444443,15.229861111111111,68.61111111111111,15.425694444444446,15.043750000000001,200.75,,,1.3354166666666667,1.0013888888888889,1182.763888888889,0.0,0,1,0,0,0,0,0,0
2019-02-24,1.877083333333333,173.18055555555554,0.9298611111111117,21.14236111111112,16.036805555555556,65.92361111111111,16.22291666666667,15.869444444444444,187.72916666666666,,,1.502777777777777,1.1055555555555556,1182.0833333333333,0.0,1,0,0,0,0,0,0,0
2019-02-25,2.996527777777777,219.40972222222223,1.6499999999999995,18.73680555555556,19.373611111111103,46.77777777777778,19.589583333333344,19.170833333333327,195.97222222222223,,,2.3277777777777775,1.8131944444444446,1183.3194444444443,0.0,0,1,0,0,0,0,0,0
2019-02-26,3.685416666666667,206.18055555555554,1.757638888888888,29.817361111111115,19.535416666666656,35.791666666666664,19.77083333333335,19.311111111111117,193.55555555555554,,,2.711111111111111,2.0312500000000004,1165.1458333333333,0.0,0,1,0,0,0,0,0,0
2019-02-27,4.470833333333334,195.97222222222223,1.9173611111111104,32.99166666666665,16.711805555555554,67.8125,16.86041666666667,16.561805555555562,109.09722222222223,,,3.072916666666666,2.247916666666667,1181.798611111111,0.03333333333333332,0,1,0,0,0,0,0,0
