,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,South,West,South-East,North-East,North,East
2019-04-01,2.0229166666666663,184.69444444444446,0.8451388888888884,27.40208333333334,15.887499999999998,71.97916666666667,15.99583333333334,15.779861111111115,79.92361111111111,,,1.4812500000000002,1.04375,1165.8333333333333,0.0020833333333333337,1,0,0,0,0,0,0,0
2019-04-02,2.4333333333333327,177.20833333333334,1.077777777777778,24.11319444444444,17.205555555555552,64.40972222222223,17.34791666666666,17.05972222222222,140.1875,,,1.7597222222222226,1.2763888888888888,1165.826388888889,0.0,0,1,0,0,0,0,0,0
2019-04-03,2.048611111111111,166.79166666666666,0.8715277777777777,27.55069444444445,17.936111111111106,61.986111111111114,18.137500000000006,17.747916666666665,258.74305555555554,,,1.5951388888888882,1.0784722222222216,1182.048611111111,0.0,1,0,0,0,0,0,0,0
2019-04-04,2.113888888888888,170.69444444444446,0.9493055555555556,27.030555555555544,19.642361111111107,58.8125,19.80486111111111,19.483333333333334,191.875,,,1.5847222222222226,1.1270833333333334,1165.4027777777778,0.0,1,0,0,0,0,0,0,0
2019-04-05,2.6673611111111115,168.66666666666666,1.1611111111111108,29.806944444444436,19.67361111111111,61.263888888888886,19.841666666666654,19.515972222222217,195.27083333333334,,,1.9548611111111112,1.3624999999999998,1182.2916666666667,0.0,1,0,0,0,0,0,0,0
2019-04-06,1.8138888888888889,139.875,0.8111111111111112,24.059722222222216,19.38611111111111,65.5,19.531944444444438,19.248611111111114,151.83333333333334,,,1.4368055555555566,0.9729166666666667,1182.888888888889,0.0,1,0,0,0,0,0,0,0
2019-04-07,2.374999999999999,193.50694444444446,1.1368055555555554,26.43958333333334,23.759027777777774,48.78472222222222,23.976388888888906,23.557638888888896,260.44444444444446,,,1.7826388888888889,1.33125,1183.3402777777778,0.0,0,1,0,0,0,0,0,0
2019-04-08,2.8499999999999996,181.41666666666666,1.263194444444444,29.402777777777786,23.75833333333333,49.24305555555556,23.95277777777778,23.545138888888893,256.7361111111111,,,2.0284722222222222,1.4791666666666665,1182.138888888889,0.0,1,0,0,0,0,0,0,0
2019-04-09,3.5333333333333328,196.11805555555554,1.5229166666666663,34.82152777777778,22.611111111111107,51.40277777777778,22.798611111111118,22.421527777777772,263.6111111111111,,,2.468750000000001,1.7673611111111107,1182.7847222222222,0.0,0,1,0,0,0,0,0,0
2019-04-10,3.4312500000000004,173.67361111111111,1.4486111111111115,35.35972222222223,21.153472222222224,49.4375,21.346527777777787,20.970833333333342,267.55555555555554,,,2.4666666666666672,1.6937499999999999,1182.7152777777778,0.0,1,0,0,0,0,0,0,0
2019-04-11,3.1388888888888884,173.98611111111111,1.3652777777777776,31.311805555555548,19.581249999999997,55.541666666666664,19.775694444444433,19.376388888888883,272.6388888888889,,,2.2291666666666665,1.601388888888889,1182.326388888889,0.0,1,0,0,0,0,0,0,0
2019-04-12,2.1638888888888896,130.75,0.8597222222222224,32.1423611111111,21.350000000000005,55.041666666666664,21.549305555555563,21.15833333333335,276.43055555555554,,,1.6166666666666667,1.0534722222222221,1165.4444444444443,0.0,1,0,0,0,0,0,0,0
2019-04-13,1.8750000000000009,166.55555555555554,0.828472222222222,29.563888888888886,25.430555555555554,41.138888888888886,25.642361111111104,25.22291666666667,268.5138888888889,,,1.3930555555555555,0.9847222222222223,1181.9027777777778,0.0,1,0,0,0,0,0,0,0
2019-04-14,4.137499999999999,236.83333333333334,1.8034722222222221,33.37500000000001,23.49930555555555,42.888888888888886,23.679166666666667,23.319444444444443,167.99305555555554,,,2.963194444444445,2.1173611111111112,1182.6944444444443,0.0,0,1,0,0,0,0,0,0
2019-04-15,2.127777777777778,145.61805555555554,0.8715277777777777,29.335416666666667,20.26041666666668,61.99305555555556,20.41111111111111,20.134722222222234,140.51388888888889,,,1.5590277777777772,1.0652777777777784,1182.611111111111,0.011805555555555557,1,0,0,0,0,0,0,0
2019-04-16,2.994444444444444,181.70833333333334,1.3465277777777775,28.10277777777777,20.126388888888886,67.20138888888889,20.27222222222224,19.974305555555574,214.70138888888889,,,2.1729166666666666,1.5715277777777776,1182.1597222222222,0.004166666666666667,1,0,0,0,0,0,0,0
2019-04-17,3.970138888888891,226.8125,1.813888888888889,26.89236111111111,19.711111111111123,56.541666666666664,19.856944444444448,19.570138888888895,185.36111111111111,,,2.8854166666666665,2.09375,1182.236111111111,0.0,0,1,0,0,0,0,0,0
2019-04-18,4.0874999999999995,202.07638888888889,1.8868055555555558,32.815277777777766,19.690972222222214,52.361111111111114,19.86666666666667,19.516666666666666,242.54166666666666,,,2.990972222222222,2.1597222222222228,1183.7152777777778,0.0,0,1,0,0,0,0,0,0
