,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,South,East,West,North
2019-02-15,8.60833333333333,235.65277777777777,4.759722222222222,17.174999999999994,7.891666666666662,60.3125,8.005555555555553,7.785416666666666,147.19444444444446,,,6.390277777777777,5.053472222222222,1165.4652777777778,0.0,0,0,0,1,0,0,0,0
2019-02-16,7.3125000000000036,276.19444444444446,4.672916666666666,11.240972222222226,8.050694444444444,82.29166666666667,8.187500000000007,7.914583333333329,99.11805555555556,,,5.970138888888891,4.9624999999999995,1181.75,0.0,0,0,1,0,0,0,0,0
2019-02-17,3.9930555555555562,196.98611111111111,2.7027777777777793,11.636805555555553,8.06111111111111,71.35416666666667,8.30972222222222,7.831944444444444,164.04166666666666,,,3.3874999999999997,2.928472222222223,1182.625,0.0,0,0,0,1,0,0,0,0
2019-02-18,4.824475524475525,211.05594405594405,3.4510489510489513,11.837062937062935,6.3517482517482495,84.97902097902097,6.506993006993008,6.196503496503497,117.48251748251748,,,4.230769230769229,3.7475524475524464,1182.055944055944,0.004895104895104895,0,0,0,1,0,0,0,0
2019-02-19,3.727083333333333,219.75,2.668749999999999,12.605555555555556,7.2868055555555555,92.13888888888889,7.445833333333329,7.151388888888889,109.78472222222223,,,3.277083333333333,2.8631944444444435,1182.7569444444443,0.0020833333333333337,0,0,0,1,0,0,0,0
2019-02-20,3.0416666666666665,166.90277777777777,2.215972222222222,12.618055555555554,8.836111111111112,83.29861111111111,9.016666666666673,8.655555555555559,96.09027777777777,,,2.7138888888888895,2.4131944444444438,1180.9375,0.0,0,1,0,0,0,0,0,0
2019-02-21,4.53263888888889,142.98611111111111,3.3930555555555544,11.231944444444446,8.986805555555556,71.73611111111111,9.228472222222221,8.751388888888885,149.33333333333334,,,4.05625,3.626388888888889,1181.888888888889,0.0,0,1,0,0,0,0,0,0
2019-02-22,3.663194444444445,199.55555555555554,2.6479166666666663,10.14583333333333,8.256249999999998,75.66666666666667,8.514583333333327,7.994444444444446,140.89583333333334,,,3.2541666666666673,2.8513888888888888,1165.75,0.0,0,0,0,1,0,0,0,0
2019-02-23,2.9388888888888913,130.10416666666666,2.157638888888888,14.751388888888888,8.962500000000002,76.90972222222223,9.210416666666664,8.729861111111113,136.07638888888889,,,2.6069444444444447,2.3270833333333325,1181.326388888889,0.0,0,1,0,0,0,0,0,0
2019-02-24,5.200694444444443,121.0,3.6840277777777777,15.723611111111119,12.11388888888888,59.763888888888886,12.320833333333336,11.92847222222223,205.61805555555554,,,4.512499999999999,3.920138888888892,1182.9722222222222,0.0,0,1,0,0,0,0,0,0
2019-02-25,7.477777777777778,98.61111111111111,4.9118055555555555,11.65694444444445,17.320833333333333,27.729166666666668,17.531944444444452,17.12013888888889,218.84722222222223,,,6.002083333333332,5.17986111111111,1182.1180555555557,0.0,0,1,0,0,0,0,0,0
