,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,North,West,East,South
2019-04-01,6.711805555555558,259.53472222222223,4.188888888888889,12.72986111111111,9.467361111111105,82.34027777777777,9.600000000000001,9.347916666666665,152.31944444444446,,,5.358333333333335,4.441666666666669,1183.3472222222222,0.001388888888888889,0,0,0,1,0,0,0,0
2019-04-02,5.185416666666668,240.22916666666666,3.463194444444443,12.72152777777778,11.06597222222222,72.20833333333333,11.304861111111116,10.83819444444445,228.38194444444446,,,4.348611111111109,3.7333333333333325,1181.7847222222222,0.0,0,0,0,1,0,0,0,0
2019-04-03,4.150694444444445,150.1875,2.6416666666666653,15.669444444444444,13.250000000000002,59.38194444444444,13.504166666666665,12.984722222222215,281.4236111111111,,,3.472916666666667,2.8902777777777775,1182.1180555555557,0.0,0,1,0,0,0,0,0,0
2019-04-04,4.030555555555554,210.61111111111111,2.5229166666666663,19.911805555555553,14.644444444444433,64.52777777777777,14.87291666666666,14.44236111111111,225.84027777777777,,,3.3840277777777783,2.7923611111111106,1182.423611111111,0.0,0,0,0,1,0,0,0,0
2019-04-05,4.5527777777777745,244.81944444444446,3.1826388888888886,11.277083333333332,12.184722222222225,79.90972222222223,12.397916666666669,11.960416666666667,262.09027777777777,,,3.9993055555555563,3.440277777777778,1165.6666666666667,0.0,0,0,0,1,0,0,0,0
2019-04-06,4.215277777777779,134.36805555555554,2.5777777777777775,15.834027777777777,16.15902777777778,50.263888888888886,16.377083333333335,15.963888888888881,189.54861111111111,,,3.489583333333334,2.81736111111111,1181.076388888889,0.0,0,1,0,0,0,0,0,0
2019-04-07,5.195833333333332,176.43055555555554,3.475694444444444,12.143055555555556,19.105555555555554,46.201388888888886,19.38194444444445,18.84305555555556,273.4861111111111,,,4.436111111111112,3.7194444444444446,1166.2847222222222,0.0,0,1,0,0,0,0,0,0
2019-04-08,4.76736111111111,213.77083333333334,3.3180555555555546,12.177083333333341,17.902777777777782,51.013888888888886,18.13472222222222,17.672222222222217,270.3263888888889,,,4.100694444444443,3.5479166666666666,1180.8125,0.0,0,0,0,1,0,0,0,0
2019-04-09,6.292361111111112,227.86111111111111,4.334722222222222,11.817361111111111,16.82361111111111,58.854166666666664,17.05902777777778,16.606944444444444,285.9166666666667,,,5.406249999999997,4.578472222222222,1182.9375,0.0,0,0,0,1,0,0,0,0
2019-04-10,4.922916666666667,287.9861111111111,3.4243055555555557,13.542361111111106,12.577777777777776,72.15972222222223,12.795138888888882,12.39375,312.11805555555554,,,4.305555555555556,3.670138888888889,1181.826388888889,0.0,0,0,1,0,0,0,0,0
2019-04-11,4.555555555555556,211.79861111111111,3.172916666666667,13.783333333333333,13.193749999999996,58.375,13.423611111111102,12.954166666666666,313.05555555555554,,,3.9791666666666683,3.42638888888889,1182.673611111111,0.0,0,0,0,1,0,0,0,0
2019-04-12,5.364583333333335,84.06944444444444,3.529166666666668,15.256250000000014,15.218749999999996,51.49305555555556,15.483333333333333,14.94930555555555,320.7083333333333,,,4.5375000000000005,3.8145833333333337,1181.9652777777778,0.0,1,0,0,0,0,0,0,0
2019-04-13,6.342361111111114,120.77083333333333,4.035416666666666,14.82986111111111,21.443749999999994,32.0,21.72430555555555,21.168055555555558,301.5416666666667,,,5.126388888888888,4.281944444444443,1182.798611111111,0.0,0,1,0,0,0,0,0,0
2019-04-14,8.659722222222221,258.9375,5.962500000000002,11.347222222222214,18.30277777777779,47.888888888888886,18.513194444444444,18.095833333333335,257.5,,,7.263194444444447,6.268055555555557,1166.048611111111,0.0,0,0,0,1,0,0,0,0
2019-04-15,4.165277777777778,194.93055555555554,2.7895833333333324,14.395138888888889,14.505555555555544,62.979166666666664,14.72291666666667,14.267361111111118,138.51388888888889,,,3.5604166666666663,3.086111111111109,1181.3402777777778,0.025000000000000005,0,0,0,1,0,0,0,0
2019-04-16,6.0458333333333325,242.03472222222223,4.348611111111112,10.028472222222225,14.004861111111104,75.52777777777777,14.203472222222224,13.834027777777784,222.27083333333334,,,5.245833333333332,4.62152777777778,1166.0625,0.0006944444444444445,0,0,0,1,0,0,0,0
2019-04-17,7.2979166666666675,284.2291666666667,5.169444444444443,9.598611111111113,12.048611111111109,80.40972222222223,12.238194444444446,11.868749999999999,177.09027777777777,,,6.278472222222223,5.442361111111107,1182.2222222222222,0.0,0,0,1,0,0,0,0,0
2019-04-18,5.974305555555554,260.8541666666667,4.16666666666667,11.481250000000003,11.627777777777771,74.13888888888889,11.858333333333333,11.405555555555555,244.89583333333334,,,5.159722222222219,4.448611111111113,1182.736111111111,0.0,0,0,0,1,0,0,0,0
2019-04-19,8.311805555555555,270.97222222222223,5.8479166666666655,10.280555555555555,11.231944444444443,73.48611111111111,11.441666666666672,11.033333333333331,252.10416666666666,,,7.094444444444444,6.120138888888887,1165.263888888889,0.0,0,0,0,1,0,0,0,0
2019-04-20,7.045138888888889,262.24305555555554,4.5590277777777795,13.922916666666666,11.260416666666666,78.125,11.447222222222226,11.088194444444445,208.21527777777777,,,5.842361111111111,4.841666666666665,1166.5347222222222,0.0,0,0,0,1,0,0,0,0
2019-04-21,11.613888888888889,276.3958333333333,7.902777777777773,10.045833333333336,8.81041666666667,77.82638888888889,8.995833333333328,8.633333333333336,166.98611111111111,,,9.674305555555563,8.28958333333333,1181.6944444444443,0.022222222222222223,0,0,1,0,0,0,0,0
2019-04-22,6.800694444444445,268.7013888888889,4.72013888888889,11.052777777777779,9.578472222222219,71.95138888888889,9.794444444444446,9.363888888888887,264.6388888888889,,,5.797916666666667,4.993055555555557,1181.451388888889,0.0,0,0,0,1,0,0,0,0
2019-04-23,4.46736111111111,142.57638888888889,3.002083333333333,16.78333333333333,12.430555555555552,58.0,12.691666666666672,12.18055555555556,315.5833333333333,,,3.8486111111111105,3.282638888888888,1166.388888888889,0.0,0,1,0,0,0,0,0,0
2019-04-24,6.403472222222223,71.21527777777777,4.274305555555557,13.65555555555555,17.118055555555546,37.6875,17.381944444444443,16.86111111111111,296.15277777777777,,,5.370138888888887,4.5284722222222245,1182.6041666666667,0.0,1,0,0,0,0,0,0,0
2019-04-25,6.372222222222222,68.04166666666667,4.440277777777776,12.242361111111114,20.020833333333336,32.71527777777778,20.279166666666654,19.777083333333323,296.40277777777777,,,5.420833333333334,4.690277777777776,1181.9652777777778,0.0,1,0,0,0,0,0,0,0
2019-04-26,7.052777777777775,66.65972222222223,4.818055555555554,12.637500000000001,20.78194444444445,28.90972222222222,21.0326388888889,20.549999999999997,315.49305555555554,,,5.884027777777779,5.096527777777777,1181.6805555555557,0.0,1,0,0,0,0,0,0,0
2019-04-27,6.872222222222222,138.29166666666666,4.91111111111111,12.531944444444441,21.315277777777784,27.708333333333332,21.544444444444455,21.093055555555562,318.5486111111111,,,5.924305555555557,5.197916666666664,1181.9444444444443,0.0,0,1,0,0,0,0,0,0
2019-04-28,4.802083333333333,179.36805555555554,3.260416666666666,14.153472222222222,20.827083333333327,33.138888888888886,21.118055555555564,20.52430555555556,325.5208333333333,,,4.208333333333332,3.5631944444444437,1166.0902777777778,0.0,0,1,0,0,0,0,0,0
2019-04-29,4.63194444444444,217.45138888888889,2.9201388888888897,19.172916666666662,23.89861111111111,23.21527777777778,24.195138888888877,23.602083333333333,301.28472222222223,,,3.8895833333333334,3.231250000000001,1165.263888888889,0.0,0,0,0,1,0,0,0,0
2019-04-30,3.9138888888888883,203.79166666666666,2.583333333333334,15.771527777777774,22.709027777777774,25.61111111111111,23.02708333333333,22.402777777777782,303.6388888888889,,,3.3395833333333336,2.802777777777779,1165.5694444444443,0.0,0,0,0,1,0,0,0,0
2019-05-01,4.263194444444448,134.25694444444446,2.6798611111111104,16.85972222222223,26.015972222222228,19.65277777777778,26.35625000000001,25.68819444444445,298.30555555555554,,,3.602083333333332,2.922222222222222,1166.7083333333333,0.0,0,1,0,0,0,0,0,0
2019-05-02,5.59513888888889,223.03472222222223,3.9027777777777763,13.295833333333329,25.270138888888887,25.27777777777778,25.53124999999999,25.018749999999994,129.73611111111111,,,4.839583333333331,4.247916666666668,1182.8472222222222,0.0,0,0,0,1,0,0,0,0
2019-05-03,7.018055555555553,251.21527777777777,5.229166666666667,12.384722222222223,18.20486111111111,51.4375,18.47638888888889,17.935416666666672,275.3125,,,6.182638888888891,5.486111111111112,1182.9791666666667,0.0,0,0,0,1,0,0,0,0
2019-05-04,4.6312500000000005,173.09722222222223,2.97638888888889,20.558333333333323,17.011111111111113,57.638888888888886,17.29236111111111,16.73611111111111,337.6388888888889,,,3.9423611111111114,3.2680555555555575,1165.923611111111,0.0,0,1,0,0,0,0,0,0
2019-05-05,5.948611111111114,106.17361111111111,3.9652777777777786,15.731944444444451,24.020833333333332,24.194444444444443,24.293055555555572,23.737500000000008,330.6875,,,5.010416666666664,4.247916666666666,1164.8194444444443,0.0,0,1,0,0,0,0,0,0
2019-05-06,7.0763888888888875,201.26388888888889,4.673611111111112,14.261805555555554,26.193750000000005,24.118055555555557,26.50138888888889,25.89791666666668,237.65277777777777,,,5.99236111111111,5.120138888888889,1183.1597222222222,0.0,0,0,0,1,0,0,0,0
2019-05-07,8.192361111111108,299.53472222222223,5.815277777777779,9.62222222222222,16.147222222222222,69.63194444444444,16.340277777777775,15.984722222222224,305.3263888888889,,,7.0895833333333345,6.1097222222222225,1182.5694444444443,0.0,0,0,1,0,0,0,0,0
2019-05-08,5.8291666666666675,279.1736111111111,3.9069444444444423,13.781944444444441,14.802083333333334,63.09722222222222,15.017361111111114,14.595138888888888,339.2916666666667,,,5.015972222222223,4.197916666666668,1181.951388888889,0.0,0,0,1,0,0,0,0,0
2019-05-09,6.304166666666666,292.56944444444446,4.553472222222219,10.82083333333333,13.288888888888891,67.69444444444444,13.567361111111108,13.037500000000003,250.95833333333334,,,5.545833333333331,4.838888888888885,1181.7847222222222,0.0,0,0,1,0,0,0,0,0
2019-05-10,4.587500000000001,246.88194444444446,3.1000000000000005,13.622916666666663,14.393055555555557,62.59722222222222,14.638194444444444,14.152777777777773,335.25,,,3.9784722222222237,3.3743055555555572,1182.2708333333333,0.0,0,0,0,1,0,0,0,0
