,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,East,North-East,North,South-East,West,South
2019-02-15,7.612500000000002,200.92361111111111,4.670138888888888,12.131944444444441,11.40277777777777,61.375,11.563194444444452,11.246527777777779,,,,5.877083333333331,4.918749999999999,1165.4791666666667,0.001388888888888889,0,1,0,0,0,0,0,0
2019-02-16,5.733333333333336,201.32638888888889,3.4423611111111097,13.97638888888888,11.152083333333334,87.43055555555556,11.336111111111114,10.974305555555555,,,,4.434027777777776,3.656249999999999,1182.4791666666667,0.06666666666666667,0,1,0,0,0,0,0,0
2019-02-17,4.595833333333335,171.26388888888889,3.1833333333333336,10.961111111111105,10.604166666666664,78.40277777777777,10.791666666666666,10.42222222222222,,,,3.8361111111111117,3.3451388888888887,1182.6875,0.0,1,0,0,0,0,0,0,0
2019-02-18,3.6783216783216774,177.0979020979021,2.4244755244755254,15.581818181818187,8.839860139860136,90.1958041958042,8.98531468531468,8.702097902097902,,,,3.0468531468531466,2.651048951048952,1181.3426573426573,0.006293706293706294,0,1,0,0,0,0,0,0
2019-02-19,3.415277777777776,176.33333333333334,2.299305555555554,12.655555555555557,9.983333333333334,94.11111111111111,10.109722222222224,9.857638888888893,,,,2.8652777777777785,2.491666666666666,1165.5416666666667,0.0020833333333333337,1,0,0,0,0,0,0,0
2019-02-20,3.0333333333333314,191.96527777777777,1.9680555555555554,16.87569444444444,11.895833333333343,87.11111111111111,12.06944444444444,11.720138888888894,,,,2.503472222222223,2.1416666666666666,1183.5,0.0,0,1,0,0,0,0,0,0
2019-02-21,3.5006944444444437,180.99305555555554,2.2881944444444446,14.752083333333344,10.79652777777778,86.50694444444444,10.941666666666666,10.648611111111109,,,,2.9416666666666678,2.515277777777779,1182.3333333333333,0.0,0,1,0,0,0,0,0,0
2019-02-22,3.7187500000000018,187.05555555555554,2.4583333333333326,15.426388888888884,10.689583333333335,87.90972222222223,10.861111111111112,10.534722222222227,,,,3.073611111111111,2.6625,1166.0277777777778,0.0,0,1,0,0,0,0,0,0
2019-02-23,3.3520833333333346,179.07638888888889,2.202083333333333,16.415972222222216,11.314583333333328,86.5,11.494444444444444,11.127777777777776,,,,2.805555555555556,2.3854166666666674,1182.4444444444443,0.0,1,0,0,0,0,0,0,0
2019-02-24,2.9569444444444453,190.95138888888889,1.9006944444444427,19.997916666666676,12.269444444444444,78.85416666666667,12.450694444444444,12.095138888888892,,,,2.472222222222222,2.083333333333333,1181.111111111111,0.0,0,1,0,0,0,0,0,0
2019-02-25,6.0236111111111095,115.47222222222223,3.824305555555555,17.065277777777787,19.552083333333332,36.55555555555556,19.76180555555556,19.32777777777778,,,,4.824305555555553,4.083333333333332,1182.638888888889,0.0,1,0,0,0,0,0,0,0
2019-02-26,5.725000000000004,194.24305555555554,3.5138888888888893,13.750694444444441,14.709027777777777,59.229166666666664,14.968749999999996,14.478472222222214,,,,4.485416666666667,3.768749999999999,1181.8055555555557,0.0,0,1,0,0,0,0,0,0
2019-02-27,6.431250000000002,220.23611111111111,3.4749999999999996,17.073611111111116,11.915972222222221,95.47916666666667,12.043055555555556,11.81458333333333,,,,4.7243055555555555,3.7763888888888886,1165.6805555555557,0.22638888888888895,0,1,0,0,0,0,0,0
2019-02-28,8.135416666666664,250.27777777777777,4.199305555555557,19.661805555555546,9.81111111111111,94.28472222222223,9.942361111111108,9.68611111111111,,,,5.854861111111114,4.5972222222222205,1181.861111111111,0.4298611111111112,0,1,0,0,0,0,0,0
2019-03-01,4.336805555555554,230.59027777777777,2.4520833333333325,17.41666666666667,10.431249999999999,88.52777777777777,10.593750000000004,10.277083333333332,,,,3.3513888888888883,2.6861111111111127,1181.861111111111,0.027777777777777776,0,1,0,0,0,0,0,0
2019-03-02,4.134722222222222,176.22222222222223,2.7534722222222228,10.997916666666665,10.307638888888883,97.16666666666667,10.415972222222226,10.2125,,,,3.395138888888889,2.9138888888888888,1181.5833333333333,0.03194444444444444,1,0,0,0,0,0,0,0
2019-03-03,4.720138888888893,176.52777777777777,3.138888888888889,12.024999999999999,11.099305555555553,75.01388888888889,11.270138888888887,10.918750000000001,,,,3.881944444444442,3.3402777777777772,1181.1944444444443,0.0006944444444444445,1,0,0,0,0,0,0,0
2019-03-04,4.169444444444444,191.16666666666666,2.581249999999999,14.735416666666667,11.889583333333329,86.97222222222223,12.107638888888879,11.68611111111111,,,,3.3694444444444454,2.802777777777778,1182.4166666666667,0.009027777777777779,0,1,0,0,0,0,0,0
2019-03-05,2.916666666666666,162.47222222222223,1.7972222222222227,19.16666666666667,10.345833333333337,93.79166666666667,10.500694444444445,10.195833333333333,,,,2.436111111111112,2.0479166666666666,1182.0416666666667,0.027777777777777776,1,0,0,0,0,0,0,0
2019-03-06,3.0826388888888885,191.25694444444446,1.938888888888889,15.776388888888881,11.772916666666662,88.99305555555556,11.944444444444446,11.593055555555559,,,,2.5402777777777783,2.1152777777777776,1182.0069444444443,0.0,0,1,0,0,0,0,0,0
2019-03-07,3.781249999999999,213.79166666666666,2.3020833333333344,17.31180555555555,12.171527777777781,88.83333333333333,12.327777777777785,12.015277777777783,,,,3.0381944444444438,2.504861111111109,1165.888888888889,0.0006944444444444445,0,1,0,0,0,0,0,0
2019-03-08,3.988194444444444,211.55555555555554,2.3159722222222223,18.747222222222224,12.204861111111104,82.82638888888889,12.384722222222226,12.01736111111111,,,,3.2548611111111097,2.6076388888888875,1182.1875,0.0,0,1,0,0,0,0,0,0
2019-03-09,3.2881944444444446,184.66666666666666,2.073611111111111,17.25347222222222,11.243055555555557,79.25694444444444,11.424999999999995,11.075000000000005,,,,2.73611111111111,2.276388888888889,1181.625,0.0,0,1,0,0,0,0,0,0
2019-03-10,3.2770833333333336,190.25694444444446,2.0229166666666654,20.797222222222228,11.800694444444447,85.79861111111111,11.971527777777784,11.60763888888889,,,,2.668055555555556,2.1951388888888896,1182.4583333333333,0.0,0,1,0,0,0,0,0,0
