,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,West,North,North-East,East,South-East,South
2019-04-12,3.4437500000000028,191.21527777777777,2.0125000000000006,19.0173611111111,15.613888888888889,76.4375,15.820138888888883,15.399305555555568,,,,2.734027777777779,2.218055555555557,1183.2152777777778,0.0,0,1,0,0,0,0,0,0
2019-04-13,4.251388888888889,152.86111111111111,2.708333333333333,18.100694444444443,20.49791666666669,57.88194444444444,20.730555555555558,20.2423611111111,,,,3.5194444444444444,2.9493055555555543,1181.4930555555557,0.0,1,0,0,0,0,0,0,0
2019-04-14,5.686805555555552,212.38888888888889,3.2895833333333324,15.725694444444448,19.472916666666663,57.84722222222222,19.69930555555556,19.268055555555552,,,,4.305555555555556,3.510416666666665,1182.4305555555557,0.0,0,1,0,0,0,0,0,0
2019-04-15,3.1743055555555566,190.65972222222223,1.9777777777777774,17.311111111111117,15.2201388888889,84.25694444444444,15.343055555555566,15.103472222222226,,,,2.603472222222224,2.2034722222222225,1182.25,0.013194444444444444,0,1,0,0,0,0,0,0
2019-04-16,3.5673611111111114,186.31944444444446,2.099305555555556,19.420138888888893,15.227083333333338,82.8125,15.407638888888888,15.050000000000008,,,,2.8687499999999995,2.3138888888888887,1181.5208333333333,0.0076388888888888895,1,0,0,0,0,0,0,0
2019-04-17,4.177083333333334,226.34027777777777,2.3694444444444436,15.89236111111111,14.584027777777777,80.15972222222223,14.843055555555557,14.338194444444452,,,,3.210416666666667,2.568055555555555,1164.9097222222222,0.001388888888888889,0,1,0,0,0,0,0,0
2019-04-18,4.385416666666669,210.65277777777777,2.6270833333333337,15.542361111111108,14.097222222222221,76.01388888888889,14.325694444444439,13.836111111111116,,,,3.486805555555555,2.845833333333333,1181.3055555555557,0.0,0,1,0,0,0,0,0,0
2019-04-19,5.2305555555555525,224.07638888888889,2.9361111111111104,15.197916666666673,14.043055555555558,73.11805555555556,14.306250000000002,13.789583333333328,,,,3.952777777777779,3.1444444444444435,1182.8402777777778,0.0,0,1,0,0,0,0,0,0
2019-04-20,4.793055555555555,218.15972222222223,2.76875,14.675694444444442,13.811111111111108,77.07638888888889,14.067361111111104,13.545138888888886,,,,3.65486111111111,2.955555555555556,1182.2430555555557,0.0,0,1,0,0,0,0,0,0
2019-04-21,6.220833333333336,247.01388888888889,3.269444444444444,17.30138888888889,11.426388888888889,76.27083333333333,11.679861111111107,11.188888888888881,,,,4.452777777777777,3.532638888888888,1166.0416666666667,0.04861111111111111,0,1,0,0,0,0,0,0
2019-04-22,4.9618055555555545,218.10416666666666,2.988888888888889,14.237499999999999,11.917361111111115,73.99305555555556,12.21111111111111,11.629166666666663,,,,3.912499999999999,3.2034722222222243,1183.7847222222222,0.0,0,1,0,0,0,0,0,0
2019-04-23,3.929861111111111,171.69444444444446,2.4583333333333344,19.409027777777784,13.49513888888889,74.625,13.711805555555559,13.275000000000002,,,,3.1881944444444437,2.668055555555557,1181.6597222222222,0.0,1,0,0,0,0,0,0,0
2019-04-24,3.546527777777777,170.21527777777777,2.1131944444444435,21.335416666666667,16.59305555555555,60.104166666666664,16.842361111111117,16.340972222222224,,,,2.8965277777777763,2.3562499999999993,1182.736111111111,0.0,1,0,0,0,0,0,0,0
2019-04-25,3.5868055555555554,180.0,2.1180555555555562,20.248611111111114,18.64375,56.236111111111114,18.8576388888889,18.432638888888885,,,,2.910416666666667,2.3576388888888897,1182.576388888889,0.0,0,1,0,0,0,0,0,0
2019-04-26,3.714583333333334,139.38194444444446,2.109027777777779,19.586805555555554,20.027777777777782,53.638888888888886,20.2875,19.770833333333332,,,,2.9916666666666663,2.3618055555555557,1182.3680555555557,0.0,1,0,0,0,0,0,0,0
2019-04-27,3.694444444444445,208.92361111111111,2.177083333333334,20.197222222222234,19.686805555555548,55.173611111111114,19.927777777777777,19.46041666666666,,,,2.9701388888888878,2.3743055555555563,1165.861111111111,0.0,0,1,0,0,0,0,0,0
2019-04-28,3.4756944444444433,202.88194444444446,2.107638888888888,18.637500000000006,19.178472222222204,56.895833333333336,19.425000000000008,18.9451388888889,,,,2.804166666666666,2.2805555555555554,1183.2569444444443,0.0,0,1,0,0,0,0,0,0
2019-04-29,3.2208333333333337,178.75,1.936111111111111,23.82361111111111,22.79166666666667,38.28472222222222,23.101388888888902,22.49097222222223,,,,2.6909722222222214,2.234722222222222,1181.9375,0.0,0,1,0,0,0,0,0,0
2019-04-30,3.429861111111111,211.97916666666666,2.1381944444444447,16.665972222222223,20.73541666666667,54.00694444444444,21.036805555555546,20.48472222222222,,,,2.809027777777777,2.3444444444444446,1165.6666666666667,0.0,0,1,0,0,0,0,0,0
2019-05-01,3.368531468531471,184.16083916083917,2.1524475524475517,17.20139860139859,24.672027972027976,38.23776223776224,24.923776223776223,24.409090909090914,,,,2.8202797202797205,2.3720279720279724,1180.4965034965035,0.0,0,1,0,0,0,0,0,0
2019-05-02,3.9777777777777783,172.72222222222223,2.3875000000000006,22.05347222222223,23.666666666666657,49.958333333333336,23.97361111111112,23.352083333333333,,,,3.2805555555555546,2.725694444444445,1182.9652777777778,0.0,1,0,0,0,0,0,0,0
2019-05-03,3.9180555555555583,242.91666666666666,2.1784722222222213,21.19861111111111,18.47430555555555,70.58333333333333,18.733333333333334,18.227777777777774,,,,3.049999999999998,2.384722222222221,1181.513888888889,0.0,0,1,0,0,0,0,0,0
2019-05-04,3.9395833333333337,209.95833333333334,2.292361111111111,24.209027777777788,17.43055555555555,71.25694444444444,17.655555555555566,17.20416666666666,,,,3.139583333333333,2.530555555555554,1180.6458333333333,0.0,0,1,0,0,0,0,0,0
2019-05-05,3.4722222222222237,176.92361111111111,2.109027777777778,20.990972222222215,21.28124999999998,53.78472222222222,21.58888888888889,20.96736111111111,,,,2.9145833333333333,2.3673611111111104,1182.375,0.0,0,1,0,0,0,0,0,0
2019-05-06,4.613286713286714,189.11888111888112,2.6188811188811183,22.444055944055936,24.89370629370629,46.95104895104895,25.23706293706294,24.576223776223767,,,,3.7230769230769227,3.005594405594406,1178.6293706293707,0.0,0,1,0,0,0,0,0,0
2019-05-07,4.366666666666665,266.2361111111111,2.2881944444444446,21.43958333333333,18.66319444444445,70.15972222222223,18.946527777777774,18.374999999999996,,,,3.2847222222222228,2.495833333333334,1181.9305555555557,0.0,0,1,0,0,0,0,0,0
2019-05-08,3.9666666666666663,216.09722222222223,2.2458333333333336,22.16111111111112,16.390972222222217,70.60416666666667,16.70555555555556,16.087500000000002,,,,3.088888888888889,2.4465277777777783,1181.923611111111,0.0,0,1,0,0,0,0,0,0
2019-05-09,4.399999999999998,214.05755395683454,2.593525179856114,18.748201438848927,15.989928057553954,67.20143884892086,16.28776978417266,15.694964028776978,,,,3.4460431654676267,2.7863309352517986,1157.7122302158273,0.0,0,1,0,0,0,0,0,0
2019-05-10,3.9979166666666663,210.15972222222223,2.438194444444444,18.906944444444438,15.856250000000008,66.55555555555556,16.103472222222216,15.60069444444445,,,,3.1958333333333337,2.641666666666668,1183.6944444444443,0.0,0,1,0,0,0,0,0,0
