,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,East,North-West,North-East,North,South-East,West,South,South-West
2019-02-15,,,,,12.812500000000002,66.52083333333333,12.942361111111119,12.686805555555566,,,,,,,0.022222222222222227,1,0,0,0,0,0,0,0,0
2019-02-16,,,,,11.755555555555546,93.48611111111111,11.858333333333325,11.64305555555555,,,,,,,0.17291666666666672,1,0,0,0,0,0,0,0,0
2019-02-17,,,,,11.434027777777775,83.72222222222223,11.586805555555554,11.285416666666666,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-18,,,,,10.531468531468528,86.6923076923077,10.683216783216777,10.381118881118882,,,,,,,0.02237762237762238,1,0,0,0,0,0,0,0,0
2019-02-19,,,,,11.884027777777783,91.1875,12.014583333333329,11.755555555555555,,,,,,,0.001388888888888889,1,0,0,0,0,0,0,0,0
2019-02-20,,,,,11.736805555555556,90.05555555555556,11.880555555555555,11.598611111111113,,,,,,,0.0006944444444444445,1,0,0,0,0,0,0,0,0
2019-02-21,,,,,10.911111111111108,86.70138888888889,11.10902777777778,10.736111111111109,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-22,,,,,10.317361111111106,85.61805555555556,10.47986111111111,10.14722222222222,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-23,,,,,10.922916666666666,87.88194444444444,11.122916666666661,10.736111111111107,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-24,,,,,12.2625,81.24305555555556,12.469444444444445,12.080555555555556,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-25,,,,,17.92887323943662,53.274647887323944,18.150704225352115,17.730281690140842,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-26,,,,,15.877083333333331,66.97916666666667,16.040972222222223,15.711111111111116,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-27,,,,,14.438888888888885,85.71527777777777,14.65138888888889,14.247222222222222,,,,,,,0.13472222222222227,1,0,0,0,0,0,0,0,0
2019-02-28,,,,,12.949305555555556,73.89583333333333,13.139583333333338,12.774999999999999,,,,,,,0.03472222222222222,1,0,0,0,0,0,0,0,0
2019-03-01,,,,,13.513888888888891,66.55555555555556,13.629861111111106,13.39166666666667,,,,,,,0.011805555555555557,1,0,0,0,0,0,0,0,0
2019-03-02,,,,,12.034722222222227,96.83333333333333,12.12638888888889,11.941666666666656,,,,,,,0.027083333333333334,1,0,0,0,0,0,0,0,0
2019-03-03,,,,,11.762500000000001,80.59722222222223,11.916666666666666,11.626388888888888,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-04,,,,,12.921527777777778,89.77777777777777,13.070138888888891,12.766666666666667,,,,,,,0.005555555555555556,1,0,0,0,0,0,0,0,0
2019-03-05,,,,,11.99861111111111,90.91666666666667,12.156944444444449,11.840277777777775,,,,,,,0.1333333333333334,1,0,0,0,0,0,0,0,0
2019-03-06,,,,,11.975694444444446,89.25,12.161805555555562,11.813888888888888,,,,,,,0.0006944444444444445,1,0,0,0,0,0,0,0,0
2019-03-07,,,,,12.777777777777777,87.05555555555556,12.907638888888885,12.654166666666665,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-08,,,,,13.052777777777777,82.09722222222223,13.257638888888883,12.852777777777776,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-09,,,,,11.124305555555557,82.34722222222223,11.313888888888885,10.952083333333329,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-10,,,,,12.119444444444444,84.20138888888889,12.299999999999995,11.949305555555549,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-11,,,,,13.444444444444443,85.34027777777777,13.608333333333336,13.293750000000001,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-12,,,,,14.190277777777775,85.40277777777777,14.421527777777783,13.971527777777771,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-13,,,,,16.351388888888877,71.6875,16.509722222222226,16.163888888888888,,,,,,,0.0020833333333333337,1,0,0,0,0,0,0,0,0
2019-03-14,,,,,13.622222222222213,89.08333333333333,13.748611111111103,13.504166666666663,,,,,,,0.09513888888888888,1,0,0,0,0,0,0,0,0
2019-03-15,,,,,14.868055555555552,82.61111111111111,15.013888888888898,14.73958333333334,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-16,,,,,12.67569444444444,89.11111111111111,12.858333333333327,12.493749999999999,,,,,,,0.11458333333333333,1,0,0,0,0,0,0,0,0
2019-03-17,,,,,15.087499999999999,79.55555555555556,15.247222222222215,14.91805555555555,,,,,,,0.017361111111111112,1,0,0,0,0,0,0,0,0
2019-03-18,,,,,13.695833333333336,88.26388888888889,13.860416666666662,13.536805555555553,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-19,,,,,14.22361111111111,82.90972222222223,14.445833333333335,14.02361111111111,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-20,,,,,14.700694444444444,85.79861111111111,14.881944444444445,14.520138888888889,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-21,,,,,15.504861111111106,90.70138888888889,15.686805555555553,15.321527777777776,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-22,,,,,15.412500000000001,91.78472222222223,15.584027777777777,15.24652777777778,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-23,,,,,15.874305555555553,91.16666666666667,16.02708333333333,15.739583333333314,,,,,,,0.0,1,0,0,0,0,0,0,0,0
