,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-West,South,West,South-East,North,East
2019-06-10,4.295138888888892,185.27777777777777,2.4236111111111103,18.94097222222223,25.63819444444444,41.791666666666664,25.87986111111112,25.39930555555556,,,,3.4666666666666672,2.711805555555555,1182.1875,0.0,0,0,1,0,0,0,0,0
2019-06-11,3.6698529411764707,183.25735294117646,2.0029411764705887,25.811029411764718,27.125,37.19117647058823,27.358088235294122,26.872794117647064,,,,2.9566176470588252,2.2286764705882365,1181.1029411764705,0.0,0,0,1,0,0,0,0,0
2019-06-12,4.300694444444443,228.04166666666666,2.5673611111111114,17.531944444444438,24.16805555555555,64.1875,24.391666666666666,23.9423611111111,,,,3.5305555555555572,2.804166666666666,1181.388888888889,0.0,0,0,1,0,0,0,0,0
2019-06-13,4.786805555555556,238.625,2.894444444444443,16.613888888888894,22.63680555555555,75.57638888888889,22.837499999999995,22.443055555555556,,,,3.9069444444444454,3.118749999999999,1166.201388888889,0.0,0,0,1,0,0,0,0,0
2019-06-14,3.862500000000002,227.05555555555554,2.2166666666666672,18.516666666666676,22.881250000000005,73.84722222222223,23.08333333333333,22.685416666666658,,,,3.150694444444445,2.455555555555555,1180.7152777777778,0.0,0,0,1,0,0,0,0,0
2019-06-15,3.390972222222224,208.375,1.8569444444444447,22.013888888888896,23.373611111111117,73.42361111111111,23.599305555555567,23.17083333333334,,,,2.758333333333333,2.0548611111111117,1181.9444444444443,0.0,0,0,1,0,0,0,0,0
2019-06-16,3.918750000000002,196.20833333333334,2.2381944444444444,18.956944444444442,25.025694444444454,59.59722222222222,25.244444444444454,24.822916666666682,,,,3.1930555555555533,2.459027777777779,1181.3472222222222,0.0,0,0,1,0,0,0,0,0
2019-06-17,4.940972222222224,221.10416666666666,2.8937500000000007,16.345833333333335,24.2625,69.27083333333333,24.474999999999998,24.072916666666668,,,,3.9270833333333335,3.1215277777777777,1183.3194444444443,0.0,0,0,1,0,0,0,0,0
2019-06-18,4.01736111111111,210.90972222222223,2.314583333333333,16.683333333333323,23.664583333333344,73.3125,23.886111111111106,23.454861111111107,,,,3.2569444444444446,2.5180555555555566,1181.7083333333333,0.0,0,0,1,0,0,0,0,0
2019-06-19,4.1375,209.90277777777777,2.377777777777778,18.60694444444446,24.181944444444447,64.71527777777777,24.390972222222217,23.96875,,,,3.3270833333333325,2.57013888888889,1165.423611111111,0.0,0,0,1,0,0,0,0,0
