,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-West,East,North,South-East,West,South
2019-02-15,9.524305555555559,191.77083333333334,5.356250000000003,16.615972222222226,10.429166666666665,60.520833333333336,10.5625,10.296527777777776,,,,7.253472222222218,5.793055555555559,1182.1944444444443,0.07152777777777779,0,0,1,0,0,0,0,0
2019-02-16,6.500000000000002,193.04861111111111,3.6944444444444446,16.45347222222222,9.992361111111109,88.61805555555556,10.13263888888889,9.865972222222217,,,,5.080555555555556,4.05625,1182.201388888889,0.2673611111111114,0,0,1,0,0,0,0,0
2019-02-17,3.9138888888888905,158.74305555555554,2.3750000000000004,13.934027777777775,10.640972222222219,71.22916666666667,10.797222222222228,10.471527777777784,,,,3.1472222222222244,2.586805555555556,1181.9583333333333,0.0,0,1,0,0,0,0,0,0
2019-02-18,3.9034965034965032,169.5944055944056,2.245454545454545,15.394405594405596,9.204195804195804,75.66433566433567,9.379720279720274,9.03076923076923,,,,3.1188811188811196,2.492307692307692,1182.3496503496503,0.0,0,1,0,0,0,0,0,0
2019-02-19,3.2923611111111124,156.69444444444446,1.9902777777777783,14.270138888888892,9.985416666666671,87.78472222222223,10.138888888888893,9.834722222222222,,,,2.6819444444444462,2.1833333333333345,1165.548611111111,0.003472222222222222,0,1,0,0,0,0,0,0
2019-02-20,2.539583333333334,183.19444444444446,1.453472222222222,16.735416666666666,11.109722222222224,82.46527777777777,11.310416666666661,10.92013888888889,,,,2.090972222222222,1.650694444444445,1183.3333333333333,0.0,0,0,1,0,0,0,0,0
2019-02-21,2.511111111111112,194.67361111111111,1.4187499999999995,19.176388888888884,10.272916666666667,81.09027777777777,10.446527777777778,10.10625000000001,,,,2.0548611111111117,1.6375000000000002,1165.798611111111,0.0,0,0,1,0,0,0,0,0
2019-02-22,2.794444444444444,181.27083333333334,1.5479166666666666,20.558333333333337,10.218055555555555,77.76388888888889,10.436805555555559,10.01388888888889,,,,2.224305555555555,1.7590277777777774,1181.513888888889,0.0,0,0,1,0,0,0,0,0
2019-02-23,2.907638888888889,155.38888888888889,1.6923611111111108,21.06388888888889,11.169444444444444,79.34027777777777,11.395138888888885,10.961805555555555,,,,2.392361111111111,1.9395833333333339,1182.6319444444443,0.0020833333333333337,0,1,0,0,0,0,0,0
2019-02-24,3.554861111111111,143.72916666666666,2.09861111111111,19.768055555555566,13.547222222222228,62.576388888888886,13.71388888888889,13.36805555555555,,,,2.8756944444444463,2.3340277777777754,1182.8333333333333,0.0,0,1,0,0,0,0,0,0
