,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,West,East,South,North
2019-04-01,9.439583333333331,235.25694444444446,5.43263888888889,20.194444444444443,10.038194444444448,98.3125,10.14375,9.93263888888889,108.4375,,,6.922916666666662,5.77986111111111,1165.8055555555557,0.10763888888888888,0,0,0,1,0,0,0,0
2019-04-02,6.117361111111109,233.3125,3.920138888888888,15.347222222222225,11.21944444444445,90.54166666666667,11.320833333333333,11.111111111111107,191.69444444444446,,,4.949999999999995,4.184722222222224,1181.638888888889,0.015277777777777779,0,0,0,1,0,0,0,0
2019-04-03,3.1618055555555555,166.58333333333334,2.0451388888888875,19.275694444444454,13.223611111111119,74.32638888888889,13.373611111111117,13.070833333333333,235.33333333333334,,,2.604861111111111,2.191666666666666,1182.7569444444443,0.0,0,1,0,0,0,0,0,0
2019-04-04,4.316666666666666,147.70138888888889,2.601388888888888,17.688194444444452,14.62222222222221,73.31944444444444,14.761805555555545,14.456944444444442,254.76388888888889,,,3.4090277777777778,2.838194444444444,1181.451388888889,0.0,0,1,0,0,0,0,0,0
2019-04-05,4.606944444444443,241.11111111111111,2.407638888888889,23.52847222222222,13.79027777777778,88.95833333333333,13.919444444444451,13.667361111111116,199.84722222222223,,,3.459027777777777,2.627777777777777,1182.4097222222222,0.0,0,0,0,1,0,0,0,0
2019-04-06,5.222916666666665,79.59027777777777,3.9124999999999996,10.540277777777783,15.086111111111116,72.14583333333333,15.208333333333334,14.957638888888873,142.76388888888889,,,4.608333333333331,4.147916666666665,1166.2222222222222,0.0,1,0,0,0,0,0,0,0
2019-04-07,5.297916666666667,178.50694444444446,3.2013888888888893,20.188194444444427,19.979166666666675,44.24305555555556,20.163888888888877,19.793055555555565,276.5138888888889,,,4.198611111111108,3.4541666666666675,1165.923611111111,0.0,0,1,0,0,0,0,0,0
2019-04-08,5.351388888888892,225.36805555555554,3.7972222222222203,12.456944444444444,17.764583333333338,66.77777777777777,17.945138888888877,17.59583333333332,295.68055555555554,,,4.534722222222225,3.9861111111111094,1182.361111111111,0.0,0,0,0,1,0,0,0,0
2019-04-09,6.199999999999999,245.97222222222223,3.854861111111111,16.249305555555555,16.95069444444444,65.81944444444444,17.111111111111104,16.786111111111122,291.8958333333333,,,4.934027777777778,4.127777777777776,1182.986111111111,0.0,0,0,0,1,0,0,0,0
2019-04-10,6.200694444444442,262.125,3.941666666666667,15.444444444444445,13.592361111111114,81.125,13.754166666666666,13.447222222222223,259.68055555555554,,,5.051388888888889,4.199305555555557,1182.0416666666667,0.0,0,0,0,1,0,0,0,0
