,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,East,West,South,North-East,North
2019-08-01,6.19699248120301,271.6616541353383,3.540601503759396,19.218045112781972,24.733082706766915,80.59398496240601,24.854887218045096,24.61729323308269,351.9172932330827,,,4.722556390977444,3.7060150375939847,1227.6917293233082,0.0,0,1,0,0,0,0,0,0
2019-08-02,8.139583333333334,255.63194444444446,5.077083333333332,16.676388888888894,24.043055555555565,83.73611111111111,24.172222222222207,23.93541666666667,211.61805555555554,,,6.393749999999999,5.346527777777775,1181.5902777777778,0.0,0,0,1,0,0,0,0,0
2019-08-03,7.627777777777778,255.44444444444446,4.8062499999999995,15.709722222222224,24.034722222222214,84.74305555555556,24.169444444444444,23.90833333333334,268.5138888888889,,,6.076388888888888,5.104861111111113,1165.7083333333333,0.0,0,0,1,0,0,0,0,0
2019-08-04,9.170212765957443,235.47517730496455,6.738297872340425,12.582269503546105,23.92482269503544,88.77304964539007,24.041134751773043,23.812765957446803,299.59027777777777,,,7.785815602836878,6.947517730496456,1185.950354609929,0.0,0,0,1,0,0,0,0,0
2019-08-05,8.665277777777778,239.59722222222223,5.870138888888888,15.89583333333333,24.2326388888889,88.55555555555556,24.352777777777785,24.101388888888895,284.06944444444446,,,7.092361111111109,6.1902777777777755,1183.25,0.0,0,0,1,0,0,0,0,0
2019-08-06,7.1812499999999995,245.5625,4.493055555555554,16.648611111111112,23.875694444444438,77.29166666666667,24.027083333333337,23.72708333333332,314.0833333333333,,,5.748611111111112,4.773611111111111,1182.3125,0.0,0,0,1,0,0,0,0,0
2019-08-07,6.7735714285714295,246.25,4.461428571428568,14.164285714285718,23.980714285714285,74.47857142857143,24.09428571428572,23.862142857142842,297.2,,,5.516428571428573,4.705,1175.392857142857,0.0,0,0,1,0,0,0,0,0
2019-08-08,6.89375,263.7083333333333,4.516666666666666,13.721527777777773,24.17777777777778,81.60416666666667,24.309027777777786,24.05624999999999,278.0,,,5.621527777777776,4.715972222222224,1181.3680555555557,0.0,0,0,1,0,0,0,0,0
2019-08-09,9.790972222222216,247.09027777777777,6.544444444444447,15.602083333333342,23.88263888888888,83.94444444444444,24.009722222222216,23.749999999999993,303.7083333333333,,,7.890972222222223,6.82777777777778,1181.8194444444443,0.0,0,0,1,0,0,0,0,0
2019-08-10,9.943055555555553,244.06944444444446,6.384722222222224,17.929166666666664,23.65347222222222,82.08333333333333,23.78194444444444,23.5173611111111,283.1041666666667,,,7.761805555555556,6.6694444444444425,1181.888888888889,0.0,0,0,1,0,0,0,0,0
2019-08-11,8.026388888888885,253.875,5.2875,15.011805555555563,23.864583333333332,85.02777777777777,23.987499999999997,23.751388888888876,298.21527777777777,,,6.515972222222218,5.541666666666668,1181.7847222222222,0.0,0,0,1,0,0,0,0,0
