,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-West,East,North,South-East,West,South
2019-02-15,5.440972222222223,179.3125,3.1916666666666655,20.071527777777774,8.727083333333331,70.95833333333333,8.829166666666662,8.629166666666668,,,,4.37083333333333,3.5243055555555554,1182.138888888889,0.08194444444444446,0,0,1,0,0,0,0,0
2019-02-16,4.896527777777778,213.08333333333334,2.6173611111111104,21.146527777777788,8.45416666666666,93.45833333333333,8.527777777777775,8.390972222222214,,,,3.7465277777777795,2.943750000000001,1165.0972222222222,0.19791666666666674,0,0,1,0,0,0,0,0
2019-02-17,4.070833333333332,147.03472222222223,2.8194444444444446,14.445833333333335,8.485416666666667,82.52777777777777,8.629166666666665,8.347916666666666,,,,3.5138888888888884,3.0159722222222225,1183.923611111111,0.010416666666666668,0,1,0,0,0,0,0,0
2019-02-18,4.168531468531467,207.53146853146853,2.814685314685316,14.325174825174825,8.177622377622379,80.7972027972028,8.330769230769235,8.016783216783217,,,,3.4944055944055945,3.023776223776225,1182.013986013986,0.0055944055944055935,0,0,1,0,0,0,0,0
2019-02-19,2.7652777777777775,226.44444444444446,1.5541666666666667,17.37847222222223,8.953472222222222,90.8125,9.090277777777766,8.81180555555555,,,,2.19861111111111,1.7215277777777773,1181.625,0.0,0,0,1,0,0,0,0,0
2019-02-20,2.5395833333333337,171.71527777777777,1.5951388888888889,16.31875000000001,10.140972222222224,86.47222222222223,10.340277777777779,9.934722222222216,,,,2.122916666666667,1.7749999999999995,1165.8125,0.0006944444444444445,0,1,0,0,0,0,0,0
2019-02-21,3.404861111111113,136.22222222222223,2.324999999999998,14.181249999999997,9.699305555555554,78.04166666666667,9.910416666666666,9.488888888888885,,,,2.918055555555556,2.532638888888888,1182.0694444444443,0.0,0,1,0,0,0,0,0,0
2019-02-22,3.1201388888888872,163.03472222222223,2.130555555555555,14.381944444444445,9.947222222222216,75.83333333333333,10.143749999999999,9.749305555555557,,,,2.666666666666667,2.322222222222223,1181.7291666666667,0.0,0,1,0,0,0,0,0,0
2019-02-23,3.5340277777777778,143.80555555555554,2.2694444444444444,16.00555555555556,10.76527777777778,74.83333333333333,10.997222222222215,10.519444444444437,,,,2.9583333333333335,2.482638888888888,1166.298611111111,0.0,0,1,0,0,0,0,0,0
2019-02-24,9.482638888888886,65.5625,6.875694444444446,10.711805555555554,13.154861111111108,64.06944444444444,13.28263888888888,13.016666666666667,,,,8.004166666666668,7.109027777777782,1166.2847222222222,0.0,1,0,0,0,0,0,0,0
2019-02-25,12.935416666666667,60.34722222222222,9.606249999999998,7.184722222222222,16.147222222222226,48.791666666666664,16.27361111111111,16.01180555555557,,,,10.98541666666667,9.849305555555553,1182.4791666666667,0.0,1,0,0,0,0,0,0,0
2019-02-26,10.497916666666665,171.25,6.578472222222218,16.34513888888889,14.55902777777778,57.0,14.703472222222226,14.428472222222227,,,,8.181944444444444,6.927777777777774,1181.173611111111,0.0,0,1,0,0,0,0,0,0
2019-02-27,7.690972222222225,240.72916666666666,3.8916666666666666,22.795138888888875,10.13819444444445,95.6875,10.256944444444448,10.024999999999999,,,,5.519444444444443,4.25,1165.2083333333333,0.4986111111111111,0,0,1,0,0,0,0,0
2019-02-28,9.68263888888889,258.7986111111111,5.227083333333336,18.918055555555547,7.884722222222221,88.4375,8.007638888888884,7.745833333333327,,,,7.195138888888888,5.725694444444446,1182.138888888889,0.08958333333333329,0,0,1,0,0,0,0,0
2019-03-01,6.429166666666665,263.59027777777777,3.7409722222222217,16.514583333333334,8.756944444444445,71.90277777777777,8.88888888888889,8.626388888888895,,,,4.943055555555558,4.030555555555554,1182.4930555555557,0.0,0,0,1,0,0,0,0,0
2019-03-02,4.059027777777777,205.71527777777777,2.061805555555555,21.906250000000004,9.342361111111119,91.88194444444444,9.429861111111114,9.261111111111118,,,,3.059027777777779,2.32361111111111,1165.6805555555557,0.040972222222222215,0,0,1,0,0,0,0,0
2019-03-03,2.8944444444444435,142.59027777777777,1.8194444444444449,17.140972222222217,9.613888888888887,78.54166666666667,9.790972222222218,9.434722222222216,,,,2.4215277777777775,1.9958333333333336,1183.0208333333333,0.0,0,1,0,0,0,0,0,0
2019-03-04,3.1875,159.32638888888889,1.930555555555556,19.40902777777778,10.279166666666661,87.54861111111111,10.413194444444441,10.136805555555553,,,,2.6666666666666683,2.169444444444444,1182.5347222222222,0.03194444444444445,0,1,0,0,0,0,0,0
2019-03-05,4.660416666666666,107.75,3.4305555555555576,13.36111111111111,11.02430555555556,81.02083333333333,11.209027777777775,10.850694444444445,,,,4.088194444444442,3.6569444444444477,1182.5833333333333,0.02013888888888889,0,1,0,0,0,0,0,0
2019-03-06,4.126388888888888,222.40277777777777,2.487500000000001,17.60277777777778,11.662499999999996,76.19444444444444,11.811805555555553,11.506249999999998,,,,3.3166666666666664,2.711805555555554,1181.9652777777778,0.0,0,0,1,0,0,0,0,0
2019-03-07,4.965972222222223,258.25,2.871527777777778,17.181944444444444,10.559285714285721,86.22857142857143,10.680000000000005,10.432857142857143,,,,3.7694444444444457,3.083333333333333,1166.6180555555557,0.0,0,0,1,0,0,0,0,0
2019-03-08,4.918750000000001,257.30555555555554,2.909027777777777,22.309722222222224,11.939583333333333,66.36111111111111,12.15902777777778,11.72361111111111,,,,3.9479166666666674,3.2111111111111095,1183.5347222222222,0.0,0,0,1,0,0,0,0,0
2019-03-09,3.186805555555556,122.36111111111111,2.144444444444445,14.05555555555555,11.773611111111107,62.958333333333336,12.02152777777778,11.51180555555556,,,,2.7118055555555554,2.342361111111113,1165.8194444444443,0.0,0,1,0,0,0,0,0,0
2019-03-10,3.793749999999999,192.20138888888889,2.165277777777778,18.72916666666666,10.904166666666667,73.29861111111111,11.111111111111118,10.700694444444448,,,,2.9715277777777787,2.376388888888888,1182.8472222222222,0.0,0,0,1,0,0,0,0,0
2019-03-11,3.122222222222224,186.19444444444446,1.8583333333333327,16.781249999999996,11.78333333333333,83.84722222222223,11.98680555555555,11.580555555555554,,,,2.4930555555555562,2.0520833333333326,1181.5277777777778,0.0,0,0,1,0,0,0,0,0
2019-03-12,5.337500000000002,98.38194444444444,4.025000000000001,10.79097222222222,14.977083333333338,66.09027777777777,15.179166666666662,14.777083333333337,,,,4.669444444444444,4.217361111111112,1166.513888888889,0.0,0,1,0,0,0,0,0,0
2019-03-13,6.64791666666667,166.38194444444446,4.284027777777777,17.29583333333333,15.716666666666676,50.25694444444444,15.939583333333344,15.499305555555557,,,,5.341666666666666,4.604861111111111,1182.4930555555557,0.015277777777777779,0,1,0,0,0,0,0,0
2019-03-14,4.177777777777778,241.52777777777777,2.238888888888889,20.511111111111106,9.803472222222226,90.3125,9.90902777777778,9.704861111111116,,,,3.2048611111111116,2.486111111111111,1183.1805555555557,0.056944444444444436,0,0,1,0,0,0,0,0
2019-03-15,4.2548611111111105,200.27777777777777,2.559027777777777,15.26041666666667,11.93263888888889,79.26388888888889,12.077777777777776,11.803472222222219,,,,3.360416666666666,2.797916666666666,1181.625,0.005555555555555556,0,0,1,0,0,0,0,0
2019-03-16,5.9215277777777775,193.875,3.4777777777777774,16.6486111111111,8.92847222222223,89.52083333333333,9.045833333333343,8.826388888888893,,,,4.660416666666667,3.832638888888889,1166.2847222222222,0.3354166666666669,0,0,1,0,0,0,0,0
2019-03-17,6.387499999999998,245.22916666666666,3.670833333333335,18.40555555555556,11.366666666666669,86.80555555555556,11.491666666666667,11.265972222222222,,,,4.849305555555557,3.9611111111111117,1181.4444444444443,0.003472222222222222,0,0,1,0,0,0,0,0
2019-03-18,3.4215277777777766,213.77083333333334,1.9715277777777775,17.78680555555555,12.500000000000007,84.51388888888889,12.635416666666668,12.37638888888889,,,,2.7180555555555586,2.1694444444444443,1181.361111111111,0.0,0,0,1,0,0,0,0,0
2019-03-19,3.708333333333334,143.11805555555554,2.742361111111111,11.865277777777777,14.307638888888887,73.34722222222223,14.51180555555555,14.106249999999989,,,,3.2694444444444444,2.917361111111111,1182.3194444444443,0.0,0,1,0,0,0,0,0,0
2019-03-20,7.518055555555557,88.24305555555556,5.156250000000001,15.201388888888895,17.065972222222232,55.5625,17.23958333333333,16.88888888888888,,,,6.197222222222221,5.405555555555555,1165.9652777777778,0.0,1,0,0,0,0,0,0,0
