,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,South-East,South-West,East,North-West,West,South,North-East,North
2019-08-01,5.549650349650347,262.5244755244755,3.834965034965034,10.872027972027972,25.972727272727283,78.64335664335664,26.165734265734265,25.78951048951049,331.65034965034965,,,4.68111888111888,4.023776223776225,1173.944055944056,0.0,0,1,0,0,0,0,0,0
2019-08-02,6.27430555555556,246.30555555555554,4.459027777777774,10.51666666666666,25.643055555555566,79.70833333333333,25.861805555555563,25.434027777777782,280.74305555555554,,,5.3305555555555575,4.648611111111108,1182.048611111111,0.0,0,1,0,0,0,0,0,0
2019-08-03,5.8583333333333325,245.625,4.028472222222223,11.393749999999997,25.640277777777783,80.76388888888889,25.84513888888889,25.444444444444457,307.68055555555554,,,4.929861111111112,4.220833333333331,1181.9375,0.0,0,1,0,0,0,0,0,0
2019-08-04,6.439583333333331,236.59722222222223,4.368055555555555,12.76527777777778,26.13055555555556,83.08333333333333,26.31736111111111,25.965277777777786,319.36805555555554,,,5.2847222222222205,4.569444444444444,1165.513888888889,0.0,0,1,0,0,0,0,0,0
2019-08-05,6.599999999999996,235.68055555555554,4.329861111111111,13.438194444444441,26.42430555555556,84.30555555555556,26.59097222222222,26.256249999999998,293.6666666666667,,,5.343055555555556,4.520833333333332,1165.4305555555557,0.0,0,1,0,0,0,0,0,0
2019-08-06,5.7256944444444455,233.15277777777777,3.7180555555555577,13.102083333333335,25.784722222222214,75.09722222222223,25.971527777777762,25.61319444444443,322.0763888888889,,,4.637499999999999,3.9097222222222245,1180.5,0.0,0,1,0,0,0,0,0,0
2019-08-07,5.7929078014184405,236.32624113475177,3.9085106382978734,12.66382978723405,25.68014184397163,75.17021276595744,25.882978723404257,25.49007092198582,281.21276595744683,,,4.82340425531915,4.126241134751773,1189.1985815602836,0.0,0,1,0,0,0,0,0,0
2019-08-08,5.549305555555557,256.4236111111111,3.844444444444443,11.74236111111111,25.71597222222222,79.54166666666667,25.931250000000002,25.520138888888898,297.2013888888889,,,4.695138888888888,4.043055555555553,1166.25,0.0,0,1,0,0,0,0,0,0
2019-08-09,7.487499999999997,241.35416666666666,5.232638888888891,11.268055555555545,25.737499999999997,81.59027777777777,25.911805555555546,25.57430555555554,324.69444444444446,,,6.247222222222219,5.438194444444443,1165.6805555555557,0.0,0,1,0,0,0,0,0,0
2019-08-10,7.552777777777777,242.3125,5.263888888888889,11.281250000000004,25.45208333333335,80.17361111111111,25.642361111111118,25.27430555555556,314.0833333333333,,,6.257638888888889,5.484722222222218,1181.548611111111,0.0,0,1,0,0,0,0,0,0
2019-08-11,6.519444444444444,249.83333333333334,4.54375,11.23402777777778,25.520138888888894,82.70833333333333,25.70347222222223,25.336805555555568,307.0833333333333,,,5.447916666666668,4.727777777777777,1182.6805555555557,0.0,0,1,0,0,0,0,0,0
2019-08-12,5.990277777777774,241.47916666666666,4.108333333333333,11.653472222222216,25.936111111111114,82.35416666666667,26.122916666666672,25.764583333333345,320.75694444444446,,,4.98888888888889,4.301388888888886,1181.111111111111,0.0,0,1,0,0,0,0,0,0
2019-08-13,5.41597222222222,249.31944444444446,3.8277777777777766,11.211111111111105,26.706944444444442,80.81944444444444,26.91458333333332,26.52222222222222,310.99305555555554,,,4.558333333333333,3.9840277777777766,1183.2083333333333,0.0,0,1,0,0,0,0,0,0
2019-08-14,5.822627737226275,253.8029197080292,4.110948905109492,11.448905109489049,26.01240875912408,79.15328467153284,26.202189781021893,25.83503649635036,309.3541666666667,,,4.921897810218978,4.294160583941611,1188.5255474452554,0.0,0,1,0,0,0,0,0,0
2019-08-15,5.027007299270073,193.37956204379563,3.4467153284671523,13.416058394160586,26.387591240875913,65.57664233576642,26.570802919708026,26.198540145985405,278.3649635036496,,,4.225547445255475,3.621167883211679,1167.6788321167883,0.0,0,1,0,0,0,0,0,0
2019-08-16,4.995138888888887,200.59722222222223,3.600694444444443,10.951388888888884,28.21597222222222,47.02777777777778,28.43819444444443,28.02152777777778,319.40277777777777,,,4.338194444444443,3.7861111111111105,1183.0208333333333,0.0,0,1,0,0,0,0,0,0
2019-08-17,6.1375,252.20138888888889,4.268055555555556,12.08472222222222,25.610416666666673,75.54166666666667,25.82986111111111,25.411805555555553,300.5625,,,5.180555555555556,4.475000000000001,1165.5347222222222,0.0,0,1,0,0,0,0,0,0
