,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,South,East,West,North
2019-02-15,10.37708333333334,241.38888888888889,5.817361111111109,18.77152777777778,7.199305555555554,59.486111111111114,7.324305555555554,7.090972222222221,171.41666666666666,128.05594405594405,75.1875,8.154166666666663,6.323611111111112,1182.1875,0.0,0,0,0,1,0,0,0,0
2019-02-16,8.795833333333329,258.6666666666667,5.049305555555553,17.867361111111112,7.272222222222222,91.1875,7.360416666666669,7.179861111111107,111.01388888888889,38.86805555555556,78.15972222222223,6.90902777777778,5.463194444444442,1181.3680555555557,0.0076388888888888895,0,0,0,1,0,0,0,0
2019-02-17,4.503472222222225,242.06944444444446,2.844444444444444,13.699999999999998,8.277083333333335,69.06944444444444,8.420833333333333,8.136111111111111,155.0,155.3049645390071,67.82638888888889,3.7819444444444454,3.096527777777778,1180.9583333333333,0.0,0,0,0,1,0,0,0,0
2019-02-18,5.091666666666668,250.90972222222223,3.10763888888889,15.018055555555557,5.90486111111111,88.39583333333333,6.031250000000002,5.797916666666667,109.81944444444444,40.47222222222222,84.70138888888889,4.147916666666668,3.3854166666666665,1181.5208333333333,0.004861111111111111,0,0,0,1,0,0,0,0
2019-02-19,4.7708333333333375,284.3958333333333,2.9826388888888884,14.49583333333333,7.288194444444439,94.57638888888889,7.3916666666666675,7.188888888888887,107.00694444444444,64.47552447552448,70.04861111111111,3.9319444444444422,3.227777777777777,1166.3125,0.001388888888888889,0,0,1,0,0,0,0,0
2019-02-20,3.062499999999999,252.125,1.8249999999999993,17.62986111111112,8.631944444444438,88.81944444444444,8.74930555555555,8.529861111111108,88.31944444444444,43.263888888888886,61.138888888888886,2.497222222222222,2.016666666666666,1181.9722222222222,0.003472222222222222,0,0,0,1,0,0,0,0
2019-02-21,3.948611111111111,299.56944444444446,2.418055555555555,16.31180555555556,8.540972222222221,79.42361111111111,8.70694444444444,8.389583333333333,189.61111111111111,153.2237762237762,81.94444444444444,3.2118055555555567,2.6708333333333325,1183.1319444444443,0.0,0,0,1,0,0,0,0,0
2019-02-22,2.900694444444444,271.8888888888889,1.8284722222222227,14.408333333333335,7.852777777777776,86.35416666666667,7.979166666666668,7.716666666666662,116.12587412587412,121.85106382978724,49.979166666666664,2.4229166666666675,2.0409722222222224,1164.9791666666667,0.010416666666666668,0,0,1,0,0,0,0,0
2019-02-23,2.13611111111111,218.51388888888889,1.2340277777777777,15.999999999999996,8.890277777777776,83.38888888888889,9.070138888888884,8.72847222222222,136.54285714285714,159.4825174825175,57.763888888888886,1.752777777777777,1.4069444444444446,1182.0208333333333,0.0020833333333333337,0,0,0,1,0,0,0,0
2019-02-24,2.908333333333333,148.15277777777777,1.7722222222222228,14.225694444444441,11.24861111111111,64.1875,11.455555555555556,11.050000000000002,206.20138888888889,177.0,81.95833333333333,2.395833333333334,1.941666666666666,1182.3125,0.0,0,1,0,0,0,0,0,0
2019-02-25,5.787499999999999,84.53472222222223,3.778472222222224,11.45555555555556,15.870833333333334,32.548611111111114,16.03680555555556,15.693750000000001,221.3125,202.5034965034965,77.0,4.673611111111112,3.964583333333334,1183.0972222222222,0.0,1,0,0,0,0,0,0,0
2019-02-26,9.737500000000002,247.20833333333334,6.069444444444444,14.57777777777777,11.97986111111111,51.423611111111114,12.139583333333338,11.83333333333334,210.79166666666666,177.43055555555554,78.70138888888889,7.7250000000000005,6.411805555555556,1165.076388888889,0.0,0,0,0,1,0,0,0,0
2019-02-27,13.624305555555564,261.03472222222223,7.886111111111109,17.06666666666666,8.097222222222229,98.0,8.20347222222222,7.992361111111115,81.63194444444444,15.083333333333334,64.375,10.47083333333333,8.424999999999994,1165.3402777777778,0.2673611111111113,0,0,0,1,0,0,0,0
2019-02-28,15.162499999999998,266.81944444444446,8.60902777777777,17.368055555555564,5.438194444444442,99.03472222222223,5.581249999999996,5.2916666666666705,19.930555555555557,0.006944444444444444,17.875,11.54375,9.246527777777777,1182.3055555555557,0.5833333333333329,0,0,0,1,0,0,0,0
2019-03-01,9.827083333333333,282.34027777777777,5.798611111111109,15.811111111111112,6.048611111111112,93.88194444444444,6.147916666666667,5.954166666666668,122.25,0.05309734513274336,82.51388888888889,7.723611111111113,6.172916666666667,1164.75,0.029861111111111116,0,0,1,0,0,0,0,0
2019-03-02,6.321527777777776,243.84722222222223,3.7479166666666646,14.548611111111118,6.990277777777778,95.97222222222223,7.081944444444441,6.9041666666666694,114.72916666666667,0.0,70.83333333333333,5.075694444444448,4.0777777777777775,1181.9444444444443,0.04027777777777777,0,0,0,1,0,0,0,0
2019-03-03,4.6437500000000025,219.125,2.7680555555555557,12.559722222222218,9.307638888888883,59.36805555555556,9.45625,9.165277777777778,177.40277777777777,87.6078431372549,91.43055555555556,3.781250000000001,3.017361111111111,1182.263888888889,0.0,0,0,0,1,0,0,0,0
2019-03-04,5.132638888888888,260.2986111111111,2.988888888888888,16.58888888888889,9.507638888888886,78.01388888888889,9.65277777777778,9.379166666666666,151.61111111111111,0.0,71.40972222222223,4.123611111111114,3.3013888888888885,1182.7708333333333,0.0,0,0,0,1,0,0,0,0
2019-03-05,2.824305555555554,197.70833333333334,1.7638888888888895,13.693055555555548,8.886111111111113,84.01388888888889,9.015972222222224,8.767361111111107,69.63194444444444,0.0,56.361111111111114,2.352777777777778,1.9847222222222218,1165.3680555555557,0.00625,0,0,0,1,0,0,0,0
2019-03-06,4.852777777777778,307.52777777777777,2.863888888888889,16.386805555555544,9.74861111111111,83.70138888888889,9.92222222222222,9.572222222222228,241.99305555555554,,55.291666666666664,3.8895833333333325,3.1201388888888877,1166.361111111111,0.0,0,0,1,0,0,0,0,0
2019-03-07,7.981944444444447,296.5138888888889,4.95,13.66875,8.958333333333329,91.36805555555556,9.098611111111113,8.84097222222222,168.27083333333334,,80.72916666666667,6.3909722222222225,5.263194444444447,1181.8055555555557,0.0,0,0,1,0,0,0,0,0
2019-03-08,6.771527777777777,298.4791666666667,4.036805555555556,15.843055555555557,9.946527777777778,72.40972222222223,10.100694444444443,9.794444444444446,264.5625,,35.61805555555556,5.435416666666666,4.383333333333334,1164.4166666666667,0.0,0,0,1,0,0,0,0,0
2019-03-09,3.165972222222223,191.46527777777777,1.8638888888888887,14.63055555555556,11.17013888888889,53.326388888888886,11.416666666666671,10.931250000000004,268.31944444444446,,23.041666666666668,2.5958333333333345,2.063194444444443,1182.9097222222222,0.0,0,0,0,1,0,0,0,0
2019-03-10,5.071527777777779,296.15277777777777,3.2194444444444446,12.698611111111111,10.640972222222222,64.66666666666667,10.826388888888884,10.475000000000001,263.30555555555554,,34.826388888888886,4.1597222222222205,3.468055555555555,1182.263888888889,0.0,0,0,1,0,0,0,0,0
2019-03-11,3.175694444444444,199.11111111111111,1.7340277777777784,22.032638888888894,11.063888888888888,76.54861111111111,11.31527777777778,10.815972222222221,258.7708333333333,,52.6875,2.5506944444444466,1.9527777777777762,1181.6875,0.0,0,0,0,1,0,0,0,0
2019-03-12,2.3333333333333313,126.95833333333333,1.347222222222222,15.953472222222224,14.880555555555556,53.27777777777778,15.108333333333336,14.632638888888891,222.85416666666666,,80.09027777777777,1.9416666666666673,1.5472222222222225,1181.1944444444443,0.0,0,1,0,0,0,0,0,0
2019-03-13,7.7159722222222165,225.90972222222223,4.66736111111111,17.896527777777766,15.584615384615384,41.01398601398601,15.823776223776232,15.357342657342654,225.59722222222223,125.75925925925925,77.65972222222223,6.154166666666666,5.014583333333335,1166.5416666666667,0.002777777777777778,0,0,0,1,0,0,0,0
2019-03-14,11.79861111111111,268.69444444444446,6.813888888888888,17.220833333333335,7.938888888888889,94.58333333333333,8.00902777777778,7.8659722222222195,51.15972222222222,0.5486111111111112,46.083333333333336,9.18333333333333,7.257638888888891,1182.5972222222222,0.20416666666666672,0,0,0,1,0,0,0,0
2019-03-15,5.841666666666665,247.77083333333334,3.4847222222222216,15.30208333333333,10.865277777777775,79.04861111111111,10.997916666666663,10.742361111111109,188.11805555555554,102.12587412587412,115.52777777777777,4.744444444444445,3.788194444444447,1181.2847222222222,0.001388888888888889,0,0,0,1,0,0,0,0
2019-03-16,11.679166666666667,255.9375,6.665277777777778,16.180555555555554,8.168055555555556,86.81944444444444,8.324305555555558,8.015972222222224,136.88194444444446,50.0625,90.60416666666667,8.91527777777777,7.104166666666664,1165.826388888889,0.1020833333333333,0,0,0,1,0,0,0,0
2019-03-17,9.38819444444444,276.6041666666667,5.55625,16.13611111111112,8.48263888888889,93.59722222222223,8.61736111111111,8.384027777777781,165.1875,10.758241758241759,86.63888888888889,7.440972222222222,5.934722222222223,1181.8055555555557,0.02916666666666666,0,0,1,0,0,0,0,0
2019-03-18,3.090277777777777,231.53472222222223,1.6854166666666666,21.802083333333346,12.034722222222214,70.22916666666667,12.23263888888889,11.842361111111108,273.2986111111111,371.8888888888889,29.67361111111111,2.464583333333334,1.9152777777777774,1181.9375,0.0,0,0,0,1,0,0,0,0
2019-03-19,3.1173611111111117,176.65972222222223,1.8270833333333334,14.115277777777768,15.707638888888889,41.333333333333336,15.944444444444441,15.478472222222223,280.4791666666667,423.3263888888889,21.645833333333332,2.4833333333333347,2.0104166666666665,1165.1805555555557,0.0,0,0,0,1,0,0,0,0
2019-03-20,3.4625000000000004,230.625,1.9777777777777774,15.817361111111117,15.418055555555554,54.104166666666664,15.656249999999996,15.17777777777778,270.3888888888889,322.19444444444446,53.50694444444444,2.7548611111111128,2.1722222222222225,1182.201388888889,0.0,0,0,0,1,0,0,0,0
2019-03-21,4.159722222222221,233.74305555555554,2.6319444444444446,15.727777777777776,14.354166666666664,60.201388888888886,14.595138888888894,14.125000000000005,249.26388888888889,238.36111111111111,75.22916666666667,3.3888888888888893,2.8430555555555554,1183.5347222222222,0.0,0,0,0,1,0,0,0,0
2019-03-22,4.311805555555556,268.2013888888889,2.606944444444444,17.500000000000007,12.675694444444444,81.0625,12.872222222222224,12.484027777777774,258.40972222222223,278.26573426573424,59.861111111111114,3.509722222222224,2.847916666666667,1165.8680555555557,0.0,0,0,1,0,0,0,0,0
2019-03-23,2.5805555555555553,191.42361111111111,1.4625,18.597222222222225,13.454861111111114,80.17361111111111,13.658333333333328,13.27777777777778,170.68055555555554,85.83333333333333,103.91666666666667,2.155555555555556,1.6986111111111108,1182.0625,0.0,0,0,0,1,0,0,0,0
2019-03-24,6.646527777777777,250.5,3.980555555555555,17.96388888888889,12.040277777777789,79.58333333333333,12.177777777777779,11.91944444444445,122.86805555555556,18.805555555555557,90.96527777777777,5.352083333333334,4.314583333333331,1181.7777777777778,0.006944444444444444,0,0,0,1,0,0,0,0
2019-03-25,6.822222222222218,248.95833333333334,4.073611111111114,16.420833333333334,6.270138888888884,95.30555555555556,6.422916666666662,6.134027777777777,102.34027777777777,21.88888888888889,82.23611111111111,5.407638888888887,4.457638888888891,1166.0347222222222,0.15416666666666676,0,0,0,1,0,0,0,0
2019-03-26,6.1180555555555545,268.6388888888889,3.679861111111111,15.99027777777777,8.518055555555556,79.32638888888889,8.652083333333335,8.404166666666667,185.13194444444446,57.72727272727273,96.69444444444444,5.0069444444444455,3.9805555555555565,1182.3819444444443,0.0,0,0,0,1,0,0,0,0
2019-03-27,6.845138888888887,271.1736111111111,4.081249999999998,16.540972222222226,10.113888888888887,88.04861111111111,10.281944444444443,9.976388888888888,209.74305555555554,91.26612903225806,103.47916666666667,5.55138888888889,4.38125,1182.5625,0.0,0,0,1,0,0,0,0,0
2019-03-28,3.520833333333334,202.72222222222223,1.9729166666666673,20.515972222222214,12.130555555555553,75.94444444444444,12.351388888888895,11.917361111111113,272.94444444444446,291.2361111111111,72.8125,2.8326388888888907,2.213194444444444,1182.673611111111,0.0,0,0,0,1,0,0,0,0
2019-03-29,4.63263888888889,159.80555555555554,2.6708333333333334,19.13472222222222,13.302777777777772,57.8125,13.468749999999998,13.13541666666666,88.20138888888889,39.32867132867133,62.84027777777778,3.697916666666666,3.0312500000000004,1165.513888888889,0.010416666666666666,0,1,0,0,0,0,0,0
2019-03-30,9.752777777777776,241.00694444444446,5.324305555555554,19.879861111111104,10.733333333333334,84.72916666666667,10.904166666666667,10.581944444444442,182.59722222222223,45.89915966386555,107.13194444444444,7.602083333333334,5.775,1182.1944444444443,0.06666666666666667,0,0,0,1,0,0,0,0
2019-03-31,11.247916666666672,261.5416666666667,6.560416666666668,16.531249999999993,7.7694444444444395,97.69444444444444,7.880555555555549,7.647916666666671,108.06944444444444,19.35135135135135,76.68055555555556,8.844444444444441,7.033333333333333,1165.388888888889,0.16666666666666674,0,0,0,1,0,0,0,0
2019-04-01,7.901388888888892,258.9861111111111,4.479861111111112,17.668749999999992,7.878472222222219,97.14583333333333,7.970138888888889,7.809722222222222,68.45833333333333,8.375,52.84722222222222,6.2770833333333345,4.872222222222224,1182.763888888889,0.03263888888888889,0,0,0,1,0,0,0,0
2019-04-02,5.162499999999999,244.00694444444446,3.169444444444445,15.25624999999999,10.090277777777779,77.36111111111111,10.21180555555555,9.977777777777773,145.86111111111111,33.94957983193277,105.96527777777777,4.236111111111112,3.4437499999999996,1165.048611111111,0.0,0,0,0,1,0,0,0,0
2019-04-03,2.957638888888889,186.20833333333334,1.6312499999999999,15.934027777777775,12.665972222222221,57.06944444444444,12.906944444444441,12.451388888888893,297.13194444444446,136.0625,75.66666666666667,2.3923611111111116,1.8694444444444431,1182.6041666666667,0.0,0,0,0,1,0,0,0,0
2019-04-04,3.4437499999999996,221.10416666666666,2.0472222222222216,18.977777777777778,13.782638888888895,66.73611111111111,14.023611111111107,13.54513888888889,204.67361111111111,0.0,103.26388888888889,2.822222222222221,2.308333333333333,1182.2916666666667,0.0,0,0,0,1,0,0,0,0
2019-04-05,4.938888888888889,297.7986111111111,3.013194444444446,15.138194444444439,11.454166666666666,86.51388888888889,11.650000000000006,11.291666666666664,248.26388888888889,79.625,113.38888888888889,4.011111111111111,3.290972222222222,1181.7152777777778,0.0,0,0,1,0,0,0,0,0
2019-04-06,3.397222222222222,145.61805555555554,1.9430555555555555,16.583333333333332,14.56319444444445,62.111111111111114,14.776388888888883,14.387499999999992,179.20833333333334,76.86805555555556,104.27083333333333,2.7756944444444445,2.1708333333333343,1182.611111111111,0.0,0,1,0,0,0,0,0,0
2019-04-07,4.197222222222224,227.86111111111111,2.5187499999999985,12.647916666666665,18.653472222222213,46.86805555555556,18.83124999999999,18.46944444444444,292.4166666666667,309.68531468531467,69.3125,3.4347222222222222,2.7659722222222225,1180.7291666666667,0.0,0,0,0,1,0,0,0,0
2019-04-08,4.481944444444444,249.60416666666666,2.800694444444444,12.07638888888889,17.527083333333337,51.47222222222222,17.738888888888894,17.358333333333338,293.2916666666667,272.5,82.02083333333333,3.6916666666666678,3.0173611111111116,1165.2152777777778,0.0,0,0,0,1,0,0,0,0
2019-04-09,6.188888888888889,244.33333333333334,3.8506944444444446,14.461111111111109,15.932638888888887,59.729166666666664,16.14791666666666,15.743055555555559,297.8888888888889,266.8809523809524,65.29166666666667,5.108333333333332,4.133333333333335,1182.2777777777778,0.0,0,0,0,1,0,0,0,0
2019-04-10,5.597916666666667,290.4513888888889,3.423611111111112,16.545833333333334,11.651388888888885,80.125,11.856944444444435,11.47083333333333,294.6458333333333,278.72727272727275,59.75694444444444,4.561111111111108,3.7041666666666666,1182.6180555555557,0.0,0,0,1,0,0,0,0,0
2019-04-11,4.311805555555555,286.36805555555554,2.506249999999999,18.48888888888889,12.247222222222216,67.99305555555556,12.488888888888887,12.03402777777778,315.7916666666667,406.9236111111111,37.361111111111114,3.462500000000001,2.7631944444444425,1165.2222222222222,0.0,0,0,1,0,0,0,0,0
2019-04-12,4.43263888888889,178.21527777777777,2.4152777777777796,18.761111111111106,14.917361111111111,60.111111111111114,15.168055555555558,14.690972222222221,322.59722222222223,421.986013986014,36.68055555555556,3.471527777777778,2.669444444444445,1181.263888888889,0.0,0,0,0,1,0,0,0,0
2019-04-13,5.003472222222222,128.52083333333334,3.031944444444445,13.659027777777782,20.263194444444448,34.208333333333336,20.490277777777774,20.04305555555557,309.38194444444446,305.6666666666667,72.25,4.030555555555555,3.2631944444444434,1182.3541666666667,0.0,0,1,0,0,0,0,0,0
2019-04-14,9.685416666666665,249.70833333333334,5.896527777777781,15.511111111111108,16.520833333333343,59.173611111111114,16.69027777777778,16.373611111111117,277.7013888888889,158.66666666666666,122.34027777777777,7.726388888888887,6.210416666666669,1183.3819444444443,0.0,0,0,0,1,0,0,0,0
2019-04-15,4.797916666666667,226.84722222222223,2.848611111111112,19.519444444444446,13.435416666666661,75.30555555555556,13.606944444444437,13.27013888888889,160.18055555555554,82.37062937062937,98.86111111111111,3.8569444444444425,3.1909722222222237,1182.1319444444443,0.01666666666666667,0,0,0,1,0,0,0,0
2019-04-16,5.935416666666665,261.6041666666667,3.697916666666666,14.631944444444445,12.657638888888878,82.77083333333333,12.789583333333331,12.534722222222221,223.63194444444446,115.76,84.45138888888889,4.875694444444443,3.9777777777777805,1181.1597222222222,0.005555555555555556,0,0,0,1,0,0,0,0
2019-04-17,8.966666666666663,276.59027777777777,5.430555555555556,16.279861111111106,11.327777777777786,85.375,11.488888888888894,11.177083333333334,252.30555555555554,152.152,118.94444444444444,7.146527777777779,5.779166666666664,1181.9583333333333,0.0,0,0,1,0,0,0,0,0
2019-04-18,7.762499999999999,273.875,4.686805555555553,17.2375,10.731944444444446,79.35416666666667,10.949999999999996,10.561805555555551,291.7708333333333,286.0979020979021,97.54166666666667,6.263194444444445,5.067361111111109,1181.9097222222222,0.0,0,0,1,0,0,0,0,0
2019-04-19,9.425000000000004,270.11805555555554,5.522222222222222,17.404861111111103,10.247916666666661,81.18055555555556,10.395138888888889,10.10347222222223,284.96527777777777,220.34722222222223,94.42361111111111,7.418055555555556,5.908333333333331,1181.0416666666667,0.0006944444444444445,0,0,0,1,0,0,0,0
2019-04-20,7.765972222222222,271.19444444444446,4.373611111111112,18.506249999999994,9.876388888888885,88.08333333333333,10.011805555555554,9.753472222222225,151.04166666666666,45.763888888888886,101.91666666666667,6.170138888888889,4.754861111111111,1181.5972222222222,0.0,0,0,0,1,0,0,0,0
2019-04-21,12.820138888888888,277.93055555555554,7.417361111111109,16.28611111111111,7.731944444444447,84.02083333333333,7.8666666666666725,7.602777777777776,186.79861111111111,83.92592592592592,92.0,9.809027777777777,7.868055555555551,1181.4375,0.03958333333333333,0,0,1,0,0,0,0,0
2019-04-22,8.275694444444447,274.9236111111111,5.072916666666668,15.756944444444448,8.543750000000005,80.11111111111111,8.689583333333331,8.415972222222226,198.75694444444446,0.0,105.01388888888889,6.624999999999998,5.432638888888888,1166.2430555555557,0.0,0,0,1,0,0,0,0,0
2019-04-23,3.613888888888889,284.2916666666667,2.050694444444443,21.60833333333334,11.406250000000004,74.375,11.647916666666669,11.165277777777778,303.90277777777777,135.9056603773585,87.36111111111111,2.922916666666666,2.3006944444444444,1182.9166666666667,0.0,0,0,1,0,0,0,0,0
2019-04-24,4.402083333333333,138.65972222222223,2.5930555555555554,14.472222222222225,16.07361111111111,38.111111111111114,16.309027777777775,15.87152777777778,305.30555555555554,232.22916666666666,112.06944444444444,3.5562500000000004,2.87222222222222,1181.7152777777778,0.0,0,1,0,0,0,0,0,0
2019-04-25,4.156249999999999,178.25694444444446,2.2256944444444438,17.93888888888888,19.40138888888889,29.0625,19.643055555555556,19.170833333333327,303.6388888888889,289.54761904761904,115.80555555555556,3.1534722222222236,2.4534722222222216,1166.6458333333333,0.0,0,0,0,1,0,0,0,0
2019-04-26,5.084027777777778,114.71527777777777,2.8451388888888904,16.947222222222223,20.090972222222227,29.84722222222222,20.29861111111111,19.88888888888889,318.3541666666667,,84.9375,3.9472222222222237,3.1083333333333347,1182.763888888889,0.0,0,1,0,0,0,0,0,0
2019-04-27,5.192361111111112,193.83333333333334,3.1243055555555537,15.499305555555553,20.37152777777778,27.79861111111111,20.59861111111111,20.15625,315.1388888888889,308.85,90.18055555555556,4.15486111111111,3.347222222222221,1181.7430555555557,0.0,0,0,0,1,0,0,0,0
2019-04-28,4.004166666666665,291.75,2.4027777777777772,15.68194444444444,20.285416666666677,32.94444444444444,20.52083333333333,20.051388888888894,338.43055555555554,0.0,45.076388888888886,3.2666666666666675,2.6381944444444443,1166.486111111111,0.0,0,0,1,0,0,0,0,0
2019-04-29,3.5131944444444447,232.39583333333334,1.9986111111111116,19.05833333333333,23.17291666666668,23.04861111111111,23.456944444444453,22.90069444444444,314.0763888888889,,95.88194444444444,2.8930555555555535,2.2451388888888886,1181.3541666666667,0.0,0,0,0,1,0,0,0,0
2019-04-30,4.509027777777778,251.125,2.8590277777777775,17.061805555555548,21.927083333333357,27.54861111111111,22.144444444444453,21.72916666666668,304.8541666666667,0.0,129.43055555555554,3.7118055555555554,3.0999999999999996,1182.2430555555557,0.0,0,0,0,1,0,0,0,0
2019-05-01,3.099999999999999,147.32638888888889,1.8729166666666666,13.172916666666671,24.726388888888877,18.305555555555557,24.95694444444444,24.510416666666664,298.55555555555554,0.0,111.83941605839416,2.529861111111112,2.061111111111112,1183.3055555555557,0.0,0,1,0,0,0,0,0,0
2019-05-02,5.515277777777779,260.46527777777777,3.3354166666666663,15.613194444444453,24.306249999999988,28.625,24.503472222222214,24.10416666666668,158.41666666666666,0.0,107.25,4.543055555555556,3.7249999999999996,1165.4305555555557,0.0,0,0,0,1,0,0,0,0
2019-05-03,7.968055555555553,289.0,5.117361111111111,13.859722222222215,17.12361111111111,56.791666666666664,17.319444444444443,16.942361111111108,280.9236111111111,0.0,113.20833333333333,6.472222222222224,5.426388888888891,1183.388888888889,0.0,0,0,1,0,0,0,0,0
