,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,West,North,East,South
2019-08-12,3.5687500000000005,212.32638888888889,2.158333333333333,20.665972222222212,27.34513888888889,79.33333333333333,27.59027777777778,27.112500000000015,,,,2.8874999999999997,2.315277777777777,1182.3472222222222,0.0,0,0,0,1,0,0,0,0
2019-08-13,3.311805555555557,196.04861111111111,2.0701388888888896,15.689583333333339,26.764583333333352,79.72916666666667,27.019444444444446,26.52222222222223,,,,2.7152777777777772,2.214583333333334,1182.5416666666667,0.0,0,0,0,1,0,0,0,0
2019-08-14,3.4847222222222216,216.35416666666666,2.093055555555556,19.01111111111112,26.067361111111115,79.0,26.29097222222222,25.840277777777793,,,,2.8402777777777777,2.2680555555555557,1181.9166666666667,0.0,0,0,0,1,0,0,0,0
2019-08-15,3.549305555555556,193.98611111111111,2.0694444444444433,20.520138888888894,26.44236111111112,77.5,26.707638888888887,26.206944444444446,,,,2.863194444444446,2.2506944444444437,1165.7152777777778,0.0,0,0,0,1,0,0,0,0
2019-08-16,3.9312499999999986,174.38194444444446,2.341666666666667,16.353472222222216,26.013888888888875,69.59722222222223,26.23263888888889,25.780555555555548,,,,3.1368055555555547,2.5354166666666673,1182.125,0.0,0,0,0,1,0,0,0,0
2019-08-17,3.474305555555558,225.26388888888889,2.052083333333334,22.289583333333344,26.954166666666673,76.14583333333333,27.195138888888895,26.71527777777778,,,,2.799305555555556,2.220833333333334,1165.9305555555557,0.0,0,0,0,1,0,0,0,0
2019-08-18,4.552083333333332,247.8125,2.6500000000000004,17.22638888888889,28.089583333333326,72.16666666666667,28.334027777777784,27.854166666666675,,,,3.624999999999999,2.8465277777777773,1166.4375,0.0,0,0,0,1,0,0,0,0
2019-08-19,4.395138888888888,192.98611111111111,2.6527777777777786,15.363888888888887,26.20416666666667,70.9375,26.463194444444447,25.96388888888888,,,,3.5055555555555546,2.838194444444445,1165.125,0.0,0,0,0,1,0,0,0,0
2019-08-20,3.636805555555556,193.93055555555554,2.196527777777776,15.754861111111113,26.370833333333344,73.90277777777777,26.6201388888889,26.12569444444445,,,,2.9138888888888888,2.3416666666666672,1181.0694444444443,0.0,0,0,0,1,0,0,0,0
2019-08-21,3.5965277777777778,226.23611111111111,2.0770833333333334,21.282638888888897,26.9513888888889,74.46527777777777,27.177777777777784,26.71666666666668,,,,2.8701388888888886,2.254861111111112,1164.888888888889,0.0,0,0,0,1,0,0,0,0
2019-08-22,3.7993055555555557,169.5,2.27013888888889,17.64305555555555,26.867361111111112,76.21527777777777,27.08750000000001,26.65902777777778,,,,3.0236111111111117,2.426388888888889,1165.3680555555557,0.0,0,1,0,0,0,0,0,0
2019-08-23,4.428472222222223,164.875,2.6173611111111126,15.339583333333328,27.255555555555546,77.58333333333333,27.45208333333334,27.065277777777773,,,,3.4666666666666677,2.783333333333333,1165.638888888889,0.0,0,1,0,0,0,0,0,0
2019-08-24,3.495138888888888,192.68055555555554,2.112500000000001,15.945138888888895,27.885416666666668,80.375,28.104861111111116,27.686111111111114,,,,2.7881944444444446,2.271527777777779,1181.9652777777778,0.0,0,0,0,1,0,0,0,0
2019-08-25,3.4458333333333324,173.63888888888889,2.135416666666666,15.85277777777778,27.02361111111112,78.14583333333333,27.264583333333334,26.77291666666668,,,,2.809027777777778,2.2958333333333325,1182.1944444444443,0.0,0,0,0,1,0,0,0,0
2019-08-26,3.513194444444444,164.45833333333334,2.110416666666667,17.143750000000004,26.48461538461538,75.64335664335664,26.730769230769237,26.239860139860152,,,,2.800694444444444,2.2680555555555553,1182.4583333333333,0.0,0,0,0,1,0,0,0,0
2019-08-27,4.165972222222224,193.0,2.4215277777777775,19.182638888888892,27.37986111111112,70.56944444444444,27.610416666666673,27.136111111111113,,,,3.2694444444444444,2.5958333333333323,1181.4444444444443,0.0,0,0,0,1,0,0,0,0
2019-08-28,3.179166666666667,192.72916666666666,1.9166666666666659,18.668055555555554,27.229166666666668,78.19444444444444,27.461805555555568,26.999305555555562,,,,2.595138888888888,2.072222222222221,1164.9930555555557,0.0,0,0,0,1,0,0,0,0
2019-08-29,3.3451388888888887,202.61805555555554,1.9673611111111111,18.877777777777784,27.318750000000023,79.375,27.565972222222225,27.099999999999998,,,,2.705555555555555,2.1611111111111114,1182.0902777777778,0.0,0,0,0,1,0,0,0,0
2019-08-30,3.370833333333333,203.56944444444446,1.998611111111111,21.506249999999994,27.468750000000007,79.20138888888889,27.722222222222225,27.195833333333344,,,,2.7319444444444447,2.1659722222222224,1182.7083333333333,0.0,0,0,0,1,0,0,0,0
2019-08-31,3.3458333333333337,174.20138888888889,1.992361111111111,21.40555555555555,26.98333333333334,80.60416666666667,27.259722222222226,26.725694444444446,,,,2.720833333333334,2.182638888888889,1181.861111111111,0.0,0,1,0,0,0,0,0,0
2019-09-01,2.0,76.0,1.5,3.8,21.0,92.0,21.2,21.0,,,,1.8,1.5,0.0,0.0,1,0,0,0,0,0,0,0
