,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,South-East,South-West,North-East,East,North-West,South,North,West
2019-08-01,5.176923076923079,264.5944055944056,3.1020979020979027,14.818181818181811,28.834265734265735,67.87412587412588,28.990909090909113,28.66433566433567,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-08-02,4.881249999999997,261.7916666666667,2.8812499999999965,13.479861111111111,28.029166666666672,68.23611111111111,28.206250000000004,27.842361111111117,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-08-03,4.381250000000002,272.1388888888889,2.4819444444444434,16.43472222222222,27.858333333333338,70.20833333333333,28.038888888888895,27.669444444444444,,,,,,,0.0,1,0,0,0,0,0,0,0
2019-08-04,4.378472222222223,256.34027777777777,2.4881944444444444,17.243055555555554,28.62152777777778,70.84722222222223,28.77777777777778,28.456944444444453,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-08-05,4.117361111111112,234.20833333333334,2.409027777777778,15.919444444444443,29.01458333333333,70.34722222222223,29.15138888888889,28.85902777777779,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-08-06,4.174305555555556,232.26388888888889,2.4680555555555546,17.18819444444444,27.86830985915493,63.971830985915496,28.06126760563379,27.675352112676055,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-08-07,4.229861111111113,218.34027777777777,2.477083333333334,17.540972222222216,27.185416666666672,62.1875,27.385416666666668,26.993055555555557,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-08-08,4.714583333333334,254.45833333333334,2.6215277777777772,17.65902777777778,27.58055555555556,65.27777777777777,27.7875,27.369444444444447,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-08-09,5.227083333333333,268.52777777777777,3.0659722222222214,15.37569444444445,28.181944444444454,65.98611111111111,28.356944444444455,28.00694444444445,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-08-10,4.938888888888891,250.63194444444446,2.906944444444446,14.665972222222226,27.725694444444443,65.55555555555556,27.9097222222222,27.522222222222222,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-08-11,4.689583333333331,261.7638888888889,2.7055555555555553,17.349305555555564,27.993055555555557,66.60416666666667,28.184722222222216,27.79513888888889,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-08-12,4.647916666666664,250.20833333333334,2.763888888888887,15.875694444444454,28.45972222222224,65.63888888888889,28.631249999999998,28.27361111111112,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-08-13,4.67638888888889,269.0416666666667,2.6895833333333323,16.504166666666656,29.009722222222226,61.979166666666664,29.18472222222223,28.833333333333332,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-08-14,4.725000000000003,250.21527777777777,2.7479166666666663,18.010416666666675,28.60763888888889,62.69444444444444,28.804166666666674,28.420833333333338,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-08-15,3.7367647058823534,227.02205882352942,2.1352941176470575,17.858088235294108,27.973529411764694,58.86029411764706,28.163235294117655,27.788970588235298,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-08-16,3.9423611111111114,270.75,2.140972222222223,20.884027777777796,28.1513888888889,49.46527777777778,28.34652777777779,27.96875,,,,,,,0.0,1,0,0,0,0,0,0,0
2019-08-17,5.3375,267.8611111111111,3.0979166666666678,15.179861111111109,28.170833333333334,66.16666666666667,28.348611111111115,27.981250000000003,,,,,,,0.0,1,0,0,0,0,0,0,0
2019-08-18,4.827272727272726,249.17482517482517,2.802797202797202,16.221678321678326,28.091608391608396,62.33566433566433,28.272727272727277,27.908391608391607,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-08-19,4.243055555555555,213.22916666666666,2.4097222222222214,17.511805555555554,27.29305555555556,59.458333333333336,27.497916666666676,27.09305555555554,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-08-20,3.9368055555555563,251.68055555555554,2.1923611111111123,20.240277777777784,26.981249999999996,61.65972222222222,27.17916666666666,26.773611111111116,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-08-21,4.772222222222224,272.8263888888889,2.6090277777777775,18.54930555555556,27.915277777777785,61.479166666666664,28.08749999999999,27.752083333333335,,,,,,,0.0,1,0,0,0,0,0,0,0
2019-08-22,4.413888888888889,275.0625,2.375694444444446,18.388888888888886,27.985416666666666,63.11805555555556,28.161111111111115,27.813888888888883,,,,,,,0.0,1,0,0,0,0,0,0,0
2019-08-23,5.324305555555557,271.61805555555554,3.0034722222222214,19.897222222222226,29.02708333333333,63.36805555555556,29.193750000000005,28.867361111111123,,,,,,,0.0,1,0,0,0,0,0,0,0
2019-08-24,5.3159722222222205,282.2361111111111,2.984027777777778,15.983333333333336,29.712499999999995,63.9375,29.843055555555548,29.57291666666667,,,,,,,0.0,1,0,0,0,0,0,0,0
2019-08-25,4.362937062937063,271.986013986014,2.420979020979021,19.255944055944052,29.03986013986014,66.39160839160839,29.22867132867133,28.85384615384615,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-08-26,4.439583333333332,259.43055555555554,2.421527777777778,18.376388888888897,28.286805555555546,61.958333333333336,28.464583333333323,28.12083333333334,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-08-27,4.9250000000000025,267.18055555555554,2.7319444444444434,19.709027777777788,27.87430555555556,67.94444444444444,28.027083333333326,27.72777777777777,,,,,,,0.0,1,0,0,0,0,0,0,0
2019-08-28,4.846527777777776,274.84722222222223,2.7243055555555555,16.15208333333334,28.74166666666666,69.48611111111111,28.900000000000002,28.58055555555556,,,,,,,0.0,1,0,0,0,0,0,0,0
2019-08-29,4.493055555555557,268.4236111111111,2.4506944444444447,17.16944444444445,28.56875000000001,69.03472222222223,28.74444444444446,28.413888888888895,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-08-30,5.228472222222224,270.2291666666667,3.058333333333334,14.865277777777784,28.950000000000006,69.51388888888889,29.103472222222234,28.79930555555556,,,,,,,0.0,1,0,0,0,0,0,0,0
2019-08-31,4.116666666666667,253.8125,2.2423611111111112,21.38680555555555,28.640277777777783,69.79861111111111,28.825000000000003,28.455555555555563,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-09-01,2.3,251.0,1.7000000000000002,8.7,24.4,88.0,24.5,24.3,,,,,,,0.0,0,1,0,0,0,0,0,0
