,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,East,North-West,North-East,North,South-East,West,South,South-West
2019-02-15,,,,,10.80833333333333,53.708333333333336,10.89444444444444,10.728472222222218,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-16,,,,,10.708333333333329,80.0625,10.812500000000007,10.613888888888887,,,,,,,0.013888888888888892,1,0,0,0,0,0,0,0,0
2019-02-17,,,,,11.467361111111106,62.61805555555556,11.598611111111106,11.338888888888889,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-18,,,,,8.768531468531462,84.46853146853147,8.858041958041948,8.69020979020978,,,,,,,0.038461538461538464,1,0,0,0,0,0,0,0,0
2019-02-19,,,,,10.216666666666669,86.49305555555556,10.30138888888889,10.124305555555559,,,,,,,0.007638888888888888,1,0,0,0,0,0,0,0,0
2019-02-20,,,,,11.954166666666664,80.69444444444444,12.05694444444445,11.856250000000005,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-21,,,,,11.50902777777777,72.80555555555556,11.65208333333333,11.39444444444444,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-22,,,,,11.295138888888891,78.25694444444444,11.443055555555555,11.14236111111111,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-23,,,,,12.184722222222227,75.09027777777777,12.337499999999999,12.039583333333333,,,,,,,0.003472222222222222,1,0,0,0,0,0,0,0,0
2019-02-24,,,,,14.280555555555546,57.875,14.407638888888881,14.140972222222222,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-25,,,,,20.773611111111105,24.944444444444443,20.89513888888889,20.65138888888889,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-26,,,,,15.558333333333325,45.854166666666664,15.683333333333337,15.427083333333334,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-27,,,,,11.260416666666668,92.86805555555556,11.348611111111115,11.168750000000005,,,,,,,0.07083333333333332,1,0,0,0,0,0,0,0,0
2019-02-28,,,,,8.640277777777776,94.65277777777777,8.744444444444447,8.534722222222221,,,,,,,0.4812499999999997,1,0,0,0,0,0,0,0,0
