,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,South,East,West,North
2019-02-15,10.657638888888885,206.90972222222223,5.930555555555554,16.324305555555565,14.262499999999992,51.90277777777778,14.381944444444445,14.136805555555553,,,,7.900000000000002,6.287499999999994,1165.5,0.056944444444444436,0,0,0,1,0,0,0,0
2019-02-16,9.416666666666664,231.41666666666666,6.236805555555558,11.909027777777776,14.918750000000005,69.45833333333333,15.112500000000002,14.717361111111119,,,,7.863888888888888,6.695833333333334,1181.2222222222222,0.11319444444444444,0,0,0,1,0,0,0,0
2019-02-17,4.377083333333334,172.47222222222223,3.00625,10.659027777777776,14.136805555555549,62.076388888888886,14.275000000000006,14.013194444444444,,,,3.7263888888888883,3.175,1181.8680555555557,0.0,0,1,0,0,0,0,0,0
2019-02-18,4.606293706293707,183.4055944055944,3.032867132867134,13.45314685314686,12.441958041958038,69.2027972027972,12.586013986013986,12.313986013986007,,,,3.854545454545454,3.267832167832169,1165.6083916083917,0.002797202797202797,0,0,0,1,0,0,0,0
2019-02-19,4.187499999999997,160.4375,2.906944444444444,10.50486111111111,12.770833333333332,79.97222222222223,12.855555555555549,12.675694444444444,,,,3.562499999999999,3.095833333333333,1167.3125,0.0076388888888888895,0,1,0,0,0,0,0,0
2019-02-20,4.0243055555555545,206.27083333333334,3.0708333333333324,8.418749999999996,14.555555555555559,74.67361111111111,14.68333333333334,14.430555555555552,,,,3.5715277777777783,3.1999999999999993,1182.7430555555557,0.0,0,0,0,1,0,0,0,0
2019-02-21,3.6215277777777786,202.35416666666666,2.6486111111111126,10.468749999999998,14.450694444444439,69.35416666666667,14.573611111111113,14.320138888888895,,,,3.207638888888889,2.813194444444443,1182.2430555555557,0.0,0,0,0,1,0,0,0,0
2019-02-22,3.8729166666666686,184.84722222222223,2.9020833333333327,9.297222222222217,13.786805555555548,70.15277777777777,13.942361111111108,13.636111111111111,,,,3.4083333333333368,3.0493055555555517,1182.5069444444443,0.0,0,0,0,1,0,0,0,0
2019-02-23,3.800694444444445,168.09722222222223,2.76388888888889,10.313194444444441,14.139583333333327,72.71527777777777,14.270833333333327,14.011805555555554,,,,3.3270833333333343,2.9034722222222227,1181.5347222222222,0.0,0,1,0,0,0,0,0,0
2019-02-24,3.0395833333333337,168.84027777777777,2.1958333333333333,9.994444444444442,14.97847222222222,68.77777777777777,15.1048611111111,14.846527777777778,,,,2.6381944444444434,2.3381944444444436,1181.9583333333333,0.0,0,1,0,0,0,0,0,0
2019-02-25,3.6666666666666665,110.45833333333333,2.2444444444444445,15.57222222222222,20.20972222222223,41.583333333333336,20.38888888888889,20.036805555555556,,,,2.959722222222223,2.428472222222223,1166.4444444444443,0.0,0,1,0,0,0,0,0,0
2019-02-26,7.68263888888889,218.70138888888889,4.859027777777777,13.074999999999996,17.889583333333345,54.05555555555556,18.059722222222216,17.727083333333336,,,,6.194444444444448,5.159722222222222,1181.2152777777778,0.0,0,0,0,1,0,0,0,0
2019-02-27,12.202083333333333,252.0625,8.881250000000003,8.434722222222224,15.698611111111104,76.33333333333333,15.91527777777778,15.492361111111109,,,,10.605555555555558,9.417361111111115,1182.5833333333333,0.052777777777777764,0,0,0,1,0,0,0,0
2019-02-28,15.842361111111103,270.3888888888889,11.693749999999998,8.081944444444446,13.891666666666662,72.13194444444444,14.164583333333328,13.611805555555556,,,,13.872222222222224,12.32222222222222,1166.0555555555557,0.10069444444444439,0,0,0,1,0,0,0,0
2019-03-01,8.00555555555556,285.8541666666667,6.020833333333333,8.370138888888883,14.829166666666667,60.55555555555556,15.063888888888894,14.611805555555561,,,,7.181249999999996,6.467361111111111,1182.173611111111,0.008333333333333333,0,0,1,0,0,0,0,0
2019-03-02,5.139583333333337,179.34027777777777,3.2222222222222228,13.930555555555554,13.785416666666665,75.88888888888889,13.887499999999998,13.68611111111111,,,,4.186111111111112,3.4611111111111117,1182.6180555555557,0.02430555555555556,0,1,0,0,0,0,0,0
2019-03-03,4.723611111111111,164.52083333333334,3.136805555555557,10.618750000000002,14.318750000000003,59.4375,14.419444444444444,14.214583333333328,,,,3.891666666666665,3.3201388888888896,1181.701388888889,0.0,0,1,0,0,0,0,0,0
2019-03-04,4.449305555555557,174.65277777777777,2.906249999999999,12.322916666666663,14.549999999999995,77.5625,14.663194444444441,14.445138888888884,,,,3.696527777777779,3.1027777777777787,1181.326388888889,0.038888888888888896,0,1,0,0,0,0,0,0
2019-03-05,4.490277777777777,163.75,3.2513888888888904,11.453472222222228,13.929166666666656,75.75,14.059027777777775,13.80208333333333,,,,3.9604166666666654,3.5027777777777773,1182.7708333333333,0.0,0,1,0,0,0,0,0,0
2019-03-06,3.915972222222221,230.72916666666666,2.951388888888889,8.77361111111111,14.890972222222217,74.15277777777777,15.016666666666667,14.763888888888882,,,,3.454166666666667,3.090972222222221,1183.0347222222222,0.0,0,0,0,1,0,0,0,0
2019-03-07,5.252083333333332,227.60416666666666,4.0770833333333325,8.290277777777776,15.136111111111108,74.51388888888889,15.265277777777776,15.00347222222222,,,,4.739583333333332,4.238888888888891,1166.1319444444443,0.0,0,0,0,1,0,0,0,0
2019-03-08,4.4104166666666655,222.97222222222223,3.2041666666666666,10.202083333333333,16.415277777777785,67.9375,16.555555555555564,16.262500000000006,,,,3.9041666666666655,3.419444444444444,1182.798611111111,0.0,0,0,0,1,0,0,0,0
2019-03-09,4.413194444444444,175.98611111111111,3.255555555555556,10.320833333333333,14.199999999999996,67.27083333333333,14.331249999999999,14.090972222222224,,,,3.8944444444444435,3.4312500000000017,1166.1041666666667,0.0,0,0,0,1,0,0,0,0
2019-03-10,4.124999999999999,220.50694444444446,3.030555555555554,9.209027777777774,15.237499999999995,66.8125,15.404166666666661,15.075694444444448,,,,3.659027777777776,3.234027777777777,1182.8125,0.0,0,0,0,1,0,0,0,0
2019-03-11,3.607638888888889,210.80555555555554,2.718055555555554,9.349305555555555,15.910416666666654,68.0625,16.051388888888887,15.765972222222217,,,,3.1888888888888887,2.853472222222221,1181.0972222222222,0.0,0,0,0,1,0,0,0,0
2019-03-12,3.680555555555557,163.54166666666666,2.7034722222222234,11.627083333333335,15.711805555555552,79.95833333333333,15.84791666666667,15.565277777777782,,,,3.2555555555555578,2.8784722222222223,1183.3125,0.0,0,1,0,0,0,0,0,0
2019-03-13,6.3749999999999964,218.22916666666666,4.432638888888889,12.59791666666667,18.050000000000015,64.1875,18.23958333333333,17.876388888888876,,,,5.463888888888892,4.727777777777778,1182.423611111111,0.0,0,0,0,1,0,0,0,0
2019-03-14,9.711805555555554,251.99305555555554,7.013194444444441,11.12986111111111,15.586111111111121,75.24305555555556,15.764583333333327,15.384722222222226,,,,8.510416666666668,7.556944444444448,1180.8680555555557,0.11527777777777776,0,0,0,1,0,0,0,0
2019-03-15,4.255555555555555,207.38194444444446,2.810416666666666,13.414583333333333,17.11805555555556,68.9375,17.25833333333334,16.98125,,,,3.565972222222223,3.0180555555555544,1182.7777777777778,0.0,0,0,0,1,0,0,0,0
2019-03-16,9.986805555555556,222.26388888888889,6.959722222222219,10.847916666666661,14.899305555555555,72.67361111111111,15.076388888888886,14.72013888888889,,,,8.507638888888888,7.377083333333333,1182.0277777777778,0.03541666666666666,0,0,0,1,0,0,0,0
2019-03-17,8.235416666666666,260.7083333333333,6.574999999999996,7.316666666666669,16.463888888888896,68.34027777777777,16.64305555555556,16.29513888888887,,,,7.494444444444444,6.810416666666666,1181.375,0.0076388888888888895,0,0,0,1,0,0,0,0
2019-03-18,4.030555555555555,162.58333333333334,2.9000000000000004,10.230555555555556,15.404861111111106,77.16666666666667,15.53541666666667,15.283333333333339,,,,3.486805555555557,3.045833333333332,1183.0972222222222,0.0,0,1,0,0,0,0,0,0
2019-03-19,5.872916666666665,94.79166666666667,4.346527777777776,11.118055555555559,16.10208333333333,81.97222222222223,16.21388888888889,15.993749999999997,,,,5.163888888888888,4.544444444444448,1182.9305555555557,0.0,0,1,0,0,0,0,0,0
2019-03-20,4.636805555555554,154.83333333333334,3.4673611111111113,11.131944444444441,16.809027777777768,84.0,16.94513888888889,16.695138888888877,,,,4.14027777777778,3.667361111111111,1181.6180555555557,0.0,0,1,0,0,0,0,0,0
2019-03-21,3.9298611111111126,195.39583333333334,3.0069444444444446,9.963888888888892,17.025694444444447,84.03472222222223,17.147916666666674,16.90694444444445,,,,3.527083333333334,3.163888888888888,1182.701388888889,0.0,0,0,0,1,0,0,0,0
2019-03-22,3.500694444444444,198.24305555555554,2.6409722222222216,10.622916666666669,16.79652777777778,82.02083333333333,16.91805555555555,16.69097222222222,,,,3.118750000000001,2.777777777777778,1166.0833333333333,0.0,0,0,0,1,0,0,0,0
2019-03-23,3.2472222222222222,165.69444444444446,2.308333333333335,12.44097222222222,16.734027777777772,81.77777777777777,16.84027777777777,16.623611111111106,,,,2.8708333333333322,2.5402777777777787,1183.5625,0.0,0,0,0,1,0,0,0,0
2019-03-24,5.040972222222221,202.98611111111111,3.6138888888888894,10.94930555555555,17.027083333333326,78.14583333333333,17.163194444444443,16.88472222222223,,,,4.4375,3.843750000000001,1183.3472222222222,0.02291666666666667,0,0,0,1,0,0,0,0
2019-03-25,5.9520833333333325,219.94444444444446,4.133333333333333,11.948611111111102,13.383333333333333,71.65972222222223,13.559722222222218,13.22291666666666,,,,5.1104166666666675,4.456944444444443,1181.3055555555557,0.062499999999999986,0,0,0,1,0,0,0,0
2019-03-26,4.727777777777776,199.48611111111111,3.2034722222222225,11.981944444444443,15.318749999999998,63.09722222222222,15.461111111111121,15.176388888888892,,,,3.998611111111111,3.3826388888888896,1165.5277777777778,0.0,0,0,0,1,0,0,0,0
2019-03-27,5.920833333333335,218.49305555555554,4.238194444444445,10.890277777777778,16.677083333333336,73.83333333333333,16.800000000000008,16.54791666666667,,,,5.081944444444442,4.458333333333333,1182.1944444444443,0.0,0,0,0,1,0,0,0,0
2019-03-28,3.7972222222222225,171.98611111111111,2.79236111111111,10.172222222222219,16.547222222222217,75.71527777777777,16.67569444444443,16.431250000000002,,,,3.322916666666666,2.9263888888888885,1166.2291666666667,0.0,0,1,0,0,0,0,0,0
2019-03-29,5.047222222222221,139.1875,3.040277777777778,17.688194444444445,19.272222222222226,56.388888888888886,19.41041666666667,19.118055555555557,,,,4.117361111111112,3.359027777777778,1183.4375,0.004861111111111111,0,1,0,0,0,0,0,0
2019-03-30,10.59652777777778,212.61111111111111,6.22013888888889,13.514583333333336,17.011805555555554,74.16666666666667,17.143055555555552,16.88541666666667,,,,8.057638888888887,6.576388888888888,1182.0347222222222,0.025694444444444447,0,0,0,1,0,0,0,0
2019-03-31,8.673611111111112,241.50694444444446,6.056249999999996,10.96458333333333,14.81180555555557,77.80555555555556,14.964583333333328,14.661111111111113,,,,7.474999999999998,6.427083333333334,1166.0347222222222,0.05069444444444444,0,0,0,1,0,0,0,0
2019-04-01,7.388194444444442,222.09027777777777,4.784027777777778,14.03194444444443,15.204166666666659,75.5625,15.370833333333337,15.041666666666673,,,,6.128472222222222,5.129861111111108,1182.7083333333333,0.06944444444444443,0,0,0,1,0,0,0,0
2019-04-02,4.359722222222225,217.68055555555554,2.9166666666666683,11.459722222222219,15.981250000000005,69.43055555555556,16.136805555555554,15.845833333333328,,,,3.6611111111111123,3.1006944444444446,1165.513888888889,0.0,0,0,0,1,0,0,0,0
2019-04-03,4.584027777777776,148.71527777777777,3.376388888888888,9.860416666666673,15.66111111111111,71.33333333333333,15.797916666666659,15.534027777777773,,,,4.022916666666666,3.5430555555555547,1182.048611111111,0.0,0,1,0,0,0,0,0,0
2019-04-04,4.414583333333332,202.46527777777777,3.405555555555555,10.444444444444443,16.4298611111111,80.22916666666667,16.54583333333332,16.310416666666665,,,,4.003472222222221,3.574305555555555,1182.388888888889,0.0,0,0,0,1,0,0,0,0
2019-04-05,3.847916666666668,250.89583333333334,2.9124999999999983,10.36041666666666,17.318749999999994,76.11805555555556,17.46458333333333,17.18819444444444,,,,3.4479166666666665,3.0569444444444427,1181.5208333333333,0.0,0,0,0,1,0,0,0,0
2019-04-06,3.4881944444444444,138.59027777777777,2.519444444444444,13.55625,17.538888888888888,78.41666666666667,17.67708333333333,17.4,,,,3.10486111111111,2.7472222222222236,1182.1875,0.0,0,1,0,0,0,0,0,0
2019-04-07,3.7083333333333326,176.05555555555554,2.412499999999999,14.267361111111105,21.669444444444444,53.44444444444444,21.840277777777796,21.506250000000012,,,,3.0749999999999997,2.579861111111109,1182.0208333333333,0.0,0,1,0,0,0,0,0,0
2019-04-08,3.3236111111111106,225.56944444444446,2.3868055555555556,13.407638888888885,18.875,77.88194444444444,19.023611111111116,18.728472222222216,,,,2.9215277777777775,2.576388888888888,1181.8472222222222,0.0,0,0,0,1,0,0,0,0
2019-04-09,4.167361111111113,236.32638888888889,3.1041666666666665,12.368749999999997,18.716666666666665,76.31944444444444,18.886805555555565,18.552083333333346,,,,3.6875,3.29513888888889,1182.9444444444443,0.0,0,0,0,1,0,0,0,0
2019-04-10,4.345138888888886,259.69444444444446,3.249305555555554,11.013194444444448,17.490277777777777,70.07638888888889,17.65208333333333,17.351388888888888,,,,3.861111111111112,3.3993055555555554,1180.673611111111,0.0,0,0,0,1,0,0,0,0
2019-04-11,5.534027777777781,168.41666666666666,4.149305555555555,9.734722222222217,17.035416666666677,72.13194444444444,17.178472222222226,16.900694444444447,,,,4.8805555555555555,4.3194444444444455,1182.576388888889,0.0,0,1,0,0,0,0,0,0
2019-04-12,6.324999999999999,127.15972222222223,4.831944444444445,11.541666666666664,17.303472222222236,78.27777777777777,17.43055555555555,17.184027777777782,,,,5.624305555555555,5.038194444444444,1182.875,0.0,0,1,0,0,0,0,0,0
2019-04-13,3.166666666666665,187.11111111111111,2.2437499999999986,11.861805555555556,18.70833333333334,78.20833333333333,18.844444444444445,18.583333333333332,,,,2.7215277777777778,2.405555555555554,1181.986111111111,0.0,0,0,0,1,0,0,0,0
2019-04-14,6.661805555555555,220.07638888888889,4.265277777777775,11.600694444444441,21.10902777777778,59.59722222222222,21.269444444444446,20.968749999999993,,,,5.304861111111112,4.490277777777775,1181.888888888889,0.0,0,0,0,1,0,0,0,0
2019-04-15,3.470833333333333,210.22916666666666,2.4215277777777775,16.81805555555555,17.533812949640282,78.33812949640287,17.664748201438844,17.410071942446038,,,,3.051388888888889,2.658333333333333,1166.2777777777778,0.011111111111111115,0,0,0,1,0,0,0,0
2019-04-16,3.4611111111111104,168.45833333333334,2.391666666666667,12.806944444444444,17.477777777777774,78.78472222222223,17.593750000000004,17.359027777777783,,,,3.0152777777777775,2.5770833333333325,1166.2569444444443,0.004861111111111111,0,1,0,0,0,0,0,0
2019-04-17,6.004861111111111,258.09722222222223,4.63263888888889,8.308333333333335,18.027083333333334,70.61111111111111,18.1736111111111,17.895833333333336,,,,5.39513888888889,4.824305555555555,1182.875,0.0,0,0,0,1,0,0,0,0
2019-04-18,5.416666666666667,244.32638888888889,3.9812500000000006,9.784027777777782,17.57916666666668,64.77083333333333,17.77569444444445,17.390972222222224,,,,4.812500000000002,4.165277777777778,1165.8541666666667,0.0006944444444444445,0,0,0,1,0,0,0,0
2019-04-19,8.081944444444442,240.22222222222223,6.090972222222222,10.289583333333336,17.290277777777796,63.548611111111114,17.416666666666664,17.15833333333335,,,,7.112500000000001,6.34375,1182.3472222222222,0.0,0,0,0,1,0,0,0,0
2019-04-20,8.21388888888889,252.74305555555554,6.192361111111111,9.180555555555557,17.43194444444444,64.86805555555556,17.57916666666667,17.28125,,,,7.327777777777778,6.46597222222222,1181.861111111111,0.0,0,0,0,1,0,0,0,0
2019-04-21,12.663888888888884,284.4375,9.7625,7.9687499999999964,15.934027777777779,58.708333333333336,16.128472222222214,15.759027777777785,,,,11.334027777777775,10.223611111111115,1181.8125,0.012500000000000002,0,0,1,0,0,0,0,0
2019-04-22,7.444444444444441,263.2291666666667,5.554166666666668,9.004166666666663,16.55138888888889,58.458333333333336,16.722916666666677,16.379861111111115,,,,6.673611111111111,5.819444444444446,1180.6944444444443,0.001388888888888889,0,0,0,1,0,0,0,0
2019-04-23,5.683333333333334,171.71527777777777,4.075694444444446,10.464583333333337,16.292361111111106,64.95138888888889,16.41597222222221,16.176388888888887,,,,4.885416666666666,4.25625,1166.4791666666667,0.0,0,1,0,0,0,0,0,0
2019-04-24,6.665972222222221,105.88194444444444,4.631250000000002,11.320138888888888,18.361111111111125,64.5625,18.484722222222228,18.23472222222223,,,,5.660416666666666,4.894444444444447,1183.375,0.0,0,1,0,0,0,0,0,0
2019-04-25,6.554861111111112,72.25694444444444,4.763194444444443,10.440277777777778,19.18333333333333,66.88888888888889,19.303472222222222,19.07361111111111,,,,5.6916666666666655,4.9916666666666645,1166.951388888889,0.0,1,0,0,0,0,0,0,0
2019-04-26,4.5548611111111095,125.03472222222223,3.1902777777777764,11.727777777777781,20.234722222222224,70.59027777777777,20.43888888888889,20.040972222222223,,,,3.9090277777777778,3.413194444444445,1165.0694444444443,0.0,0,1,0,0,0,0,0,0
2019-04-27,2.992361111111112,241.94444444444446,2.0805555555555557,11.529861111111106,20.18888888888889,79.05555555555556,20.33888888888889,20.040972222222237,,,,2.6506944444444436,2.269444444444445,1165.7291666666667,0.0,0,0,0,1,0,0,0,0
2019-04-28,3.534027777777778,195.47916666666666,2.499305555555556,14.953472222222217,19.695138888888884,82.81944444444444,19.80694444444445,19.581944444444463,,,,3.0673611111111123,2.670138888888889,1182.4305555555557,0.0,0,0,0,1,0,0,0,0
2019-04-29,3.1791666666666676,231.32638888888889,2.2201388888888887,14.486111111111105,21.188888888888897,71.75,21.33125000000002,21.046527777777765,,,,2.803472222222223,2.4131944444444446,1182.4166666666667,0.0,0,0,0,1,0,0,0,0
2019-04-30,3.184027777777777,228.06944444444446,2.318055555555555,12.48472222222222,20.562500000000007,85.52083333333333,20.679861111111112,20.44375000000001,,,,2.8590277777777784,2.488194444444445,1181.375,0.0,0,0,0,1,0,0,0,0
2019-05-01,5.657342657342657,96.95104895104895,4.2244755244755225,13.84195804195805,20.98181818181817,76.23076923076923,21.176223776223765,20.80209790209791,,,,4.967132867132869,4.466433566433566,1163.6083916083917,0.0,0,1,0,0,0,0,0,0
2019-05-02,4.388888888888887,193.84027777777777,2.691666666666666,20.070138888888877,23.085416666666678,66.72916666666667,23.37847222222223,22.80277777777778,,,,3.7576388888888874,3.0937500000000004,1182.6527777777778,0.0,0,0,0,1,0,0,0,0
