,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-West,West,East,North,South,South-East
2019-05-12,5.6048611111111075,55.395833333333336,2.2249999999999996,31.979166666666693,30.06805555555555,17.76388888888889,30.238194444444463,29.897222222222226,333.88194444444446,,,3.5805555555555557,2.45,1165.4722222222222,0.0,1,0,0,0,0,0,0,0
2019-05-13,5.022222222222221,91.48611111111111,2.0222222222222226,30.881944444444443,31.49652777777777,21.72222222222222,31.71041666666666,31.26388888888889,332.55555555555554,,,3.2138888888888895,2.2673611111111107,1165.736111111111,0.0,1,0,0,0,0,0,0,0
2019-05-14,5.066666666666667,85.46527777777777,2.136111111111111,29.530555555555566,31.688888888888886,21.625,31.924305555555552,31.44444444444445,330.50694444444446,,,3.3201388888888888,2.361805555555557,1165.0416666666667,0.0,1,0,0,0,0,0,0,0
2019-05-15,3.3354166666666676,127.18055555555556,1.4722222222222223,27.90694444444444,32.350694444444464,17.868055555555557,32.59513888888888,32.09027777777778,330.3958333333333,,,2.27638888888889,1.651388888888889,1182.298611111111,0.0,0,1,0,0,0,0,0,0
2019-05-16,3.870833333333334,120.21527777777777,1.7923611111111108,27.097222222222225,33.69444444444445,17.15277777777778,33.88750000000001,33.504166666666656,315.0833333333333,,,2.686805555555557,2.000694444444444,1181.9444444444443,0.0,0,1,0,0,0,0,0,0
2019-05-17,4.219444444444443,129.42361111111111,1.7097222222222228,30.175694444444446,32.76736111111113,22.708333333333332,32.976388888888884,32.53680555555556,294.3958333333333,,,2.764583333333334,1.9430555555555553,1181.8472222222222,0.0,0,1,0,0,0,0,0,0
2019-05-18,6.386111111111109,49.50694444444444,2.574305555555556,30.92361111111111,30.968749999999993,18.291666666666668,31.106944444444437,30.811805555555548,332.72222222222223,,,4.1125,2.8298611111111103,1164.638888888889,0.0,1,0,0,0,0,0,0,0
2019-05-19,6.269444444444448,60.048611111111114,2.4791666666666674,31.98541666666666,30.92986111111111,18.020833333333332,31.08958333333333,30.75277777777778,332.80555555555554,,,4.04097222222222,2.7583333333333337,1165.4652777777778,0.0,1,0,0,0,0,0,0,0
2019-05-20,7.615972222222221,35.81944444444444,3.0673611111111105,30.227083333333333,30.10069444444444,25.47222222222222,30.227777777777774,29.95208333333334,333.59722222222223,,,4.756944444444445,3.3569444444444456,1181.5972222222222,0.0,1,0,0,0,0,0,0,0
2019-05-21,6.283333333333333,61.31944444444444,2.49375,30.763888888888882,34.04166666666667,22.32638888888889,34.199305555555554,33.87569444444447,326.4166666666667,,,4.004861111111112,2.7423611111111117,1182.236111111111,0.0,1,0,0,0,0,0,0,0
2019-05-22,6.138194444444446,56.423611111111114,2.464583333333334,33.22638888888891,36.20347222222223,15.256944444444445,36.387499999999996,36.006944444444436,319.9861111111111,,,3.8923611111111125,2.718055555555556,1165.173611111111,0.0,1,0,0,0,0,0,0,0
2019-05-23,3.345833333333334,143.79166666666666,1.5034722222222228,29.831249999999997,35.77777777777777,16.041666666666668,36.025694444444454,35.51250000000002,320.9583333333333,,,2.329166666666666,1.6861111111111122,1182.7222222222222,0.0,0,1,0,0,0,0,0,0
2019-05-24,2.966666666666666,192.49305555555554,1.380555555555555,23.787500000000005,34.487500000000004,18.291666666666668,34.72777777777779,34.23263888888891,304.7638888888889,,,2.1006944444444446,1.5430555555555554,1166.0347222222222,0.0,0,0,1,0,0,0,0,0
2019-05-25,6.648611111111113,66.46527777777777,2.755555555555556,29.682638888888878,34.556250000000006,24.729166666666668,34.709722222222226,34.39166666666666,301.06944444444446,,,4.363888888888891,3.0409722222222233,1182.5555555555557,0.0,1,0,0,0,0,0,0,0
2019-05-26,8.60486111111111,31.82638888888889,3.699999999999999,26.70069444444445,31.897222222222233,26.229166666666668,32.025000000000006,31.76597222222221,310.05555555555554,,,5.599999999999999,4.0263888888888895,1182.7916666666667,0.0,1,0,0,0,0,0,0,0
2019-05-27,7.963888888888887,40.96527777777778,3.4312500000000004,28.169444444444455,31.68472222222223,28.07638888888889,31.824305555555554,31.54444444444444,310.40972222222223,,,5.082638888888888,3.728472222222223,1182.6319444444443,0.0,1,0,0,0,0,0,0,0
2019-05-28,7.413194444444447,65.36805555555556,3.0881944444444445,28.78055555555556,32.64583333333333,23.479166666666668,32.79166666666667,32.49652777777777,302.00694444444446,,,4.729166666666665,3.3749999999999996,1181.2430555555557,0.0,1,0,0,0,0,0,0,0
2019-05-29,7.216666666666665,67.43055555555556,2.9354166666666663,31.079861111111118,33.86388888888891,30.680555555555557,34.006249999999994,33.71666666666668,319.2708333333333,,,4.5472222222222225,3.2312500000000006,1181.298611111111,0.0,1,0,0,0,0,0,0,0
2019-05-30,6.672916666666666,82.22222222222223,2.729166666666667,30.68055555555556,35.74652777777775,22.194444444444443,35.88541666666668,35.591666666666676,313.1666666666667,,,4.282638888888886,3.000694444444445,1164.6944444444443,0.0,1,0,0,0,0,0,0,0
2019-05-31,6.479166666666664,116.13888888888889,2.686111111111112,32.99027777777779,36.03888888888888,20.555555555555557,36.18680555555556,35.8763888888889,307.93055555555554,,,4.254166666666666,2.9791666666666665,1181.7291666666667,0.0,0,1,0,0,0,0,0,0
