,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,East,North-East,North,South-East,West,South
2019-02-15,4.739583333333335,172.70138888888889,3.3284722222222225,12.600694444444438,14.05277777777778,72.56944444444444,14.18819444444444,13.932638888888889,,,,4.220833333333334,3.666666666666666,1183.423611111111,,1,0,0,0,0,0,0,0
2019-02-16,4.981249999999999,180.28472222222223,3.6374999999999997,13.77847222222222,13.815277777777782,88.63888888888889,13.926388888888892,13.697222222222221,,,,4.520833333333332,3.987500000000001,1181.4375,,0,1,0,0,0,0,0,0
2019-02-17,3.4760563380281697,146.34027777777777,2.4647887323943656,12.197222222222221,13.297916666666659,81.71527777777777,13.44861111111112,13.173611111111109,,,,3.095070422535211,2.7290780141843975,1181.951388888889,,1,0,0,0,0,0,0,0
2019-02-18,3.258741258741257,150.67832167832168,2.325174825174825,13.1055944055944,13.22867132867133,80.32867132867133,13.405594405594401,13.09370629370629,,,,2.9489510489510473,2.5888111888111887,1181.6293706293707,,1,0,0,0,0,0,0,0
2019-02-19,2.71875,214.59027777777777,1.8562500000000004,14.581250000000004,14.036805555555556,85.875,14.174305555555557,13.895833333333329,,,,2.434722222222223,2.0895833333333336,1181.4583333333333,,0,1,0,0,0,0,0,0
2019-02-20,1.8638888888888887,192.02777777777777,1.283333333333333,12.587499999999999,14.770138888888889,88.13194444444444,14.897916666666655,14.649305555555568,,,,1.6930555555555553,1.470833333333333,1166.125,,0,1,0,0,0,0,0,0
2019-02-21,2.85763888888889,179.50694444444446,2.133333333333333,10.775000000000006,14.57777777777777,79.5625,14.719444444444443,14.434722222222215,,,,2.593750000000001,2.359027777777777,1182.5902777777778,,1,0,0,0,0,0,0,0
2019-02-22,2.630555555555557,192.44444444444446,1.8597222222222218,13.822916666666664,14.44097222222222,76.97222222222223,14.596527777777773,14.274305555555546,,,,2.367361111111111,2.0687499999999988,1165.1805555555557,,0,1,0,0,0,0,0,0
2019-02-23,2.5013888888888878,170.45833333333334,1.7409722222222221,11.975,15.045138888888882,77.79166666666667,15.209722222222224,14.906249999999996,,,,2.215277777777779,1.9451388888888888,1181.4444444444443,,1,0,0,0,0,0,0,0
2019-02-24,2.7416666666666663,249.93055555555554,2.0909722222222236,12.185416666666665,16.484027777777776,80.06944444444444,16.651388888888892,16.322222222222237,,,,2.5208333333333335,2.2694444444444453,1182.173611111111,,0,1,0,0,0,0,0,0
2019-02-25,3.8937499999999994,193.125,2.562500000000001,19.353472222222223,19.325694444444437,63.30555555555556,19.664583333333326,18.982638888888886,,,,3.495833333333335,2.8777777777777787,1181.388888888889,,0,1,0,0,0,0,0,0
2019-02-26,7.627777777777776,180.4375,5.3597222222222225,16.229166666666668,19.01388888888889,61.15972222222222,19.21597222222222,18.82013888888888,,,,6.622916666666667,5.7250000000000005,1180.7083333333333,,0,1,0,0,0,0,0,0
2019-02-27,8.618750000000004,203.33333333333334,6.329166666666669,10.420833333333329,15.54722222222222,89.47222222222223,15.70763888888888,15.402083333333334,,,,7.697222222222223,6.875694444444445,1166.25,,0,1,0,0,0,0,0,0
2019-02-28,9.87638888888889,239.3125,7.065277777777778,10.309027777777779,14.268055555555561,79.77083333333333,14.469444444444441,14.058333333333328,,,,8.645833333333336,7.658333333333331,1183.673611111111,,0,1,0,0,0,0,0,0
2019-03-01,5.4541666666666675,232.90972222222223,4.252777777777777,9.300000000000004,14.836111111111101,71.69444444444444,14.975694444444448,14.700694444444444,,,,4.991666666666667,4.5673611111111105,1182.3194444444443,,0,1,0,0,0,0,0,0
2019-03-02,4.0784722222222225,183.95833333333334,2.986111111111111,11.992361111111116,14.821527777777776,87.95138888888889,14.933333333333337,14.71805555555555,,,,3.6597222222222223,3.279861111111112,1166.0555555555557,,0,1,0,0,0,0,0,0
2019-03-03,2.4041666666666672,144.55555555555554,1.6090277777777786,16.665972222222223,14.678472222222224,81.63888888888889,14.823611111111108,14.534027777777773,,,,2.1319444444444446,1.8104166666666675,1181.888888888889,,1,0,0,0,0,0,0,0
2019-03-04,2.3333333333333326,191.36805555555554,1.5090277777777783,15.962500000000002,14.527083333333334,88.20138888888889,14.636111111111113,14.414583333333335,,,,2.1048611111111106,1.8013888888888892,1165.576388888889,,0,1,0,0,0,0,0,0
2019-03-05,3.590277777777777,139.11805555555554,2.693055555555555,9.959027777777782,16.04722222222222,82.20833333333333,16.198611111111106,15.909027777777775,,,,3.259722222222221,2.959027777777777,1165.7569444444443,,1,0,0,0,0,0,0,0
2019-03-06,3.275694444444445,199.03472222222223,2.5090277777777765,11.265972222222219,16.26111111111111,80.19444444444444,16.40416666666666,16.118749999999995,,,,2.961805555555556,2.698611111111111,1165.361111111111,,0,1,0,0,0,0,0,0
2019-03-07,4.488888888888891,225.22916666666666,3.3263888888888893,11.349305555555553,15.675694444444446,86.20833333333333,15.831250000000008,15.507638888888899,,,,4.014583333333332,3.625694444444443,1181.861111111111,,0,1,0,0,0,0,0,0
2019-03-08,3.03125,176.47916666666666,2.1194444444444454,14.29166666666666,16.429861111111116,78.38888888888889,16.627083333333324,16.232638888888893,,,,2.744444444444443,2.3729166666666663,1165.125,,0,1,0,0,0,0,0,0
2019-03-09,2.40625,175.56944444444446,1.6986111111111106,14.439583333333331,16.017361111111114,71.3125,16.188888888888886,15.842361111111122,,,,2.173611111111111,1.9027777777777781,1164.8402777777778,,0,1,0,0,0,0,0,0
