,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,North,North-West,West,East,North-East,South,South-West,South-East
2019-04-01,,,,,11.112499999999999,94.63888888888889,11.200000000000003,11.032638888888883,,,,,,,0.21388888888888893,1,0,0,0,0,0,0,0,0
2019-04-02,,,,,12.97430555555556,85.19444444444444,13.111805555555556,12.84166666666667,,,,,,,0.011805555555555557,1,0,0,0,0,0,0,0,0
2019-04-03,,,,,14.35763888888889,71.11805555555556,14.516666666666667,14.201388888888895,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-04,,,,,16.547916666666662,65.61805555555556,16.70069444444444,16.398611111111105,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-05,,,,,15.174305555555557,76.97222222222223,15.321527777777776,15.013194444444448,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-06,,,,,16.60833333333333,65.13888888888889,16.77847222222222,16.437500000000007,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-07,,,,,20.03680555555555,53.5625,20.211111111111123,19.865972222222222,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-08,,,,,19.28888888888889,55.833333333333336,19.464583333333326,19.1263888888889,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-09,,,,,17.718055555555566,67.73611111111111,17.90277777777778,17.529166666666654,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-10,,,,,15.456250000000004,66.27083333333333,15.652777777777779,15.270833333333336,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-11,,,,,15.241666666666658,68.98611111111111,15.425694444444446,15.057638888888883,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-12,,,,,17.71736111111111,62.798611111111114,17.922222222222224,17.50833333333333,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-13,,,,,22.882638888888902,36.55555555555556,23.102777777777774,22.68263888888889,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-14,,,,,19.760416666666675,54.69444444444444,19.92986111111112,19.59930555555556,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-15,,,,,15.100694444444445,82.20138888888889,15.22708333333333,14.977777777777785,,,,,,,0.011805555555555555,1,0,0,0,0,0,0,0,0
2019-04-16,,,,,15.556249999999993,77.44444444444444,15.712499999999997,15.415972222222226,,,,,,,0.019444444444444448,1,0,0,0,0,0,0,0,0
2019-04-17,,,,,15.180555555555555,74.96527777777777,15.347916666666666,15.017361111111114,,,,,,,0.002777777777777778,1,0,0,0,0,0,0,0,0
2019-04-18,,,,,14.756249999999998,68.18055555555556,14.965972222222225,14.565277777777773,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-19,,,,,13.065972222222221,79.15277777777777,13.266666666666667,12.85694444444445,,,,,,,0.03333333333333333,1,0,0,0,0,0,0,0,0
2019-04-20,,,,,13.537500000000001,79.77777777777777,13.747916666666672,13.337500000000002,,,,,,,0.043055555555555555,1,0,0,0,0,0,0,0,0
2019-04-21,,,,,11.472916666666665,71.63194444444444,11.693055555555551,11.261111111111104,,,,,,,0.044444444444444446,1,0,0,0,0,0,0,0,0
2019-04-22,,,,,12.586805555555555,73.08333333333333,12.813194444444443,12.378472222222229,,,,,,,0.004166666666666667,1,0,0,0,0,0,0,0,0
2019-04-23,,,,,14.643055555555556,69.68055555555556,14.850000000000003,14.460416666666667,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-24,,,,,18.315972222222214,50.9375,18.543750000000003,18.111111111111107,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-25,,,,,20.843055555555555,42.15277777777778,21.12222222222222,20.587499999999995,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-26,,,,,23.204166666666666,32.99305555555556,23.401388888888878,22.99166666666667,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-27,,,,,22.36180555555554,35.30555555555556,22.571527777777792,22.147222222222236,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-28,,,,,22.040277777777774,42.59722222222222,22.273611111111112,21.825000000000003,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-29,,,,,23.770833333333353,40.27777777777778,23.998611111111092,23.54722222222223,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-30,,,,,23.196527777777774,44.291666666666664,23.44097222222223,22.97152777777778,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-01,,,,,24.18601398601399,42.48951048951049,24.431468531468525,23.947552447552436,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-02,,,,,25.595138888888883,37.875,25.891666666666666,25.317361111111097,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-03,,,,,20.43888888888888,50.88194444444444,20.672222222222235,20.21111111111112,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-04,,,,,18.383333333333333,66.59027777777777,18.622222222222227,18.172916666666676,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-05,,,,,24.359722222222214,38.15277777777778,24.615277777777766,24.108333333333338,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-06,,,,,27.203472222222224,27.833333333333332,27.494444444444444,26.918750000000003,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-07,,,,,19.04652777777778,61.826388888888886,19.24583333333333,18.845833333333328,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-08,,,,,17.749305555555562,62.19444444444444,17.98750000000001,17.524305555555564,,,,,,,0.0,1,0,0,0,0,0,0,0,0
