,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,North-West,North,South,West,South-West,North-East,East,South-East
2019-04-01,,,,,13.945833333333333,95.25,14.037500000000003,13.8548611111111,,,,,,,,1,0,0,0,0,0,0,0,0
2019-04-02,,,,,15.363194444444439,91.20138888888889,15.513888888888882,15.23055555555555,,,,,,,,1,0,0,0,0,0,0,0,0
2019-04-03,,,,,16.260294117647053,75.74264705882354,16.387499999999992,16.126470588235286,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-04,,,,,18.473611111111104,65.26388888888889,18.627083333333342,18.344444444444466,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-05,,,,,18.002777777777784,79.48611111111111,18.163194444444446,17.84375,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-06,,,,,17.909027777777794,79.93055555555556,18.024305555555546,17.802777777777763,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-07,,,,,22.349305555555553,61.99305555555556,22.53055555555556,22.169444444444427,,,,,,,0.0006944444444444445,1,0,0,0,0,0,0,0,0
2019-04-08,,,,,21.26875,62.5625,21.420833333333338,21.11180555555556,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-09,,,,,20.268750000000008,67.19444444444444,20.422916666666666,20.113888888888894,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-10,,,,,18.877083333333328,68.43055555555556,19.075694444444437,18.682638888888878,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-11,,,,,17.890277777777776,71.59027777777777,18.068750000000005,17.71111111111111,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-12,,,,,19.657638888888897,65.56944444444444,19.82638888888888,19.481249999999992,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-13,,,,,24.062500000000014,44.673611111111114,24.25000000000001,23.86180555555556,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-14,,,,,21.70347222222222,55.56944444444444,21.90208333333333,21.520138888888887,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-15,,,,,18.172916666666666,83.50694444444444,18.291666666666664,18.056944444444444,,,,,,,0.014583333333333334,1,0,0,0,0,0,0,0,0
2019-04-16,,,,,18.061111111111106,82.15277777777777,18.189583333333342,17.942361111111104,,,,,,,0.019444444444444445,1,0,0,0,0,0,0,0,0
2019-04-17,,,,,18.259027777777774,73.39583333333333,18.45208333333334,18.06944444444445,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-18,,,,,18.044444444444437,68.63888888888889,18.27361111111111,17.849999999999987,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-19,,,,,16.91388888888889,72.80555555555556,17.15902777777778,16.674305555555556,,,,,,,0.012500000000000002,1,0,0,0,0,0,0,0,0
2019-04-20,,,,,16.872222222222227,71.80555555555556,17.088888888888896,16.652777777777786,,,,,,,0.004166666666666667,1,0,0,0,0,0,0,0,0
2019-04-21,,,,,13.543750000000005,78.86805555555556,13.722222222222221,13.37361111111111,,,,,,,0.03611111111111111,1,0,0,0,0,0,0,0,0
2019-04-22,,,,,15.10902777777778,69.92361111111111,15.28749999999999,14.936111111111106,,,,,,,0.0020833333333333337,1,0,0,0,0,0,0,0,0
2019-04-23,,,,,17.604166666666668,67.90972222222223,17.818055555555564,17.389583333333338,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-24,,,,,20.445138888888888,58.375,20.60000000000001,20.272916666666664,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-25,,,,,22.552083333333332,49.576388888888886,22.75347222222223,22.359027777777783,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-26,,,,,23.898611111111116,45.11805555555556,24.101388888888884,23.681944444444447,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-27,,,,,23.822916666666654,41.34722222222222,24.02638888888888,23.637499999999996,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-28,,,,,23.921527777777772,43.72222222222222,24.11805555555555,23.749305555555555,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-29,,,,,24.87638888888889,42.520833333333336,25.05972222222222,24.707638888888905,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-30,,,,,25.31388888888889,46.291666666666664,25.536805555555546,25.113888888888894,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-01,,,,,25.195138888888902,47.986111111111114,25.37569444444445,25.009722222222216,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-02,,,,,27.515277777777786,39.701388888888886,27.768750000000008,27.26875,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-03,,,,,23.176388888888884,53.041666666666664,23.377083333333324,22.99166666666667,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-04,,,,,21.462500000000002,66.77777777777777,21.663194444444443,21.24097222222222,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-05,,,,,25.38888888888889,47.875,25.593750000000007,25.175694444444442,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-06,,,,,28.65972222222222,32.27777777777778,28.900694444444444,28.42222222222221,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-07,,,,,22.65902777777778,59.611111111111114,22.8826388888889,22.448611111111113,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-08,,,,,20.623611111111117,62.02777777777778,20.84305555555555,20.413194444444443,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-09,,,,,20.180555555555557,60.09722222222222,20.441666666666677,19.93541666666666,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-10,,,,,20.12222222222222,59.68055555555556,20.375694444444438,19.890972222222214,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-11,,,,,22.461111111111116,46.208333333333336,22.670833333333334,22.25,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-12,,,,,26.318749999999998,36.423611111111114,26.543055555555547,26.093750000000004,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-13,,,,,27.809722222222216,30.3125,28.075694444444444,27.563888888888883,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-14,,,,,28.59791666666667,30.07638888888889,28.847916666666663,28.35694444444445,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-15,,,,,30.189583333333335,36.576388888888886,30.423611111111104,29.97499999999999,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-16,,,,,28.782638888888894,42.61805555555556,29.006250000000005,28.549305555555552,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-17,,,,,28.236805555555556,40.513888888888886,28.44375,28.028472222222234,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-18,,,,,25.54097222222222,46.99305555555556,25.775694444444447,25.318749999999998,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-19,,,,,24.347222222222232,44.013888888888886,24.581944444444453,24.12986111111112,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-20,,,,,25.969444444444445,57.36805555555556,26.181944444444454,25.77013888888888,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-21,,,,,28.25208333333334,47.423611111111114,28.471527777777794,28.034722222222232,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-22,,,,,30.7263888888889,28.6875,30.953472222222235,30.513194444444455,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-23,,,,,33.00555555555555,21.194444444444443,33.222222222222214,32.78888888888886,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-24,,,,,33.90763888888887,22.53472222222222,34.16944444444445,33.66250000000001,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-25,,,,,27.866666666666674,50.90277777777778,28.10069444444444,27.640972222222214,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-26,,,,,25.202777777777786,56.5,25.420833333333324,24.99791666666667,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-27,,,,,26.12777777777778,58.583333333333336,26.33333333333333,25.92916666666667,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-28,,,,,27.875000000000004,64.14583333333333,28.072222222222216,27.694444444444436,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-29,,,,,29.309722222222224,56.486111111111114,29.52916666666668,29.09027777777779,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-30,,,,,32.39097222222221,31.694444444444443,32.61805555555555,32.16319444444446,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-31,,,,,32.42222222222222,31.25,32.666666666666664,32.170138888888886,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-01,,,,,30.14930555555556,44.99305555555556,30.35555555555556,29.96388888888889,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-02,,,,,28.77777777777778,59.048611111111114,29.003472222222214,28.55972222222222,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-03,,,,,30.093750000000014,54.72222222222222,30.31597222222222,29.873611111111114,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-04,,,,,30.79583333333335,42.986111111111114,31.026388888888903,30.582638888888887,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-05,,,,,31.684397163120575,36.39007092198582,31.899290780141847,31.480141843971648,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-06,,,,,30.633333333333344,46.0,30.82222222222221,30.43472222222222,,,,,,,0.0006944444444444445,1,0,0,0,0,0,0,0,0
2019-06-07,,,,,31.304166666666667,41.576388888888886,31.508333333333326,31.106249999999996,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-08,,,,,28.634027777777785,60.28472222222222,28.792361111111106,28.49930555555556,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-09,,,,,28.17638888888889,56.326388888888886,28.337500000000016,28.01527777777778,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-10,,,,,28.491666666666667,44.11805555555556,28.685416666666672,28.289583333333333,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-11,,,,,30.553472222222226,37.076388888888886,30.75347222222221,30.359722222222217,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-12,,,,,29.214583333333337,48.11805555555556,29.40625,29.014583333333324,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-13,,,,,27.307638888888896,60.354166666666664,27.49513888888889,27.135416666666675,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-14,,,,,27.556250000000006,60.49305555555556,27.741666666666664,27.38055555555556,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-15,,,,,27.674305555555552,62.03472222222222,27.859722222222217,27.482638888888875,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-16,,,,,29.081944444444453,56.65972222222222,29.291666666666668,28.888194444444437,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-17,,,,,28.820833333333344,57.31944444444444,29.014583333333334,28.652777777777796,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-18,,,,,28.527083333333337,60.5,28.70902777777778,28.352083333333333,,,,,,,0.0,1,0,0,0,0,0,0,0,0
