,WSmax_43,WDmax_43,WS_43,STDwd_43,TD_43,RH_43,TDmax_43,TDmin_43,Grad_43,NIP_43,DiffR_43,WS1mm_43,Ws10mm_43,Time_43,Rain_43,Fail_43,East_43,North-West_43,West_43,South-West_43,South_43,North-East_43,North_43,South-East_43,WSmax_42,WDmax_42,WS_42,STDwd_42,TD_42,RH_42,TDmax_42,TDmin_42,Grad_42,NIP_42,DiffR_42,WS1mm_42,Ws10mm_42,Time_42,Rain_42,North-West_42,South-East_42,South-West_42,East_42,West_42,South_42,North-East_42,North_42,WSmax_41,WDmax_41,WS_41,STDwd_41,TD_41,RH_41,TDmax_41,TDmin_41,Grad_41,NIP_41,DiffR_41,WS1mm_41,Ws10mm_41,Time_41,Rain_41,Fail_41,East_41,North-West_41,West_41,South-West_41,South_41,North-East_41,North_41,South-East_41
2019-08-11,,,,,26.15347222222221,74.625,26.300694444444442,26.00138888888889,316.21527777777777,322.3888888888889,58.76388888888889,,,,0.0,1,0,0,0,0,0,0,0,0,8.026388888888885,253.875,5.2875,15.011805555555565,23.86458333333333,85.02777777777777,23.9875,23.75138888888888,298.21527777777777,,,6.515972222222217,5.541666666666668,1181.7847222222224,0.0,0,0,1,0,0,0,0,0,,,,,28.994444444444426,67.94444444444444,29.184027777777768,28.805555555555557,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-12,,,,,26.357638888888907,75.40972222222223,26.49375,26.218750000000014,328.2027972027972,377.09027777777777,41.125,,,,0.0,1,0,0,0,0,0,0,0,0,8.25555555555556,250.375,6.180555555555552,10.574305555555554,24.081944444444442,86.3263888888889,24.184027777777786,23.974305555555574,329.6041666666667,,,7.111805555555555,6.39861111111111,1181.8819444444443,0.0,0,0,1,0,0,0,0,0,,,,,29.254861111111122,68.21527777777777,29.44375,29.061805555555573,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-13,,,,,26.927083333333343,71.9375,27.113194444444453,26.738194444444453,318.96478873239437,138.86315789473684,52.02777777777778,,,,0.0,1,0,0,0,0,0,0,0,0,6.488194444444442,274.2916666666667,4.2569444444444455,15.51180555555555,25.422916666666676,72.8263888888889,25.570138888888888,25.272222222222233,318.6111111111111,,,5.238194444444441,4.456249999999997,1182.1458333333333,0.0,0,1,0,0,0,0,0,0,,,,,29.088194444444447,71.88194444444444,29.285416666666656,28.894444444444428,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-14,,,,,26.649305555555557,71.96527777777777,26.790277777777767,26.49583333333333,296.6111111111111,21.046511627906977,57.0625,,,,0.0,1,0,0,0,0,0,0,0,0,7.277777777777778,254.13194444444446,5.154861111111114,12.505555555555553,24.63958333333333,81.75,24.77500000000001,24.503472222222232,307.0486111111111,,,6.175694444444442,5.388888888888892,1183.25,0.0,0,0,1,0,0,0,0,0,,,,,29.328472222222228,66.79166666666667,29.51805555555555,29.143749999999994,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-15,,,,,26.824305555555572,61.743055555555564,27.047222222222228,26.609027777777783,289.34722222222223,103.5681818181818,67.45833333333333,,,,0.0,1,0,0,0,0,0,0,0,0,4.88455882352941,198.44852941176467,2.873529411764705,18.53897058823529,25.6125,65.02205882352939,25.763970588235306,25.46911764705882,260.58823529411757,,,3.8551470588235297,3.098529411764706,1183.8088235294115,0.0,0,0,1,0,0,0,0,0,,,,,28.3875,66.63235294117646,28.619852941176482,28.1639705882353,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-16,,,,,27.538194444444446,52.09722222222222,27.76250000000001,27.323611111111106,318.3286713286713,180.0108695652174,39.493055555555564,,,,0.0,1,0,0,0,0,0,0,0,0,3.763194444444444,227.33333333333331,1.8263888888888888,28.081250000000008,28.15625000000001,48.194444444444436,28.340277777777786,27.988194444444442,317.59722222222223,,,2.774305555555556,2.024305555555556,1165.0347222222224,0.0,0,0,1,0,0,0,0,0,,,,,28.215972222222227,60.38888888888889,28.459722222222208,27.98958333333334,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-17,,,,,26.117361111111112,74.15277777777777,26.27569444444445,25.952777777777783,263.3125,194.53472222222226,96.26388888888887,,,,0.0,1,0,0,0,0,0,0,0,0,7.530555555555557,263.15972222222223,4.831944444444447,14.69583333333333,24.164583333333322,83.06944444444444,24.274305555555557,24.04652777777777,252.73611111111111,,,6.036805555555558,5.058333333333336,1182.3680555555557,0.0,0,0,1,0,0,0,0,0,,,,,29.038194444444446,66.8263888888889,29.23958333333334,28.851388888888888,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-18,,,,,26.19148936170213,71.71631205673759,26.342553191489355,26.05035460992908,294.22695035460987,291.55319148936167,54.43262411347518,,,,0.0,1,0,0,0,0,0,0,0,0,8.158865248226952,249.24822695035462,5.124822695035462,16.409219858156032,24.09645390070921,80.85106382978724,24.215602836879434,23.95957446808511,281.71631205673765,,,6.456028368794332,5.406382978723405,1191.113475177305,0.0,0,0,1,0,0,0,0,0,,,,,28.81489361702127,65.36170212765957,29.032624113475176,28.602836879432612,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-19,,,,,25.325000000000006,66.6388888888889,25.50694444444443,25.152777777777768,305.5486111111111,331.2916666666667,52.70138888888889,,,,0.0,1,0,0,0,0,0,0,0,0,7.234722222222219,243.90277777777774,4.638888888888889,14.455555555555554,23.605555555555572,73.3611111111111,23.75555555555556,23.45486111111112,310.3680555555556,,,5.857638888888888,4.913194444444446,1182.0,0.0,0,0,1,0,0,0,0,0,,,,,28.01319444444444,60.694444444444436,28.247916666666654,27.79791666666665,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-20,,,,,25.641666666666666,69.72222222222223,25.808333333333334,25.47361111111111,287.90277777777777,299.21527777777777,58.930555555555564,,,,0.0,1,0,0,0,0,0,0,0,0,6.184027777777778,254.86111111111111,3.9187500000000006,15.725694444444455,23.94305555555555,77.0486111111111,24.09791666666666,23.790277777777767,270.5416666666667,,,5.00763888888889,4.154166666666667,1182.0833333333333,0.0,0,0,1,0,0,0,0,0,,,,,27.96736111111111,65.28472222222223,28.176388888888887,27.75833333333333,,,,,,,0.0,1,0,0,0,0,0,0,0,0
