,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,East,North-West,North-East,North,South-East,West,South,South-West
2019-02-15,,,,,9.95763888888889,77.65972222222223,10.121527777777779,9.809722222222222,75.24305555555556,,63.423611111111114,,,,0.14861111111111114,1,0,0,0,0,0,0,0,0
2019-02-16,,,,,10.804166666666667,87.09722222222223,10.96805555555556,10.65625,68.61111111111111,,55.69444444444444,,,,0.16180555555555554,1,0,0,0,0,0,0,0,0
2019-02-17,,,,,11.290277777777774,76.31944444444444,11.498611111111108,11.08472222222222,194.89583333333334,,70.13194444444444,,,,0.051388888888888894,1,0,0,0,0,0,0,0,0
2019-02-18,,,,,10.391428571428564,75.37857142857143,10.582857142857147,10.214999999999993,139.91549295774647,,55.6875,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-19,,,,,12.259027777777776,82.40277777777777,12.381944444444445,12.135416666666668,138.02777777777777,,53.451388888888886,,,,0.0006944444444444445,1,0,0,0,0,0,0,0,0
2019-02-20,,,,,12.216666666666663,81.97916666666667,12.359027777777781,12.082638888888885,106.97222222222223,,75.82638888888889,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-21,,,,,11.770138888888885,77.50694444444444,11.943750000000001,11.601388888888893,177.40277777777777,233.53030303030303,55.354166666666664,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-22,,,,,11.316666666666668,81.41666666666667,11.467361111111108,11.165277777777776,181.42361111111111,222.40277777777777,54.708333333333336,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-23,,,,,11.764583333333327,80.76388888888889,11.926388888888892,11.61319444444445,177.21527777777777,217.94444444444446,48.88194444444444,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-24,,,,,13.798611111111112,68.28472222222223,13.968750000000004,13.636805555555556,205.54861111111111,231.04861111111111,56.18055555555556,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-25,,,,,17.896527777777774,42.770833333333336,18.00625,17.78958333333333,198.42361111111111,34.64356435643565,77.06944444444444,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-26,,,,,15.765277777777767,60.69444444444444,15.90555555555555,15.634027777777764,159.90972222222223,29.442477876106196,72.65972222222223,,,,0.02638888888888889,1,0,0,0,0,0,0,0,0
2019-02-27,,,,,12.81875,86.03472222222223,12.999999999999998,12.659722222222223,102.44444444444444,29.07638888888889,68.20138888888889,,,,0.18750000000000008,1,0,0,0,0,0,0,0,0
2019-02-28,,,,,11.093055555555555,72.07638888888889,11.262499999999994,10.90555555555556,77.92361111111111,17.493055555555557,54.90277777777778,,,,0.06736111111111111,1,0,0,0,0,0,0,0,0
2019-03-01,,,,,11.720833333333331,60.201388888888886,11.864583333333332,11.587499999999995,180.61805555555554,3.152173913043478,66.67361111111111,,,,0.004861111111111111,1,0,0,0,0,0,0,0,0
2019-03-02,,,,,12.121527777777782,82.22222222222223,12.271527777777777,11.984027777777776,135.55555555555554,1.9893617021276595,74.61805555555556,,,,0.052083333333333336,1,0,0,0,0,0,0,0,0
2019-03-03,,,,,12.810416666666669,65.85416666666667,13.00416666666666,12.618750000000002,137.24305555555554,1.8269230769230769,84.13194444444444,,,,0.013888888888888888,1,0,0,0,0,0,0,0,0
2019-03-04,,,,,12.873611111111114,86.52777777777777,13.032638888888888,12.720833333333324,147.04166666666666,57.80769230769231,70.75694444444444,,,,0.022222222222222227,1,0,0,0,0,0,0,0,0
2019-03-05,,,,,13.33958333333333,82.06944444444444,13.49166666666666,13.207638888888889,204.57638888888889,140.34722222222223,96.09722222222223,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-06,,,,,13.413888888888886,80.36805555555556,13.563888888888895,13.268055555555557,211.0,246.49305555555554,48.458333333333336,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-07,,,,,13.386111111111113,80.28472222222223,13.475694444444448,13.28958333333333,115.68055555555556,56.3125,79.21527777777777,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-08,,,,,14.026388888888889,68.4375,14.178472222222222,13.888888888888893,255.20863309352518,380.6041666666667,23.84722222222222,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-09,,,,,12.630555555555553,68.54861111111111,12.813888888888899,12.456249999999992,255.02083333333334,368.443661971831,25.70138888888889,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-10,,,,,13.16875,79.54166666666667,13.32986111111111,13.010416666666666,193.84722222222223,130.16666666666666,88.77083333333333,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-11,,,,,13.379861111111115,83.90277777777777,13.51388888888889,13.255555555555555,140.69444444444446,66.91608391608392,71.59027777777777,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-12,,,,,15.425694444444442,71.36805555555556,15.661111111111117,15.211111111111109,224.14583333333334,225.625,64.26388888888889,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-13,,,,,16.5875,59.854166666666664,16.818055555555556,16.3611111111111,221.75694444444446,192.09722222222223,70.375,,,,0.030555555555555558,1,0,0,0,0,0,0,0,0
2019-03-14,,,,,12.362499999999997,82.78472222222223,12.524305555555552,12.210416666666674,175.63194444444446,89.79861111111111,95.94444444444444,,,,0.058333333333333334,1,0,0,0,0,0,0,0,0
2019-03-15,,,,,14.352777777777776,79.59027777777777,14.520833333333327,14.199305555555556,172.11805555555554,131.38194444444446,71.96527777777777,,,,0.0006944444444444445,1,0,0,0,0,0,0,0,0
2019-03-16,,,,,11.79375,86.58333333333333,11.97569444444444,11.58958333333333,72.51388888888889,6.9020979020979025,59.888888888888886,,,,0.26319444444444445,1,0,0,0,0,0,0,0,0
2019-03-17,,,,,13.49861111111111,82.9375,13.643750000000002,13.370833333333325,175.75,105.29166666666667,80.45833333333333,,,,0.06597222222222222,1,0,0,0,0,0,0,0,0
2019-03-18,,,,,13.566666666666674,85.05555555555556,13.714583333333337,13.415277777777778,268.59722222222223,1.9864864864864864,40.50694444444444,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-19,,,,,14.356249999999996,85.57638888888889,14.525694444444444,14.196527777777773,274.68055555555554,2.5833333333333335,24.57638888888889,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-20,,,,,14.98402777777778,85.64583333333333,15.155555555555553,14.809722222222225,257.25694444444446,299.4347826086956,53.923611111111114,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-21,,,,,16.045833333333334,79.375,16.203472222222217,15.886111111111104,263.06944444444446,113.41176470588235,49.048611111111114,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-22,,,,,15.72916666666666,86.90972222222223,15.87291666666666,15.581249999999995,221.72916666666666,,76.32638888888889,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-23,,,,,15.545138888888882,78.02777777777777,15.695138888888888,15.39652777777778,161.28472222222223,,108.78472222222223,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-24,,,,,15.075694444444444,83.52083333333333,15.191666666666672,14.965277777777787,187.86805555555554,1.8571428571428572,104.34027777777777,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-25,,,,,11.450694444444446,76.00694444444444,11.59513888888889,11.315277777777768,113.77777777777777,27.77777777777778,83.10416666666667,,,,0.020833333333333343,1,0,0,0,0,0,0,0,0
2019-03-26,,,,,13.07916666666667,66.73611111111111,13.238888888888887,12.920833333333329,211.61111111111111,97.2719298245614,65.71527777777777,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-27,,,,,14.168750000000008,82.16666666666667,14.298611111111121,14.04444444444445,186.70138888888889,28.398230088495577,80.00694444444444,,,,0.004166666666666667,1,0,0,0,0,0,0,0,0
2019-03-28,,,,,14.530555555555553,83.0625,14.648611111111112,14.409027777777773,246.39583333333334,10.453488372093023,86.64583333333333,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-29,,,,,14.71180555555555,75.20138888888889,14.919444444444448,14.51388888888889,105.70138888888889,41.0625,71.82638888888889,,,,0.019444444444444448,1,0,0,0,0,0,0,0,0
2019-03-30,,,,,14.090972222222213,83.34722222222223,14.289583333333333,13.89513888888889,154.47222222222223,48.936619718309856,91.84722222222223,,,,0.14236111111111113,1,0,0,0,0,0,0,0,0
2019-03-31,,,,,11.599305555555555,93.53472222222223,11.690972222222218,11.514583333333333,81.27083333333333,2.8819444444444446,69.48611111111111,,,,0.10833333333333334,1,0,0,0,0,0,0,0,0
