,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,West,South-West,East,North-West,North-East,North,South,South-East
2019-04-01,,,,,12.158333333333339,91.20833333333333,12.275000000000002,12.027777777777779,129.36111111111111,7.936842105263158,87.20833333333333,,,,0.0986111111111111,1,0,0,0,0,0,0,0,0
2019-04-02,,,,,12.822916666666664,86.20833333333333,12.965277777777779,12.682638888888892,192.32638888888889,2.4324324324324325,89.18055555555556,,,,0.009722222222222222,1,0,0,0,0,0,0,0,0
2019-04-03,,,,,13.613888888888889,79.59027777777777,13.785416666666668,13.448611111111104,224.47916666666666,178.78846153846155,60.69444444444444,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-04,,,,,14.654861111111112,81.48611111111111,14.812500000000009,14.49652777777778,251.78472222222223,229.1631205673759,66.30555555555556,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-05,,,,,15.020138888888892,86.16666666666667,15.158333333333331,14.891666666666664,199.94444444444446,39.50909090909091,88.6875,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-06,,,,,16.075694444444448,75.52083333333333,16.23055555555554,15.918750000000001,138.39583333333334,9.13888888888889,111.71527777777777,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-07,,,,,20.200000000000017,50.0625,20.427777777777777,19.99305555555556,272.9375,37.357142857142854,87.66666666666667,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-08,,,,,19.036805555555556,62.951388888888886,19.25,18.8263888888889,290.00694444444446,277.09285714285716,64.72916666666667,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-09,,,,,17.54791666666667,69.38194444444444,17.77222222222223,17.331250000000004,288.7708333333333,231.5438596491228,62.31944444444444,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-10,,,,,15.050694444444442,76.75694444444444,15.199305555555558,14.899305555555562,285.6041666666667,1.6470588235294117,62.96527777777778,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-11,,,,,14.963888888888894,75.27083333333333,15.113888888888889,14.827777777777774,302.8263888888889,19.554054054054053,45.013888888888886,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-12,,,,,15.908333333333335,78.91666666666667,16.06666666666667,15.747222222222215,306.5,94.61111111111111,53.611111111111114,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-13,,,,,22.679166666666664,36.291666666666664,22.910416666666666,22.45763888888889,300.0416666666667,100.8019801980198,63.72222222222222,,,,0.0,1,0,0,0,0,0,0,0,0
