,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,North,East,West,South,North-East
2019-04-01,6.129861111111112,230.63194444444446,4.518750000000001,8.081944444444444,12.90208333333333,62.263888888888886,13.022222222222224,12.790277777777781,,,,5.386111111111111,4.763888888888888,1182.0,0.001388888888888889,0,0,1,0,0,0,0,0
2019-04-02,5.356944444444444,218.5,3.7381944444444457,10.392361111111114,14.446527777777776,56.770833333333336,14.613888888888889,14.299305555555549,,,,4.630555555555559,4.015972222222221,1165.1319444444443,0.0,0,0,1,0,0,0,0,0
2019-04-03,4.3187500000000005,177.89583333333334,2.6652777777777787,18.32569444444444,16.045833333333338,51.951388888888886,16.23055555555556,15.863888888888889,,,,3.658333333333333,2.95,1182.8472222222222,0.0,1,0,0,0,0,0,0,0
2019-04-04,4.713888888888889,247.20138888888889,3.3083333333333322,14.830555555555557,16.911805555555556,62.31944444444444,17.090277777777786,16.75069444444445,,,,4.148611111111112,3.609722222222222,1182.5555555555557,0.0,0,0,1,0,0,0,0,0
2019-04-05,4.17638888888889,288.21527777777777,2.7486111111111113,13.979861111111113,15.17777777777778,73.02083333333333,15.308333333333328,15.05208333333333,,,,3.5847222222222235,3.005555555555557,1165.5833333333333,0.0,0,1,0,0,0,0,0,0
2019-04-06,4.386805555555555,122.97916666666667,3.063888888888888,11.672222222222215,18.395833333333336,51.46527777777778,18.54097222222222,18.25833333333333,,,,3.861805555555554,3.3111111111111104,1166.3194444444443,0.0,1,0,0,0,0,0,0,0
2019-04-07,5.793749999999999,180.375,4.029861111111113,10.587500000000007,22.330555555555545,37.77777777777778,22.53888888888889,22.12777777777778,,,,5.08472222222222,4.3486111111111105,1183.0694444444443,0.0,0,0,1,0,0,0,0,0
2019-04-08,3.93888888888889,204.90277777777777,2.6625,13.597222222222221,19.834722222222226,49.513888888888886,20.018055555555563,19.649305555555557,,,,3.467361111111111,2.927083333333334,1182.611111111111,0.0,0,0,1,0,0,0,0,0
2019-04-09,6.581249999999998,213.0625,4.695138888888889,10.352083333333333,19.16041666666667,53.34722222222222,19.363888888888894,18.955555555555563,,,,5.729861111111109,4.9784722222222255,1181.2916666666667,0.0,0,0,1,0,0,0,0,0
2019-04-10,4.229166666666666,242.56944444444446,2.7590277777777783,15.332638888888892,15.215972222222225,62.888888888888886,15.40486111111111,15.040972222222226,,,,3.649305555555553,3.0118055555555565,1181.1180555555557,0.0,0,0,1,0,0,0,0,0
