,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,East,North-West,North-East,North,South-East,West,South,South-West
2019-02-15,,,,,9.537499999999998,87.92361111111111,9.620138888888887,9.449999999999998,,,,,,,0.11458333333333331,1,0,0,0,0,0,0,0,0
2019-02-16,,,,,10.04652777777778,98.70833333333333,10.122916666666663,9.975694444444452,,,,,,,0.1652777777777778,1,0,0,0,0,0,0,0,0
2019-02-17,,,,,8.447916666666664,94.15277777777777,8.577777777777776,8.32708333333333,,,,,,,0.01041666666666667,1,0,0,0,0,0,0,0,0
2019-02-18,,,,,8.147552447552446,93.23076923076923,8.312587412587407,7.990909090909088,,,,,,,0.007692307692307693,1,0,0,0,0,0,0,0,0
2019-02-19,,,,,9.902777777777779,92.67361111111111,10.067361111111104,9.738194444444444,,,,,,,0.0006944444444444445,1,0,0,0,0,0,0,0,0
2019-02-20,,,,,10.847222222222218,93.11805555555556,10.956944444444442,10.73541666666667,,,,,,,0.002777777777777778,1,0,0,0,0,0,0,0,0
2019-02-21,,,,,10.03125,86.46527777777777,10.178472222222222,9.872916666666672,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-22,,,,,10.399999999999999,83.67361111111111,10.574999999999998,10.23194444444445,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-23,,,,,11.443750000000001,81.02777777777777,11.611805555555554,11.267361111111107,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-24,,,,,13.630555555555558,68.38888888888889,13.834027777777777,13.426388888888892,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-25,,,,,17.180555555555557,50.22222222222222,17.479861111111116,16.88888888888889,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-26,,,,,16.37291666666667,54.104166666666664,16.569444444444457,16.18333333333333,,,,,,,0.0020833333333333337,1,0,0,0,0,0,0,0,0
2019-02-27,,,,,12.54444444444444,89.70138888888889,12.719444444444449,12.390277777777776,,,,,,,0.0805555555555555,1,0,0,0,0,0,0,0,0
2019-02-28,,,,,10.147916666666656,83.26388888888889,10.360416666666671,9.930555555555559,,,,,,,0.17152777777777783,1,0,0,0,0,0,0,0,0
2019-03-01,,,,,10.26041666666667,72.86805555555556,10.432638888888892,10.090277777777779,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-02,,,,,11.216666666666669,94.89583333333333,11.319444444444441,11.119444444444447,,,,,,,0.028472222222222225,1,0,0,0,0,0,0,0,0
2019-03-03,,,,,10.895138888888887,88.39583333333333,11.035416666666666,10.762499999999998,,,,,,,0.0020833333333333337,1,0,0,0,0,0,0,0,0
2019-03-04,,,,,11.831250000000002,94.03472222222223,11.965972222222225,11.706249999999995,,,,,,,0.01736111111111112,1,0,0,0,0,0,0,0,0
2019-03-05,,,,,11.938888888888883,88.875,12.106249999999996,11.786805555555548,,,,,,,0.07152777777777777,1,0,0,0,0,0,0,0,0
2019-03-06,,,,,12.70138888888889,82.60416666666667,12.850694444444441,12.564583333333339,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-07,,,,,12.401388888888883,83.17361111111111,12.554861111111107,12.258333333333333,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-08,,,,,13.156249999999998,66.52083333333333,13.338888888888885,12.981250000000003,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-09,,,,,12.317361111111122,67.03472222222223,12.528472222222222,12.113194444444435,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-10,,,,,12.217361111111112,76.94444444444444,12.397916666666667,12.04791666666667,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-11,,,,,13.113194444444447,86.56944444444444,13.281944444444441,12.947222222222221,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-12,,,,,14.994444444444444,73.05555555555556,15.188194444444443,14.804861111111117,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-13,,,,,16.093749999999996,58.86805555555556,16.370138888888892,15.840972222222225,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-14,,,,,10.886111111111113,94.15972222222223,11.030555555555555,10.752083333333337,,,,,,,0.04166666666666667,1,0,0,0,0,0,0,0,0
2019-03-15,,,,,12.329166666666662,85.77777777777777,12.511805555555553,12.154166666666667,,,,,,,0.004861111111111111,1,0,0,0,0,0,0,0,0
2019-03-16,,,,,9.991666666666667,97.61805555555556,10.104166666666671,9.886111111111116,,,,,,,0.24236111111111114,1,0,0,0,0,0,0,0,0
2019-03-17,,,,,12.904166666666669,82.78472222222223,13.077083333333327,12.726388888888891,,,,,,,0.009027777777777779,1,0,0,0,0,0,0,0,0
2019-03-18,,,,,13.004861111111111,87.79861111111111,13.191666666666672,12.820833333333331,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-19,,,,,14.475694444444441,73.60416666666667,14.670833333333333,14.272222222222215,,,,,,,0.0,1,0,0,0,0,0,0,0,0
