,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,South-East,South-West,North-East,East,North-West,South,North,West
2019-08-01,8.209090909090909,288.9020979020979,5.483216783216785,12.818881118881118,25.640559440559432,77.37762237762237,25.78181818181818,25.516083916083918,,,,6.700699300699299,5.732867132867135,1174.5524475524476,0.0,1,0,0,0,0,0,0,0
2019-08-02,7.8694444444444445,288.86805555555554,5.184722222222224,12.500694444444454,25.38750000000001,78.02083333333333,25.532638888888897,25.239583333333336,,,,6.391666666666665,5.415972222222223,1181.3541666666667,0.0,1,0,0,0,0,0,0,0
2019-08-03,7.686805555555555,289.55555555555554,5.118749999999999,12.136111111111111,25.184722222222227,80.42361111111111,25.334027777777766,25.05347222222221,,,,6.238194444444447,5.320138888888889,1180.638888888889,0.0,1,0,0,0,0,0,0,0
2019-08-04,7.025694444444439,287.6111111111111,4.707638888888888,12.988888888888887,25.81666666666668,82.56944444444444,25.95000000000001,25.695138888888895,,,,5.74375,4.907638888888888,1181.1041666666667,0.0,1,0,0,0,0,0,0,0
2019-08-05,6.364583333333332,273.15972222222223,4.259027777777778,12.907638888888885,25.970833333333328,83.64583333333333,26.106250000000003,25.847916666666666,,,,5.26319444444445,4.475694444444444,1180.736111111111,0.0,1,0,0,0,0,0,0,0
2019-08-06,5.554166666666666,275.68055555555554,3.6194444444444422,15.502777777777775,25.36319444444445,71.74305555555556,25.52083333333334,25.215277777777782,,,,4.559722222222223,3.8215277777777783,1166.3472222222222,0.0,1,0,0,0,0,0,0,0
2019-08-07,5.822695035460993,233.39007092198582,3.8163120567375888,15.009929078014178,25.22411347517729,68.60283687943263,25.37446808510638,25.080851063829787,,,,4.779432624113475,4.008510638297873,1189.1702127659576,0.0,0,1,0,0,0,0,0,0
2019-08-08,7.927777777777779,289.0,5.321527777777779,11.475694444444448,25.243749999999995,79.71527777777777,25.38680555555555,25.111111111111107,,,,6.461805555555556,5.534027777777779,1181.826388888889,0.0,1,0,0,0,0,0,0,0
2019-08-09,8.106250000000003,284.75694444444446,5.537500000000002,11.46458333333333,25.40972222222222,78.40972222222223,25.55069444444446,25.292361111111106,,,,6.681250000000001,5.740277777777781,1165.298611111111,0.0,1,0,0,0,0,0,0,0
2019-08-10,7.804166666666671,284.375,5.177777777777779,12.186111111111103,25.129861111111115,78.54861111111111,25.270138888888894,24.99583333333334,,,,6.343055555555555,5.409027777777779,1165.0625,0.0,1,0,0,0,0,0,0,0
2019-08-11,7.715277777777781,291.2083333333333,5.075694444444445,12.683333333333334,25.348611111111108,80.99305555555556,25.497916666666654,25.213888888888892,,,,6.293750000000001,5.302777777777775,1181.8958333333333,0.0,1,0,0,0,0,0,0,0
2019-08-12,8.47222222222222,287.68055555555554,5.755555555555558,11.722222222222218,25.700000000000003,81.76388888888889,25.82013888888889,25.570138888888895,,,,6.950694444444444,5.975,1165.6805555555557,0.0,1,0,0,0,0,0,0,0
2019-08-13,8.424305555555552,281.03472222222223,5.966666666666665,10.519444444444437,26.03958333333333,82.15277777777777,26.176388888888898,25.90555555555558,,,,7.025694444444442,6.170138888888889,1166.236111111111,0.0,1,0,0,0,0,0,0,0
2019-08-14,8.150694444444444,286.8611111111111,5.634722222222221,11.469444444444443,25.754166666666677,79.52083333333333,25.88333333333334,25.626388888888886,,,,6.796527777777777,5.85208333333333,1181.201388888889,0.0,1,0,0,0,0,0,0,0
2019-08-15,5.149264705882352,225.8014705882353,3.383823529411765,14.563970588235295,26.200735294117642,67.57352941176471,26.357352941176472,26.041176470588226,,,,4.24705882352941,3.583088235294117,1183.8235294117646,0.0,0,1,0,0,0,0,0,0
2019-08-16,6.178472222222222,214.46527777777777,4.199305555555558,14.739583333333327,28.323611111111116,41.4375,28.492361111111116,28.16111111111112,,,,5.132638888888889,4.384722222222224,1181.736111111111,0.0,0,1,0,0,0,0,0,0
2019-08-17,8.120833333333335,291.99305555555554,5.449305555555558,11.880555555555555,25.33819444444446,79.55555555555556,25.468055555555562,25.203472222222235,,,,6.629166666666666,5.690277777777777,1182.4027777777778,0.0,1,0,0,0,0,0,0,0
2019-08-18,6.8128571428571405,283.9357142857143,4.576428571428571,11.630714285714278,25.471428571428568,76.72142857142858,25.60357142857142,25.344999999999985,,,,5.610714285714286,4.804999999999998,1193.892857142857,0.0,1,0,0,0,0,0,0,0
2019-08-19,5.8090277777777795,239.50694444444446,3.674999999999999,15.87847222222222,24.95069444444444,68.375,25.1326388888889,24.780555555555562,,,,4.783333333333338,3.956944444444444,1164.8472222222222,0.0,0,1,0,0,0,0,0,0
2019-08-20,5.891666666666665,267.02777777777777,3.7368055555555535,15.347222222222225,25.064583333333353,71.81944444444444,25.218750000000004,24.902083333333344,,,,4.780555555555555,3.963888888888887,1181.826388888889,0.0,0,1,0,0,0,0,0,0
2019-08-21,7.6222222222222245,298.3263888888889,4.888888888888889,13.604166666666677,25.781944444444434,70.64583333333333,25.918055555555576,25.64375000000001,,,,6.1194444444444445,5.141666666666667,1181.3402777777778,0.0,1,0,0,0,0,0,0,0
