,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,North,East,West,South,North-East
2019-04-01,4.489583333333333,179.42361111111111,2.669444444444445,19.582638888888894,10.022916666666665,99.30555555555556,10.126388888888881,9.922916666666666,,,,3.6624999999999974,2.984027777777779,1181.798611111111,0.23750000000000007,0,0,1,0,0,0,0,0
2019-04-02,3.6423611111111125,219.25,2.4111111111111105,13.403472222222225,11.650694444444447,91.5625,11.746527777777786,11.54722222222222,,,,3.0652777777777778,2.615972222222222,1164.923611111111,0.02430555555555556,0,0,1,0,0,0,0,0
2019-04-03,3.3486111111111114,174.84722222222223,2.2555555555555546,16.936111111111117,13.742361111111109,72.86111111111111,13.915972222222218,13.577777777777767,,,,2.8638888888888885,2.4180555555555543,1182.9166666666667,0.0,1,0,0,0,0,0,0,0
2019-04-04,4.9312499999999995,195.59027777777777,3.472916666666667,12.14305555555555,15.351388888888888,68.92361111111111,15.499305555555553,15.206944444444453,,,,4.173611111111112,3.661805555555557,1165.6805555555557,0.0,0,0,1,0,0,0,0,0
2019-04-05,5.703472222222224,271.7916666666667,3.950000000000001,11.545138888888891,14.102777777777781,88.29861111111111,14.229861111111111,13.978472222222218,,,,4.804861111111114,4.172916666666667,1182.6319444444443,0.0,0,1,0,0,0,0,0,0
2019-04-06,4.833333333333331,94.80555555555556,3.1319444444444446,13.25486111111111,15.51041666666666,67.76388888888889,15.654861111111103,15.37013888888889,,,,3.9777777777777796,3.393055555555555,1183.1597222222222,0.0,1,0,0,0,0,0,0,0
2019-04-07,5.447916666666666,162.40972222222223,3.5902777777777777,14.031944444444441,19.642361111111114,50.875,19.836805555555557,19.461805555555554,,,,4.499999999999997,3.838888888888891,1181.875,0.0,1,0,0,0,0,0,0,0
2019-04-08,4.617361111111112,191.24305555555554,3.365972222222221,11.154861111111103,18.436805555555555,64.3125,18.60208333333334,18.27222222222223,,,,4.042361111111113,3.538888888888889,1181.263888888889,0.0,0,0,1,0,0,0,0,0
2019-04-09,5.436111111111109,200.92361111111111,3.620833333333334,15.727083333333333,17.06180555555556,72.5,17.23958333333334,16.87708333333334,,,,4.5687500000000005,3.8777777777777778,1182.1180555555557,0.0,0,0,1,0,0,0,0,0
2019-04-10,5.747916666666667,284.9375,3.863888888888887,12.138888888888888,14.231944444444455,79.80555555555556,14.383333333333345,14.096527777777778,,,,4.802083333333336,4.075694444444442,1180.8472222222222,0.0,0,1,0,0,0,0,0,0
2019-04-11,6.061805555555555,272.375,3.913888888888889,11.918055555555554,14.348611111111117,75.94444444444444,14.496527777777771,14.199999999999996,,,,4.959722222222224,4.150694444444444,1182.1805555555557,0.0,0,1,0,0,0,0,0,0
2019-04-12,3.6027777777777774,187.11111111111111,2.319444444444443,16.953472222222217,17.21458333333334,61.125,17.39097222222222,17.050000000000004,,,,3.0270833333333327,2.527777777777777,1166.1319444444443,0.0,0,0,1,0,0,0,0,0
2019-04-13,7.665972222222223,92.94444444444444,5.0076388888888905,12.861805555555552,22.08402777777777,34.375,22.249305555555548,21.928472222222222,,,,6.129861111111112,5.28402777777778,1167.7430555555557,0.0,1,0,0,0,0,0,0,0
2019-04-14,8.202777777777776,207.98611111111111,5.230555555555558,13.74513888888889,18.28402777777778,62.666666666666664,18.438888888888886,18.152777777777786,,,,6.645138888888892,5.568750000000003,1182.298611111111,0.0,0,0,1,0,0,0,0,0
2019-04-15,4.429166666666665,210.20138888888889,2.9138888888888896,14.638888888888886,14.047222222222219,90.88888888888889,14.143055555555547,13.952083333333327,,,,3.7152777777777777,3.1750000000000003,1181.4166666666667,0.023611111111111107,0,0,1,0,0,0,0,0
2019-04-16,5.115972222222222,223.34722222222223,3.4756944444444464,12.122222222222224,13.688194444444443,90.375,13.81666666666666,13.559722222222216,,,,4.284027777777775,3.701388888888891,1181.611111111111,0.028472222222222225,0,0,1,0,0,0,0,0
2019-04-17,6.300694444444441,261.74305555555554,4.232638888888888,12.964583333333335,13.661805555555553,88.02777777777777,13.813888888888888,13.512499999999996,,,,5.213194444444445,4.445833333333332,1182.1319444444443,0.02013888888888889,0,0,1,0,0,0,0,0
2019-04-18,5.438888888888889,253.29166666666666,3.5923611111111122,13.267361111111109,13.49791666666667,79.04166666666667,13.659722222222223,13.349305555555556,,,,4.49513888888889,3.7937500000000006,1165.6597222222222,0.0,0,0,1,0,0,0,0,0
2019-04-19,7.548611111111111,255.57638888888889,4.908333333333334,13.244444444444444,12.021527777777779,85.80555555555556,12.220833333333326,11.810416666666665,,,,6.112500000000001,5.220833333333331,1182.451388888889,0.12430555555555554,0,0,1,0,0,0,0,0
2019-04-20,6.55,261.09722222222223,4.32361111111111,11.709027777777775,12.690277777777782,83.50694444444444,12.825694444444446,12.545138888888895,,,,5.348611111111108,4.572222222222221,1183.4722222222222,0.01597222222222222,0,0,1,0,0,0,0,0
2019-04-21,10.306249999999999,286.6736111111111,6.4430555555555555,12.374305555555559,10.324305555555553,74.70138888888889,10.500694444444445,10.129166666666668,,,,8.125,6.922916666666667,1166.0833333333333,0.05416666666666667,0,1,0,0,0,0,0,0
2019-04-22,8.343750000000004,283.6875,5.67152777777778,10.406249999999996,11.56111111111111,80.04166666666667,11.695833333333331,11.434722222222225,,,,6.772916666666667,5.915972222222224,1182.7847222222222,0.0062499999999999995,0,1,0,0,0,0,0,0
2019-04-23,4.709027777777779,273.31944444444446,3.0368055555555578,14.588888888888887,13.882638888888899,70.13888888888889,14.04791666666667,13.738888888888889,,,,3.943055555555556,3.2652777777777775,1181.5833333333333,0.0,0,1,0,0,0,0,0,0
2019-04-24,4.938194444444445,170.53472222222223,3.0506944444444453,16.515277777777783,17.440972222222218,50.34722222222222,17.643750000000004,17.238888888888894,,,,4.022916666666665,3.322916666666665,1182.1875,0.0,1,0,0,0,0,0,0,0
2019-04-25,5.478472222222223,172.13194444444446,3.549999999999999,14.823611111111111,20.251388888888886,37.201388888888886,20.485416666666673,19.99583333333333,,,,4.5243055555555545,3.8166666666666678,1183.5833333333333,0.0,0,0,1,0,0,0,0,0
2019-04-26,4.756944444444446,172.77777777777777,2.8868055555555556,17.059027777777786,21.959027777777766,32.59722222222222,22.147916666666667,21.78125,,,,3.806250000000001,3.1298611111111128,1182.1875,0.0,0,0,1,0,0,0,0,0
2019-04-27,4.316666666666666,138.27083333333334,2.8826388888888888,13.497916666666665,21.44791666666666,33.145833333333336,21.617361111111112,21.293749999999996,,,,3.600694444444446,3.106944444444443,1165.3472222222222,0.0,1,0,0,0,0,0,0,0
2019-04-28,4.0916666666666694,226.65972222222223,2.8722222222222213,14.51041666666666,21.456249999999994,44.916666666666664,21.656944444444434,21.26597222222223,,,,3.4902777777777785,3.033333333333333,1166.6944444444443,0.0,0,0,1,0,0,0,0,0
2019-04-29,3.951388888888891,148.98611111111111,2.6944444444444446,15.185416666666661,23.422916666666673,35.208333333333336,23.62569444444445,23.218749999999996,,,,3.377083333333334,2.915277777777777,1167.3819444444443,0.0,1,0,0,0,0,0,0,0
2019-04-30,4.502083333333335,233.15277777777777,3.1388888888888897,14.937500000000004,21.07083333333334,58.93055555555556,21.29513888888889,20.874305555555555,,,,3.8569444444444434,3.352083333333333,1166.3680555555557,0.0,0,0,1,0,0,0,0,0
2019-05-01,4.016083916083916,155.08391608391608,2.7643356643356634,14.399300699300692,23.29720279720281,48.90909090909091,23.51118881118881,23.09370629370629,,,,3.4370629370629375,2.965034965034966,1162.7972027972028,0.0,1,0,0,0,0,0,0,0
2019-05-02,5.92986111111111,191.375,4.013194444444443,15.43888888888889,24.00694444444445,43.291666666666664,24.26111111111111,23.76111111111111,,,,5.024999999999999,4.388194444444446,1182.3402777777778,0.0,0,0,1,0,0,0,0,0
