,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,East,North-East,North,West,South
2019-02-15,10.94722222222222,234.8125,6.534722222222222,13.352083333333331,7.997916666666667,64.30555555555556,8.115277777777775,7.885416666666659,,,,8.400694444444447,6.915972222222222,1166.1666666666667,0.005555555555555556,0,0,1,0,0,0,0,0
2019-02-16,9.42986111111111,241.95138888888889,6.084722222222221,10.779861111111114,7.933333333333335,92.09027777777777,8.049999999999999,7.827777777777779,,,,7.641666666666669,6.458333333333335,1182.5,0.12847222222222227,0,0,1,0,0,0,0,0
2019-02-17,5.096527777777776,232.90277777777777,3.7034722222222203,8.545833333333333,9.26111111111111,68.31944444444444,9.377083333333333,9.145833333333327,,,,4.403472222222223,3.8715277777777763,1182.2777777777778,0.0,0,0,1,0,0,0,0,0
2019-02-18,5.283916083916082,233.1818181818182,3.6951048951048975,9.934265734265733,7.394405594405593,79.08391608391608,7.511888111888108,7.2720279720279715,,,,4.504195804195804,3.927972027972029,1182.8741258741259,0.0,0,0,1,0,0,0,0,0
2019-02-19,4.832638888888891,255.36111111111111,3.4236111111111125,9.954166666666667,8.40902777777778,92.54861111111111,8.512499999999996,8.301388888888889,,,,4.140972222222221,3.618750000000001,1165.25,0.0020833333333333337,0,0,1,0,0,0,0,0
2019-02-20,3.6979166666666674,271.8125,2.6645833333333337,10.836111111111116,9.549999999999997,87.79166666666667,9.692361111111113,9.418749999999996,,,,3.2465277777777786,2.8361111111111117,1181.6875,0.0006944444444444445,0,1,0,0,0,0,0,0
2019-02-21,2.984722222222222,281.7361111111111,2.081249999999999,12.40972222222222,9.199305555555553,78.98611111111111,9.345833333333328,9.049999999999994,,,,2.6229166666666655,2.2583333333333337,1182.9722222222222,0.0,0,1,0,0,0,0,0,0
2019-02-22,2.8465277777777764,277.46527777777777,1.9458333333333333,10.477083333333344,9.18194444444445,79.11111111111111,9.363888888888887,9.025,,,,2.493055555555556,2.1069444444444456,1182.2847222222222,0.0,0,1,0,0,0,0,0,0
2019-02-23,2.3124999999999996,208.52083333333334,1.5340277777777773,14.629166666666663,9.914583333333333,80.52083333333333,10.10208333333333,9.736805555555554,,,,2.0166666666666666,1.6965277777777776,1165.875,0.045138888888888895,0,0,1,0,0,0,0,0
2019-02-24,4.683333333333333,169.49305555555554,3.431944444444444,11.693055555555553,12.434722222222222,58.84722222222222,12.600000000000005,12.2625,,,,4.113194444444444,3.627083333333333,1166.8958333333333,0.0,1,0,0,0,0,0,0,0
2019-02-25,8.967361111111114,126.75694444444444,6.157638888888892,9.869444444444447,16.762500000000006,33.78472222222222,16.931944444444447,16.600694444444443,,,,7.370138888888889,6.420138888888891,1165.5625,0.0,1,0,0,0,0,0,0,0
2019-02-26,10.10208333333334,235.89583333333334,6.819444444444446,10.493055555555555,12.996527777777777,55.958333333333336,13.129861111111115,12.872222222222227,,,,8.345138888888886,7.1562499999999964,1180.4583333333333,0.0,0,0,1,0,0,0,0,0
2019-02-27,12.895138888888892,260.3541666666667,8.34305555555555,10.555555555555543,8.579861111111114,99.70138888888889,8.679861111111116,8.473611111111117,,,,10.440972222222221,8.802083333333336,1182.1458333333333,0.20208333333333345,0,0,1,0,0,0,0,0
2019-02-28,15.259027777777773,272.53472222222223,9.98194444444444,10.353472222222221,6.400000000000002,97.54861111111111,6.5368055555555555,6.245833333333334,,,,12.354861111111116,10.523611111111112,1165.111111111111,0.23402777777777783,0,1,0,0,0,0,0,0
2019-03-01,9.040277777777769,287.5416666666667,6.343055555555555,9.470833333333331,7.293749999999999,84.93055555555556,7.41180555555556,7.175694444444446,,,,7.537499999999998,6.638888888888887,1181.8194444444443,0.021527777777777785,0,1,0,0,0,0,0,0
2019-03-02,7.31736111111111,235.15277777777777,4.988888888888889,10.152083333333332,8.047222222222219,94.04166666666667,8.122916666666665,7.975000000000004,,,,6.0590277777777795,5.2583333333333355,1182.2430555555557,0.008333333333333335,0,0,1,0,0,0,0,0
2019-03-03,6.156944444444444,223.42361111111111,4.441666666666665,8.524305555555552,10.295833333333334,59.013888888888886,10.399999999999997,10.190277777777773,,,,5.250694444444443,4.637499999999999,1182.8402777777778,0.0,0,0,1,0,0,0,0,0
2019-03-04,6.333333333333332,236.40972222222223,4.354861111111108,9.539583333333335,9.929861111111112,82.97222222222223,10.063194444444445,9.803472222222222,,,,5.303472222222218,4.598611111111111,1165.5555555555557,0.02013888888888889,0,0,1,0,0,0,0,0
2019-03-05,3.861805555555554,192.0625,2.682638888888888,13.504861111111104,9.79513888888889,78.77777777777777,9.945833333333342,9.654861111111112,,,,3.347916666666666,2.936805555555557,1165.8333333333333,0.062499999999999965,0,0,1,0,0,0,0,0
