,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,South,West,North-East,North,East
2019-04-01,8.907638888888886,247.36805555555554,5.724305555555556,11.262500000000005,8.923611111111118,95.125,9.002777777777785,8.84930555555556,,,,7.1847222222222245,6.022916666666667,1182.2291666666667,0.05277777777777776,0,0,1,0,0,0,0,0
2019-04-02,5.730555555555556,247.90972222222223,3.7833333333333314,11.636111111111113,10.901388888888889,79.63194444444444,11.047222222222224,10.75624999999999,,,,4.797916666666669,4.042361111111109,1180.3541666666667,0.0,0,0,1,0,0,0,0,0
2019-04-03,3.715972222222222,198.68055555555554,2.4604166666666676,15.197916666666664,13.568749999999998,57.21527777777778,13.75416666666667,13.379861111111106,,,,3.193750000000001,2.6583333333333345,1183.9375,0.0,0,0,1,0,0,0,0,0
2019-04-04,3.8500000000000014,241.95833333333334,2.7673611111111116,15.095833333333331,14.491666666666667,64.58333333333333,14.684027777777768,14.307638888888887,,,,3.4,2.9729166666666664,1183.1319444444443,0.0,0,0,1,0,0,0,0,0
2019-04-05,4.230555555555555,299.44444444444446,2.9312500000000004,11.624305555555553,11.926388888888884,89.41666666666667,12.105555555555549,11.772222222222217,,,,3.6840277777777763,3.154861111111111,1182.1527777777778,0.0,0,1,0,0,0,0,0,0
2019-04-06,5.255555555555556,149.68055555555554,3.9638888888888903,9.329861111111112,15.602777777777773,53.72222222222222,15.777777777777779,15.438888888888897,,,,4.6479166666666645,4.159027777777777,1182.8680555555557,0.0,1,0,0,0,0,0,0,0
2019-04-07,5.1499999999999995,217.98611111111111,3.643055555555555,10.709027777777777,19.79930555555556,44.541666666666664,19.97361111111111,19.63472222222223,,,,4.420138888888891,3.8673611111111117,1181.986111111111,0.0,0,0,1,0,0,0,0,0
2019-04-08,5.177777777777777,238.29166666666666,3.627777777777778,10.697916666666664,18.390972222222224,54.104166666666664,18.554166666666664,18.224999999999994,,,,4.4375,3.817361111111113,1166.263888888889,0.0,0,0,1,0,0,0,0,0
2019-04-09,6.194444444444446,254.02083333333334,4.176388888888891,12.175694444444437,16.95416666666667,58.40972222222222,17.11111111111111,16.78263888888888,,,,5.249305555555555,4.420138888888889,1182.6527777777778,0.0,0,0,1,0,0,0,0,0
2019-04-10,4.993055555555555,291.40277777777777,3.4236111111111125,12.171527777777776,12.25972222222222,81.80555555555556,12.474999999999996,12.06458333333333,,,,4.325694444444447,3.648611111111111,1181.0208333333333,0.0,0,1,0,0,0,0,0,0
2019-04-11,4.161805555555557,275.5138888888889,2.7541666666666673,15.240277777777777,12.49861111111111,76.35416666666667,12.735416666666666,12.283333333333326,,,,3.5701388888888874,2.9722222222222228,1166.4722222222222,0.0,0,1,0,0,0,0,0,0
