,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,North,North-West,West,East,North-East,South,South-West,South-East
2019-04-25,,,,,19.252777777777787,76.02777777777777,19.397222222222226,19.095833333333346,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-26,,,,,19.338888888888896,81.61805555555556,19.47916666666667,19.20000000000001,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-27,,,,,19.518749999999997,85.29166666666667,19.643055555555563,19.384027777777785,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-28,,,,,19.120833333333326,89.46527777777777,19.246527777777768,19.002777777777776,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-29,,,,,21.12013888888889,74.04861111111111,21.288888888888895,20.953472222222224,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-30,,,,,20.215602836879416,87.58156028368795,20.343262411347496,20.10212765957445,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-01,,,,,20.61048951048953,75.27272727272727,20.719580419580428,20.488811188811194,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-02,,,,,21.413194444444443,77.80555555555556,21.68125,21.17569444444444,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-03,,,,,19.65208333333333,80.79166666666667,19.73749999999999,19.57569444444443,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-04,,,,,18.603472222222226,72.23611111111111,18.72569444444444,18.486111111111097,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-05,,,,,19.098611111111104,79.65277777777777,19.2486111111111,18.941666666666656,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-06,,,,,21.46853146853146,71.06993006993007,21.73496503496502,21.2090909090909,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-07,,,,,19.80625000000001,73.75694444444444,19.912499999999998,19.704166666666666,,,,,,,0.0,1,0,0,0,0,0,0,0,0
