,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,East,North-West,North-East,North,South-East,West,South,South-West
2019-02-15,,,,,14.238888888888887,62.24305555555556,14.355555555555554,14.126388888888888,,,,,,,0.004861111111111111,1,0,0,0,0,0,0,0,0
2019-02-16,,,,,14.463194444444444,81.52777777777777,14.61041666666666,14.309722222222227,,,,,,,0.06180555555555556,1,0,0,0,0,0,0,0,0
2019-02-17,,,,,13.338888888888887,69.46527777777777,13.462499999999991,13.21805555555556,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-18,,,,,12.268750000000004,79.38194444444444,12.437499999999996,12.113194444444447,,,,,,,0.0020833333333333337,1,0,0,0,0,0,0,0,0
2019-02-19,,,,,12.525694444444444,87.89583333333333,12.681118881118877,12.38958333333333,,,,,,,0.01666666666666667,1,0,0,0,0,0,0,0,0
2019-02-20,,,,,14.094444444444452,81.95138888888889,14.213888888888897,13.979861111111102,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-21,,,,,13.854166666666666,75.91666666666667,13.992361111111116,13.721527777777776,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-22,,,,,13.172222222222217,79.52777777777777,13.32777777777778,13.009722222222228,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-23,,,,,13.545833333333341,81.32638888888889,13.681944444444445,13.41319444444445,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-24,,,,,13.975694444444441,80.32638888888889,14.11875,13.845138888888888,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-25,,,,,18.146527777777777,58.576388888888886,18.390972222222224,17.911805555555553,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-26,,,,,17.109722222222217,66.79166666666667,17.263888888888903,16.97430555555554,,,,,,,0.0006944444444444445,1,0,0,0,0,0,0,0,0
