,,,,,,,,,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,North-East,North-West,South-East,South-West,South,West,East,North,WSmax_1,WSmax_2,WSmax_3,WDmax_1,WDmax_2,WDmax_3,WS_1,WS_2,WS_3,STDwd_1,STDwd_2,STDwd_3,TD_1,TD_2,TD_3,RH_1,RH_2,RH_3,TDmax_1,TDmax_2,TDmax_3,TDmin_1,TDmin_2,TDmin_3,Grad_1,Grad_2,Grad_3,NIP_1,NIP_2,NIP_3,DiffR_1,DiffR_2,DiffR_3,WS1mm_1,WS1mm_2,WS1mm_3,Ws10mm_1,Ws10mm_2,Ws10mm_3,Time_1,Time_2,Time_3,Rain_1,Rain_2,Rain_3,Fail_1,Fail_2,Fail_3,North-East_1,North-East_2,North-East_3,North-West_1,North-West_2,North-West_3,South-East_1,South-East_2,South-East_3,South-West_1,South-West_2,South-West_3,South_1,South_2,South_3,West_1,West_2,West_3,East_1,East_2,East_3,North_1,North_2,North_3
2018,1,1,0,0,0,0,1,-1,5.423611111111112,226.79166666666666,2.9270833333333335,21.15972222222222,8.88472222222222,96.22916666666667,8.931944444444435,8.829861111111114,,,,4.077083333333334,3.2090277777777785,1182.7430555555557,0.11319444444444444,0,0,0,0,1,0,0,0,0,5.5214512294953195,5.530123487591398,5.535442927626488,190.1662809651528,190.17986592273883,190.1161693867183,3.3473012228235217,3.35273184653328,3.3567607051723467,17.308177260604314,17.304509531311382,17.295854393840894,20.008897481792406,20.037612975142967,20.068963318872203,63.598836241513084,63.50994413782175,63.42038642690774,20.1739982198863,20.203029752722085,20.23472674188013,19.84519325292622,19.873554360745842,19.904582981628177,,,,,,,,,,4.392994483550174,4.399428476905592,4.403849408359009,3.6146266658955657,3.620105606961576,3.6240105624748584,1177.1626900467647,1177.1466224317926,1177.1799617983318,0.01225214300995935,0.012216927935401226,0.012085334322418343,0.049586776859504134,0.049723756906077346,0.04986149584487535,0.09641873278236915,0.09668508287292818,0.09695290858725762,0.24517906336088155,0.24585635359116023,0.24653739612188366,0.01928374655647383,0.019337016574585635,0.019390581717451522,0.5895316804407713,0.5883977900552486,0.5872576177285319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,2,0,0,0,1,2,-1,4.935416666666665,230.86805555555554,2.6895833333333337,20.672916666666666,11.506944444444446,93.30555555555556,11.610416666666671,11.406944444444441,,,,3.7090277777777754,2.9194444444444456,1181.4375,0.008333333333333333,0,0,0,0,1,0,0,0,0,5.423611111111112,5.530123487591398,5.535442927626488,226.79166666666666,190.17986592273883,190.1161693867183,2.9270833333333335,3.35273184653328,3.3567607051723467,21.15972222222222,17.304509531311382,17.295854393840894,8.88472222222222,20.037612975142967,20.068963318872203,96.22916666666667,63.50994413782175,63.42038642690774,8.931944444444435,20.203029752722085,20.23472674188013,8.829861111111114,19.873554360745842,19.904582981628177,,,,,,,,,,4.077083333333334,4.399428476905592,4.403849408359009,3.2090277777777785,3.620105606961576,3.6240105624748584,1182.7430555555557,1177.1466224317926,1177.1799617983318,0.11319444444444444,0.012216927935401226,0.012085334322418343,0.0,0.049723756906077346,0.04986149584487535,0.0,0.09668508287292818,0.09695290858725762,0.0,0.24585635359116023,0.24653739612188366,0.0,0.019337016574585635,0.019390581717451522,1.0,0.5883977900552486,0.5872576177285319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,3,0,0,0,2,3,-1,2.8784722222222245,192.67361111111111,1.542361111111111,26.16458333333334,12.610416666666667,80.22222222222223,12.761111111111108,12.468055555555559,,,,2.259027777777776,1.740972222222221,1182.8194444444443,0.01944444444444445,0,0,0,0,1,0,0,0,0,4.935416666666665,5.423611111111112,5.535442927626488,230.86805555555554,226.79166666666666,190.1161693867183,2.6895833333333337,2.9270833333333335,3.3567607051723467,20.672916666666666,21.15972222222222,17.295854393840894,11.506944444444446,8.88472222222222,20.068963318872203,93.30555555555556,96.22916666666667,63.42038642690774,11.610416666666671,8.931944444444435,20.23472674188013,11.406944444444441,8.829861111111114,19.904582981628177,,,,,,,,,,3.7090277777777754,4.077083333333334,4.403849408359009,2.9194444444444456,3.2090277777777785,3.6240105624748584,1181.4375,1182.7430555555557,1177.1799617983318,0.008333333333333333,0.11319444444444444,0.012085334322418343,0.0,0.0,0.04986149584487535,0.0,0.0,0.09695290858725762,0.0,0.0,0.24653739612188366,0.0,0.0,0.019390581717451522,1.0,1.0,0.5872576177285319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,4,0,0,0,3,4,-1,5.179166666666666,159.15277777777777,3.240972222222223,17.25347222222222,10.143749999999995,85.34722222222223,10.28402777777777,9.999999999999993,,,,4.261805555555557,3.5409722222222255,1166.8680555555557,0.11458333333333333,0,0,1,0,0,0,0,0,0,2.8784722222222245,4.935416666666665,5.423611111111112,192.67361111111111,230.86805555555554,226.79166666666666,1.542361111111111,2.6895833333333337,2.9270833333333335,26.16458333333334,20.672916666666666,21.15972222222222,12.610416666666667,11.506944444444446,8.88472222222222,80.22222222222223,93.30555555555556,96.22916666666667,12.761111111111108,11.610416666666671,8.931944444444435,12.468055555555559,11.406944444444441,8.829861111111114,,,,,,,,,,2.259027777777776,3.7090277777777754,4.077083333333334,1.740972222222221,2.9194444444444456,3.2090277777777785,1182.8194444444443,1181.4375,1182.7430555555557,0.01944444444444445,0.008333333333333333,0.11319444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,5,0,0,0,4,5,-1,6.825000000000001,179.99305555555554,4.136805555555555,17.54027777777777,9.34722222222222,92.875,9.415972222222214,9.27986111111111,,,,5.41111111111111,4.477777777777778,1166.2708333333333,0.3944444444444447,0,0,0,0,1,0,0,0,0,5.179166666666666,2.8784722222222245,4.935416666666665,159.15277777777777,192.67361111111111,230.86805555555554,3.240972222222223,1.542361111111111,2.6895833333333337,17.25347222222222,26.16458333333334,20.672916666666666,10.143749999999995,12.610416666666667,11.506944444444446,85.34722222222223,80.22222222222223,93.30555555555556,10.28402777777777,12.761111111111108,11.610416666666671,9.999999999999993,12.468055555555559,11.406944444444441,,,,,,,,,,4.261805555555557,2.259027777777776,3.7090277777777754,3.5409722222222255,1.740972222222221,2.9194444444444456,1166.8680555555557,1182.8194444444443,1181.4375,0.11458333333333333,0.01944444444444445,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,6,0,0,0,5,6,-1,2.432638888888888,162.82638888888889,1.4951388888888886,18.584722222222222,10.90763888888889,92.19444444444444,11.059027777777779,10.752777777777773,,,,2.040972222222223,1.6701388888888897,1166.6944444444443,0.0006944444444444445,0,0,1,0,0,0,0,0,0,6.825000000000001,5.179166666666666,2.8784722222222245,179.99305555555554,159.15277777777777,192.67361111111111,4.136805555555555,3.240972222222223,1.542361111111111,17.54027777777777,17.25347222222222,26.16458333333334,9.34722222222222,10.143749999999995,12.610416666666667,92.875,85.34722222222223,80.22222222222223,9.415972222222214,10.28402777777777,12.761111111111108,9.27986111111111,9.999999999999993,12.468055555555559,,,,,,,,,,5.41111111111111,4.261805555555557,2.259027777777776,4.477777777777778,3.5409722222222255,1.740972222222221,1166.2708333333333,1166.8680555555557,1182.8194444444443,0.3944444444444447,0.11458333333333333,0.01944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,7,0,0,0,6,7,-1,3.7715277777777794,149.36111111111111,2.636805555555556,18.168055555555554,11.00138888888889,70.71527777777777,11.200000000000001,10.788888888888891,,,,3.2590277777777787,2.867361111111111,1183.361111111111,0.0,0,0,1,0,0,0,0,0,0,2.432638888888888,6.825000000000001,5.179166666666666,162.82638888888889,179.99305555555554,159.15277777777777,1.4951388888888886,4.136805555555555,3.240972222222223,18.584722222222222,17.54027777777777,17.25347222222222,10.90763888888889,9.34722222222222,10.143749999999995,92.19444444444444,92.875,85.34722222222223,11.059027777777779,9.415972222222214,10.28402777777777,10.752777777777773,9.27986111111111,9.999999999999993,,,,,,,,,,2.040972222222223,5.41111111111111,4.261805555555557,1.6701388888888897,4.477777777777778,3.5409722222222255,1166.6944444444443,1166.2708333333333,1166.8680555555557,0.0006944444444444445,0.3944444444444447,0.11458333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,8,0,0,0,0,8,-1,3.414084507042254,116.42957746478874,2.3176056338028155,16.82535211267606,11.106338028169016,61.42253521126761,11.367605633802809,10.857746478873247,,,,2.925352112676058,2.5352112676056318,1166.9507042253522,0.0,0,0,1,0,0,0,0,0,0,3.7715277777777794,2.432638888888888,6.825000000000001,149.36111111111111,162.82638888888889,179.99305555555554,2.636805555555556,1.4951388888888886,4.136805555555555,18.168055555555554,18.584722222222222,17.54027777777777,11.00138888888889,10.90763888888889,9.34722222222222,70.71527777777777,92.19444444444444,92.875,11.200000000000001,11.059027777777779,9.415972222222214,10.788888888888891,10.752777777777773,9.27986111111111,,,,,,,,,,3.2590277777777787,2.040972222222223,5.41111111111111,2.867361111111111,1.6701388888888897,4.477777777777778,1183.361111111111,1166.6944444444443,1166.2708333333333,0.0,0.0006944444444444445,0.3944444444444447,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,9,0,0,0,1,9,-1,2.927777777777779,184.39583333333334,1.8173611111111119,14.409027777777773,11.045138888888893,82.00694444444444,11.223611111111111,10.859027777777772,,,,2.4069444444444454,1.978472222222222,1165.7777777777778,0.0,0,0,0,0,1,0,0,0,0,3.414084507042254,3.7715277777777794,2.432638888888888,116.42957746478874,149.36111111111111,162.82638888888889,2.3176056338028155,2.636805555555556,1.4951388888888886,16.82535211267606,18.168055555555554,18.584722222222222,11.106338028169016,11.00138888888889,10.90763888888889,61.42253521126761,70.71527777777777,92.19444444444444,11.367605633802809,11.200000000000001,11.059027777777779,10.857746478873247,10.788888888888891,10.752777777777773,,,,,,,,,,2.925352112676058,3.2590277777777787,2.040972222222223,2.5352112676056318,2.867361111111111,1.6701388888888897,1166.9507042253522,1183.361111111111,1166.6944444444443,0.0,0.0,0.0006944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,10,0,0,0,2,10,-1,6.095138888888889,110.22916666666667,4.174305555555554,12.213888888888889,12.579861111111107,69.17361111111111,12.712499999999999,12.443055555555553,,,,5.0875,4.41527777777778,1166.5833333333333,0.0,0,0,1,0,0,0,0,0,0,2.927777777777779,3.414084507042254,3.7715277777777794,184.39583333333334,116.42957746478874,149.36111111111111,1.8173611111111119,2.3176056338028155,2.636805555555556,14.409027777777773,16.82535211267606,18.168055555555554,11.045138888888893,11.106338028169016,11.00138888888889,82.00694444444444,61.42253521126761,70.71527777777777,11.223611111111111,11.367605633802809,11.200000000000001,10.859027777777772,10.857746478873247,10.788888888888891,,,,,,,,,,2.4069444444444454,2.925352112676058,3.2590277777777787,1.978472222222222,2.5352112676056318,2.867361111111111,1165.7777777777778,1166.9507042253522,1183.361111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,11,0,0,0,3,11,-1,7.903472222222222,105.51388888888889,5.576388888888888,11.813194444444447,14.44583333333333,50.50694444444444,14.65208333333334,14.239583333333327,,,,6.6722222222222225,5.879861111111109,1182.076388888889,0.0,0,0,1,0,0,0,0,0,0,6.095138888888889,2.927777777777779,3.414084507042254,110.22916666666667,184.39583333333334,116.42957746478874,4.174305555555554,1.8173611111111119,2.3176056338028155,12.213888888888889,14.409027777777773,16.82535211267606,12.579861111111107,11.045138888888893,11.106338028169016,69.17361111111111,82.00694444444444,61.42253521126761,12.712499999999999,11.223611111111111,11.367605633802809,12.443055555555553,10.859027777777772,10.857746478873247,,,,,,,,,,5.0875,2.4069444444444454,2.925352112676058,4.41527777777778,1.978472222222222,2.5352112676056318,1166.5833333333333,1165.7777777777778,1166.9507042253522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,12,0,0,0,4,12,-1,2.9013888888888895,150.24305555555554,1.8312500000000012,18.575694444444444,12.434027777777775,68.76388888888889,12.659722222222223,12.202777777777778,,,,2.3902777777777784,1.9986111111111111,1181.4583333333333,0.0,0,0,1,0,0,0,0,0,0,7.903472222222222,6.095138888888889,2.927777777777779,105.51388888888889,110.22916666666667,184.39583333333334,5.576388888888888,4.174305555555554,1.8173611111111119,11.813194444444447,12.213888888888889,14.409027777777773,14.44583333333333,12.579861111111107,11.045138888888893,50.50694444444444,69.17361111111111,82.00694444444444,14.65208333333334,12.712499999999999,11.223611111111111,14.239583333333327,12.443055555555553,10.859027777777772,,,,,,,,,,6.6722222222222225,5.0875,2.4069444444444454,5.879861111111109,4.41527777777778,1.978472222222222,1182.076388888889,1166.5833333333333,1165.7777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,13,0,0,0,5,13,-1,9.191666666666666,79.19444444444444,6.574305555555554,10.695138888888886,13.851388888888886,54.65972222222222,14.038888888888895,13.654861111111115,,,,7.799305555555552,6.8569444444444425,1165.4375,0.0,0,1,0,0,0,0,0,0,0,2.9013888888888895,7.903472222222222,6.095138888888889,150.24305555555554,105.51388888888889,110.22916666666667,1.8312500000000012,5.576388888888888,4.174305555555554,18.575694444444444,11.813194444444447,12.213888888888889,12.434027777777775,14.44583333333333,12.579861111111107,68.76388888888889,50.50694444444444,69.17361111111111,12.659722222222223,14.65208333333334,12.712499999999999,12.202777777777778,14.239583333333327,12.443055555555553,,,,,,,,,,2.3902777777777784,6.6722222222222225,5.0875,1.9986111111111111,5.879861111111109,4.41527777777778,1181.4583333333333,1182.076388888889,1166.5833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
