,,,,,,,,,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North,North-East,North-West,South-East,South-West,East,South,West
2018,1,1,0,0,0,0,1,-1,3.177777777777776,230.02777777777777,1.5520833333333341,23.572222222222216,14.354861111111113,54.65972222222222,14.515972222222233,14.19027777777779,70.97916666666667,11.902777777777779,60.24305555555556,2.4659722222222222,1.7881944444444453,1182.4027777777778,0.0006944444444444445,0,0,0,0,1,0,0,0
2018,1,2,0,0,0,1,2,-1,2.1951388888888896,166.92361111111111,1.1826388888888884,24.36458333333333,12.94166666666667,61.59722222222222,13.168055555555561,12.727777777777769,152.72222222222223,238.020979020979,30.6875,1.8590277777777788,1.3819444444444446,1180.6666666666667,0.0,0,0,0,0,1,0,0,0
2018,1,3,0,0,0,2,3,-1,2.5222222222222226,168.97222222222223,1.6048611111111113,16.72500000000001,12.676388888888887,55.145833333333336,12.88611111111111,12.45902777777778,164.79166666666666,283.3958333333333,29.319444444444443,2.1222222222222222,1.764583333333333,1182.1180555555557,0.0,0,0,1,0,0,0,0,0
2018,1,4,0,0,0,3,4,-1,3.6958333333333346,201.08333333333334,2.0999999999999996,19.306944444444444,13.554861111111114,49.479166666666664,13.768055555555547,13.352777777777778,99.68055555555556,59.40277777777778,66.32638888888889,2.9590277777777763,2.362499999999999,1165.6458333333333,0.0,0,0,0,0,1,0,0,0
2018,1,5,0,0,0,4,5,-1,6.984722222222221,229.1875,3.4534722222222216,19.84097222222224,16.356250000000003,47.701388888888886,16.506944444444443,16.21180555555557,105.15972222222223,37.6993006993007,77.125,4.975000000000002,3.789583333333332,1182.4444444444443,0.020138888888888887,0,0,0,0,1,0,0,0
2018,1,6,0,0,0,5,6,-1,2.9229166666666675,190.22222222222223,1.5166666666666668,20.39166666666667,14.67083333333334,68.30555555555556,14.743055555555562,14.608333333333336,21.729166666666668,0.2847222222222222,20.583333333333332,2.283333333333334,1.7277777777777787,1181.7291666666667,0.0076388888888888895,0,0,0,0,1,0,0,0
2018,1,7,0,0,0,6,7,-1,4.625000000000002,113.42361111111111,2.816666666666668,12.946527777777767,13.744444444444442,76.99305555555556,13.850694444444445,13.634722222222221,167.83333333333334,274.25174825174827,30.354166666666668,3.5486111111111134,2.981250000000001,1167.6180555555557,0.0006944444444444445,0,0,1,0,0,0,0,0
2018,1,8,0,0,0,0,8,-1,5.7838028169014075,78.88028169014085,3.2126760563380268,20.24436619718309,13.710563380281691,64.35915492957747,13.88450704225352,13.549999999999999,161.19718309859155,264.46478873239437,32.0,4.266901408450706,3.480985915492957,1184.5070422535211,0.0,0,1,0,0,0,0,0,0
2018,1,9,0,0,0,1,9,-1,4.28611111111111,172.71527777777777,2.4895833333333335,18.30277777777778,13.022916666666672,55.666666666666664,13.186111111111115,12.861111111111107,168.40972222222223,278.7083333333333,31.118055555555557,3.2430555555555562,2.707638888888889,1181.6875,0.0,0,0,1,0,0,0,0,0
2018,1,10,0,0,0,2,10,-1,3.7423611111111117,191.95833333333334,2.302083333333334,13.088888888888887,12.240972222222219,64.0,12.391666666666671,12.105555555555563,160.47222222222223,205.00694444444446,50.916666666666664,2.929166666666668,2.465972222222222,1182.0694444444443,0.0,0,0,1,0,0,0,0,0
