,,,,,,,,,TD,RH,RH_1,RH_2,Grad,Grad_1,Grad_3,Grad_2,TDmax_3,TD_3,TDmin_3,TDmax_2,TD_2,TDmin_2,TDmin_1,TDmax_1,TD_1,TDmax,TDmin
2018,1,20,0,0,0,5,20,-1,12.949305555555558,57.86805555555556,45.40277777777778,55.354166666666664,183.15972222222223,95.22222222222223,149.17361111111111,175.06944444444446,13.697222222222226,13.541666666666666,13.398611111111116,14.168055555555553,13.95416666666666,13.759027777777781,14.650694444444447,14.867361111111105,14.752777777777778,13.108333333333338,12.789583333333336
2018,1,21,0,0,0,6,21,-1,13.722916666666666,52.21527777777778,57.86805555555556,45.40277777777778,174.95138888888889,183.15972222222223,175.06944444444446,95.22222222222223,14.168055555555553,13.95416666666666,13.759027777777781,14.867361111111105,14.752777777777778,14.650694444444447,12.789583333333336,13.108333333333338,12.949305555555558,13.91875,13.511111111111111
2018,1,22,0,0,0,0,22,-1,16.47222222222222,43.145833333333336,52.21527777777778,57.86805555555556,158.08333333333334,174.95138888888889,95.22222222222223,183.15972222222223,14.867361111111105,14.752777777777778,14.650694444444447,13.108333333333338,12.949305555555558,12.789583333333336,13.511111111111111,13.91875,13.722916666666666,16.706944444444442,16.25069444444445
2018,1,23,0,0,0,1,23,-1,15.77013888888888,44.763888888888886,43.145833333333336,52.21527777777778,110.57638888888889,158.08333333333334,183.15972222222223,174.95138888888889,13.108333333333338,12.949305555555558,12.789583333333336,13.91875,13.722916666666666,13.511111111111111,16.25069444444445,16.706944444444442,16.47222222222222,15.997222222222218,15.559027777777779
2018,1,24,0,0,0,2,24,-1,15.172916666666664,45.5,44.763888888888886,43.145833333333336,139.34027777777777,110.57638888888889,174.95138888888889,158.08333333333334,13.91875,13.722916666666666,13.511111111111111,16.706944444444442,16.47222222222222,16.25069444444445,15.559027777777779,15.997222222222218,15.77013888888888,15.325694444444448,15.023611111111112
2018,1,25,0,0,0,3,25,-1,13.356250000000005,63.44444444444444,45.5,44.763888888888886,92.99305555555556,139.34027777777777,158.08333333333334,110.57638888888889,16.706944444444442,16.47222222222222,16.25069444444445,15.997222222222218,15.77013888888888,15.559027777777779,15.023611111111112,15.325694444444448,15.172916666666664,13.513194444444453,13.207638888888887
2018,1,26,0,0,0,4,26,-1,13.287500000000005,48.875,63.44444444444444,45.5,119.61805555555556,92.99305555555556,110.57638888888889,139.34027777777777,15.997222222222218,15.77013888888888,15.559027777777779,15.325694444444448,15.172916666666664,15.023611111111112,13.207638888888887,13.513194444444453,13.356250000000005,13.404166666666669,13.163888888888888
2018,1,27,0,0,0,5,27,-1,12.57291666666666,64.94444444444444,48.875,63.44444444444444,47.923611111111114,119.61805555555556,139.34027777777777,92.99305555555556,15.325694444444448,15.172916666666664,15.023611111111112,13.513194444444453,13.356250000000005,13.207638888888887,13.163888888888888,13.404166666666669,13.287500000000005,12.634722222222218,12.50486111111111
2018,1,28,0,0,0,6,28,-1,12.625694444444452,65.32638888888889,64.94444444444444,48.875,194.10416666666666,47.923611111111114,92.99305555555556,119.61805555555556,13.513194444444453,13.356250000000005,13.207638888888887,13.404166666666669,13.287500000000005,13.163888888888888,12.50486111111111,12.634722222222218,12.57291666666666,12.75347222222222,12.491666666666669
2018,1,29,0,0,0,0,29,-1,12.23333333333334,64.95138888888889,65.32638888888889,64.94444444444444,184.65277777777777,194.10416666666666,119.61805555555556,47.923611111111114,13.404166666666669,13.287500000000005,13.163888888888888,12.634722222222218,12.57291666666666,12.50486111111111,12.491666666666669,12.75347222222222,12.625694444444452,12.371527777777773,12.09722222222222
2018,1,30,0,0,0,1,30,-1,12.770833333333337,62.72222222222222,64.95138888888889,65.32638888888889,197.07638888888889,184.65277777777777,47.923611111111114,194.10416666666666,12.634722222222218,12.57291666666666,12.50486111111111,12.75347222222222,12.625694444444452,12.491666666666669,12.09722222222222,12.371527777777773,12.23333333333334,12.911805555555556,12.634722222222223
2018,1,31,0,0,0,2,31,-1,13.163888888888886,65.34722222222223,62.72222222222222,64.95138888888889,188.71527777777777,197.07638888888889,194.10416666666666,184.65277777777777,12.75347222222222,12.625694444444452,12.491666666666669,12.371527777777773,12.23333333333334,12.09722222222222,12.634722222222223,12.911805555555556,12.770833333333337,13.286805555555562,13.042361111111115
2018,2,1,0,0,0,3,32,-1,13.267361111111114,60.333333333333336,65.34722222222223,62.72222222222222,193.40277777777777,188.71527777777777,184.65277777777777,197.07638888888889,12.371527777777773,12.23333333333334,12.09722222222222,12.911805555555556,12.770833333333337,12.634722222222223,13.042361111111115,13.286805555555562,13.163888888888886,13.385416666666668,13.134722222222228
2018,2,2,0,0,0,4,33,-1,14.669444444444443,48.5625,60.333333333333336,65.34722222222223,194.17361111111111,193.40277777777777,197.07638888888889,188.71527777777777,12.911805555555556,12.770833333333337,12.634722222222223,13.286805555555562,13.163888888888886,13.042361111111115,13.134722222222228,13.385416666666668,13.267361111111114,14.83680555555555,14.499999999999996
2018,2,3,0,0,0,5,34,-1,16.042361111111106,40.06944444444444,48.5625,60.333333333333336,198.6875,194.17361111111111,188.71527777777777,193.40277777777777,13.286805555555562,13.163888888888886,13.042361111111115,13.385416666666668,13.267361111111114,13.134722222222228,14.499999999999996,14.83680555555555,14.669444444444443,16.24444444444445,15.840972222222227
2018,2,4,0,0,0,6,35,-1,16.809027777777786,37.88194444444444,40.06944444444444,48.5625,199.98611111111111,198.6875,193.40277777777777,194.17361111111111,13.385416666666668,13.267361111111114,13.134722222222228,14.83680555555555,14.669444444444443,14.499999999999996,15.840972222222227,16.24444444444445,16.042361111111106,17.015277777777776,16.589583333333334
2018,2,5,0,0,0,0,36,-1,17.486111111111125,33.86805555555556,37.88194444444444,40.06944444444444,196.35416666666666,199.98611111111111,194.17361111111111,198.6875,14.83680555555555,14.669444444444443,14.499999999999996,16.24444444444445,16.042361111111106,15.840972222222227,16.589583333333334,17.015277777777776,16.809027777777786,17.711111111111116,17.256944444444443
2018,2,6,0,0,0,1,37,-1,18.618055555555557,31.993055555555557,33.86805555555556,37.88194444444444,164.125,196.35416666666666,198.6875,199.98611111111111,16.24444444444445,16.042361111111106,15.840972222222227,17.015277777777776,16.809027777777786,16.589583333333334,17.256944444444443,17.711111111111116,17.486111111111125,18.808333333333337,18.4451388888889
2018,2,7,0,0,0,2,38,-1,18.532638888888883,33.729166666666664,31.993055555555557,33.86805555555556,189.56944444444446,164.125,199.98611111111111,196.35416666666666,17.015277777777776,16.809027777777786,16.589583333333334,17.711111111111116,17.486111111111125,17.256944444444443,18.4451388888889,18.808333333333337,18.618055555555557,18.674999999999994,18.377777777777773
2018,2,8,0,0,0,3,39,-1,18.66388888888889,32.53472222222222,33.729166666666664,31.993055555555557,160.44444444444446,189.56944444444446,196.35416666666666,164.125,17.711111111111116,17.486111111111125,17.256944444444443,18.808333333333337,18.618055555555557,18.4451388888889,18.377777777777773,18.674999999999994,18.532638888888883,18.818750000000005,18.509722222222226
