,,,,,,,,,TD,TDmax_3,TD_3,TDmin_3,TDmax_2,TD_2,TDmin_2,TDmax_1,TDmin_1,TD_1,TDmin,TDmax
2018,1,16,0,0,0,1,16,-1,11.249999999999993,14.038888888888895,13.851388888888886,13.654861111111115,11.042361111111106,10.94097222222222,10.838888888888885,10.750000000000004,10.41180555555556,10.578472222222224,11.085416666666665,11.416666666666666
2018,1,17,0,0,0,2,17,-1,9.512499999999987,11.042361111111106,10.94097222222222,10.838888888888885,10.750000000000004,10.578472222222224,10.41180555555556,11.416666666666666,11.085416666666665,11.249999999999993,9.43888888888888,9.596527777777768
2018,1,18,0,0,0,3,18,-1,11.456249999999995,10.750000000000004,10.578472222222224,10.41180555555556,11.416666666666666,11.249999999999993,11.085416666666665,9.596527777777768,9.43888888888888,9.512499999999987,11.379166666666661,11.537499999999989
2018,1,19,0,0,0,4,19,-1,8.072916666666671,11.416666666666666,11.249999999999993,11.085416666666665,9.596527777777768,9.512499999999987,9.43888888888888,11.537499999999989,11.379166666666661,11.456249999999995,7.906944444444445,8.234722222222219
2018,1,20,0,0,0,5,20,-1,9.702083333333338,9.596527777777768,9.512499999999987,9.43888888888888,11.537499999999989,11.456249999999995,11.379166666666661,8.234722222222219,7.906944444444445,8.072916666666671,9.511111111111111,9.894444444444444
2018,1,21,0,0,0,6,21,-1,12.785416666666663,11.537499999999989,11.456249999999995,11.379166666666661,8.234722222222219,8.072916666666671,7.906944444444445,9.894444444444444,9.511111111111111,9.702083333333338,12.63402777777777,12.947222222222223
2018,1,22,0,0,0,0,22,-1,12.744444444444447,8.234722222222219,8.072916666666671,7.906944444444445,9.894444444444444,9.702083333333338,9.511111111111111,12.947222222222223,12.63402777777777,12.785416666666663,12.56666666666667,12.915972222222209
2018,1,23,0,0,0,1,23,-1,10.887500000000005,9.894444444444444,9.702083333333338,9.511111111111111,12.947222222222223,12.785416666666663,12.63402777777777,12.915972222222209,12.56666666666667,12.744444444444447,10.828472222222226,10.948611111111113
2018,1,24,0,0,0,2,24,-1,9.905555555555551,12.947222222222223,12.785416666666663,12.63402777777777,12.915972222222209,12.744444444444447,12.56666666666667,10.948611111111113,10.828472222222226,10.887500000000005,9.856249999999996,9.959722222222219
2018,1,25,0,0,0,3,25,-1,9.12916666666667,12.915972222222209,12.744444444444447,12.56666666666667,10.948611111111113,10.887500000000005,10.828472222222226,9.959722222222219,9.856249999999996,9.905555555555551,9.068749999999996,9.185416666666674
2018,1,26,0,0,0,4,26,-1,5.7215277777777755,10.948611111111113,10.887500000000005,10.828472222222226,9.959722222222219,9.905555555555551,9.856249999999996,9.185416666666674,9.068749999999996,9.12916666666667,5.660416666666665,5.7798611111111065
2018,1,27,0,0,0,5,27,-1,7.442361111111113,9.959722222222219,9.905555555555551,9.856249999999996,9.185416666666674,9.12916666666667,9.068749999999996,5.7798611111111065,5.660416666666665,5.7215277777777755,7.367361111111109,7.511111111111109
2018,1,28,0,0,0,6,28,-1,8.75972222222222,9.185416666666674,9.12916666666667,9.068749999999996,5.7798611111111065,5.7215277777777755,5.660416666666665,7.511111111111109,7.367361111111109,7.442361111111113,8.61666666666667,8.877083333333339
2018,1,29,0,0,0,0,29,-1,8.766666666666664,5.7798611111111065,5.7215277777777755,5.660416666666665,7.511111111111109,7.442361111111113,7.367361111111109,8.877083333333339,8.61666666666667,8.75972222222222,8.627777777777775,8.895138888888882
2018,1,30,0,0,0,1,30,-1,8.946527777777781,7.511111111111109,7.442361111111113,7.367361111111109,8.877083333333339,8.75972222222222,8.61666666666667,8.895138888888882,8.627777777777775,8.766666666666664,8.793750000000003,9.103472222222221
2018,1,31,0,0,0,2,31,-1,9.799999999999997,8.877083333333339,8.75972222222222,8.61666666666667,8.895138888888882,8.766666666666664,8.627777777777775,9.103472222222221,8.793750000000003,8.946527777777781,9.629166666666668,9.96388888888889
2018,2,1,0,0,0,3,32,-1,13.497916666666676,8.895138888888882,8.766666666666664,8.627777777777775,9.103472222222221,8.946527777777781,8.793750000000003,9.96388888888889,9.629166666666668,9.799999999999997,13.331944444444444,13.645138888888885
2018,2,2,0,0,0,4,33,-1,14.37083333333333,9.103472222222221,8.946527777777781,8.793750000000003,9.96388888888889,9.799999999999997,9.629166666666668,13.645138888888885,13.331944444444444,13.497916666666676,14.17291666666666,14.570833333333335
2018,2,3,0,0,0,5,34,-1,13.829861111111114,9.96388888888889,9.799999999999997,9.629166666666668,13.645138888888885,13.497916666666676,13.331944444444444,14.570833333333335,14.17291666666666,14.37083333333333,13.559027777777779,14.104861111111115
