,,,,,,,,,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,East,North,West,South-West,South
2019,7,1,0,0,0,0,182,-1,4.855944055944053,145.26573426573427,2.691608391608392,17.87622377622377,32.76643356643357,33.47552447552447,32.94055944055944,32.60559440559439,346.56643356643355,,59.50349650349651,3.7384615384615394,2.9209790209790203,1174.2517482517483,0.0,0,1,0,0,0,0,0,0
2019,7,2,0,0,0,1,183,-1,5.220138888888888,92.8125,2.9263888888888894,17.04791666666667,31.67152777777779,27.569444444444443,31.86111111111113,31.51458333333335,356.3541666666667,,45.63194444444444,3.943749999999999,3.1472222222222235,1181.2847222222222,0.0,0,1,0,0,0,0,0,0
2019,7,3,0,0,0,2,184,-1,4.9333333333333345,74.53472222222223,2.7666666666666675,16.478472222222223,31.118055555555557,23.34027777777778,31.295138888888896,30.944444444444425,365.8125,275.49056603773585,39.916666666666664,3.7194444444444463,2.9694444444444437,1183.2777777777778,0.0,1,0,0,0,0,0,0,0
2019,7,4,0,0,0,3,185,-1,5.50138888888889,76.78472222222223,3.1236111111111113,15.767361111111114,31.28611111111111,27.104166666666668,31.46249999999999,31.115972222222222,353.05555555555554,398.8943661971831,52.583333333333336,4.120138888888888,3.320833333333333,1182.5972222222222,0.0,1,0,0,0,0,0,0,0
2019,7,5,0,0,0,4,186,-1,5.567361111111112,84.14583333333333,3.1659722222222224,16.05624999999999,31.08888888888889,34.298611111111114,31.24652777777778,30.923611111111093,347.1875,378.65492957746477,55.423611111111114,4.2041666666666675,3.3715277777777777,1183.3819444444443,0.0,1,0,0,0,0,0,0,0
2019,7,6,0,0,0,5,187,-1,4.694444444444444,126.11805555555556,2.5881944444444454,16.78680555555556,31.897916666666667,31.118055555555557,32.073611111111134,31.739583333333353,354.34027777777777,407.63380281690144,49.173611111111114,3.5368055555555564,2.779166666666667,1182.4583333333333,0.0,0,1,0,0,0,0,0,0
2019,7,7,0,0,0,6,188,-1,4.183571428571428,144.47142857142856,2.327142857142856,21.104285714285712,32.50142857142856,28.257142857142856,32.703571428571415,32.311428571428564,354.45,385.55970149253733,52.74285714285714,3.288571428571428,2.563571428571427,1197.8142857142857,0.0,0,1,0,0,0,0,0,0
2019,7,8,0,0,0,0,189,-1,3.9208333333333343,149.25694444444446,2.0666666666666655,25.156250000000004,32.33958333333333,35.798611111111114,32.54722222222223,32.156944444444456,353.9513888888889,404.35915492957747,49.82442748091603,3.0152777777777766,2.322222222222222,1182.4444444444443,0.0,0,1,0,0,0,0,0,0
2019,7,9,0,0,0,1,190,-1,4.188888888888886,111.45138888888889,2.2673611111111125,21.23333333333333,32.64097222222222,32.0,32.829861111111114,32.45138888888891,352.59722222222223,395.40425531914894,50.109375,3.1874999999999987,2.4847222222222225,1164.9097222222222,0.0,0,1,0,0,0,0,0,0
2019,7,10,0,0,0,2,191,-1,3.784722222222223,108.91666666666667,2.157638888888889,18.44791666666667,32.98819444444447,23.29861111111111,33.212500000000006,32.775,358.6041666666667,423.46478873239437,44.78740157480315,2.9944444444444436,2.361805555555556,1165.5555555555557,0.0,0,1,0,0,0,0,0,0
2019,7,11,0,0,0,3,192,-1,4.446527777777778,82.02777777777777,2.5027777777777778,18.715972222222227,34.49027777777778,24.15277777777778,34.66805555555557,34.308333333333344,352.30555555555554,399.36879432624113,48.04032258064516,3.4125000000000014,2.704861111111112,1182.3819444444443,0.0,0,1,0,0,0,0,0,0
2019,7,12,0,0,0,4,193,-1,4.589583333333332,134.57638888888889,2.5597222222222213,20.67430555555555,34.80277777777777,24.354166666666668,35.02916666666667,34.595138888888876,344.2916666666667,334.5492957746479,68.00806451612904,3.5687499999999996,2.7888888888888896,1182.2291666666667,0.0,0,1,0,0,0,0,0,0
2019,7,13,0,0,0,5,194,-1,4.7861111111111105,148.80555555555554,2.651388888888889,20.2625,33.00902777777779,31.729166666666668,33.18125,32.831944444444446,346.63194444444446,376.80281690140845,55.829268292682926,3.6645833333333337,2.884027777777778,1181.4652777777778,0.0,0,1,0,0,0,0,0,0
2019,7,14,0,0,0,6,195,-1,5.057638888888887,53.71527777777778,2.792361111111111,17.854166666666664,31.62430555555555,30.20138888888889,31.7888888888889,31.460416666666667,358.1875,429.27142857142854,39.122950819672134,3.7659722222222203,2.977777777777778,1182.5069444444443,0.0,1,0,0,0,0,0,0,0
2019,7,15,0,0,0,0,196,-1,4.548951048951051,103.16083916083916,2.5587412587412577,18.162937062937054,31.22797202797203,34.51048951048951,31.398601398601404,31.07342657342656,352.53846153846155,413.1654676258993,40.98347107438016,3.4601398601398596,2.7650349650349644,1178.2307692307693,0.0,1,0,0,0,0,0,0,0
2019,7,16,0,0,0,1,197,-1,3.73356643356643,80.5104895104895,2.1321678321678332,17.36153846153846,31.04545454545455,34.48251748251748,31.21468531468531,30.876923076923074,339.72727272727275,327.0281690140845,73.67391304347827,2.880419580419582,2.290209790209791,1179.3496503496503,0.0,0,1,0,0,0,0,0,0
2019,7,17,0,0,0,2,198,-1,5.67013888888889,175.52083333333334,3.162499999999999,16.17361111111111,34.96805555555556,21.958333333333332,35.170833333333334,34.76666666666668,283.0208333333333,150.13286713286712,128.70138888888889,4.183333333333335,3.3895833333333316,1182.625,0.0,0,1,0,0,0,0,0,0
