,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,West,East,South,North
2019-04-11,5.072916666666666,51.625,2.771527777777776,17.86527777777778,20.01944444444445,34.03472222222222,20.200694444444437,19.83055555555554,324.0486111111111,397.86013986013984,43.56944444444444,3.7791666666666655,2.966666666666666,1165.7708333333333,0.0,1,0,0,0,0,0,0,0
2019-04-12,6.086805555555557,48.0,3.418750000000001,17.20972222222223,20.63611111111111,39.013888888888886,20.78680555555555,20.473611111111104,325.2986111111111,400.43055555555554,44.13194444444444,4.464583333333329,3.642361111111112,1182.326388888889,0.0,1,0,0,0,0,0,0,0
2019-04-13,5.776388888888889,189.78472222222223,3.2354166666666666,17.6701388888889,24.57291666666666,33.208333333333336,24.743055555555554,24.399305555555554,312.65277777777777,293.61805555555554,82.11111111111111,4.225,3.427777777777778,1182.9444444444443,0.0,0,0,0,1,0,0,0,0
2019-04-14,5.652083333333333,200.58333333333334,3.072916666666666,21.796527777777776,26.913194444444443,28.993055555555557,27.11458333333333,26.738194444444442,266.75,0.0,170.48611111111111,4.161111111111108,3.353472222222222,1166.25,0.0,0,0,0,1,0,0,0,0
2019-04-15,4.75486111111111,73.625,2.7583333333333346,17.05416666666666,20.94930555555555,51.736111111111114,21.054861111111116,20.840972222222227,162.92361111111111,55.644444444444446,105.125,3.5631944444444446,2.971527777777779,1164.513888888889,0.0,1,0,0,0,0,0,0,0
2019-04-16,4.913194444444444,195.22222222222223,2.7006944444444447,19.718750000000007,21.69583333333333,47.083333333333336,21.88194444444445,21.507638888888895,283.19444444444446,197.6875,121.53472222222223,3.7819444444444454,2.9875000000000016,1165.576388888889,0.0,0,0,0,1,0,0,0,0
2019-04-17,5.172916666666664,194.98611111111111,2.942361111111111,19.192361111111104,20.32777777777777,40.0625,20.532638888888883,20.119444444444454,317.8611111111111,332.2916666666667,66.66666666666667,4.004166666666666,3.2076388888888876,1181.1666666666667,0.0,0,0,0,1,0,0,0,0
2019-04-18,4.395833333333333,144.34722222222223,2.3513888888888888,22.742361111111123,19.47708333333333,41.208333333333336,19.642361111111125,19.31736111111113,330.7638888888889,394.27777777777777,47.34722222222222,3.383333333333333,2.5826388888888903,1165.3194444444443,0.0,0,1,0,0,0,0,0,0
2019-04-19,4.607638888888891,192.13194444444446,2.6055555555555547,19.015277777777783,18.917361111111113,32.479166666666664,19.12013888888889,18.720138888888894,330.59027777777777,386.00694444444446,49.9375,3.6041666666666665,2.860416666666667,1181.826388888889,0.0,0,0,0,1,0,0,0,0
2019-04-20,3.4243055555555544,192.54166666666666,1.8472222222222219,22.863194444444442,18.29722222222222,40.25,18.499305555555562,18.10416666666667,333.5138888888889,390.7638888888889,50.451388888888886,2.6944444444444438,2.052083333333334,1165.5208333333333,0.0,0,0,0,1,0,0,0,0
