,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,South,East,West,North
2019-02-15,13.501388888888897,202.42361111111111,9.861805555555556,8.57430555555556,13.886111111111104,62.701388888888886,14.031944444444441,13.728472222222226,,,,11.41527777777778,10.33263888888889,1182.5416666666667,0.034722222222222224,0,0,0,1,0,0,0,0
2019-02-16,9.513194444444444,230.70138888888889,6.837499999999998,9.96805555555555,14.160416666666661,71.65277777777777,14.338888888888878,13.96875,,,,8.20694444444444,7.3493055555555555,1181.3541666666667,0.052083333333333336,0,0,0,1,0,0,0,0
2019-02-17,5.5530303030303045,164.86363636363637,3.8886363636363614,10.816666666666668,13.468939393939394,69.46212121212122,13.585606060606064,13.350757575757578,,,,4.690151515151518,4.125757575757575,1180.469696969697,0.0,0,1,0,0,0,0,0,0
2019-02-18,5.154545454545454,195.78321678321677,3.718181818181817,11.223776223776223,12.424475524475529,70.2867132867133,12.541258741258744,12.307692307692314,,,,4.4713286713286715,3.9587412587412567,1182.3566433566434,0.03146853146853147,0,0,0,1,0,0,0,0
2019-02-19,5.674305555555552,197.51388888888889,4.338888888888892,8.431944444444447,13.270138888888884,79.50694444444444,13.364583333333336,13.173611111111109,,,,4.933333333333333,4.5125,1182.5833333333333,0.0020833333333333337,0,0,0,1,0,0,0,0
2019-02-20,4.106944444444444,188.70833333333334,3.0472222222222225,10.886805555555556,13.861805555555556,77.65972222222223,13.972222222222221,13.760416666666668,,,,3.627777777777781,3.2777777777777777,1182.1597222222222,0.07847222222222221,0,0,0,1,0,0,0,0
2019-02-21,3.924305555555558,192.44444444444446,2.9069444444444446,9.802777777777775,13.440972222222225,75.01388888888889,13.558333333333334,13.325000000000003,,,,3.509027777777776,3.152777777777778,1165.0277777777778,0.0,0,0,0,1,0,0,0,0
2019-02-22,4.427083333333332,184.50694444444446,3.414583333333334,8.773611111111112,13.127083333333333,74.70833333333333,13.216666666666663,13.043749999999996,,,,3.9069444444444463,3.5715277777777774,1182.513888888889,0.0,0,0,0,1,0,0,0,0
2019-02-23,4.429166666666666,173.31944444444446,3.419444444444444,8.279166666666665,13.55625,76.1875,13.65208333333333,13.448611111111111,,,,3.93333333333333,3.597916666666665,1182.7847222222222,0.0,0,1,0,0,0,0,0,0
2019-02-24,3.793749999999998,128.70833333333334,2.7291666666666665,11.73263888888888,14.761111111111116,71.29861111111111,14.887499999999998,14.65208333333333,,,,3.331944444444444,2.935416666666667,1166.0694444444443,0.0,0,1,0,0,0,0,0,0
2019-02-25,7.52083333333333,74.52083333333333,5.2965277777777775,9.206249999999992,18.792361111111106,46.770833333333336,18.917361111111113,18.646527777777774,,,,6.239583333333337,5.514583333333331,1182.2222222222222,0.0,1,0,0,0,0,0,0,0
2019-02-26,9.23819444444444,196.20138888888889,6.8402777777777795,8.94722222222222,17.38680555555555,61.75694444444444,17.504861111111104,17.276388888888874,,,,7.87222222222222,7.083333333333336,1181.5902777777778,0.0,0,0,0,1,0,0,0,0
2019-02-27,12.511805555555556,249.64583333333334,9.116666666666667,8.584722222222224,16.007638888888877,73.61805555555556,16.14374999999999,15.88124999999999,,,,10.645833333333341,9.522916666666667,1181.9097222222222,0.01805555555555556,0,0,0,1,0,0,0,0
2019-02-28,16.143750000000008,279.3263888888889,12.402083333333335,7.151388888888885,14.356249999999992,66.1875,14.547916666666667,14.140972222222228,,,,14.296527777777783,12.938888888888885,1166.9652777777778,0.02013888888888889,0,0,1,0,0,0,0,0
2019-03-01,8.936805555555551,287.5416666666667,6.881944444444447,7.315972222222224,14.466666666666672,59.25,14.581944444444442,14.359722222222237,,,,8.090972222222222,7.281944444444444,1181.2569444444443,0.0006944444444444445,0,0,1,0,0,0,0,0
2019-03-02,7.004861111111109,198.33333333333334,5.087500000000003,9.281944444444445,14.192361111111111,76.46527777777777,14.328472222222224,14.035416666666675,,,,6.025694444444444,5.380555555555558,1182.1180555555557,0.04583333333333333,0,0,0,1,0,0,0,0
2019-03-03,6.850694444444445,174.38194444444446,5.118055555555555,8.056249999999997,14.259722222222226,64.90972222222223,14.367361111111116,14.15833333333333,,,,5.795833333333336,5.295833333333332,1181.9097222222222,0.0,0,1,0,0,0,0,0,0
2019-03-04,6.065277777777779,183.38194444444446,4.536805555555555,8.225694444444443,14.552777777777777,78.39583333333333,14.668055555555558,14.442361111111113,,,,5.21527777777778,4.736111111111109,1166.0416666666667,0.005555555555555556,0,0,0,1,0,0,0,0
2019-03-05,5.0777777777777775,181.33333333333334,3.9020833333333353,10.287500000000001,14.108333333333334,81.125,14.252083333333335,13.967361111111103,,,,4.552777777777779,4.159027777777779,1183.875,0.056944444444444436,0,1,0,0,0,0,0,0
2019-03-06,3.9888888888888894,234.84027777777777,3.056944444444445,8.55486111111111,14.480555555555547,77.03472222222223,14.60902777777777,14.373611111111112,,,,3.6006944444444446,3.2243055555555573,1181.638888888889,0.0,0,0,0,1,0,0,0,0
2019-03-07,5.865972222222221,246.79861111111111,4.528472222222225,8.892361111111107,15.202083333333348,74.1875,15.306944444444433,15.10000000000001,,,,5.238194444444444,4.69861111111111,1166.9791666666667,0.0,0,0,0,1,0,0,0,0
2019-03-08,5.398611111111116,243.27083333333334,4.315277777777779,9.377083333333337,15.681250000000015,69.36111111111111,15.812499999999993,15.552777777777784,,,,5.001388888888891,4.577083333333333,1181.8333333333333,0.0,0,0,0,1,0,0,0,0
2019-03-09,5.272222222222222,146.47222222222223,4.283333333333332,9.6875,13.873611111111101,70.34027777777777,14.006944444444445,13.75138888888889,,,,4.8180555555555555,4.46736111111111,1183.4930555555557,0.0,0,1,0,0,0,0,0,0
2019-03-10,4.479861111111109,213.43055555555554,3.3604166666666675,8.277083333333334,14.341666666666672,74.22916666666667,14.43402777777778,14.243055555555562,,,,3.972916666666666,3.5388888888888883,1183.423611111111,0.0,0,0,0,1,0,0,0,0
2019-03-11,4.406249999999999,208.20138888888889,3.325000000000002,8.988888888888884,15.393055555555556,74.84027777777777,15.496527777777793,15.297916666666671,,,,3.8944444444444435,3.491666666666667,1182.4097222222222,0.0,0,0,0,1,0,0,0,0
2019-03-12,4.86805555555556,122.82638888888889,3.856250000000002,12.316666666666668,15.303472222222224,84.09722222222223,15.435416666666669,15.174999999999995,,,,4.433333333333335,4.1,1165.9652777777778,0.0,0,1,0,0,0,0,0,0
2019-03-13,6.316666666666668,204.26388888888889,4.626388888888888,9.661805555555553,16.926388888888887,70.47916666666667,17.068055555555564,16.788194444444443,,,,5.481944444444442,4.91388888888889,1183.3194444444443,0.004166666666666667,0,0,0,1,0,0,0,0
2019-03-14,8.315972222222225,243.01388888888889,6.263194444444443,8.37361111111111,15.182638888888881,76.54166666666667,15.348611111111122,15.013194444444439,,,,7.317361111111111,6.612500000000001,1181.9375,0.056249999999999994,0,0,0,1,0,0,0,0
2019-03-15,5.81736111111111,201.92361111111111,4.389583333333334,7.92083333333333,16.489583333333336,76.52777777777777,16.595138888888886,16.37569444444444,,,,5.0451388888888875,4.564583333333333,1181.7708333333333,0.0,0,0,0,1,0,0,0,0
2019-03-16,11.104861111111106,234.22222222222223,8.291666666666664,8.181249999999997,14.86111111111111,74.86111111111111,15.089583333333344,14.643055555555545,,,,9.688194444444443,8.697222222222223,1181.7847222222222,0.10347222222222223,0,0,0,1,0,0,0,0
2019-03-17,9.196527777777781,267.7083333333333,7.375694444444445,6.584722222222223,16.44861111111113,70.71527777777777,16.56041666666668,16.34444444444444,,,,8.295138888888886,7.61944444444444,1165.361111111111,0.0006944444444444445,0,0,0,1,0,0,0,0
2019-03-18,4.586111111111109,183.15277777777777,3.5805555555555557,7.452083333333334,14.924305555555542,81.38194444444444,15.04583333333334,14.811805555555557,,,,4.072222222222224,3.7222222222222223,1181.7569444444443,0.0,0,0,0,1,0,0,0,0
2019-03-19,6.854166666666668,149.75,5.929166666666668,13.46875,15.481250000000005,86.68055555555556,15.605555555555563,15.36944444444444,,,,6.439583333333332,6.105555555555554,1167.1597222222222,0.0,0,1,0,0,0,0,0,0
2019-03-20,6.173611111111113,168.36111111111111,5.0541666666666645,13.624305555555564,15.316666666666679,88.85416666666667,15.460416666666667,15.177777777777786,,,,5.645138888888888,5.245833333333333,1181.9097222222222,0.0,0,1,0,0,0,0,0,0
2019-03-21,4.777083333333335,249.36805555555554,3.8930555555555557,10.54305555555556,15.89236111111111,89.66666666666667,15.982638888888879,15.799999999999999,,,,4.408333333333333,4.079166666666668,1182.2708333333333,0.0,0,0,0,1,0,0,0,0
2019-03-22,4.156249999999997,258.2708333333333,3.4361111111111113,8.25555555555556,16.65833333333332,87.24305555555556,16.74861111111112,16.570138888888877,,,,3.8333333333333335,3.5701388888888905,1181.8819444444443,0.0,0,0,0,1,0,0,0,0
2019-03-23,3.48125,186.34027777777777,2.7687500000000007,12.24375,16.44236111111111,87.53472222222223,16.53888888888889,16.345138888888897,,,,3.225694444444445,2.9562500000000003,1183.0208333333333,0.0,0,0,0,1,0,0,0,0
2019-03-24,5.536111111111108,209.19444444444446,4.488888888888889,11.97569444444445,16.316666666666666,81.47916666666667,16.46597222222221,16.16666666666666,,,,5.175,4.79236111111111,1181.923611111111,0.04513888888888889,0,0,0,1,0,0,0,0
2019-03-25,6.761111111111109,220.00694444444446,4.942361111111113,12.111111111111107,13.61180555555555,69.78472222222223,13.79236111111111,13.463194444444436,,,,6.033333333333335,5.271527777777781,1165.361111111111,0.07708333333333331,0,0,0,1,0,0,0,0
2019-03-26,5.9194444444444425,199.19444444444446,4.393750000000003,8.638194444444444,14.772222222222231,66.77777777777777,14.874999999999991,14.665277777777796,,,,5.129166666666666,4.576388888888891,1182.8958333333333,0.0,0,0,0,1,0,0,0,0
2019-03-27,6.795138888888889,226.20833333333334,5.022916666666669,8.522222222222219,16.285416666666674,76.28472222222223,16.422222222222217,16.163194444444443,,,,5.818055555555555,5.192361111111111,1181.7708333333333,0.0,0,0,0,1,0,0,0,0
2019-03-28,4.580555555555555,175.38194444444446,3.6006944444444438,7.731944444444441,16.065277777777776,79.91666666666667,16.19374999999999,15.95347222222223,,,,4.102777777777776,3.7409722222222226,1181.9930555555557,0.0,0,1,0,0,0,0,0,0
2019-03-29,6.267361111111112,133.28472222222223,3.8819444444444446,14.780555555555562,18.054861111111112,65.14583333333333,18.223611111111115,17.884722222222226,,,,5.132638888888885,4.324305555555556,1182.1875,0.003472222222222222,0,1,0,0,0,0,0,0
