,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,East,North-East,North,South-East,West,South
2019-02-15,2.616666666666667,172.65972222222223,1.4402777777777778,22.339583333333323,12.456944444444444,75.77777777777777,12.563194444444456,12.34652777777778,,,,2.1631944444444446,1.6944444444444438,1164.5833333333333,0.07361111111111113,1,0,0,0,0,0,0,0
2019-02-16,2.554166666666669,143.72222222222223,1.348611111111111,22.41388888888888,12.173611111111112,92.40277777777777,12.242361111111107,12.102777777777781,,,,2.0701388888888896,1.6124999999999998,1165.736111111111,0.14930555555555564,1,0,0,0,0,0,0,0
2019-02-17,2.2743055555555545,133.86111111111111,1.2798611111111116,21.7326388888889,11.033333333333328,86.22916666666667,11.181249999999999,10.899305555555557,,,,1.9166666666666667,1.5083333333333333,1181.826388888889,0.012500000000000004,1,0,0,0,0,0,0,0
2019-02-18,2.4370629370629366,143.23076923076923,1.4552447552447547,19.246153846153852,10.226573426573424,84.96503496503496,10.388811188811186,10.06083916083916,,,,2.058741258741259,1.66013986013986,1181.5314685314686,0.007692307692307693,1,0,0,0,0,0,0,0
2019-02-19,2.5361111111111105,138.18055555555554,1.5083333333333337,16.54166666666666,11.76944444444444,84.70138888888889,11.933333333333325,11.60555555555555,,,,2.0965277777777778,1.6895833333333339,1182.736111111111,0.0006944444444444445,1,0,0,0,0,0,0,0
2019-02-20,1.8763888888888889,140.41666666666666,1.1597222222222217,16.738888888888887,12.522916666666662,86.58333333333333,12.672222222222224,12.375000000000004,,,,1.6444444444444444,1.336111111111111,1183.2708333333333,0.0020833333333333337,1,0,0,0,0,0,0,0
2019-02-21,2.2624999999999997,134.52083333333334,1.377777777777778,18.397222222222226,11.451388888888888,82.89583333333333,11.639583333333336,11.284027777777776,,,,1.9416666666666673,1.5902777777777777,1182.388888888889,0.0006944444444444445,1,0,0,0,0,0,0,0
2019-02-22,2.0743055555555543,137.66666666666666,1.2256944444444444,17.921527777777776,11.593750000000002,79.63194444444444,11.781249999999996,11.425000000000004,,,,1.7680555555555555,1.3993055555555562,1165.486111111111,0.0,1,0,0,0,0,0,0,0
2019-02-23,2.2708333333333326,131.36111111111111,1.306250000000001,18.830555555555563,12.410416666666666,78.28472222222223,12.590277777777779,12.234722222222222,,,,1.9145833333333337,1.5006944444444448,1182.3402777777778,0.0006944444444444445,1,0,0,0,0,0,0,0
2019-02-24,2.826388888888889,125.96527777777777,1.5770833333333334,27.699305555555558,13.968055555555559,74.75,14.172222222222219,13.759722222222218,,,,2.368055555555556,1.7784722222222231,1165.8541666666667,0.0,1,0,0,0,0,0,0,0
2019-02-25,4.386805555555555,159.3125,2.2659722222222216,35.493750000000006,17.936111111111117,58.00694444444444,18.223611111111115,17.66041666666667,,,,3.474305555555556,2.5569444444444445,1182.611111111111,0.0,1,0,0,0,0,0,0,0
2019-02-26,6.454861111111112,200.25694444444446,3.568055555555557,22.03680555555554,18.735416666666666,51.94444444444444,18.943749999999984,18.544444444444437,,,,4.9111111111111105,3.8409722222222222,1182.1666666666667,0.0,0,1,0,0,0,0,0,0
2019-02-27,5.552777777777774,197.89583333333334,2.916666666666666,19.3451388888889,14.018749999999994,87.30555555555556,14.15694444444444,13.87916666666667,,,,4.168749999999998,3.313194444444444,1183.375,0.33194444444444454,0,1,0,0,0,0,0,0
2019-02-28,6.434027777777776,213.64583333333334,3.53263888888889,23.05486111111112,12.03263888888889,81.69444444444444,12.241666666666672,11.830555555555561,,,,5.053472222222223,4.011805555555555,1183.125,0.07777777777777775,0,1,0,0,0,0,0,0
2019-03-01,3.639583333333335,165.6875,2.248611111111112,20.65555555555555,12.356249999999996,73.45833333333333,12.550694444444435,12.184722222222227,,,,3.0763888888888897,2.5250000000000004,1183.9722222222222,0.0,1,0,0,0,0,0,0,0
2019-03-02,2.7104166666666654,143.86805555555554,1.5590277777777777,19.201388888888886,12.975000000000001,86.45833333333333,13.08611111111111,12.872222222222218,,,,2.1937499999999996,1.7819444444444446,1166.9652777777778,0.00902777777777778,1,0,0,0,0,0,0,0
2019-03-03,2.0708333333333324,131.53472222222223,1.2243055555555549,21.084722222222226,11.59513888888889,83.5,11.742361111111114,11.450000000000005,,,,1.7840277777777775,1.4062499999999991,1182.5555555555557,0.0,1,0,0,0,0,0,0,0
2019-03-04,1.7673611111111123,158.01388888888889,1.0284722222222225,20.04861111111112,12.85347222222222,88.53472222222223,12.961111111111117,12.736111111111112,,,,1.5409722222222224,1.2569444444444444,1181.4583333333333,0.019444444444444445,1,0,0,0,0,0,0,0
2019-03-05,2.581249999999998,136.99305555555554,1.55,17.45902777777777,13.806944444444447,80.04166666666667,13.975000000000009,13.633333333333335,,,,2.1527777777777777,1.7597222222222215,1166.5555555555557,0.0,1,0,0,0,0,0,0,0
2019-03-06,2.197916666666666,138.25,1.278472222222222,19.795833333333334,14.517361111111105,77.04861111111111,14.695833333333345,14.353472222222216,,,,1.837500000000001,1.4708333333333328,1165.1319444444443,0.0,1,0,0,0,0,0,0,0
2019-03-07,3.1909722222222245,154.21527777777777,1.9756944444444464,15.882638888888879,12.940277777777775,85.25,13.097222222222221,12.782638888888894,,,,2.652083333333332,2.2173611111111127,1182.4444444444443,0.0,1,0,0,0,0,0,0,0
2019-03-08,3.3631944444444457,129.1875,1.9048611111111116,22.07986111111111,14.25902777777778,71.73611111111111,14.45486111111111,14.061111111111108,,,,2.7277777777777787,2.1500000000000004,1166.326388888889,0.0,1,0,0,0,0,0,0,0
2019-03-09,2.3680555555555554,147.8125,1.456944444444444,17.085416666666674,13.117361111111114,72.58333333333333,13.32430555555556,12.91944444444444,,,,2.009722222222223,1.6298611111111105,1166.1180555555557,0.0,1,0,0,0,0,0,0,0
2019-03-10,3.2055555555555557,146.33333333333334,2.0076388888888883,15.584722222222224,12.787500000000005,78.89583333333333,12.953472222222222,12.620138888888885,,,,2.656944444444443,2.2041666666666657,1182.2083333333333,0.0,1,0,0,0,0,0,0,0
2019-03-11,2.4618055555555554,141.25694444444446,1.5159722222222225,17.155555555555555,14.606250000000001,79.79861111111111,14.772222222222224,14.445138888888888,,,,2.0625000000000004,1.6763888888888887,1181.7569444444443,0.0,1,0,0,0,0,0,0,0
2019-03-12,2.0374999999999996,150.40277777777777,1.2722222222222217,17.31388888888889,14.98958333333333,81.96527777777777,15.181944444444436,14.800000000000002,,,,1.7833333333333325,1.454861111111111,1182.263888888889,0.0,1,0,0,0,0,0,0,0
2019-03-13,2.986805555555555,205.73611111111111,1.686805555555556,29.31388888888891,16.44652777777777,71.20833333333333,16.661805555555553,16.23125,,,,2.5256944444444436,1.9923611111111112,1182.5208333333333,0.0,0,1,0,0,0,0,0,0
2019-03-14,2.840277777777779,148.60416666666666,1.6354166666666665,19.923611111111118,12.778472222222224,86.27777777777777,12.934722222222216,12.615277777777775,,,,2.3631944444444444,1.9187499999999988,1182.513888888889,0.0423611111111111,1,0,0,0,0,0,0,0
2019-03-15,2.388888888888889,155.39583333333334,1.4423611111111108,18.825694444444455,14.149305555555554,83.26388888888889,14.304861111111105,14.001388888888886,,,,2.0277777777777777,1.6590277777777773,1182.0625,0.0062499999999999995,1,0,0,0,0,0,0,0
2019-03-16,3.3986111111111104,161.21527777777777,1.8479166666666664,20.811805555555566,11.464583333333339,92.40277777777777,11.556944444444447,11.375000000000005,,,,2.6958333333333346,2.1375000000000015,1181.3541666666667,0.19285714285714287,1,0,0,0,0,0,0,0
2019-03-17,4.703472222222224,187.51388888888889,2.881944444444445,19.161805555555564,14.868749999999997,81.19444444444444,15.023611111111112,14.72013888888889,,,,3.829166666666665,3.147916666666667,1183.25,,0,1,0,0,0,0,0,0
2019-03-18,2.0652777777777778,152.71527777777777,1.1604166666666673,22.171527777777786,15.005555555555548,80.31944444444444,15.177777777777774,14.853472222222223,,,,1.7104166666666667,1.3243055555555558,1165.7430555555557,,1,0,0,0,0,0,0,0
2019-03-19,2.015972222222222,145.1875,1.1715277777777777,20.504166666666663,15.361111111111107,78.09027777777777,15.572916666666664,15.161805555555556,,,,1.697222222222222,1.3402777777777783,1166.763888888889,,1,0,0,0,0,0,0,0
2019-03-20,2.2298611111111115,153.22222222222223,1.3340277777777783,20.883333333333333,16.862499999999997,74.03472222222223,17.06944444444445,16.675000000000004,,,,1.8916666666666662,1.4902777777777785,1182.3472222222222,,1,0,0,0,0,0,0,0
2019-03-21,2.3118055555555546,144.38194444444446,1.3048611111111112,24.516666666666666,16.97569444444444,69.98611111111111,17.17638888888889,16.784027777777784,,,,1.9791666666666663,1.4979166666666668,1181.0208333333333,,1,0,0,0,0,0,0,0
2019-03-22,2.5020833333333328,155.07638888888889,1.509027777777778,17.72986111111111,16.92708333333334,79.61111111111111,17.081249999999997,16.779861111111117,,,,2.137500000000001,1.6840277777777781,1183.3055555555557,,1,0,0,0,0,0,0,0
2019-03-23,1.9027777777777775,153.57638888888889,1.0930555555555557,20.49722222222222,17.04166666666667,80.49305555555556,17.203472222222224,16.882638888888884,,,,1.6243055555555557,1.2826388888888889,1182.2777777777778,,1,0,0,0,0,0,0,0
2019-03-24,2.75,174.77083333333334,1.5486111111111116,26.518750000000004,16.37222222222222,77.77777777777777,16.53402777777778,16.210416666666664,,,,2.26388888888889,1.7958333333333332,1166.0833333333333,,0,1,0,0,0,0,0,0
