,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,North,East,West,South
2019-04-01,9.598611111111104,223.8125,7.513194444444443,6.06736111111111,9.954861111111112,92.50694444444444,10.08680555555556,9.839583333333334,,,,8.493750000000007,7.797916666666661,1165.673611111111,0.05833333333333332,0,0,0,1,0,0,0,0
2019-04-02,5.876388888888889,228.59722222222223,4.372222222222222,9.972222222222227,11.58680555555556,82.47222222222223,11.768749999999995,11.406249999999995,,,,5.173611111111115,4.628472222222221,1166.1180555555557,0.011805555555555559,0,0,0,1,0,0,0,0
2019-04-03,2.768749999999999,126.79861111111111,1.8229166666666659,14.679861111111112,13.138888888888886,70.58333333333333,13.375694444444445,12.906944444444447,,,,2.3666666666666667,1.9972222222222216,1165.3680555555557,0.0,0,1,0,0,0,0,0,0
2019-04-04,4.256250000000001,151.38194444444446,3.1430555555555557,15.789583333333338,14.692361111111117,74.15972222222223,14.892361111111107,14.508333333333333,,,,3.7493055555555563,3.3256944444444447,1183.3958333333333,0.0,0,1,0,0,0,0,0,0
2019-04-05,6.945833333333331,270.4861111111111,5.306944444444443,7.966666666666672,13.335416666666662,88.70138888888889,13.497222222222227,13.179166666666665,,,,6.069444444444443,5.491666666666669,1164.361111111111,0.0,0,0,0,1,0,0,0,0
2019-04-06,3.7812500000000018,105.72916666666667,2.6402777777777784,12.285416666666674,14.709722222222227,77.92361111111111,14.87361111111111,14.545138888888886,,,,3.2618055555555547,2.824305555555556,1181.701388888889,0.0,0,1,0,0,0,0,0,0
2019-04-07,5.171527777777781,184.84027777777777,3.4875000000000003,13.747916666666669,19.31527777777778,54.65972222222222,19.5388888888889,19.088194444444447,,,,4.298611111111112,3.7437499999999977,1164.638888888889,0.0,0,0,0,1,0,0,0,0
2019-04-08,5.402777777777779,216.10416666666666,4.1527777777777795,9.181944444444447,18.80208333333333,58.541666666666664,18.986805555555556,18.620833333333326,,,,4.808333333333334,4.339583333333333,1182.6944444444443,0.0,0,0,0,1,0,0,0,0
2019-04-09,6.139583333333331,216.27083333333334,4.475,15.04166666666666,17.194444444444436,64.10416666666667,17.384722222222212,17.002777777777773,,,,5.35277777777778,4.72638888888889,1181.0625,0.0,0,0,0,1,0,0,0,0
2019-04-10,6.898611111111112,269.375,5.127083333333332,8.54444444444444,13.33541666666666,81.07638888888889,13.554166666666665,13.115972222222224,,,,5.994444444444446,5.361805555555554,1165.1180555555557,0.0,0,0,0,1,0,0,0,0
