,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,North,West,East,South
2019-04-27,6.170138888888891,163.6875,4.245833333333332,14.70902777777778,22.209722222222222,26.61111111111111,22.433333333333323,22.006249999999987,,,,5.3277777777777775,4.546527777777777,1181.8055555555557,0.0,0,1,0,0,0,0,0,0
2019-04-28,3.636111111111111,241.22222222222223,2.2215277777777778,13.744444444444445,21.535416666666674,38.388888888888886,21.832638888888898,21.25208333333333,,,,3.130555555555555,2.521527777777778,1181.2083333333333,0.0,0,0,0,1,0,0,0,0
2019-04-29,4.27013888888889,161.48611111111111,3.0444444444444456,14.815277777777773,24.09791666666667,27.145833333333332,24.338194444444454,23.860416666666662,,,,3.7812499999999982,3.2965277777777775,1182.673611111111,0.0,0,1,0,0,0,0,0,0
2019-04-30,5.052083333333332,254.22222222222223,3.484027777777778,10.526388888888885,23.716666666666672,27.791666666666668,23.92708333333335,23.51736111111111,,,,4.37986111111111,3.755555555555557,1166.013888888889,0.0,0,0,0,1,0,0,0,0
2019-05-01,3.8125874125874137,132.13986013986013,2.5685314685314684,13.820279720279718,26.009090909090915,19.937062937062937,26.23636363636364,25.77552447552448,,,,3.3062937062937072,2.811888111888112,1163.4195804195804,0.0,0,1,0,0,0,0,0,0
2019-05-02,6.736805555555555,234.17361111111111,4.910416666666666,10.83541666666667,26.902777777777782,21.583333333333332,27.155555555555548,26.659722222222236,,,,6.005555555555553,5.311111111111111,1167.236111111111,0.0,0,0,0,1,0,0,0,0
2019-05-03,8.57013888888889,259.125,6.334722222222223,11.437499999999996,19.437499999999993,50.895833333333336,19.680555555555554,19.21249999999999,,,,7.547916666666669,6.7131944444444445,1182.2152777777778,0.0,0,0,0,1,0,0,0,0
2019-05-04,4.150694444444445,148.79861111111111,2.533333333333333,21.490972222222236,17.768055555555556,53.8125,17.980555555555558,17.558333333333348,,,,3.4951388888888886,2.827777777777777,1181.9930555555557,0.0,0,1,0,0,0,0,0,0
2019-05-05,4.344444444444445,85.34722222222223,2.863888888888889,17.379166666666674,24.32638888888889,25.20138888888889,24.53611111111111,24.121527777777782,,,,3.7124999999999986,3.108333333333333,1182.298611111111,0.0,0,1,0,0,0,0,0,0
2019-05-06,8.013286713286707,199.67832167832168,5.913286713286713,10.901398601398606,26.181118881118895,28.60839160839161,26.471328671328678,25.879720279720285,,,,7.118881118881117,6.358741258741259,1178.5524475524476,0.0,0,0,0,1,0,0,0,0
2019-05-07,8.488888888888894,296.4791666666667,6.179861111111115,8.74652777777778,17.43472222222222,67.18055555555556,17.62013888888889,17.250694444444445,,,,7.475694444444441,6.529861111111112,1166.1805555555557,0.0,0,0,1,0,0,0,0,0
2019-05-08,5.815277777777778,265.94444444444446,3.9520833333333325,12.968749999999995,16.028472222222224,59.65972222222222,16.254861111111108,15.818750000000007,,,,5.062499999999998,4.274305555555558,1165.2777777777778,0.0,0,0,0,1,0,0,0,0
2019-05-09,5.652554744525548,275.6861313868613,3.797810218978102,12.083941605839414,14.751094890510952,59.76642335766423,14.970802919708026,14.540145985401455,,,,4.8788321167883195,4.086861313868614,1146.8832116788321,0.0,0,0,1,0,0,0,0,0
2019-05-10,4.118750000000001,244.90277777777777,2.511805555555556,17.152083333333337,15.767361111111105,58.638888888888886,15.990277777777784,15.546527777777783,,,,3.522222222222224,2.828472222222222,1165.6944444444443,0.0,0,0,0,1,0,0,0,0
2019-05-11,3.2263888888888896,201.86111111111111,1.9340277777777775,19.284027777777787,19.785416666666674,43.173611111111114,20.00277777777778,19.559722222222224,,,,2.747916666666667,2.2187499999999987,1181.0694444444443,0.0,0,0,0,1,0,0,0,0
2019-05-12,4.9826388888888875,132.63194444444446,3.3243055555555543,16.734027777777772,24.635416666666643,20.53472222222222,24.84722222222222,24.41805555555556,,,,4.243055555555554,3.5902777777777777,1166.2291666666667,0.0,0,1,0,0,0,0,0,0
2019-05-13,4.984027777777779,132.13888888888889,3.3638888888888894,17.624305555555562,27.08124999999999,17.70138888888889,27.297222222222228,26.87638888888888,,,,4.306944444444447,3.643750000000001,1182.3333333333333,0.0,0,1,0,0,0,0,0,0
2019-05-14,4.450694444444444,190.44444444444446,2.927777777777779,16.08611111111111,27.506944444444443,15.972222222222221,27.756944444444443,27.27916666666667,,,,3.852083333333331,3.2229166666666673,1183.236111111111,0.0,0,0,0,1,0,0,0,0
2019-05-15,4.564583333333336,213.84722222222223,3.1201388888888886,13.486805555555552,26.87708333333333,27.65277777777778,27.1326388888889,26.62847222222222,,,,3.916666666666669,3.359027777777778,1182.576388888889,0.0,0,0,0,1,0,0,0,0
2019-05-16,4.0375000000000005,204.88194444444446,2.6416666666666666,18.293750000000006,28.36875,23.055555555555557,28.659722222222236,28.07291666666667,,,,3.527777777777777,2.9451388888888896,1166.201388888889,0.0,0,0,0,1,0,0,0,0
2019-05-17,7.454166666666664,216.84722222222223,5.5631944444444485,9.205555555555561,25.720138888888894,32.0625,26.023611111111116,25.43263888888888,,,,6.571527777777781,5.852777777777779,1182.5902777777778,0.0,0,0,0,1,0,0,0,0
2019-05-18,5.054166666666667,257.02777777777777,3.336805555555555,15.169444444444439,22.53472222222222,39.34722222222222,22.795138888888893,22.272222222222226,,,,4.3368055555555545,3.649305555555555,1166.1458333333333,0.0,0,0,0,1,0,0,0,0
2019-05-19,5.454166666666666,267.2916666666667,3.7062500000000003,12.082638888888887,21.70902777777778,35.47222222222222,21.95694444444445,21.478472222222234,,,,4.702083333333335,3.977083333333333,1180.8680555555557,0.0,0,0,0,1,0,0,0,0
2019-05-20,4.536805555555555,180.56944444444446,2.8986111111111104,18.885416666666664,22.34722222222223,52.611111111111114,22.55069444444445,22.146527777777777,,,,3.837500000000001,3.2020833333333334,1181.9583333333333,0.0,0,0,0,1,0,0,0,0
2019-05-21,4.820138888888889,178.96527777777777,3.232638888888887,18.055555555555557,26.760416666666664,38.673611111111114,26.965277777777775,26.54513888888889,,,,4.195833333333334,3.5305555555555554,1166.0902777777778,0.0,0,0,0,1,0,0,0,0
2019-05-22,4.814583333333331,65.47222222222223,3.471527777777777,11.959722222222219,31.089583333333355,11.694444444444445,31.286111111111097,30.90972222222221,,,,4.193749999999998,3.684722222222223,1183.8125,0.0,1,0,0,0,0,0,0,0
2019-05-23,5.816666666666666,123.15277777777777,4.216666666666667,10.318750000000003,33.720138888888876,9.381944444444445,33.990972222222226,33.45277777777778,,,,5.143750000000001,4.496527777777779,1165.375,0.0,0,1,0,0,0,0,0,0
2019-05-24,8.051388888888889,198.3125,6.07361111111111,9.413194444444438,32.57777777777777,21.291666666666668,32.87361111111112,32.29861111111111,,,,7.117361111111112,6.393055555555556,1182.6597222222222,0.0,0,0,0,1,0,0,0,0
2019-05-25,6.854166666666664,256.84722222222223,4.8270833333333325,11.049305555555556,23.85972222222222,65.96527777777777,24.075000000000003,23.663194444444454,,,,5.846527777777783,5.103472222222223,1182.9166666666667,0.0,0,0,0,1,0,0,0,0
2019-05-26,4.826388888888887,211.92361111111111,3.19375,15.251388888888881,22.588194444444444,57.05555555555556,22.801388888888898,22.38611111111112,,,,4.106249999999999,3.4569444444444457,1182.0416666666667,0.0,0,0,0,1,0,0,0,0
2019-05-27,4.5673611111111105,228.90972222222223,3.0388888888888914,19.39930555555555,23.142361111111104,54.916666666666664,23.363194444444453,22.907638888888897,,,,3.9124999999999996,3.297916666666667,1165.2222222222222,0.0,0,0,0,1,0,0,0,0
2019-05-28,6.067361111111113,233.38194444444446,4.226388888888888,12.613194444444447,22.902777777777775,67.73611111111111,23.11736111111111,22.708333333333343,,,,5.199305555555554,4.456944444444444,1182.5555555555557,0.0,0,0,0,1,0,0,0,0
2019-05-29,6.566666666666668,170.07638888888889,4.651388888888888,11.652777777777779,26.75208333333333,52.68055555555556,26.966666666666658,26.547222222222217,,,,5.6395833333333325,4.904166666666667,1181.611111111111,0.0,0,1,0,0,0,0,0,0
2019-05-30,6.854166666666668,180.63194444444446,4.75833333333333,10.825000000000003,28.793750000000006,42.826388888888886,29.02708333333333,28.56597222222222,,,,5.864583333333332,5.0791666666666675,1182.6666666666667,0.0,0,0,0,1,0,0,0,0
2019-05-31,7.284722222222224,262.30555555555554,5.158333333333335,12.131944444444448,26.779166666666676,54.333333333333336,27.031249999999996,26.544444444444434,,,,6.300694444444442,5.491666666666668,1167.951388888889,0.0,0,0,0,1,0,0,0,0
2019-06-01,6.718749999999998,276.03472222222223,4.799999999999999,10.062500000000005,25.341666666666665,57.71527777777778,25.56180555555555,25.13125,,,,5.81875,5.087499999999997,1181.875,0.0,0,0,1,0,0,0,0,0
2019-06-02,5.83943661971831,245.17605633802816,4.078169014084507,12.324647887323936,25.284507042253516,54.78169014084507,25.49577464788733,25.073943661971835,,,,5.076056338028171,4.363380281690143,1179.0845070422536,0.0,0,0,0,1,0,0,0,0
2019-06-03,4.735416666666667,201.44444444444446,3.064583333333334,17.40833333333333,27.34375,47.31944444444444,27.568055555555564,27.102083333333336,,,,4.046527777777779,3.415972222222221,1181.111111111111,0.0,0,0,0,1,0,0,0,0
