,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,West,East,North-East,North,South
2019-04-01,5.079166666666666,172.59722222222223,2.5291666666666663,22.46319444444444,13.624305555555557,92.82638888888889,13.771527777777775,13.493749999999999,,,,3.629166666666665,2.7993055555555566,1181.548611111111,0.10138888888888886,1,0,0,0,0,0,0,0
2019-04-02,3.4923611111111095,161.52777777777777,1.8652777777777783,18.442361111111115,14.000000000000004,89.1875,14.130555555555555,13.86319444444444,,,,2.6458333333333335,2.0673611111111105,1164.6597222222222,0.02083333333333334,1,0,0,0,0,0,0,0
2019-04-03,3.1916666666666673,187.75694444444446,1.9555555555555553,15.809722222222222,14.100000000000003,84.73611111111111,14.302777777777777,13.92430555555555,,,,2.5465277777777766,2.1055555555555556,1183.9791666666667,0.0,0,0,1,0,0,0,0,0
2019-04-04,3.3548611111111115,213.41666666666666,2.0756944444444443,16.219444444444438,14.661805555555553,86.34722222222223,14.844444444444441,14.493055555555552,,,,2.6993055555555556,2.2638888888888893,1182.951388888889,0.0,0,0,1,0,0,0,0,0
2019-04-05,2.8527777777777774,194.19444444444446,1.6180555555555554,14.571527777777776,15.466666666666656,89.93055555555556,15.654166666666676,15.288888888888891,,,,2.2951388888888893,1.7951388888888884,1182.0625,0.0,0,0,1,0,0,0,0,0
2019-04-06,2.404166666666667,145.59027777777777,1.2493055555555554,25.112500000000004,16.506944444444443,78.73611111111111,16.679166666666664,16.340277777777786,,,,1.9201388888888888,1.4562499999999994,1181.7916666666667,0.0,1,0,0,0,0,0,0,0
2019-04-07,4.3743055555555515,149.88194444444446,2.424305555555555,22.973611111111108,20.29097222222223,61.479166666666664,20.501388888888883,20.0798611111111,,,,3.339583333333334,2.644444444444444,1182.7152777777778,0.0,1,0,0,0,0,0,0,0
2019-04-08,2.8569444444444443,173.53472222222223,1.588194444444444,17.886805555555547,18.289583333333336,81.92361111111111,18.51041666666667,18.07291666666667,,,,2.2555555555555546,1.7381944444444433,1182.326388888889,0.0,1,0,0,0,0,0,0,0
2019-04-09,3.6694444444444434,204.3125,1.9437499999999994,22.033333333333324,18.604861111111113,76.0,18.793055555555565,18.41319444444445,,,,2.8416666666666655,2.1479166666666654,1182.1875,0.0,0,0,1,0,0,0,0,0
2019-04-10,3.3284722222222234,201.61111111111111,1.7840277777777773,18.98888888888889,16.09583333333334,80.35416666666667,16.330555555555563,15.865277777777784,,,,2.5638888888888864,1.9611111111111112,1181.5555555555557,0.0,0,0,1,0,0,0,0,0
2019-04-11,3.809722222222223,193.57638888888889,2.2340277777777775,16.545138888888886,15.525694444444436,81.02083333333333,15.744444444444444,15.317361111111113,,,,2.9875000000000007,2.381944444444443,1182.6458333333333,0.0,0,0,1,0,0,0,0,0
2019-04-12,5.081250000000001,247.51388888888889,3.140277777777778,13.795138888888888,16.802777777777777,76.22222222222223,17.005555555555556,16.61111111111111,,,,3.9854166666666666,3.3409722222222227,1181.3125,0.0,0,0,1,0,0,0,0,0
2019-04-13,5.08472222222222,141.65972222222223,2.8659722222222213,18.515972222222224,21.86527777777778,50.86805555555556,22.143055555555556,21.58194444444446,,,,3.8770833333333345,3.101388888888888,1182.3680555555557,0.0,1,0,0,0,0,0,0,0
2019-04-14,7.107638888888889,175.53472222222223,3.820833333333333,17.31875000000001,20.83750000000001,65.53472222222223,21.002083333333342,20.702083333333352,,,,5.133333333333332,4.063194444444443,1165.0208333333333,0.0,1,0,0,0,0,0,0,0
2019-04-15,2.6374999999999993,159.50694444444446,1.4652777777777772,17.750694444444445,16.054166666666674,89.04861111111111,16.166666666666664,15.947222222222226,,,,2.115972222222222,1.6472222222222224,1182.888888888889,0.0125,1,0,0,0,0,0,0,0
2019-04-16,2.8777777777777778,203.49305555555554,1.5666666666666667,19.407638888888883,15.934027777777779,87.43055555555556,16.115277777777777,15.772916666666667,,,,2.2666666666666666,1.763194444444445,1181.9166666666667,0.018750000000000003,0,0,1,0,0,0,0,0
2019-04-17,4.200694444444443,216.31944444444446,2.181944444444445,19.56180555555555,16.40208333333334,80.79861111111111,16.629166666666666,16.16875,,,,3.1111111111111125,2.3875000000000006,1182.048611111111,0.0,0,0,1,0,0,0,0,0
2019-04-18,3.857638888888888,189.66666666666666,2.013194444444444,21.436111111111117,16.060416666666665,75.45833333333333,16.29027777777778,15.834722222222227,,,,2.8166666666666664,2.1743055555555553,1181.5277777777778,0.003472222222222222,0,0,1,0,0,0,0,0
